run_id,tick,event_type,robot_id,task_id,details
20260909_025359_dbe5d5,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-02
20260909_025359_dbe5d5,3,task_assigned,R1,G00001,
20260909_025359_dbe5d5,5,task_created,,G00002,type=PICK pickup=B-03 dropoff=PICK-3
20260909_025359_dbe5d5,5,task_assigned,R4,G00002,
20260909_025359_dbe5d5,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025359_dbe5d5,7,task_assigned,R2,G00003,
20260909_025359_dbe5d5,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025359_dbe5d5,9,task_assigned,R3,G00004,
20260909_025359_dbe5d5,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=G-02
20260909_025359_dbe5d5,15,task_created,,G00006,type=PICK pickup=G-03 dropoff=PICK-3
20260909_025359_dbe5d5,18,task_completed,R3,G00004,
20260909_025359_dbe5d5,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260909_025359_dbe5d5,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025359_dbe5d5,19,task_assigned,R3,G00008,
20260909_025359_dbe5d5,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025359_dbe5d5,25,task_created,,G00010,type=PICK pickup=H-08 dropoff=PICK-2
20260909_025359_dbe5d5,27,task_completed,R4,G00002,
20260909_025359_dbe5d5,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025359_dbe5d5,28,task_completed,R2,G00003,
20260909_025359_dbe5d5,28,task_assigned,R4,G00009,
20260909_025359_dbe5d5,29,task_assigned,R2,G00006,
20260909_025359_dbe5d5,31,task_completed,R1,G00001,
20260909_025359_dbe5d5,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025359_dbe5d5,32,task_assigned,R1,G00012,
20260909_025359_dbe5d5,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260909_025359_dbe5d5,35,task_created,,G00014,type=PICK pickup=H-06 dropoff=PICK-2
20260909_025359_dbe5d5,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025359_dbe5d5,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=H-06
20260909_025359_dbe5d5,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025359_dbe5d5,44,task_completed,R4,G00009,
20260909_025359_dbe5d5,45,task_assigned,R4,G00015,
20260909_025359_dbe5d5,45,task_created,,G00018,type=PICK pickup=A-04 dropoff=PICK-1
20260909_025359_dbe5d5,46,task_completed,R3,G00008,
20260909_025359_dbe5d5,47,task_assigned,R3,G00017,
20260909_025359_dbe5d5,49,task_completed,R2,G00006,
20260909_025359_dbe5d5,49,task_completed,R1,G00012,
20260909_025359_dbe5d5,50,task_assigned,R2,G00010,
20260909_025359_dbe5d5,50,task_assigned,R1,G00014,
20260909_025359_dbe5d5,50,task_completed,R4,G00015,
20260909_025359_dbe5d5,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260909_025359_dbe5d5,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025359_dbe5d5,51,task_assigned,R4,G00020,
20260909_025359_dbe5d5,55,task_created,,G00021,type=PICK pickup=G-03 dropoff=PICK-1
20260909_025359_dbe5d5,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025359_dbe5d5,56,task_completed,R4,G00020,
20260909_025359_dbe5d5,57,task_assigned,R4,G00022,
20260909_025359_dbe5d5,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=C-01
20260909_025359_dbe5d5,62,robot_blocked,R1,,"{""x"": 19, ""y"": 4}"
20260909_025359_dbe5d5,62,robot_blocked,R2,,"{""x"": 20, ""y"": 4}"
20260909_025359_dbe5d5,65,task_created,,G00024,type=PICK pickup=G-01 dropoff=PICK-2
20260909_025359_dbe5d5,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025359_dbe5d5,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=F-03
20260909_025359_dbe5d5,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025359_dbe5d5,75,task_completed,R2,G00010,
20260909_025359_dbe5d5,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=G-03
20260909_025359_dbe5d5,75,task_created,,G00029,type=PICK pickup=B-07 dropoff=PICK-3
20260909_025359_dbe5d5,76,task_completed,R3,G00017,
20260909_025359_dbe5d5,76,task_assigned,R2,G00025,
20260909_025359_dbe5d5,77,task_assigned,R3,G00027,
20260909_025359_dbe5d5,79,task_completed,R4,G00022,
20260909_025359_dbe5d5,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025359_dbe5d5,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
