tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.775,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.35,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.85,94.95,97.05,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.35,94.45,96.55,0.0,0.0,0.0,0.0
18,2,5.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,94.85,93.95,96.05,0.0,0.0,0.0,0.0
19,3,7.0,2.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.3875,93.45,95.7,0.0,0.0,0.0,0.0
20,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.925,92.95,95.35,0.0,0.0,0.0,0.0
21,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.4625,92.45,95.0,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.0,91.95,94.65,0.0,0.0,0.0,0.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.5375,91.45,94.3,0.0,0.0,0.0,0.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.075,90.95,93.95,0.0,0.0,0.0,0.0
25,5,9.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.6125,90.45,93.6,0.0,0.0,0.0,0.0
26,5,9.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.15,89.95,93.25,0.0,0.0,0.0,0.0
27,6,9.0,1.0,1.0,2.0,0.0,3,1,0,0,0,0,0,90.6875,89.45,92.9,0.0,0.0,0.0,0.0
28,5,8.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,90.2625,88.95,92.55,0.0,0.0,0.0,0.0
29,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.875,88.45,92.2,0.0,0.0,0.0,0.0
30,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.4875,87.95,91.85,0.0,0.0,0.0,0.0
31,5,8.0,1.0,1.0,4.0,0.0,3,1,0,0,0,0,0,89.1,87.45,91.5,0.0,0.0,0.0,0.0
32,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.7125,87.1,91.0,0.0,0.0,0.0,0.0
33,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.325,86.75,90.5,0.0,0.0,0.0,0.0
34,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.9375,86.4,90.0,0.0,0.0,0.0,0.0
35,6,10.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.55,86.05,89.5,0.0,0.0,0.0,0.0
36,6,10.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.1625,85.7,89.0,0.0,0.0,0.0,0.0
37,7,11.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.775,85.35,88.5,0.0,0.0,0.0,0.0
38,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.3875,85.0,88.0,0.0,0.0,0.0,0.0
39,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.0,84.65,87.5,0.0,0.0,0.0,0.0
40,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,85.6125,84.3,87.0,0.0,0.0,0.0,0.0
41,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,85.1875,83.8,86.5,0.0,0.0,0.0,0.0
42,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,84.6875,83.3,86.0,0.0,0.0,0.0,0.0
43,9,13.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,84.1875,82.8,85.5,0.0,0.0,0.0,0.0
44,9,12.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,83.6875,82.3,85.0,0.0,0.0,0.0,0.0
45,9,13.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.225,81.8,84.5,0.0,0.0,0.0,0.0
46,9,12.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,82.7625,81.3,84.0,0.0,0.0,0.0,0.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.3375,80.8,83.65,0.0,0.0,0.0,0.0
48,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,81.875,80.3,83.3,0.0,0.0,0.0,0.0
49,8,10.0,0.0,2.0,8.0,0.0,2,2,0,0,0,0,0,81.4125,79.8,82.95,0.0,0.0,0.0,0.0
50,6,9.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,81.025,79.45,82.6,0.0,0.0,0.0,0.0
51,7,11.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.675,79.1,82.25,0.0,0.0,0.0,0.0
52,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.325,78.75,81.9,0.0,0.0,0.0,0.0
53,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.975,78.4,81.55,0.0,0.0,0.0,0.0
54,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.5875,78.05,81.2,0.0,0.0,0.0,0.0
55,9,13.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.2,77.7,80.85,0.0,0.0,0.0,0.0
56,9,12.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,78.8125,77.35,80.5,0.0,0.0,0.0,0.0
57,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.4625,77.0,80.15,0.0,0.0,0.0,0.0
58,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.1125,76.65,79.8,0.0,0.0,0.0,0.0
59,9,13.0,1.0,0.0,10.0,0.0,4,0,0,0,0,0,0,77.725,76.3,79.45,0.0,0.0,0.0,0.0
60,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,77.3375,75.95,79.1,0.0,0.0,0.0,0.0
61,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.95,75.6,78.75,0.0,0.0,0.0,0.0
62,9,13.0,0.0,0.0,10.0,0.0,2,0,2,0,0,0,0,76.7375,75.6,78.25,0.0,0.0,2.0,2.0
63,9,13.0,0.0,0.0,10.0,0.0,3,0,1,0,0,0,0,76.525,75.6,77.75,1.0,1.0,2.0,4.0
64,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.1,75.25,77.25,0.0,1.0,0.0,4.0
65,11,15.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.675,74.9,76.75,0.0,1.0,0.0,4.0
66,11,15.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.25,74.55,76.25,0.0,1.0,0.0,4.0
67,13,17.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.825,74.2,75.75,0.0,1.0,0.0,4.0
68,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.4,73.85,75.25,0.0,1.0,0.0,4.0
69,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,73.975,73.5,74.75,0.0,1.0,0.0,4.0
70,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,73.5125,73.15,74.25,0.0,1.0,0.0,4.0
71,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,73.05,72.8,73.75,0.0,1.0,0.0,4.0
72,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,72.5875,72.3,73.25,0.0,1.0,0.0,4.0
73,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,72.125,71.8,72.75,0.0,1.0,0.0,4.0
74,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,71.6625,71.3,72.25,0.0,1.0,0.0,4.0
75,15,18.0,2.0,1.0,11.0,0.0,3,1,0,0,0,0,0,71.2,70.8,71.75,0.0,1.0,0.0,4.0
76,14,17.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,70.775,70.3,71.25,0.0,1.0,0.0,4.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.3875,69.8,70.9,0.0,1.0,0.0,4.0
78,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.0,69.3,70.55,0.0,1.0,0.0,4.0
79,15,18.0,2.0,1.0,13.0,0.0,2,1,1,0,0,0,0,69.7,68.8,70.55,0.0,1.0,1.0,5.0
80,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.3125,68.45,70.2,0.0,1.0,0.0,5.0
81,14,18.0,0.0,0.0,13.0,0.0,3,0,1,0,0,0,0,69.0125,68.1,70.2,0.0,1.0,1.0,6.0
82,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.5875,67.75,69.85,0.0,1.0,0.0,6.0
83,15,19.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.1625,67.4,69.5,0.0,1.0,0.0,6.0
84,15,18.0,0.0,1.0,14.0,0.0,3,1,0,0,0,0,0,67.7,66.9,69.15,0.0,1.0,0.0,6.0
85,15,19.0,1.0,0.0,14.0,0.0,3,0,1,0,0,0,0,67.4,66.9,68.8,0.0,1.0,1.0,7.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.975,66.4,68.45,0.0,1.0,0.0,7.0
87,15,18.0,0.0,1.0,15.0,0.0,3,1,0,0,0,0,0,66.55,65.9,68.1,0.0,1.0,0.0,7.0
88,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.1625,65.5,67.75,0.0,1.0,0.0,7.0
89,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.775,65.0,67.4,0.0,1.0,0.0,7.0
90,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.3875,64.5,67.05,0.0,1.0,0.0,7.0
91,16,20.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.0,64.0,66.7,0.0,1.0,0.0,7.0
92,16,19.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,64.6125,63.5,66.35,0.0,1.0,0.0,7.0
93,16,20.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.2625,63.15,66.0,0.0,1.0,0.0,7.0
94,16,20.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.8375,62.8,65.5,0.0,1.0,0.0,7.0
95,17,21.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.4125,62.45,65.0,0.0,1.0,0.0,7.0
96,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.9875,62.1,64.5,0.0,1.0,0.0,7.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.5625,61.75,64.0,0.0,1.0,0.0,7.0
98,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.1375,61.4,63.5,0.0,1.0,0.0,7.0
99,18,21.0,1.0,1.0,17.0,0.0,3,1,0,0,0,0,0,61.7125,61.05,63.0,0.0,1.0,0.0,7.0
100,17,21.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,61.325,60.7,62.5,0.0,1.0,0.0,7.0
101,17,21.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,60.9,60.2,62.0,0.0,1.0,0.0,7.0
102,17,21.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,60.475,59.7,61.5,0.0,1.0,0.0,7.0
103,18,21.0,1.0,1.0,18.0,0.0,3,1,0,0,0,0,0,60.05,59.2,61.0,0.0,1.0,0.0,7.0
104,17,21.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.6625,58.85,60.5,0.0,1.0,0.0,7.0
105,18,22.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.275,58.5,60.0,0.0,1.0,0.0,7.0
106,18,22.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.8875,58.15,59.5,0.0,1.0,0.0,7.0
107,20,24.0,2.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.5,57.8,59.0,0.0,1.0,0.0,7.0
108,20,23.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,58.075,57.45,58.5,0.0,1.0,0.0,7.0
109,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.6875,57.1,58.15,0.0,1.0,0.0,7.0
110,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.3,56.75,57.8,0.0,1.0,0.0,7.0
111,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.9125,56.4,57.45,0.0,1.0,0.0,7.0
112,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.525,56.05,57.1,0.0,1.0,0.0,7.0
113,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.1375,55.7,56.75,0.0,1.0,0.0,7.0
114,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,55.675,55.35,56.25,0.0,1.0,0.0,7.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.25,55.0,55.75,0.0,1.0,0.0,7.0
116,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,54.825,54.65,55.25,0.0,1.0,0.0,7.0
117,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,54.4,54.15,54.9,0.0,1.0,0.0,7.0
118,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.975,53.65,54.55,0.0,1.0,0.0,7.0
119,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.55,53.15,54.2,0.0,1.0,0.0,7.0
120,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.125,52.65,53.85,0.0,1.0,0.0,7.0
121,21,25.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.7,52.15,53.5,0.0,1.0,0.0,7.0
122,21,24.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,52.275,51.65,53.15,0.0,1.0,0.0,7.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.8875,51.15,52.8,0.0,1.0,0.0,7.0
124,21,25.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.5,50.65,52.45,0.0,1.0,0.0,7.0
125,22,26.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.1125,50.15,52.1,0.0,1.0,0.0,7.0
126,22,25.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,50.725,49.65,51.75,0.0,1.0,0.0,7.0
127,22,26.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.375,49.3,51.4,0.0,1.0,0.0,7.0
128,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,49.9875,48.95,51.05,0.0,1.0,0.0,7.0
129,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,49.6,48.6,50.7,0.0,1.0,0.0,7.0
130,22,25.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,49.2125,48.25,50.35,0.0,1.0,0.0,7.0
131,22,26.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.8625,47.9,50.0,0.0,1.0,0.0,7.0
132,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.5125,47.55,49.65,0.0,1.0,0.0,7.0
133,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.125,47.2,49.3,0.0,1.0,0.0,7.0
134,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.7,46.85,48.8,0.0,1.0,0.0,7.0
135,24,28.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.275,46.5,48.3,0.0,1.0,0.0,7.0
136,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.85,46.15,47.8,0.0,1.0,0.0,7.0
137,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.3875,45.65,47.3,0.0,1.0,0.0,7.0
138,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.925,45.15,46.8,0.0,1.0,0.0,7.0
139,26,30.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.4625,44.65,46.3,0.0,1.0,0.0,7.0
140,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.0,44.15,45.8,0.0,1.0,0.0,7.0
141,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,44.5375,43.65,45.3,0.0,1.0,0.0,7.0
142,26,30.0,0.0,0.0,24.0,0.0,3,0,1,0,0,0,0,44.2,43.15,44.8,0.0,1.0,1.0,8.0
143,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,43.7375,42.65,44.3,0.0,1.0,0.0,8.0
144,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,43.275,42.15,43.8,0.0,1.0,0.0,8.0
145,27,31.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,42.8125,41.65,43.3,0.0,1.0,0.0,8.0
146,27,30.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,42.35,41.15,42.85,0.0,1.0,0.0,8.0
147,27,30.0,1.0,1.0,26.0,0.0,3,1,0,0,0,0,0,41.925,40.8,42.5,0.0,1.0,0.0,8.0
148,26,30.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,41.5375,40.45,42.15,0.0,1.0,0.0,8.0
149,27,30.0,1.0,1.0,27.0,0.0,3,1,0,0,0,0,0,41.15,40.1,41.8,0.0,1.0,0.0,8.0
150,26,30.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.8,39.75,41.45,0.0,1.0,0.0,8.0
151,27,31.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.4125,39.25,41.1,0.0,1.0,0.0,8.0
152,27,31.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.025,38.75,40.75,0.0,1.0,0.0,8.0
153,27,30.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,39.6375,38.25,40.4,0.0,1.0,0.0,8.0
154,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.25,37.9,39.9,0.0,1.0,0.0,8.0
155,28,32.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.8625,37.55,39.4,0.0,1.0,0.0,8.0
156,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.475,37.2,38.95,0.0,1.0,0.0,8.0
157,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.0875,36.85,38.6,0.0,1.0,0.0,8.0
158,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,37.6625,36.5,38.15,0.0,1.0,0.0,8.0
159,28,31.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,37.2375,36.15,37.8,0.0,1.0,0.0,8.0
160,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.85,35.8,37.45,0.0,1.0,0.0,8.0
161,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.4625,35.45,37.1,0.0,1.0,0.0,8.0
162,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.075,35.1,36.75,0.0,1.0,0.0,8.0
163,30,34.0,3.0,0.0,29.0,0.0,4,0,0,0,0,0,0,35.6875,34.75,36.4,0.0,1.0,0.0,8.0
164,30,34.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,35.2625,34.4,35.9,0.0,1.0,0.0,8.0
165,31,35.0,1.0,0.0,29.0,0.0,4,0,0,0,0,0,0,34.8375,34.05,35.4,0.0,1.0,0.0,8.0
166,31,34.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,34.375,33.7,34.9,0.0,1.0,0.0,8.0
167,30,33.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,33.9125,33.2,34.55,0.0,1.0,0.0,8.0
168,29,33.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,33.4875,32.7,34.2,0.0,1.0,0.0,8.0
169,29,33.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,33.0625,32.2,33.85,0.0,1.0,0.0,8.0
170,29,33.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,32.6,31.7,33.35,0.0,1.0,0.0,8.0
