run_id,tick,event_type,robot_id,task_id,details
20260909_025401_cdb116,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-04
20260909_025401_cdb116,3,task_assigned,R1,G00001,
20260909_025401_cdb116,5,task_created,,G00002,type=PICK pickup=D-03 dropoff=PICK-3
20260909_025401_cdb116,5,task_assigned,R4,G00002,
20260909_025401_cdb116,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025401_cdb116,7,task_assigned,R2,G00003,
20260909_025401_cdb116,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025401_cdb116,9,task_assigned,R3,G00004,
20260909_025401_cdb116,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260909_025401_cdb116,15,task_created,,G00006,type=PICK pickup=H-04 dropoff=PICK-3
20260909_025401_cdb116,17,task_completed,R2,G00003,
20260909_025401_cdb116,18,task_assigned,R2,G00006,
20260909_025401_cdb116,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=B-06
20260909_025401_cdb116,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025401_cdb116,22,task_completed,R1,G00001,
20260909_025401_cdb116,22,task_completed,R3,G00004,
20260909_025401_cdb116,23,task_assigned,R1,G00008,
20260909_025401_cdb116,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,23,task_assigned,R3,G00009,
20260909_025401_cdb116,25,task_created,,G00010,type=PICK pickup=D-08 dropoff=PICK-2
20260909_025401_cdb116,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025401_cdb116,28,task_completed,R4,G00002,
20260909_025401_cdb116,28,task_completed,R3,G00009,
20260909_025401_cdb116,29,task_assigned,R3,G00005,
20260909_025401_cdb116,29,task_assigned,R4,G00010,
20260909_025401_cdb116,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025401_cdb116,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=G-01
20260909_025401_cdb116,35,task_created,,G00014,type=PICK pickup=E-02 dropoff=PICK-1
20260909_025401_cdb116,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,38,robot_blocked,R2,,"{""x"": 22, ""y"": 4}"
20260909_025401_cdb116,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260909_025401_cdb116,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025401_cdb116,45,task_created,,G00018,type=PICK pickup=C-06 dropoff=PICK-1
20260909_025401_cdb116,46,robot_blocked,R4,,"{""x"": 20, ""y"": 7}"
20260909_025401_cdb116,48,task_completed,R1,G00008,
20260909_025401_cdb116,49,task_assigned,R1,G00015,
20260909_025401_cdb116,50,task_completed,R2,G00006,
20260909_025401_cdb116,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=H-08
20260909_025401_cdb116,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,51,task_assigned,R2,G00020,
20260909_025401_cdb116,53,task_completed,R3,G00005,
20260909_025401_cdb116,54,task_assigned,R3,G00012,
20260909_025401_cdb116,55,task_created,,G00021,type=PICK pickup=E-08 dropoff=PICK-3
20260909_025401_cdb116,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025401_cdb116,56,task_completed,R4,G00010,
20260909_025401_cdb116,56,task_completed,R1,G00015,
20260909_025401_cdb116,57,task_assigned,R4,G00017,
20260909_025401_cdb116,57,task_assigned,R1,G00022,
20260909_025401_cdb116,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260909_025401_cdb116,62,robot_blocked,R1,,"{""x"": 12, ""y"": 12}"
20260909_025401_cdb116,65,task_created,,G00024,type=PICK pickup=D-03 dropoff=PICK-3
20260909_025401_cdb116,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025401_cdb116,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025401_cdb116,69,task_completed,R2,G00020,
20260909_025401_cdb116,70,task_assigned,R2,G00025,
20260909_025401_cdb116,71,task_completed,R3,G00012,
20260909_025401_cdb116,72,task_assigned,R3,G00027,
20260909_025401_cdb116,73,task_completed,R4,G00017,
20260909_025401_cdb116,74,task_assigned,R4,G00014,
20260909_025401_cdb116,75,task_completed,R1,G00022,
20260909_025401_cdb116,75,task_completed,R2,G00025,
20260909_025401_cdb116,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=D-04
20260909_025401_cdb116,75,task_created,,G00029,type=PICK pickup=H-07 dropoff=PICK-3
20260909_025401_cdb116,76,task_assigned,R1,G00018,
20260909_025401_cdb116,76,task_assigned,R2,G00021,
20260909_025401_cdb116,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025401_cdb116,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025401_cdb116,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=C-02
20260909_025401_cdb116,85,task_created,,G00033,type=PICK pickup=G-02 dropoff=PICK-3
20260909_025401_cdb116,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=F-07
20260909_025401_cdb116,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025401_cdb116,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,95,task_created,,G00037,type=PICK pickup=A-04 dropoff=PICK-2
20260909_025401_cdb116,96,task_completed,R3,G00027,
20260909_025401_cdb116,97,task_assigned,R3,G00031,
20260909_025401_cdb116,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=E-03
20260909_025401_cdb116,103,task_created,,G00039,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025401_cdb116,104,task_completed,R4,G00014,
20260909_025401_cdb116,104,task_completed,R3,G00031,
20260909_025401_cdb116,105,task_assigned,R4,G00030,
20260909_025401_cdb116,105,task_assigned,R3,G00036,
20260909_025401_cdb116,105,task_created,,G00040,type=PICK pickup=A-04 dropoff=PICK-1
20260909_025401_cdb116,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=F-08
20260909_025401_cdb116,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,110,task_completed,R3,G00036,
20260909_025401_cdb116,111,task_assigned,R3,G00042,
20260909_025401_cdb116,114,task_completed,R1,G00018,
20260909_025401_cdb116,114,task_completed,R2,G00021,
20260909_025401_cdb116,115,task_assigned,R1,G00035,
20260909_025401_cdb116,115,task_assigned,R2,G00039,
20260909_025401_cdb116,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260909_025401_cdb116,115,task_created,,G00044,type=PICK pickup=A-05 dropoff=PICK-2
20260909_025401_cdb116,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025401_cdb116,116,task_completed,R3,G00042,
20260909_025401_cdb116,117,task_assigned,R3,G00045,
20260909_025401_cdb116,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025401_cdb116,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025401_cdb116,124,task_completed,R1,G00035,
20260909_025401_cdb116,125,task_completed,R4,G00030,
20260909_025401_cdb116,125,task_assigned,R1,G00046,
20260909_025401_cdb116,125,task_created,,G00048,type=PICK pickup=D-08 dropoff=PICK-1
20260909_025401_cdb116,126,task_assigned,R4,G00024,
20260909_025401_cdb116,127,task_created,,G00049,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025401_cdb116,129,task_completed,R2,G00039,
20260909_025401_cdb116,130,task_assigned,R2,G00049,
20260909_025401_cdb116,131,task_completed,R1,G00046,
20260909_025401_cdb116,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260909_025401_cdb116,132,task_assigned,R1,G00029,
20260909_025401_cdb116,135,task_created,,G00051,type=PICK pickup=A-06 dropoff=PICK-1
20260909_025401_cdb116,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,139,task_created,,G00053,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025401_cdb116,139,task_created,,G00054,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025401_cdb116,145,task_created,,G00055,type=PICK pickup=C-07 dropoff=PICK-1
20260909_025401_cdb116,147,task_created,,G00056,type=PUTAWAY pickup=BUFFER dropoff=H-05
20260909_025401_cdb116,148,task_completed,R3,G00045,
20260909_025401_cdb116,149,task_assigned,R3,G00052,
20260909_025401_cdb116,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025401_cdb116,151,task_created,,G00058,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025401_cdb116,154,task_completed,R2,G00049,
20260909_025401_cdb116,155,task_completed,R4,G00024,
20260909_025401_cdb116,155,task_assigned,R2,G00057,
20260909_025401_cdb116,155,task_created,,G00059,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025401_cdb116,155,task_created,,G00060,type=PICK pickup=A-05 dropoff=PICK-1
20260909_025401_cdb116,156,task_completed,R3,G00052,
20260909_025401_cdb116,156,task_assigned,R4,G00054,
