tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.8625,96.7,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.4375,96.2,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.0125,95.7,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5875,95.2,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.1625,94.7,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.7375,94.2,97.2,0.0,0.0,0.0,0.0
17,2,5.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,95.3125,93.7,96.85,0.0,0.0,0.0,0.0
18,1,5.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.925,93.2,96.5,0.0,0.0,0.0,0.0
19,3,7.0,2.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.5375,92.7,96.15,0.0,0.0,0.0,0.0
20,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.1125,92.2,95.65,0.0,0.0,0.0,0.0
21,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.65,91.7,95.15,0.0,0.0,0.0,0.0
22,3,5.0,0.0,2.0,3.0,0.0,2,2,0,0,0,0,0,93.1875,91.2,94.65,0.0,0.0,0.0,0.0
23,2,6.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.8,90.85,94.3,0.0,0.0,0.0,0.0
24,2,6.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.4125,90.5,93.95,0.0,0.0,0.0,0.0
25,3,7.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.025,90.15,93.6,0.0,0.0,0.0,0.0
26,3,7.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.6,89.8,93.1,0.0,0.0,0.0,0.0
27,4,8.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.175,89.45,92.6,0.0,0.0,0.0,0.0
28,4,6.0,0.0,2.0,5.0,0.0,2,2,0,0,0,0,0,90.75,89.1,92.1,0.0,0.0,0.0,0.0
29,2,6.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,90.4,88.75,91.75,0.0,0.0,0.0,0.0
30,2,6.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,90.05,88.4,91.4,0.0,0.0,0.0,0.0
31,3,7.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.7,88.05,91.05,0.0,0.0,0.0,0.0
32,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.35,87.7,90.7,0.0,0.0,0.0,0.0
33,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.0,87.35,90.35,0.0,0.0,0.0,0.0
34,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.6125,86.85,90.0,0.0,0.0,0.0,0.0
35,5,9.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.225,86.35,89.65,0.0,0.0,0.0,0.0
36,5,9.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.8375,85.85,89.3,0.0,0.0,0.0,0.0
37,6,10.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.45,85.35,88.95,0.0,0.0,0.0,0.0
38,6,10.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,87.1125,84.85,88.6,0.0,0.0,1.0,1.0
39,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.6875,84.35,88.25,0.0,0.0,0.0,1.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.225,83.85,87.9,0.0,0.0,0.0,1.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.7625,83.35,87.55,0.0,0.0,0.0,1.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.3,82.85,87.2,0.0,0.0,0.0,1.0
43,8,12.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.8375,82.35,86.85,0.0,0.0,0.0,1.0
44,8,12.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.375,81.85,86.5,0.0,0.0,0.0,1.0
45,9,13.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.9125,81.35,86.15,0.0,0.0,0.0,1.0
46,9,13.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,83.5375,80.85,85.65,0.0,0.0,1.0,2.0
47,9,13.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,83.2875,80.35,85.15,1.0,1.0,2.0,4.0
48,9,12.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,82.7875,79.85,84.65,0.0,1.0,0.0,4.0
49,8,12.0,0.0,0.0,6.0,0.0,3,0,1,0,0,0,0,82.45,79.5,84.15,0.0,1.0,1.0,5.0
50,8,11.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,81.9875,79.15,83.65,0.0,1.0,0.0,5.0
51,9,13.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.5625,78.8,83.15,0.0,1.0,0.0,5.0
52,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.1375,78.45,82.7,0.0,1.0,0.0,5.0
53,9,12.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,80.7125,78.1,82.35,0.0,1.0,0.0,5.0
54,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.2875,77.6,82.0,0.0,1.0,0.0,5.0
55,10,14.0,2.0,0.0,8.0,0.0,4,0,0,0,0,0,0,79.8625,77.1,81.65,0.0,1.0,0.0,5.0
56,10,12.0,0.0,2.0,10.0,0.0,2,2,0,0,0,0,0,79.4375,76.6,81.3,0.0,1.0,0.0,5.0
57,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,79.0875,76.25,80.95,0.0,1.0,0.0,5.0
58,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.7375,75.9,80.6,0.0,1.0,0.0,5.0
59,9,13.0,1.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.3875,75.55,80.25,0.0,1.0,0.0,5.0
60,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.0375,75.2,79.9,0.0,1.0,0.0,5.0
61,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,77.6875,74.85,79.55,0.0,1.0,0.0,5.0
62,9,13.0,0.0,0.0,10.0,0.0,2,0,2,0,0,0,0,77.475,74.85,79.55,0.0,1.0,2.0,7.0
63,9,13.0,0.0,0.0,10.0,0.0,3,0,1,0,0,0,0,77.2625,74.85,79.55,1.0,2.0,2.0,9.0
64,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.875,74.5,79.2,0.0,2.0,0.0,9.0
65,11,15.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.45,74.15,78.85,0.0,2.0,0.0,9.0
66,11,15.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.025,73.8,78.5,0.0,2.0,0.0,9.0
67,13,17.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.5625,73.45,78.0,0.0,2.0,0.0,9.0
68,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.1,73.1,77.5,0.0,2.0,0.0,9.0
69,13,16.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,74.6375,72.75,77.0,0.0,2.0,0.0,9.0
70,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.175,72.25,76.65,0.0,2.0,0.0,9.0
71,12,15.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,73.7125,71.75,76.3,0.0,2.0,0.0,9.0
72,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.2875,71.25,75.95,0.0,2.0,0.0,9.0
73,11,14.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,72.825,70.75,75.45,0.0,2.0,0.0,9.0
74,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.4,70.25,74.95,0.0,2.0,0.0,9.0
75,12,14.0,2.0,2.0,15.0,0.0,2,2,0,0,0,0,0,71.975,69.75,74.45,0.0,2.0,0.0,9.0
76,10,14.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,71.625,69.4,74.1,0.0,2.0,0.0,9.0
77,10,14.0,0.0,0.0,15.0,0.0,2,0,2,0,0,0,0,71.45,69.4,73.75,0.0,2.0,2.0,11.0
78,10,14.0,0.0,0.0,15.0,0.0,3,0,1,0,0,0,0,71.275,69.4,73.4,1.0,3.0,2.0,13.0
79,12,16.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,70.925,69.05,73.05,0.0,3.0,0.0,13.0
80,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,70.575,68.7,72.7,0.0,3.0,0.0,13.0
81,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,70.225,68.35,72.35,0.0,3.0,0.0,13.0
82,12,16.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.8375,68.0,72.0,0.0,3.0,0.0,13.0
83,13,17.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.45,67.65,71.65,0.0,3.0,0.0,13.0
84,13,17.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,69.0625,67.3,71.3,0.0,3.0,0.0,13.0
85,14,18.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,68.675,66.95,70.95,0.0,3.0,0.0,13.0
86,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,68.2875,66.6,70.6,0.0,3.0,0.0,13.0
87,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.9,66.25,70.25,0.0,3.0,0.0,13.0
88,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.5125,65.9,69.9,0.0,3.0,0.0,13.0
89,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.125,65.55,69.55,0.0,3.0,0.0,13.0
90,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.7375,65.2,69.2,0.0,3.0,0.0,13.0
91,16,20.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.3125,64.7,68.85,0.0,3.0,0.0,13.0
92,16,20.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.8875,64.2,68.5,0.0,3.0,0.0,13.0
93,17,21.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.4625,63.7,68.15,0.0,3.0,0.0,13.0
94,17,21.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.0375,63.2,67.8,0.0,3.0,0.0,13.0
95,18,22.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.6125,62.7,67.45,0.0,3.0,0.0,13.0
96,18,21.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,64.1125,62.2,66.95,0.0,3.0,0.0,13.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.65,61.7,66.45,0.0,3.0,0.0,13.0
98,17,21.0,0.0,0.0,16.0,0.0,3,0,1,0,0,0,0,63.3125,61.7,65.95,0.0,3.0,1.0,14.0
99,18,22.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.85,61.2,65.45,0.0,3.0,0.0,14.0
100,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.3875,60.7,64.95,0.0,3.0,0.0,14.0
101,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.925,60.2,64.45,0.0,3.0,0.0,14.0
102,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.425,59.7,63.95,0.0,3.0,0.0,14.0
103,19,23.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,60.925,59.2,63.45,0.0,3.0,0.0,14.0
104,19,21.0,0.0,2.0,18.0,0.0,2,2,0,0,0,0,0,60.425,58.7,62.95,0.0,3.0,0.0,14.0
105,18,22.0,1.0,0.0,18.0,0.0,3,0,1,0,0,0,0,60.0875,58.2,62.45,0.0,3.0,1.0,15.0
106,18,22.0,0.0,0.0,18.0,0.0,2,0,2,0,0,0,0,59.875,58.2,61.95,0.0,3.0,2.0,17.0
107,20,24.0,2.0,0.0,18.0,0.0,3,0,1,0,0,0,0,59.6625,58.2,61.45,1.0,4.0,2.0,19.0
108,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.2,57.7,60.95,0.0,4.0,0.0,19.0
109,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.7375,57.2,60.45,0.0,4.0,0.0,19.0
110,20,23.0,0.0,1.0,19.0,0.0,1,1,2,0,0,0,0,58.4875,57.2,59.95,0.0,4.0,2.0,21.0
111,19,23.0,0.0,0.0,19.0,0.0,3,0,1,0,0,0,0,58.275,57.2,59.45,1.0,5.0,2.0,23.0
112,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.85,56.7,58.95,0.0,5.0,0.0,23.0
113,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.425,56.2,58.55,0.0,5.0,0.0,23.0
114,19,21.0,0.0,2.0,21.0,0.0,2,2,0,0,0,0,0,56.9625,55.7,58.2,0.0,5.0,0.0,23.0
115,20,24.0,3.0,0.0,21.0,0.0,4,0,0,0,0,0,0,56.5375,55.2,57.85,0.0,5.0,0.0,23.0
116,20,23.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,56.1125,54.7,57.5,0.0,5.0,0.0,23.0
117,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.725,54.2,57.15,0.0,5.0,0.0,23.0
118,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.3375,53.7,56.8,0.0,5.0,0.0,23.0
119,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.95,53.2,56.45,0.0,5.0,0.0,23.0
120,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.525,52.7,55.95,0.0,5.0,0.0,23.0
121,20,24.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.1,52.2,55.5,0.0,5.0,0.0,23.0
122,20,24.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,53.675,51.7,55.15,0.0,5.0,0.0,23.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,53.2125,51.2,54.65,0.0,5.0,0.0,23.0
124,21,24.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,52.75,50.7,54.15,0.0,5.0,0.0,23.0
125,21,24.0,1.0,1.0,24.0,0.0,3,1,0,0,0,0,0,52.325,50.35,53.65,0.0,5.0,0.0,23.0
126,20,24.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,51.9375,50.0,53.15,0.0,5.0,0.0,23.0
127,21,25.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,51.55,49.65,52.75,0.0,5.0,0.0,23.0
128,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,51.1625,49.3,52.4,0.0,5.0,0.0,23.0
129,21,24.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,50.7375,48.8,52.05,0.0,5.0,0.0,23.0
130,20,24.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,50.35,48.3,51.7,0.0,5.0,0.0,23.0
131,21,24.0,1.0,1.0,26.0,0.0,3,1,0,0,0,0,0,49.9625,47.8,51.35,0.0,5.0,0.0,23.0
132,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,49.6125,47.45,51.0,0.0,5.0,0.0,23.0
133,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,49.2625,47.1,50.65,0.0,5.0,0.0,23.0
134,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,48.875,46.75,50.3,0.0,5.0,0.0,23.0
135,22,26.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,48.4875,46.4,49.95,0.0,5.0,0.0,23.0
136,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,48.1,46.05,49.6,0.0,5.0,0.0,23.0
137,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.7125,45.7,49.25,0.0,5.0,0.0,23.0
138,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.325,45.35,48.9,0.0,5.0,0.0,23.0
139,24,28.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.9375,45.0,48.55,0.0,5.0,0.0,23.0
140,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.55,44.65,48.2,0.0,5.0,0.0,23.0
141,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.1625,44.3,47.85,0.0,5.0,0.0,23.0
142,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.775,43.95,47.5,0.0,5.0,0.0,23.0
143,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.3875,43.6,47.15,0.0,5.0,0.0,23.0
144,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.0,43.25,46.8,0.0,5.0,0.0,23.0
145,25,29.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.575,42.9,46.45,0.0,5.0,0.0,23.0
146,25,29.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.1125,42.55,45.95,0.0,5.0,0.0,23.0
147,26,30.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.65,42.05,45.45,0.0,5.0,0.0,23.0
148,26,29.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,43.1875,41.55,44.95,0.0,5.0,0.0,23.0
149,26,30.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.7625,41.2,44.45,0.0,5.0,0.0,23.0
150,26,30.0,0.0,0.0,27.0,0.0,2,0,2,0,0,0,0,42.55,40.85,44.45,0.0,5.0,2.0,25.0
151,27,31.0,1.0,0.0,27.0,0.0,3,0,1,0,0,0,0,42.3375,40.5,44.45,1.0,6.0,2.0,27.0
152,27,31.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.9125,40.15,43.95,0.0,6.0,0.0,27.0
153,27,31.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.4875,39.8,43.45,0.0,6.0,0.0,27.0
154,27,30.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,41.025,39.3,42.95,0.0,6.0,0.0,27.0
155,28,31.0,2.0,1.0,29.0,0.0,3,1,0,0,0,0,0,40.6,38.8,42.45,0.0,6.0,0.0,27.0
156,27,30.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,40.175,38.3,41.95,0.0,6.0,0.0,27.0
157,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,39.7875,37.95,41.45,0.0,6.0,0.0,27.0
158,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,39.4,37.6,40.95,0.0,6.0,0.0,27.0
159,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,38.9375,37.25,40.45,0.0,6.0,0.0,27.0
160,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,38.475,36.9,39.95,0.0,6.0,0.0,27.0
161,26,29.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,38.0125,36.55,39.45,0.0,6.0,0.0,27.0
162,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,37.5875,36.2,38.95,0.0,6.0,0.0,27.0
163,28,32.0,3.0,0.0,31.0,0.0,4,0,0,0,0,0,0,37.1625,35.85,38.45,0.0,6.0,0.0,27.0
164,28,32.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.7375,35.5,37.95,0.0,6.0,0.0,27.0
165,29,33.0,1.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.3125,35.15,37.45,0.0,6.0,0.0,27.0
166,29,32.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,35.8875,34.8,36.95,0.0,6.0,0.0,27.0
167,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.5,34.45,36.45,0.0,6.0,0.0,27.0
168,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.1125,34.1,36.05,0.0,6.0,0.0,27.0
169,28,31.0,0.0,1.0,33.0,0.0,3,1,0,0,0,0,0,34.725,33.75,35.7,0.0,6.0,0.0,27.0
170,27,31.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,34.375,33.4,35.35,0.0,6.0,0.0,27.0
