run_id,tick,event_type,robot_id,task_id,details
20260909_025402_bd60da,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025402_bd60da,3,task_assigned,R1,G00001,
20260909_025402_bd60da,5,task_created,,G00002,type=PICK pickup=C-04 dropoff=PICK-3
20260909_025402_bd60da,5,task_assigned,R2,G00002,
20260909_025402_bd60da,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025402_bd60da,7,task_assigned,R4,G00003,
20260909_025402_bd60da,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025402_bd60da,9,task_assigned,R3,G00004,
20260909_025402_bd60da,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=G-07
20260909_025402_bd60da,15,task_created,,G00006,type=PICK pickup=E-01 dropoff=PICK-1
20260909_025402_bd60da,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=G-05
20260909_025402_bd60da,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025402_bd60da,21,task_completed,R2,G00002,
20260909_025402_bd60da,22,task_assigned,R2,G00008,
20260909_025402_bd60da,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025402_bd60da,25,task_completed,R4,G00003,
20260909_025402_bd60da,25,task_completed,R3,G00004,
20260909_025402_bd60da,25,task_created,,G00010,type=PICK pickup=E-01 dropoff=PICK-2
20260909_025402_bd60da,26,task_assigned,R4,G00006,
20260909_025402_bd60da,26,task_assigned,R3,G00009,
20260909_025402_bd60da,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=A-05
20260909_025402_bd60da,31,task_completed,R1,G00001,
20260909_025402_bd60da,31,task_completed,R3,G00009,
20260909_025402_bd60da,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025402_bd60da,32,task_assigned,R1,G00010,
20260909_025402_bd60da,32,task_assigned,R3,G00012,
20260909_025402_bd60da,35,task_completed,R2,G00008,
20260909_025402_bd60da,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=G-05
20260909_025402_bd60da,35,task_created,,G00014,type=PICK pickup=F-06 dropoff=PICK-2
20260909_025402_bd60da,36,task_assigned,R2,G00014,
20260909_025402_bd60da,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025402_bd60da,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-03
20260909_025402_bd60da,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025402_bd60da,43,robot_blocked,R2,,"{""x"": 12, ""y"": 7}"
20260909_025402_bd60da,44,robot_blocked,R1,,"{""x"": 12, ""y"": 6}"
20260909_025402_bd60da,45,task_created,,G00018,type=PICK pickup=G-05 dropoff=PICK-1
20260909_025402_bd60da,46,task_completed,R1,G00010,
20260909_025402_bd60da,47,task_assigned,R1,G00015,
20260909_025402_bd60da,49,task_completed,R4,G00006,
20260909_025402_bd60da,50,task_assigned,R4,G00017,
20260909_025402_bd60da,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=D-03
20260909_025402_bd60da,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025402_bd60da,53,task_completed,R3,G00012,
20260909_025402_bd60da,54,task_assigned,R3,G00020,
20260909_025402_bd60da,55,task_completed,R1,G00015,
20260909_025402_bd60da,55,task_created,,G00021,type=PICK pickup=A-05 dropoff=PICK-3
20260909_025402_bd60da,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025402_bd60da,56,task_assigned,R1,G00022,
20260909_025402_bd60da,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=A-01
20260909_025402_bd60da,61,task_completed,R2,G00014,
20260909_025402_bd60da,61,task_completed,R3,G00020,
20260909_025402_bd60da,62,task_assigned,R2,G00018,
20260909_025402_bd60da,62,task_assigned,R3,G00021,
20260909_025402_bd60da,65,task_created,,G00024,type=PICK pickup=F-06 dropoff=PICK-1
20260909_025402_bd60da,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025402_bd60da,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025402_bd60da,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025402_bd60da,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=B-06
20260909_025402_bd60da,75,task_created,,G00029,type=PICK pickup=G-07 dropoff=PICK-1
20260909_025402_bd60da,76,robot_blocked,R4,,"{""x"": 12, ""y"": 8}"
20260909_025402_bd60da,78,robot_blocked,R3,,"{""x"": 6, ""y"": 7}"
20260909_025402_bd60da,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025402_bd60da,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025402_bd60da,83,task_completed,R4,G00017,
20260909_025402_bd60da,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=D-04
20260909_025402_bd60da,84,task_assigned,R4,G00025,
20260909_025402_bd60da,85,task_completed,R2,G00018,
20260909_025402_bd60da,85,task_completed,R1,G00022,
20260909_025402_bd60da,85,task_created,,G00033,type=PICK pickup=F-02 dropoff=PICK-3
20260909_025402_bd60da,86,task_assigned,R2,G00027,
20260909_025402_bd60da,86,task_assigned,R1,G00031,
20260909_025402_bd60da,90,task_completed,R4,G00025,
20260909_025402_bd60da,91,task_assigned,R4,G00030,
20260909_025402_bd60da,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=E-04
20260909_025402_bd60da,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025402_bd60da,93,task_completed,R1,G00031,
20260909_025402_bd60da,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025402_bd60da,94,task_assigned,R1,G00036,
20260909_025402_bd60da,95,task_created,,G00037,type=PICK pickup=F-08 dropoff=PICK-3
20260909_025402_bd60da,99,task_completed,R1,G00036,
20260909_025402_bd60da,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=C-02
20260909_025402_bd60da,100,task_completed,R2,G00027,
20260909_025402_bd60da,100,task_assigned,R1,G00035,
20260909_025402_bd60da,101,task_assigned,R2,G00024,
20260909_025402_bd60da,103,task_created,,G00039,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025402_bd60da,105,task_created,,G00040,type=PICK pickup=E-01 dropoff=PICK-1
20260909_025402_bd60da,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=C-04
20260909_025402_bd60da,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025402_bd60da,109,task_completed,R3,G00021,
20260909_025402_bd60da,110,task_assigned,R3,G00042,
20260909_025402_bd60da,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=H-03
20260909_025402_bd60da,115,task_created,,G00044,type=PICK pickup=C-04 dropoff=PICK-1
20260909_025402_bd60da,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025402_bd60da,116,task_completed,R4,G00030,
20260909_025402_bd60da,117,task_assigned,R4,G00039,
20260909_025402_bd60da,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025402_bd60da,122,task_completed,R1,G00035,
20260909_025402_bd60da,123,task_completed,R2,G00024,
20260909_025402_bd60da,123,task_assigned,R1,G00046,
20260909_025402_bd60da,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=A-08
20260909_025402_bd60da,124,task_assigned,R2,G00045,
20260909_025402_bd60da,125,task_created,,G00048,type=PICK pickup=C-01 dropoff=PICK-3
20260909_025402_bd60da,127,task_completed,R3,G00042,
20260909_025402_bd60da,127,task_created,,G00049,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025402_bd60da,128,task_assigned,R3,G00049,
20260909_025402_bd60da,130,task_completed,R1,G00046,
20260909_025402_bd60da,131,task_assigned,R1,G00029,
20260909_025402_bd60da,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025402_bd60da,133,task_completed,R2,G00045,
20260909_025402_bd60da,134,task_assigned,R2,G00033,
20260909_025402_bd60da,134,task_completed,R4,G00039,
20260909_025402_bd60da,135,task_created,,G00051,type=PICK pickup=F-02 dropoff=PICK-1
20260909_025402_bd60da,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025402_bd60da,135,task_assigned,R4,G00052,
20260909_025402_bd60da,139,task_created,,G00053,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025402_bd60da,139,task_created,,G00054,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025402_bd60da,142,task_completed,R4,G00052,
20260909_025402_bd60da,143,task_assigned,R4,G00054,
20260909_025402_bd60da,145,task_created,,G00055,type=PICK pickup=H-05 dropoff=PICK-1
20260909_025402_bd60da,147,task_created,,G00056,type=PUTAWAY pickup=RECV dropoff=F-02
20260909_025402_bd60da,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025402_bd60da,151,task_created,,G00058,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025402_bd60da,155,task_created,,G00059,type=PUTAWAY pickup=RECV dropoff=B-04
20260909_025402_bd60da,155,task_created,,G00060,type=PICK pickup=E-06 dropoff=PICK-2
20260909_025402_bd60da,156,task_completed,R3,G00049,
20260909_025402_bd60da,157,task_assigned,R3,G00057,
20260909_025402_bd60da,163,task_completed,R2,G00033,
20260909_025402_bd60da,163,task_completed,R3,G00057,
20260909_025402_bd60da,163,task_created,,G00061,type=PUTAWAY pickup=RECV dropoff=F-03
20260909_025402_bd60da,163,task_created,,G00062,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025402_bd60da,163,task_created,,G00063,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025402_bd60da,164,task_completed,R1,G00029,
20260909_025402_bd60da,164,task_assigned,R2,G00058,
20260909_025402_bd60da,164,task_assigned,R3,G00063,
20260909_025402_bd60da,165,task_assigned,R1,G00062,
20260909_025402_bd60da,165,task_created,,G00064,type=PICK pickup=D-02 dropoff=PICK-3
20260909_025402_bd60da,169,task_completed,R3,G00063,
20260909_025402_bd60da,170,task_assigned,R3,G00037,
20260909_025402_bd60da,171,task_created,,G00065,type=PUTAWAY pickup=BUFFER dropoff=E-01
20260909_025402_bd60da,173,task_completed,R4,G00054,
20260909_025402_bd60da,174,task_assigned,R4,G00040,
20260909_025402_bd60da,175,task_created,,G00066,type=PICK pickup=C-08 dropoff=PICK-1
20260909_025402_bd60da,175,task_created,,G00067,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025402_bd60da,177,task_created,,G00068,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025402_bd60da,179,task_completed,R1,G00062,
20260909_025402_bd60da,179,task_created,,G00069,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260909_025402_bd60da,180,task_assigned,R1,G00068,
20260909_025402_bd60da,185,task_created,,G00070,type=PICK pickup=D-06 dropoff=PICK-2
20260909_025402_bd60da,186,task_completed,R1,G00068,
20260909_025402_bd60da,187,task_assigned,R1,G00067,
20260909_025402_bd60da,187,task_created,,G00071,type=PUTAWAY pickup=RECV dropoff=F-06
20260909_025402_bd60da,187,task_created,,G00072,type=PACK pickup=PICK-2 dropoff=PACK-2
