tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.85,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.4625,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.075,95.1,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.6875,94.75,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.3,94.4,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.9125,94.0,96.15,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.4875,93.5,95.8,0.0,0.0,0.0,0.0
21,4,7.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,94.0625,93.0,95.45,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.675,92.65,95.1,0.0,0.0,0.0,0.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.25,92.3,94.6,0.0,0.0,0.0,0.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.825,91.95,94.1,0.0,0.0,0.0,0.0
25,5,7.0,1.0,2.0,3.0,0.0,2,2,0,0,0,0,0,92.4,91.6,93.6,0.0,0.0,0.0,0.0
26,3,7.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,92.05,91.25,93.25,0.0,0.0,0.0,0.0
27,4,8.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.6625,90.9,92.9,0.0,0.0,0.0,0.0
28,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.275,90.55,92.55,0.0,0.0,0.0,0.0
29,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,90.85,90.1,92.05,0.0,0.0,0.0,0.0
30,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,90.3875,89.6,91.55,0.0,0.0,0.0,0.0
31,5,7.0,1.0,2.0,5.0,0.0,2,2,0,0,0,0,0,89.925,89.1,91.05,0.0,0.0,0.0,0.0
32,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.5,88.6,90.7,0.0,0.0,0.0,0.0
33,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.075,88.1,90.35,0.0,0.0,0.0,0.0
34,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.65,87.6,90.0,0.0,0.0,0.0,0.0
35,5,8.0,2.0,1.0,6.0,0.0,3,1,0,0,0,0,0,88.225,87.1,89.65,0.0,0.0,0.0,0.0
36,4,8.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,87.8375,86.6,89.3,0.0,0.0,0.0,0.0
37,5,9.0,1.0,0.0,6.0,0.0,4,0,0,0,0,0,0,87.45,86.1,88.95,0.0,0.0,0.0,0.0
38,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,87.0625,85.6,88.6,0.0,0.0,0.0,0.0
39,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,86.675,85.1,88.25,0.0,0.0,0.0,0.0
40,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,86.2875,84.6,87.9,0.0,0.0,0.0,0.0
41,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,85.9,84.1,87.55,0.0,0.0,0.0,0.0
42,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,85.475,83.6,87.2,0.0,0.0,0.0,0.0
43,7,11.0,2.0,0.0,6.0,0.0,3,0,1,0,0,0,0,85.1375,83.1,86.85,0.0,0.0,1.0,1.0
44,7,11.0,0.0,0.0,6.0,0.0,3,0,1,0,0,0,0,84.925,83.1,86.5,1.0,1.0,2.0,3.0
45,8,12.0,1.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.4625,82.6,86.0,0.0,1.0,0.0,3.0
46,8,11.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,84.0,82.1,85.5,0.0,1.0,0.0,3.0
47,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,83.575,81.75,85.0,0.0,1.0,0.0,3.0
48,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,83.15,81.4,84.5,0.0,1.0,0.0,3.0
49,7,10.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,82.725,81.05,84.0,0.0,1.0,0.0,3.0
50,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,82.3375,80.7,83.5,0.0,1.0,0.0,3.0
51,8,12.0,2.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.95,80.35,83.0,0.0,1.0,0.0,3.0
52,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.5625,80.0,82.5,0.0,1.0,0.0,3.0
53,8,11.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,81.1375,79.5,82.0,0.0,1.0,0.0,3.0
54,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.75,79.0,81.65,0.0,1.0,0.0,3.0
55,9,12.0,2.0,1.0,10.0,0.0,3,1,0,0,0,0,0,80.325,78.5,81.3,0.0,1.0,0.0,3.0
56,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,79.9375,78.15,80.95,0.0,1.0,0.0,3.0
57,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,79.55,77.8,80.6,0.0,1.0,0.0,3.0
58,8,12.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,79.1625,77.45,80.25,0.0,1.0,0.0,3.0
59,9,13.0,1.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.7375,77.1,79.75,0.0,1.0,0.0,3.0
60,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,78.3125,76.75,79.25,0.0,1.0,0.0,3.0
61,9,11.0,0.0,2.0,12.0,0.0,2,2,0,0,0,0,0,77.8875,76.4,78.75,0.0,1.0,0.0,3.0
62,7,11.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,77.5375,76.05,78.4,0.0,1.0,0.0,3.0
63,7,11.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,77.1875,75.7,78.05,0.0,1.0,0.0,3.0
64,7,11.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,76.8375,75.35,77.7,0.0,1.0,0.0,3.0
65,9,13.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,76.4875,75.0,77.35,0.0,1.0,0.0,3.0
66,9,13.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,76.1375,74.65,77.0,0.0,1.0,0.0,3.0
67,11,15.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,75.7875,74.3,76.65,0.0,1.0,0.0,3.0
68,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,75.3625,73.95,76.3,0.0,1.0,0.0,3.0
69,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,74.9,73.45,75.95,0.0,1.0,0.0,3.0
70,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,74.4375,72.95,75.6,0.0,1.0,0.0,3.0
71,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.975,72.45,75.25,0.0,1.0,0.0,3.0
72,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.5125,71.95,74.9,0.0,1.0,0.0,3.0
73,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.05,71.45,74.55,0.0,1.0,0.0,3.0
74,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.5875,70.95,74.2,0.0,1.0,0.0,3.0
75,13,17.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.125,70.45,73.85,0.0,1.0,0.0,3.0
76,13,17.0,0.0,0.0,12.0,0.0,2,0,2,0,0,0,0,71.9125,70.45,73.5,0.0,1.0,2.0,5.0
77,13,17.0,0.0,0.0,12.0,0.0,3,0,1,0,0,0,0,71.7,70.45,73.15,1.0,2.0,2.0,7.0
78,13,17.0,0.0,0.0,12.0,0.0,2,0,2,0,0,0,0,71.45,69.95,73.15,0.0,2.0,2.0,9.0
79,15,19.0,2.0,0.0,12.0,0.0,3,0,1,0,0,0,0,71.2,69.45,73.15,1.0,3.0,2.0,11.0
80,15,19.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.7375,68.95,72.8,0.0,3.0,0.0,11.0
81,15,19.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.275,68.45,72.45,0.0,3.0,0.0,11.0
82,15,19.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,69.8125,67.95,72.1,0.0,3.0,0.0,11.0
83,16,19.0,1.0,1.0,13.0,0.0,3,1,0,0,0,0,0,69.35,67.45,71.75,0.0,3.0,0.0,11.0
84,15,19.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.925,66.95,71.4,0.0,3.0,0.0,11.0
85,16,18.0,1.0,2.0,15.0,0.0,2,2,0,0,0,0,0,68.5,66.45,71.05,0.0,3.0,0.0,11.0
86,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,68.1125,66.1,70.7,0.0,3.0,0.0,11.0
87,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.6875,65.75,70.2,0.0,3.0,0.0,11.0
88,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.225,65.4,69.7,0.0,3.0,0.0,11.0
89,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.7625,65.05,69.2,0.0,3.0,0.0,11.0
90,14,17.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,66.3,64.7,68.7,0.0,3.0,0.0,11.0
91,15,19.0,2.0,0.0,16.0,0.0,4,0,0,0,0,0,0,65.8375,64.2,68.2,0.0,3.0,0.0,11.0
92,15,19.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,65.375,63.7,67.7,0.0,3.0,0.0,11.0
93,16,19.0,1.0,1.0,17.0,0.0,3,1,0,0,0,0,0,64.9125,63.2,67.2,0.0,3.0,0.0,11.0
94,15,19.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.4875,62.85,66.7,0.0,3.0,0.0,11.0
95,16,20.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.0625,62.5,66.2,0.0,3.0,0.0,11.0
96,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.6375,62.15,65.7,0.0,3.0,0.0,11.0
97,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.175,61.65,65.2,0.0,3.0,0.0,11.0
98,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,62.7125,61.15,64.7,0.0,3.0,0.0,11.0
99,17,20.0,1.0,1.0,18.0,0.0,3,1,0,0,0,0,0,62.25,60.65,64.2,0.0,3.0,0.0,11.0
100,16,19.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,61.825,60.15,63.7,0.0,3.0,0.0,11.0
101,15,19.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,61.4375,59.8,63.2,0.0,3.0,0.0,11.0
102,15,19.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,61.05,59.45,62.7,0.0,3.0,0.0,11.0
103,16,20.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,60.6625,59.1,62.2,0.0,3.0,0.0,11.0
104,16,20.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,60.275,58.75,61.75,0.0,3.0,0.0,11.0
105,17,21.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.8875,58.4,61.4,0.0,3.0,0.0,11.0
106,17,21.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.5,58.05,61.05,0.0,3.0,0.0,11.0
107,19,23.0,2.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.1125,57.7,60.7,0.0,3.0,0.0,11.0
108,19,23.0,0.0,0.0,19.0,0.0,3,0,1,0,0,0,0,58.8125,57.35,60.2,0.0,3.0,1.0,12.0
109,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,58.3875,57.0,59.7,0.0,3.0,0.0,12.0
110,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,58.0,56.65,59.35,0.0,3.0,0.0,12.0
111,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,57.6125,56.3,59.0,0.0,3.0,0.0,12.0
112,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,57.225,55.95,58.65,0.0,3.0,0.0,12.0
113,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.8,55.6,58.3,0.0,3.0,0.0,12.0
114,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.375,55.1,57.95,0.0,3.0,0.0,12.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.9125,54.6,57.6,0.0,3.0,0.0,12.0
116,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,55.45,54.1,57.25,0.0,3.0,0.0,12.0
117,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,55.025,53.6,56.9,0.0,3.0,0.0,12.0
118,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,54.6,53.1,56.55,0.0,3.0,0.0,12.0
119,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,54.175,52.6,56.2,0.0,3.0,0.0,12.0
120,20,24.0,0.0,0.0,21.0,0.0,3,0,1,0,0,0,0,53.8375,52.1,55.85,0.0,3.0,1.0,13.0
121,21,25.0,1.0,0.0,21.0,0.0,3,0,1,0,0,0,0,53.5875,51.6,55.85,1.0,4.0,2.0,15.0
122,21,24.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,53.1625,51.1,55.5,0.0,4.0,0.0,15.0
123,21,24.0,1.0,1.0,23.0,0.0,3,1,0,0,0,0,0,52.775,50.75,55.15,0.0,4.0,0.0,15.0
124,20,24.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,52.3875,50.25,54.8,0.0,4.0,0.0,15.0
125,21,25.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,51.9625,49.75,54.3,0.0,4.0,0.0,15.0
126,21,25.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,51.5375,49.25,53.8,0.0,4.0,0.0,15.0
127,22,25.0,1.0,1.0,24.0,0.0,3,1,0,0,0,0,0,51.075,48.75,53.3,0.0,4.0,0.0,15.0
128,21,25.0,0.0,0.0,24.0,0.0,3,0,1,0,0,0,0,50.7,48.25,53.3,0.0,4.0,1.0,16.0
129,21,25.0,0.0,0.0,24.0,0.0,3,0,1,0,0,0,0,50.45,47.75,53.3,1.0,5.0,2.0,18.0
130,21,24.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,49.9875,47.25,52.95,0.0,5.0,0.0,18.0
131,21,25.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,49.5625,46.75,52.6,0.0,5.0,0.0,18.0
132,21,25.0,0.0,0.0,25.0,0.0,3,0,1,0,0,0,0,49.225,46.25,52.25,0.0,5.0,1.0,19.0
133,21,24.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,48.8,45.75,51.9,0.0,5.0,0.0,19.0
134,20,23.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,48.4125,45.4,51.55,0.0,5.0,0.0,19.0
135,21,25.0,2.0,0.0,27.0,0.0,4,0,0,0,0,0,0,48.0625,45.05,51.2,0.0,5.0,0.0,19.0
136,21,25.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,47.7125,44.7,50.85,0.0,5.0,0.0,19.0
137,21,25.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,47.3625,44.35,50.5,0.0,5.0,0.0,19.0
138,21,25.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,47.0125,44.0,50.15,0.0,5.0,0.0,19.0
139,23,27.0,2.0,0.0,27.0,0.0,4,0,0,0,0,0,0,46.6625,43.65,49.8,0.0,5.0,0.0,19.0
140,23,27.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,46.275,43.3,49.45,0.0,5.0,0.0,19.0
141,23,27.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,45.8875,42.95,49.1,0.0,5.0,0.0,19.0
142,23,26.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,45.5,42.6,48.75,0.0,5.0,0.0,19.0
143,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,45.15,42.25,48.4,0.0,5.0,0.0,19.0
144,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.8,41.9,48.05,0.0,5.0,0.0,19.0
145,23,27.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.45,41.55,47.7,0.0,5.0,0.0,19.0
146,23,27.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.1,41.2,47.35,0.0,5.0,0.0,19.0
147,24,28.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,43.6375,40.7,46.85,0.0,5.0,0.0,19.0
148,24,28.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,43.175,40.2,46.35,0.0,5.0,0.0,19.0
149,25,29.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,42.7125,39.7,45.85,0.0,5.0,0.0,19.0
150,25,29.0,0.0,0.0,28.0,0.0,2,0,2,0,0,0,0,42.5,39.7,45.35,0.0,5.0,2.0,21.0
151,26,30.0,1.0,0.0,28.0,0.0,3,0,1,0,0,0,0,42.2875,39.7,44.85,1.0,6.0,2.0,23.0
152,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.825,39.2,44.35,0.0,6.0,0.0,23.0
153,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.3625,38.7,43.85,0.0,6.0,0.0,23.0
154,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.9,38.2,43.35,0.0,6.0,0.0,23.0
155,28,32.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.4375,37.7,42.85,0.0,6.0,0.0,23.0
156,28,31.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,39.975,37.2,42.35,0.0,6.0,0.0,23.0
157,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,39.55,36.7,42.0,0.0,6.0,0.0,23.0
158,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,39.125,36.2,41.65,0.0,6.0,0.0,23.0
159,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,38.7,35.7,41.3,0.0,6.0,0.0,23.0
160,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,38.2375,35.2,40.95,0.0,6.0,0.0,23.0
161,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,37.7375,34.7,40.45,0.0,6.0,0.0,23.0
162,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,37.2375,34.2,39.95,0.0,6.0,0.0,23.0
163,30,32.0,3.0,2.0,31.0,0.0,2,2,0,0,0,0,0,36.7375,33.7,39.45,0.0,6.0,0.0,23.0
164,28,31.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,36.3125,33.35,39.1,0.0,6.0,0.0,23.0
165,28,32.0,1.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.925,33.0,38.75,0.0,6.0,0.0,23.0
166,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.5375,32.65,38.4,0.0,6.0,0.0,23.0
167,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.1125,32.3,37.9,0.0,6.0,0.0,23.0
168,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.6875,31.95,37.4,0.0,6.0,0.0,23.0
169,28,31.0,0.0,1.0,33.0,0.0,3,1,0,0,0,0,0,34.2625,31.6,36.9,0.0,6.0,0.0,23.0
170,27,31.0,0.0,0.0,33.0,0.0,3,0,1,0,0,0,0,33.9625,31.25,36.55,0.0,6.0,1.0,24.0
