run_id,tick,event_type,robot_id,task_id,details
20260909_025403_cefa78,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260909_025403_cefa78,3,task_assigned,R1,G00001,
20260909_025403_cefa78,5,task_created,,G00002,type=PICK pickup=H-03 dropoff=PICK-3
20260909_025403_cefa78,5,task_assigned,R3,G00002,
20260909_025403_cefa78,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025403_cefa78,7,task_assigned,R2,G00003,
20260909_025403_cefa78,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025403_cefa78,9,task_assigned,R4,G00004,
20260909_025403_cefa78,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_025403_cefa78,15,task_created,,G00006,type=PICK pickup=C-05 dropoff=PICK-2
20260909_025403_cefa78,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=D-01
20260909_025403_cefa78,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025403_cefa78,21,task_completed,R4,G00004,
20260909_025403_cefa78,22,task_assigned,R4,G00008,
20260909_025403_cefa78,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025403_cefa78,25,task_created,,G00010,type=PICK pickup=H-02 dropoff=PICK-1
20260909_025403_cefa78,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260909_025403_cefa78,29,task_completed,R3,G00002,
20260909_025403_cefa78,30,task_assigned,R3,G00009,
20260909_025403_cefa78,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025403_cefa78,32,task_completed,R1,G00001,
20260909_025403_cefa78,33,task_completed,R2,G00003,
20260909_025403_cefa78,33,task_assigned,R1,G00012,
20260909_025403_cefa78,34,task_assigned,R2,G00006,
20260909_025403_cefa78,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=E-01
20260909_025403_cefa78,35,task_created,,G00014,type=PICK pickup=A-03 dropoff=PICK-2
20260909_025403_cefa78,36,task_completed,R4,G00008,
20260909_025403_cefa78,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025403_cefa78,37,task_assigned,R4,G00015,
