tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.85,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.15,95.1,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.8,94.75,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.45,94.4,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.025,93.9,96.0,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.5625,93.4,95.5,0.0,0.0,0.0,0.0
21,4,7.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,94.1,92.9,95.0,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.6375,92.4,94.65,0.0,0.0,0.0,0.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.175,91.9,94.3,0.0,0.0,0.0,0.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.7125,91.4,93.95,0.0,0.0,0.0,0.0
25,5,9.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.25,90.9,93.6,0.0,0.0,0.0,0.0
26,5,9.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.7875,90.4,93.25,0.0,0.0,0.0,0.0
27,6,10.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.325,89.9,92.9,0.0,0.0,0.0,0.0
28,6,10.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,90.8625,89.4,92.55,0.0,0.0,0.0,0.0
29,6,9.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,90.4,88.9,92.2,0.0,0.0,0.0,0.0
30,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.975,88.4,91.85,0.0,0.0,0.0,0.0
31,6,10.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.5125,87.9,91.35,0.0,0.0,0.0,0.0
32,6,9.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,89.05,87.4,90.85,0.0,0.0,0.0,0.0
33,5,8.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,88.625,87.05,90.35,0.0,0.0,0.0,0.0
34,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.2375,86.7,89.85,0.0,0.0,0.0,0.0
35,6,10.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.85,86.35,89.35,0.0,0.0,0.0,0.0
36,6,9.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,87.4625,86.0,88.85,0.0,0.0,0.0,0.0
37,6,10.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.1125,85.65,88.5,0.0,0.0,0.0,0.0
38,6,10.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,86.85,85.3,88.15,0.0,0.0,1.0,1.0
39,6,10.0,0.0,0.0,5.0,0.0,2,0,2,0,0,0,0,86.675,84.95,87.8,0.0,0.0,2.0,3.0
40,6,10.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,86.5,84.6,87.45,1.0,1.0,2.0,5.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.1125,84.25,86.95,0.0,1.0,0.0,5.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.725,83.9,86.55,0.0,1.0,0.0,5.0
43,8,11.0,2.0,1.0,6.0,0.0,3,1,0,0,0,0,0,85.3375,83.55,86.2,0.0,1.0,0.0,5.0
44,7,11.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.9875,83.2,85.85,0.0,1.0,0.0,5.0
45,8,12.0,1.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.6375,82.85,85.5,0.0,1.0,0.0,5.0
46,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.2875,82.5,85.15,0.0,1.0,0.0,5.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.8625,82.0,84.65,0.0,1.0,0.0,5.0
48,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.4375,81.5,84.2,0.0,1.0,0.0,5.0
49,8,11.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,83.0125,81.0,83.85,0.0,1.0,0.0,5.0
50,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.5875,80.5,83.5,0.0,1.0,0.0,5.0
51,9,13.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.1625,80.0,83.15,0.0,1.0,0.0,5.0
52,9,12.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,81.7375,79.5,82.8,0.0,1.0,0.0,5.0
53,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.3125,79.15,82.3,0.0,1.0,0.0,5.0
54,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.8875,78.8,81.9,0.0,1.0,0.0,5.0
55,10,13.0,2.0,1.0,9.0,0.0,3,1,0,0,0,0,0,80.4625,78.45,81.55,0.0,1.0,0.0,5.0
56,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.075,78.1,81.2,0.0,1.0,0.0,5.0
57,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.65,77.6,80.85,0.0,1.0,0.0,5.0
58,9,12.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,79.225,77.1,80.5,0.0,1.0,0.0,5.0
59,9,12.0,1.0,1.0,11.0,0.0,3,1,0,0,0,0,0,78.8375,76.6,80.15,0.0,1.0,0.0,5.0
60,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,78.4875,76.25,79.8,0.0,1.0,0.0,5.0
61,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,78.1375,75.9,79.45,0.0,1.0,0.0,5.0
62,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,77.7875,75.55,79.1,0.0,1.0,0.0,5.0
63,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,77.4375,75.2,78.75,0.0,1.0,0.0,5.0
64,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,77.05,74.85,78.4,0.0,1.0,0.0,5.0
65,10,14.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,76.6625,74.5,78.05,0.0,1.0,0.0,5.0
66,10,14.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,76.275,74.15,77.7,0.0,1.0,0.0,5.0
67,12,16.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.8875,73.8,77.35,0.0,1.0,0.0,5.0
68,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.4625,73.45,76.85,0.0,1.0,0.0,5.0
69,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.0375,73.1,76.35,0.0,1.0,0.0,5.0
70,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.6125,72.75,75.85,0.0,1.0,0.0,5.0
71,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.1875,72.4,75.35,0.0,1.0,0.0,5.0
72,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.7625,72.05,74.9,0.0,1.0,0.0,5.0
73,12,15.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,73.3,71.7,74.4,0.0,1.0,0.0,5.0
74,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.875,71.35,73.9,0.0,1.0,0.0,5.0
75,13,17.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.45,71.0,73.4,0.0,1.0,0.0,5.0
76,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.025,70.65,72.9,0.0,1.0,0.0,5.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.6,70.3,72.4,0.0,1.0,0.0,5.0
78,13,17.0,0.0,0.0,12.0,0.0,3,0,1,0,0,0,0,71.2625,69.95,72.4,0.0,1.0,1.0,6.0
79,15,19.0,2.0,0.0,12.0,0.0,3,0,1,0,0,0,0,71.05,69.6,72.4,1.0,2.0,2.0,8.0
80,15,18.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,70.5875,69.25,71.9,0.0,2.0,0.0,8.0
81,14,18.0,0.0,0.0,13.0,0.0,3,0,1,0,0,0,0,70.25,68.75,71.4,0.0,2.0,1.0,9.0
82,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.7875,68.25,70.9,0.0,2.0,0.0,9.0
83,15,19.0,1.0,0.0,13.0,0.0,3,0,1,0,0,0,0,69.45,67.75,70.85,0.0,2.0,1.0,10.0
84,15,19.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.95,67.25,70.35,0.0,2.0,0.0,10.0
85,16,20.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.45,66.75,69.85,0.0,2.0,0.0,10.0
86,16,19.0,0.0,1.0,14.0,0.0,3,1,0,0,0,0,0,67.95,66.25,69.35,0.0,2.0,0.0,10.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.4875,65.75,68.85,0.0,2.0,0.0,10.0
88,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.025,65.25,68.35,0.0,2.0,0.0,10.0
89,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.5625,64.75,67.85,0.0,2.0,0.0,10.0
90,15,18.0,0.0,1.0,15.0,0.0,3,1,0,0,0,0,0,66.1,64.25,67.35,0.0,2.0,0.0,10.0
91,16,19.0,2.0,1.0,16.0,0.0,3,1,0,0,0,0,0,65.675,63.75,66.85,0.0,2.0,0.0,10.0
92,15,18.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,65.25,63.25,66.35,0.0,2.0,0.0,10.0
93,15,19.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.8625,62.9,65.85,0.0,2.0,0.0,10.0
94,15,19.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.475,62.55,65.5,0.0,2.0,0.0,10.0
95,16,20.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.0875,62.2,65.15,0.0,2.0,0.0,10.0
96,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.7,61.85,64.8,0.0,2.0,0.0,10.0
97,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.3125,61.5,64.45,0.0,2.0,0.0,10.0
98,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,62.925,61.15,64.1,0.0,2.0,0.0,10.0
99,17,21.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,62.4625,60.65,63.6,0.0,2.0,0.0,10.0
100,17,21.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,62.0,60.15,63.1,0.0,2.0,0.0,10.0
101,17,20.0,0.0,1.0,18.0,0.0,3,1,0,0,0,0,0,61.5375,59.65,62.6,0.0,2.0,0.0,10.0
102,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.1125,59.3,62.1,0.0,2.0,0.0,10.0
103,17,21.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,60.6875,58.95,61.6,0.0,2.0,0.0,10.0
104,17,21.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,60.225,58.6,61.1,0.0,2.0,0.0,10.0
105,18,22.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.7625,58.25,60.6,0.0,2.0,0.0,10.0
106,18,21.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,59.3,57.9,60.1,0.0,2.0,0.0,10.0
107,19,22.0,2.0,1.0,20.0,0.0,3,1,0,0,0,0,0,58.875,57.55,59.6,0.0,2.0,0.0,10.0
108,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,58.4875,57.2,59.25,0.0,2.0,0.0,10.0
109,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,58.1,56.85,58.9,0.0,2.0,0.0,10.0
110,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,57.7125,56.5,58.55,0.0,2.0,0.0,10.0
111,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,57.325,56.15,58.2,0.0,2.0,0.0,10.0
112,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.9,55.8,57.85,0.0,2.0,0.0,10.0
113,18,21.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,56.475,55.45,57.5,0.0,2.0,0.0,10.0
114,17,20.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,56.0875,55.1,57.15,0.0,2.0,0.0,10.0
115,19,23.0,3.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.7375,54.75,56.8,0.0,2.0,0.0,10.0
116,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.3875,54.4,56.45,0.0,2.0,0.0,10.0
117,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.0,54.05,55.95,0.0,2.0,0.0,10.0
118,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.6125,53.7,55.45,0.0,2.0,0.0,10.0
119,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.225,53.35,54.95,0.0,2.0,0.0,10.0
120,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,53.8375,53.0,54.45,0.0,2.0,0.0,10.0
121,20,24.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,53.4125,52.5,53.95,0.0,2.0,0.0,10.0
122,20,24.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.9875,52.0,53.45,0.0,2.0,0.0,10.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.5625,51.5,52.95,0.0,2.0,0.0,10.0
124,21,25.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.1375,51.0,52.6,0.0,2.0,0.0,10.0
125,22,26.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.7125,50.5,52.25,0.0,2.0,0.0,10.0
126,22,26.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.25,50.0,51.9,0.0,2.0,0.0,10.0
127,23,27.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,50.7875,49.5,51.55,0.0,2.0,0.0,10.0
128,23,26.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,50.325,49.0,51.2,0.0,2.0,0.0,10.0
129,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,49.9,48.65,50.85,0.0,2.0,0.0,10.0
130,22,25.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,49.475,48.3,50.5,0.0,2.0,0.0,10.0
131,22,26.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.0875,47.95,50.15,0.0,2.0,0.0,10.0
132,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.6625,47.6,49.65,0.0,2.0,0.0,10.0
133,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.2375,47.25,49.15,0.0,2.0,0.0,10.0
134,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.8125,46.9,48.65,0.0,2.0,0.0,10.0
135,24,27.0,2.0,1.0,25.0,0.0,3,1,0,0,0,0,0,47.3875,46.55,48.15,0.0,2.0,0.0,10.0
136,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.0,46.2,47.65,0.0,2.0,0.0,10.0
137,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,46.6125,45.85,47.15,0.0,2.0,0.0,10.0
138,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,46.225,45.5,46.65,0.0,2.0,0.0,10.0
139,25,29.0,2.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.8375,45.15,46.3,0.0,2.0,0.0,10.0
140,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.45,44.8,45.95,0.0,2.0,0.0,10.0
141,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.0625,44.45,45.6,0.0,2.0,0.0,10.0
142,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,44.675,44.1,45.25,0.0,2.0,0.0,10.0
143,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,44.25,43.6,44.9,0.0,2.0,0.0,10.0
144,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,43.825,43.1,44.55,0.0,2.0,0.0,10.0
145,26,28.0,1.0,2.0,27.0,0.0,2,2,0,0,0,0,0,43.3625,42.6,44.05,0.0,2.0,0.0,10.0
146,24,28.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.975,42.25,43.55,0.0,2.0,0.0,10.0
147,25,29.0,1.0,0.0,27.0,0.0,3,0,1,0,0,0,0,42.675,41.9,43.05,0.0,2.0,1.0,11.0
148,25,29.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.2875,41.55,42.6,0.0,2.0,0.0,11.0
149,26,30.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.9,41.2,42.25,0.0,2.0,0.0,11.0
150,26,30.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.475,40.85,41.75,0.0,2.0,0.0,11.0
151,27,31.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.05,40.5,41.4,0.0,2.0,0.0,11.0
152,27,30.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,40.625,40.15,41.05,0.0,2.0,0.0,11.0
153,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.2375,39.8,40.7,0.0,2.0,0.0,11.0
154,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.85,39.45,40.35,0.0,2.0,0.0,11.0
155,28,32.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.4625,39.05,40.0,0.0,2.0,0.0,11.0
156,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.0375,38.55,39.65,0.0,2.0,0.0,11.0
157,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.6125,38.05,39.3,0.0,2.0,0.0,11.0
158,28,30.0,0.0,2.0,30.0,0.0,2,2,0,0,0,0,0,38.1875,37.55,38.95,0.0,2.0,0.0,11.0
159,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,37.8375,37.2,38.6,0.0,2.0,0.0,11.0
160,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,37.4875,36.85,38.25,0.0,2.0,0.0,11.0
161,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,37.1,36.5,37.75,0.0,2.0,0.0,11.0
162,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.7125,36.15,37.25,0.0,2.0,0.0,11.0
163,29,33.0,3.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.325,35.8,36.75,0.0,2.0,0.0,11.0
164,29,33.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.9375,35.45,36.25,0.0,2.0,0.0,11.0
165,30,34.0,1.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.475,34.95,35.75,0.0,2.0,0.0,11.0
166,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.0125,34.45,35.4,0.0,2.0,0.0,11.0
167,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.55,33.95,35.05,0.0,2.0,0.0,11.0
168,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.0875,33.45,34.7,0.0,2.0,0.0,11.0
169,30,33.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,33.625,32.95,34.35,0.0,2.0,0.0,11.0
170,29,32.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,33.2,32.45,34.0,0.0,2.0,0.0,11.0
