run_id,tick,event_type,robot_id,task_id,details
20260909_025404_c82a18,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-01
20260909_025404_c82a18,3,task_assigned,R2,G00001,
20260909_025404_c82a18,5,task_created,,G00002,type=PICK pickup=E-08 dropoff=PICK-3
20260909_025404_c82a18,5,task_assigned,R1,G00002,
20260909_025404_c82a18,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025404_c82a18,7,task_assigned,R4,G00003,
20260909_025404_c82a18,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025404_c82a18,9,task_assigned,R3,G00004,
20260909_025404_c82a18,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=G-08
20260909_025404_c82a18,15,task_completed,R2,G00001,
20260909_025404_c82a18,15,task_created,,G00006,type=PICK pickup=C-01 dropoff=PICK-3
20260909_025404_c82a18,16,task_assigned,R2,G00006,
20260909_025404_c82a18,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=F-06
20260909_025404_c82a18,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025404_c82a18,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025404_c82a18,24,task_completed,R3,G00004,
20260909_025404_c82a18,25,task_assigned,R3,G00009,
20260909_025404_c82a18,25,task_created,,G00010,type=PICK pickup=A-07 dropoff=PICK-3
20260909_025404_c82a18,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-03
20260909_025404_c82a18,28,task_completed,R4,G00003,
20260909_025404_c82a18,29,task_assigned,R4,G00008,
20260909_025404_c82a18,30,task_completed,R3,G00009,
20260909_025404_c82a18,31,task_completed,R2,G00006,
20260909_025404_c82a18,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025404_c82a18,31,task_assigned,R3,G00012,
20260909_025404_c82a18,32,task_assigned,R2,G00010,
20260909_025404_c82a18,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-04
20260909_025404_c82a18,35,task_created,,G00014,type=PICK pickup=C-01 dropoff=PICK-3
20260909_025404_c82a18,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025404_c82a18,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260909_025404_c82a18,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025404_c82a18,45,task_created,,G00018,type=PICK pickup=F-05 dropoff=PICK-2
20260909_025404_c82a18,45,robot_blocked,R3,,"{""x"": 5, ""y"": 8}"
20260909_025404_c82a18,46,task_completed,R4,G00008,
20260909_025404_c82a18,47,task_assigned,R4,G00015,
20260909_025404_c82a18,48,task_completed,R1,G00002,
20260909_025404_c82a18,49,task_assigned,R1,G00017,
20260909_025404_c82a18,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260909_025404_c82a18,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025404_c82a18,54,task_completed,R3,G00012,
20260909_025404_c82a18,54,task_completed,R4,G00015,
20260909_025404_c82a18,55,task_assigned,R4,G00020,
20260909_025404_c82a18,55,task_created,,G00021,type=PICK pickup=F-04 dropoff=PICK-1
20260909_025404_c82a18,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025404_c82a18,55,task_assigned,R3,G00022,
20260909_025404_c82a18,57,task_completed,R1,G00017,
20260909_025404_c82a18,58,task_assigned,R1,G00014,
20260909_025404_c82a18,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=D-04
20260909_025404_c82a18,60,task_completed,R4,G00020,
20260909_025404_c82a18,61,task_assigned,R4,G00018,
20260909_025404_c82a18,65,task_created,,G00024,type=PICK pickup=E-06 dropoff=PICK-2
20260909_025404_c82a18,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025404_c82a18,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=E-02
20260909_025404_c82a18,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025404_c82a18,71,task_completed,R2,G00010,
20260909_025404_c82a18,72,task_assigned,R2,G00025,
20260909_025404_c82a18,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=G-04
20260909_025404_c82a18,75,task_created,,G00029,type=PICK pickup=E-08 dropoff=PICK-1
20260909_025404_c82a18,78,task_completed,R1,G00014,
20260909_025404_c82a18,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025404_c82a18,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025404_c82a18,79,task_assigned,R1,G00031,
20260909_025404_c82a18,83,task_completed,R4,G00018,
