tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.9125,97.75,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.525,97.25,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.1375,96.75,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.75,96.25,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.3625,95.75,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.975,95.25,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5875,94.75,97.9,0.0,0.0,0.0,0.0
15,2,5.0,1.0,1.0,1.0,0.0,3,1,0,0,0,0,0,96.2,94.25,97.55,0.0,0.0,0.0,0.0
16,1,5.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,95.85,93.9,97.2,0.0,0.0,0.0,0.0
17,1,5.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,95.5,93.55,96.85,0.0,0.0,0.0,0.0
18,1,5.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,95.15,93.2,96.5,0.0,0.0,0.0,0.0
19,3,7.0,2.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.8,92.85,96.15,0.0,0.0,0.0,0.0
20,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.45,92.5,95.8,0.0,0.0,0.0,0.0
21,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.1,92.15,95.45,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.6375,91.65,94.95,0.0,0.0,0.0,0.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.175,91.15,94.45,0.0,0.0,0.0,0.0
24,4,7.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,92.7125,90.65,93.95,0.0,0.0,0.0,0.0
25,4,8.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,92.2875,90.15,93.6,0.0,0.0,0.0,0.0
26,4,8.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.8625,89.65,93.25,0.0,0.0,0.0,0.0
27,5,9.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.4375,89.15,92.9,0.0,0.0,0.0,0.0
28,5,8.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,90.975,88.65,92.4,0.0,0.0,0.0,0.0
29,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,90.55,88.15,91.9,0.0,0.0,0.0,0.0
30,4,7.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,90.0875,87.65,91.4,0.0,0.0,0.0,0.0
31,4,7.0,1.0,1.0,5.0,0.0,3,1,0,0,0,0,0,89.6625,87.15,91.05,0.0,0.0,0.0,0.0
32,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.275,86.8,90.7,0.0,0.0,0.0,0.0
33,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.8875,86.45,90.35,0.0,0.0,0.0,0.0
34,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.5,86.1,90.0,0.0,0.0,0.0,0.0
35,5,9.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.1125,85.75,89.65,0.0,0.0,0.0,0.0
36,5,9.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.725,85.4,89.3,0.0,0.0,0.0,0.0
37,6,10.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.3375,85.05,88.95,0.0,0.0,0.0,0.0
38,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.9125,84.7,88.6,0.0,0.0,0.0,0.0
39,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.4875,84.35,88.25,0.0,0.0,0.0,0.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.0625,84.0,87.9,0.0,0.0,0.0,0.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.6375,83.65,87.55,0.0,0.0,0.0,0.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.2125,83.3,87.2,0.0,0.0,0.0,0.0
43,8,12.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.7875,82.95,86.85,0.0,0.0,0.0,0.0
44,8,12.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.325,82.6,86.35,0.0,0.0,0.0,0.0
45,9,13.0,1.0,0.0,5.0,0.0,3,0,1,0,0,0,0,83.9875,82.25,86.35,0.0,0.0,1.0,1.0
46,9,12.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,83.525,81.9,85.85,0.0,0.0,0.0,1.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.1,81.55,85.35,0.0,0.0,0.0,1.0
48,8,11.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,82.675,81.2,84.85,0.0,0.0,0.0,1.0
49,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.25,80.85,84.35,0.0,0.0,0.0,1.0
50,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.825,80.5,83.85,0.0,0.0,0.0,1.0
51,9,13.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.4,80.15,83.35,0.0,0.0,0.0,1.0
52,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.9,79.65,82.85,0.0,0.0,0.0,1.0
53,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.4,79.15,82.35,0.0,0.0,0.0,1.0
54,9,11.0,0.0,2.0,9.0,0.0,2,2,0,0,0,0,0,79.9,78.65,81.85,0.0,0.0,0.0,1.0
55,9,13.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.475,78.15,81.5,0.0,0.0,0.0,1.0
56,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.05,77.65,81.15,0.0,0.0,0.0,1.0
57,9,12.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,78.625,77.15,80.8,0.0,0.0,0.0,1.0
58,8,12.0,0.0,0.0,10.0,0.0,3,0,1,0,0,0,0,78.2875,76.65,80.8,0.0,0.0,1.0,2.0
59,9,13.0,1.0,0.0,10.0,0.0,4,0,0,0,0,0,0,77.8625,76.15,80.45,0.0,0.0,0.0,2.0
60,9,12.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,77.4375,75.65,80.1,0.0,0.0,0.0,2.0
61,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,77.05,75.15,79.75,0.0,0.0,0.0,2.0
62,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,76.6625,74.65,79.4,0.0,0.0,0.0,2.0
63,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,76.275,74.15,79.05,0.0,0.0,0.0,2.0
64,8,12.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.8875,73.65,78.7,0.0,0.0,0.0,2.0
65,10,14.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.5,73.15,78.35,0.0,0.0,0.0,2.0
66,10,14.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.1125,72.65,78.0,0.0,0.0,0.0,2.0
67,12,16.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.725,72.15,77.65,0.0,0.0,0.0,2.0
68,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.3375,71.65,77.3,0.0,0.0,0.0,2.0
69,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.9125,71.15,76.95,0.0,0.0,0.0,2.0
70,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.45,70.65,76.45,0.0,0.0,0.0,2.0
71,12,15.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,72.9875,70.15,75.95,0.0,0.0,0.0,2.0
72,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.5625,69.8,75.45,0.0,0.0,0.0,2.0
73,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.1375,69.45,74.95,0.0,0.0,0.0,2.0
74,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.7125,69.1,74.45,0.0,0.0,0.0,2.0
75,13,17.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.2875,68.75,73.95,0.0,0.0,0.0,2.0
76,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.825,68.4,73.45,0.0,0.0,0.0,2.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.3625,68.05,72.95,0.0,0.0,0.0,2.0
78,13,16.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,69.9,67.7,72.45,0.0,0.0,0.0,2.0
79,14,18.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.475,67.35,71.95,0.0,0.0,0.0,2.0
80,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.05,67.0,71.45,0.0,0.0,0.0,2.0
81,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.625,66.65,70.95,0.0,0.0,0.0,2.0
82,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.2,66.3,70.45,0.0,0.0,0.0,2.0
83,15,17.0,1.0,2.0,15.0,0.0,2,2,0,0,0,0,0,67.775,65.95,69.95,0.0,0.0,0.0,2.0
84,13,17.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.3875,65.6,69.6,0.0,0.0,0.0,2.0
85,14,18.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,67.0,65.25,69.25,0.0,0.0,0.0,2.0
86,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.575,64.75,68.9,0.0,0.0,0.0,2.0
87,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.15,64.25,68.55,0.0,0.0,0.0,2.0
88,14,17.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,65.725,63.75,68.2,0.0,0.0,0.0,2.0
89,13,16.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,65.3375,63.4,67.85,0.0,0.0,0.0,2.0
90,12,16.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.9875,63.05,67.5,0.0,0.0,0.0,2.0
91,14,18.0,2.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.6375,62.7,67.15,0.0,0.0,0.0,2.0
92,14,18.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.2875,62.35,66.8,0.0,0.0,0.0,2.0
93,15,19.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.9,62.0,66.45,0.0,0.0,0.0,2.0
94,15,19.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.5125,61.65,66.1,0.0,0.0,0.0,2.0
95,16,19.0,1.0,1.0,18.0,0.0,3,1,0,0,0,0,0,63.125,61.3,65.75,0.0,0.0,0.0,2.0
96,15,19.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,62.775,60.95,65.4,0.0,0.0,0.0,2.0
97,15,19.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,62.425,60.6,65.05,0.0,0.0,0.0,2.0
98,15,19.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,62.0375,60.25,64.55,0.0,0.0,0.0,2.0
99,16,20.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.6125,59.9,64.05,0.0,0.0,0.0,2.0
100,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.1875,59.55,63.55,0.0,0.0,0.0,2.0
101,16,19.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,60.7625,59.2,63.05,0.0,0.0,0.0,2.0
102,15,19.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,60.375,58.85,62.55,0.0,0.0,0.0,2.0
103,16,20.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.95,58.35,62.05,0.0,0.0,0.0,2.0
104,16,20.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.525,57.85,61.55,0.0,0.0,0.0,2.0
105,17,21.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.0625,57.35,61.05,0.0,0.0,0.0,2.0
106,17,20.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,58.6,56.85,60.55,0.0,0.0,0.0,2.0
107,18,22.0,2.0,0.0,20.0,0.0,4,0,0,0,0,0,0,58.175,56.35,60.2,0.0,0.0,0.0,2.0
108,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,57.75,55.85,59.85,0.0,0.0,0.0,2.0
109,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,57.325,55.35,59.5,0.0,0.0,0.0,2.0
110,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.9,54.85,59.15,0.0,0.0,0.0,2.0
111,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.475,54.35,58.8,0.0,0.0,0.0,2.0
112,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.0125,53.85,58.3,0.0,0.0,0.0,2.0
113,18,21.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,55.55,53.35,57.8,0.0,0.0,0.0,2.0
114,17,20.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,55.0875,52.85,57.3,0.0,0.0,0.0,2.0
115,19,23.0,3.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.6625,52.35,56.95,0.0,0.0,0.0,2.0
116,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.2375,51.85,56.6,0.0,0.0,0.0,2.0
117,19,22.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,53.8125,51.35,56.25,0.0,0.0,0.0,2.0
118,18,22.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,53.425,50.85,55.9,0.0,0.0,0.0,2.0
119,18,22.0,0.0,0.0,23.0,0.0,3,0,1,0,0,0,0,53.0875,50.35,55.55,0.0,0.0,1.0,3.0
120,18,22.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,52.6625,49.85,55.2,0.0,0.0,0.0,3.0
121,19,23.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,52.2375,49.35,54.85,0.0,0.0,0.0,3.0
122,19,23.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,51.8125,48.85,54.5,0.0,0.0,0.0,3.0
123,20,23.0,1.0,1.0,24.0,0.0,3,1,0,0,0,0,0,51.3875,48.35,54.15,0.0,0.0,0.0,3.0
124,19,23.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,50.9625,48.0,53.65,0.0,0.0,0.0,3.0
125,20,24.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,50.5375,47.65,53.15,0.0,0.0,0.0,3.0
126,20,24.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,50.1125,47.3,52.65,0.0,0.0,0.0,3.0
127,21,25.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.6875,46.95,52.15,0.0,0.0,0.0,3.0
128,21,24.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,49.225,46.45,51.65,0.0,0.0,0.0,3.0
129,20,23.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,48.8,45.95,51.15,0.0,0.0,0.0,3.0
130,19,22.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,48.375,45.45,50.8,0.0,0.0,0.0,3.0
131,19,23.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,47.9875,45.1,50.45,0.0,0.0,0.0,3.0
132,19,23.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,47.6,44.75,50.1,0.0,0.0,0.0,3.0
133,19,23.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,47.2125,44.4,49.75,0.0,0.0,0.0,3.0
134,19,23.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,46.825,44.05,49.4,0.0,0.0,0.0,3.0
135,21,25.0,2.0,0.0,27.0,0.0,4,0,0,0,0,0,0,46.4375,43.7,49.05,0.0,0.0,0.0,3.0
136,21,24.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,46.05,43.35,48.7,0.0,0.0,0.0,3.0
137,20,24.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,45.7,43.0,48.35,0.0,0.0,0.0,3.0
138,20,24.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,45.35,42.65,48.0,0.0,0.0,0.0,3.0
139,22,26.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,45.0,42.3,47.65,0.0,0.0,0.0,3.0
140,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.65,41.95,47.3,0.0,0.0,0.0,3.0
141,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,44.3,41.6,46.95,0.0,0.0,0.0,3.0
142,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,43.95,41.25,46.6,0.0,0.0,0.0,3.0
143,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,43.5625,40.9,46.25,0.0,0.0,0.0,3.0
144,22,26.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,43.175,40.55,45.9,0.0,0.0,0.0,3.0
145,23,27.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,42.7875,40.2,45.55,0.0,0.0,0.0,3.0
146,23,27.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,42.4,39.85,45.2,0.0,0.0,0.0,3.0
147,24,28.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.975,39.35,44.85,0.0,0.0,0.0,3.0
148,24,28.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.5125,38.85,44.35,0.0,0.0,0.0,3.0
149,25,29.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.05,38.35,43.85,0.0,0.0,0.0,3.0
150,25,29.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.5875,37.85,43.35,0.0,0.0,0.0,3.0
151,26,29.0,1.0,1.0,29.0,0.0,3,1,0,0,0,0,0,40.0875,37.35,42.85,0.0,0.0,0.0,3.0
152,25,29.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,39.625,36.85,42.35,0.0,0.0,0.0,3.0
153,25,28.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,39.1625,36.35,41.85,0.0,0.0,0.0,3.0
154,24,28.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,38.7375,35.85,41.35,0.0,0.0,0.0,3.0
155,26,29.0,2.0,1.0,31.0,0.0,3,1,0,0,0,0,0,38.3125,35.35,40.85,0.0,0.0,0.0,3.0
156,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,37.8875,34.85,40.35,0.0,0.0,0.0,3.0
157,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,37.425,34.35,39.85,0.0,0.0,0.0,3.0
158,25,29.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,36.9625,33.85,39.35,0.0,0.0,0.0,3.0
159,25,28.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,36.5,33.35,38.85,0.0,0.0,0.0,3.0
160,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,36.075,32.85,38.35,0.0,0.0,0.0,3.0
161,24,27.0,0.0,1.0,33.0,0.0,3,1,0,0,0,0,0,35.65,32.35,37.85,0.0,0.0,0.0,3.0
162,23,27.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,35.2625,32.0,37.35,0.0,0.0,0.0,3.0
163,26,30.0,3.0,0.0,33.0,0.0,4,0,0,0,0,0,0,34.875,31.65,36.85,0.0,0.0,0.0,3.0
164,26,30.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,34.4875,31.3,36.35,0.0,0.0,0.0,3.0
165,27,30.0,1.0,1.0,34.0,0.0,3,1,0,0,0,0,0,34.1,30.95,35.85,0.0,0.0,0.0,3.0
166,26,30.0,0.0,0.0,34.0,0.0,4,0,0,0,0,0,0,33.75,30.6,35.5,0.0,0.0,0.0,3.0
167,26,30.0,0.0,0.0,34.0,0.0,4,0,0,0,0,0,0,33.4,30.25,35.15,0.0,0.0,0.0,3.0
168,26,30.0,0.0,0.0,34.0,0.0,4,0,0,0,0,0,0,33.05,29.9,34.8,0.0,0.0,0.0,3.0
169,26,30.0,0.0,0.0,34.0,0.0,4,0,0,0,0,0,0,32.7,29.55,34.45,0.0,0.0,0.0,3.0
170,26,30.0,0.0,0.0,34.0,0.0,4,0,0,0,0,0,0,32.275,29.05,34.1,0.0,0.0,0.0,3.0
