run_id,tick,event_type,robot_id,task_id,details
20260909_025405_286eda,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025405_286eda,3,task_assigned,R1,G00001,
20260909_025405_286eda,5,task_created,,G00002,type=PICK pickup=A-08 dropoff=PICK-3
20260909_025405_286eda,5,task_assigned,R2,G00002,
20260909_025405_286eda,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025405_286eda,7,task_assigned,R3,G00003,
20260909_025405_286eda,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025405_286eda,9,task_assigned,R4,G00004,
20260909_025405_286eda,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=F-04
20260909_025405_286eda,15,task_created,,G00006,type=PICK pickup=B-08 dropoff=PICK-2
20260909_025405_286eda,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=H-02
20260909_025405_286eda,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025405_286eda,21,task_completed,R4,G00004,
20260909_025405_286eda,22,task_assigned,R4,G00008,
20260909_025405_286eda,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025405_286eda,25,task_created,,G00010,type=PICK pickup=F-07 dropoff=PICK-2
20260909_025405_286eda,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260909_025405_286eda,29,task_completed,R3,G00003,
20260909_025405_286eda,30,task_assigned,R3,G00009,
20260909_025405_286eda,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025405_286eda,32,task_completed,R1,G00001,
20260909_025405_286eda,33,task_completed,R2,G00002,
20260909_025405_286eda,33,task_assigned,R1,G00012,
20260909_025405_286eda,34,task_assigned,R2,G00006,
20260909_025405_286eda,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=A-02
20260909_025405_286eda,35,task_created,,G00014,type=PICK pickup=F-03 dropoff=PICK-2
20260909_025405_286eda,36,task_completed,R3,G00009,
20260909_025405_286eda,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025405_286eda,37,task_assigned,R3,G00015,
20260909_025405_286eda,41,robot_blocked,R2,,"{""x"": 13, ""y"": 8}"
20260909_025405_286eda,42,task_completed,R3,G00015,
20260909_025405_286eda,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025405_286eda,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025405_286eda,43,task_assigned,R3,G00017,
20260909_025405_286eda,44,task_completed,R4,G00008,
20260909_025405_286eda,45,task_assigned,R4,G00010,
20260909_025405_286eda,45,task_created,,G00018,type=PICK pickup=C-08 dropoff=PICK-1
20260909_025405_286eda,48,task_completed,R1,G00012,
20260909_025405_286eda,49,task_assigned,R1,G00014,
20260909_025405_286eda,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260909_025405_286eda,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025405_286eda,52,task_completed,R2,G00006,
20260909_025405_286eda,53,task_assigned,R2,G00020,
20260909_025405_286eda,55,task_created,,G00021,type=PICK pickup=D-01 dropoff=PICK-1
20260909_025405_286eda,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025405_286eda,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=D-01
20260909_025405_286eda,61,task_completed,R2,G00020,
20260909_025405_286eda,62,task_assigned,R2,G00022,
20260909_025405_286eda,64,task_completed,R4,G00010,
20260909_025405_286eda,65,task_completed,R3,G00017,
20260909_025405_286eda,65,task_created,,G00024,type=PICK pickup=D-01 dropoff=PICK-1
20260909_025405_286eda,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025405_286eda,65,task_assigned,R4,G00025,
20260909_025405_286eda,66,task_assigned,R3,G00018,
20260909_025405_286eda,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=H-05
20260909_025405_286eda,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025405_286eda,67,robot_blocked,R4,,"{""x"": 12, ""y"": 10}"
20260909_025405_286eda,73,task_completed,R1,G00014,
20260909_025405_286eda,74,task_assigned,R1,G00027,
20260909_025405_286eda,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=H-03
20260909_025405_286eda,75,task_created,,G00029,type=PICK pickup=A-03 dropoff=PICK-3
20260909_025405_286eda,76,task_completed,R4,G00025,
20260909_025405_286eda,77,task_assigned,R4,G00021,
20260909_025405_286eda,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025405_286eda,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025405_286eda,80,task_completed,R1,G00027,
20260909_025405_286eda,81,task_completed,R2,G00022,
20260909_025405_286eda,81,task_assigned,R1,G00031,
20260909_025405_286eda,82,task_assigned,R2,G00030,
20260909_025405_286eda,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260909_025405_286eda,85,task_created,,G00033,type=PICK pickup=C-01 dropoff=PICK-1
20260909_025405_286eda,88,task_completed,R1,G00031,
20260909_025405_286eda,89,task_assigned,R1,G00024,
20260909_025405_286eda,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-03
20260909_025405_286eda,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025405_286eda,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025405_286eda,95,task_created,,G00037,type=PICK pickup=A-06 dropoff=PICK-2
20260909_025405_286eda,97,task_completed,R3,G00018,
20260909_025405_286eda,98,task_assigned,R3,G00036,
20260909_025405_286eda,99,task_completed,R2,G00030,
20260909_025405_286eda,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=H-06
20260909_025405_286eda,100,task_assigned,R2,G00035,
20260909_025405_286eda,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025405_286eda,105,task_created,,G00040,type=PICK pickup=F-08 dropoff=PICK-3
20260909_025405_286eda,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=D-03
20260909_025405_286eda,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025405_286eda,114,task_completed,R3,G00036,
20260909_025405_286eda,115,task_assigned,R3,G00042,
20260909_025405_286eda,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260909_025405_286eda,115,task_created,,G00044,type=PICK pickup=D-07 dropoff=PICK-1
20260909_025405_286eda,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025405_286eda,117,task_completed,R4,G00021,
20260909_025405_286eda,118,task_assigned,R4,G00039,
20260909_025405_286eda,120,task_completed,R3,G00042,
20260909_025405_286eda,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025405_286eda,121,task_assigned,R3,G00046,
20260909_025405_286eda,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=A-03
20260909_025405_286eda,124,task_completed,R2,G00035,
20260909_025405_286eda,125,task_completed,R1,G00024,
20260909_025405_286eda,125,task_assigned,R2,G00045,
20260909_025405_286eda,125,task_created,,G00048,type=PICK pickup=H-02 dropoff=PICK-1
20260909_025405_286eda,126,task_assigned,R1,G00029,
20260909_025405_286eda,126,task_completed,R3,G00046,
20260909_025405_286eda,127,task_created,,G00049,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025405_286eda,127,task_assigned,R3,G00049,
20260909_025405_286eda,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260909_025405_286eda,132,task_completed,R4,G00039,
20260909_025405_286eda,133,task_assigned,R4,G00033,
20260909_025405_286eda,135,task_created,,G00051,type=PICK pickup=A-04 dropoff=PICK-3
20260909_025405_286eda,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025405_286eda,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260909_025405_286eda,139,task_created,,G00054,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025405_286eda,144,task_completed,R2,G00045,
20260909_025405_286eda,145,task_assigned,R2,G00052,
20260909_025405_286eda,145,task_created,,G00055,type=PICK pickup=C-02 dropoff=PICK-3
20260909_025405_286eda,147,task_created,,G00056,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_025405_286eda,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025405_286eda,151,task_completed,R2,G00052,
20260909_025405_286eda,151,task_created,,G00058,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025405_286eda,152,task_assigned,R2,G00057,
20260909_025405_286eda,153,task_completed,R1,G00029,
20260909_025405_286eda,154,task_completed,R3,G00049,
20260909_025405_286eda,154,task_assigned,R1,G00054,
20260909_025405_286eda,155,task_assigned,R3,G00058,
20260909_025405_286eda,155,task_created,,G00059,type=PUTAWAY pickup=RECV dropoff=G-03
20260909_025405_286eda,155,task_created,,G00060,type=PICK pickup=G-03 dropoff=PICK-1
20260909_025405_286eda,157,task_completed,R2,G00057,
20260909_025405_286eda,158,task_completed,R4,G00033,
20260909_025405_286eda,158,task_assigned,R2,G00037,
20260909_025405_286eda,159,task_assigned,R4,G00040,
20260909_025405_286eda,162,task_completed,R1,G00054,
