tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.85,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.425,95.3,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.9625,94.8,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.5,94.3,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.0375,93.8,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.5375,93.3,96.0,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.0375,92.8,95.5,0.0,0.0,0.0,0.0
21,4,7.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,93.5375,92.3,95.0,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.075,91.8,94.65,0.0,0.0,0.0,0.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.6125,91.3,94.3,0.0,0.0,0.0,0.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.15,90.8,93.95,0.0,0.0,0.0,0.0
25,5,9.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.6875,90.3,93.6,0.0,0.0,0.0,0.0
26,5,9.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.225,89.8,93.25,0.0,0.0,0.0,0.0
27,6,10.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,90.7625,89.3,92.9,0.0,0.0,0.0,0.0
28,6,10.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,90.3,88.8,92.55,0.0,0.0,0.0,0.0
29,6,9.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,89.8375,88.3,92.2,0.0,0.0,0.0,0.0
30,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.4125,87.8,91.85,0.0,0.0,0.0,0.0
31,6,10.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,88.9875,87.3,91.5,0.0,0.0,0.0,0.0
32,6,9.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,88.5625,86.8,91.15,0.0,0.0,0.0,0.0
33,5,8.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,88.175,86.45,90.8,0.0,0.0,0.0,0.0
34,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.7875,86.1,90.45,0.0,0.0,0.0,0.0
35,6,10.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.3625,85.75,89.95,0.0,0.0,0.0,0.0
36,6,9.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,86.9375,85.4,89.45,0.0,0.0,0.0,0.0
37,6,10.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.55,85.05,88.95,0.0,0.0,0.0,0.0
38,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.1625,84.7,88.45,0.0,0.0,0.0,0.0
39,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.775,84.35,87.95,0.0,0.0,0.0,0.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.35,84.0,87.45,0.0,0.0,0.0,0.0
41,6,10.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,85.0125,83.65,86.95,0.0,0.0,1.0,1.0
42,6,9.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,84.55,83.15,86.45,0.0,0.0,0.0,1.0
43,7,11.0,2.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.125,82.65,85.95,0.0,0.0,0.0,1.0
44,7,10.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,83.7,82.15,85.45,0.0,0.0,0.0,1.0
45,7,11.0,1.0,0.0,7.0,0.0,4,0,0,0,0,0,0,83.3125,81.65,85.1,0.0,0.0,0.0,1.0
46,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.925,81.15,84.75,0.0,0.0,0.0,1.0
47,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.5375,80.65,84.4,0.0,0.0,0.0,1.0
48,7,10.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,82.1125,80.15,84.05,0.0,0.0,0.0,1.0
49,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.725,79.8,83.7,0.0,0.0,0.0,1.0
50,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.3375,79.45,83.35,0.0,0.0,0.0,1.0
51,8,12.0,2.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.95,79.1,83.0,0.0,0.0,0.0,1.0
52,8,11.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,80.5625,78.75,82.65,0.0,0.0,0.0,1.0
53,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,80.2125,78.4,82.3,0.0,0.0,0.0,1.0
54,7,11.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.8625,78.05,81.95,0.0,0.0,0.0,1.0
55,9,13.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.5125,77.7,81.6,0.0,0.0,0.0,1.0
56,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,79.125,77.35,81.25,0.0,0.0,0.0,1.0
57,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.7375,77.0,80.9,0.0,0.0,0.0,1.0
58,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.35,76.65,80.55,0.0,0.0,0.0,1.0
59,10,14.0,1.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.8875,76.3,80.05,0.0,0.0,0.0,1.0
60,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.425,75.95,79.55,0.0,0.0,0.0,1.0
61,10,13.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,76.9625,75.6,79.05,0.0,0.0,0.0,1.0
62,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.5375,75.25,78.55,0.0,0.0,0.0,1.0
63,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.1125,74.9,78.05,0.0,0.0,0.0,1.0
64,9,12.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,75.6875,74.55,77.55,0.0,0.0,0.0,1.0
65,10,13.0,2.0,1.0,12.0,0.0,3,1,0,0,0,0,0,75.3,74.2,77.2,0.0,0.0,0.0,1.0
66,9,13.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,74.95,73.85,76.85,0.0,0.0,0.0,1.0
67,11,15.0,2.0,0.0,12.0,0.0,3,0,1,0,0,0,0,74.6875,73.5,76.85,0.0,0.0,1.0,2.0
68,11,15.0,0.0,0.0,12.0,0.0,2,0,2,0,0,0,0,74.475,73.0,76.85,0.0,0.0,2.0,4.0
69,11,15.0,0.0,0.0,12.0,0.0,3,0,1,0,0,0,0,74.2625,72.5,76.85,1.0,1.0,2.0,6.0
70,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.875,72.0,76.5,0.0,1.0,0.0,6.0
71,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.4875,71.5,76.15,0.0,1.0,0.0,6.0
72,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.1,71.0,75.8,0.0,1.0,0.0,6.0
73,11,14.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,72.7125,70.5,75.45,0.0,1.0,0.0,6.0
74,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.2875,70.0,74.95,0.0,1.0,0.0,6.0
75,12,16.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.825,69.5,74.45,0.0,1.0,0.0,6.0
76,12,15.0,0.0,1.0,14.0,0.0,3,1,0,0,0,0,0,71.3625,69.0,73.95,0.0,1.0,0.0,6.0
77,11,15.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,70.9375,68.5,73.6,0.0,1.0,0.0,6.0
78,11,15.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,70.5125,68.0,73.25,0.0,1.0,0.0,6.0
79,13,17.0,2.0,0.0,14.0,0.0,4,0,0,0,0,0,0,70.0875,67.5,72.9,0.0,1.0,0.0,6.0
80,13,16.0,0.0,1.0,15.0,0.0,3,1,0,0,0,0,0,69.6625,67.0,72.55,0.0,1.0,0.0,6.0
81,12,15.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,69.2375,66.65,72.2,0.0,1.0,0.0,6.0
82,11,15.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,68.85,66.3,71.85,0.0,1.0,0.0,6.0
83,12,16.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,68.4625,65.95,71.5,0.0,1.0,0.0,6.0
84,12,16.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,68.075,65.6,71.15,0.0,1.0,0.0,6.0
85,13,17.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,67.6875,65.25,70.8,0.0,1.0,0.0,6.0
86,13,17.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,67.2625,64.75,70.45,0.0,1.0,0.0,6.0
87,13,17.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,66.8375,64.25,70.1,0.0,1.0,0.0,6.0
88,13,16.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,66.4125,63.75,69.75,0.0,1.0,0.0,6.0
89,12,16.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,66.025,63.4,69.4,0.0,1.0,0.0,6.0
90,12,16.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,65.6375,63.05,69.05,0.0,1.0,0.0,6.0
91,14,18.0,2.0,0.0,17.0,0.0,4,0,0,0,0,0,0,65.2125,62.7,68.7,0.0,1.0,0.0,6.0
92,14,18.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.7875,62.35,68.35,0.0,1.0,0.0,6.0
93,15,19.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,64.3625,62.0,68.0,0.0,1.0,0.0,6.0
94,15,19.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.9375,61.65,67.65,0.0,1.0,0.0,6.0
95,16,20.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.5125,61.3,67.3,0.0,1.0,0.0,6.0
96,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,63.0875,60.95,66.95,0.0,1.0,0.0,6.0
97,16,19.0,0.0,1.0,18.0,0.0,3,1,0,0,0,0,0,62.6625,60.6,66.6,0.0,1.0,0.0,6.0
98,15,19.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,62.2375,60.25,66.1,0.0,1.0,0.0,6.0
99,16,19.0,1.0,1.0,19.0,0.0,3,1,0,0,0,0,0,61.8125,59.9,65.6,0.0,1.0,0.0,6.0
100,15,19.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,61.425,59.55,65.1,0.0,1.0,0.0,6.0
101,15,19.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,61.0375,59.2,64.6,0.0,1.0,0.0,6.0
102,15,19.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,60.65,58.85,64.1,0.0,1.0,0.0,6.0
103,16,20.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,60.2625,58.5,63.6,0.0,1.0,0.0,6.0
104,16,20.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.875,58.15,63.1,0.0,1.0,0.0,6.0
105,17,21.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.4875,57.8,62.6,0.0,1.0,0.0,6.0
106,17,21.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.0625,57.3,62.1,0.0,1.0,0.0,6.0
107,19,23.0,2.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.6375,56.8,61.6,0.0,1.0,0.0,6.0
108,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.2125,56.3,61.1,0.0,1.0,0.0,6.0
109,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.7875,55.8,60.6,0.0,1.0,0.0,6.0
110,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.3625,55.3,60.1,0.0,1.0,0.0,6.0
111,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.9375,54.8,59.6,0.0,1.0,0.0,6.0
112,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.475,54.3,59.1,0.0,1.0,0.0,6.0
113,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.0125,53.8,58.6,0.0,1.0,0.0,6.0
114,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,55.55,53.3,58.1,0.0,1.0,0.0,6.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.0875,52.8,57.6,0.0,1.0,0.0,6.0
116,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.625,52.3,57.1,0.0,1.0,0.0,6.0
117,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,54.1625,51.8,56.6,0.0,1.0,0.0,6.0
118,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.6625,51.3,56.1,0.0,1.0,0.0,6.0
119,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.1625,50.8,55.6,0.0,1.0,0.0,6.0
120,20,23.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,52.6625,50.3,55.1,0.0,1.0,0.0,6.0
121,20,24.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.2,49.8,54.6,0.0,1.0,0.0,6.0
122,20,24.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.7375,49.3,54.1,0.0,1.0,0.0,6.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.275,48.8,53.6,0.0,1.0,0.0,6.0
124,21,24.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,50.775,48.3,53.1,0.0,1.0,0.0,6.0
125,21,24.0,1.0,1.0,24.0,0.0,3,1,0,0,0,0,0,50.3125,47.8,52.6,0.0,1.0,0.0,6.0
126,20,23.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,49.8875,47.45,52.1,0.0,1.0,0.0,6.0
127,20,24.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,49.5,47.1,51.6,0.0,1.0,0.0,6.0
128,20,24.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,49.1125,46.75,51.1,0.0,1.0,0.0,6.0
129,20,24.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,48.725,46.4,50.6,0.0,1.0,0.0,6.0
130,20,24.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,48.3375,46.05,50.1,0.0,1.0,0.0,6.0
131,21,25.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.95,45.7,49.6,0.0,1.0,0.0,6.0
132,21,24.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,47.5625,45.35,49.1,0.0,1.0,0.0,6.0
133,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.2125,45.0,48.75,0.0,1.0,0.0,6.0
134,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.825,44.5,48.4,0.0,1.0,0.0,6.0
135,22,26.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.4,44.0,48.05,0.0,1.0,0.0,6.0
136,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.975,43.5,47.7,0.0,1.0,0.0,6.0
137,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.55,43.0,47.35,0.0,1.0,0.0,6.0
138,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.125,42.5,47.0,0.0,1.0,0.0,6.0
139,24,28.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.7,42.0,46.65,0.0,1.0,0.0,6.0
140,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.2375,41.5,46.3,0.0,1.0,0.0,6.0
141,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.775,41.0,45.95,0.0,1.0,0.0,6.0
142,24,28.0,0.0,0.0,26.0,0.0,3,0,1,0,0,0,0,43.4,40.5,45.95,0.0,1.0,1.0,7.0
143,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.9375,40.0,45.6,0.0,1.0,0.0,7.0
144,24,27.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,42.475,39.5,45.25,0.0,1.0,0.0,7.0
145,24,28.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.0125,39.0,44.75,0.0,1.0,0.0,7.0
146,24,28.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.55,38.5,44.25,0.0,1.0,0.0,7.0
147,25,29.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.0875,38.0,43.75,0.0,1.0,0.0,7.0
148,25,29.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.625,37.5,43.25,0.0,1.0,0.0,7.0
149,26,30.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.125,37.0,42.75,0.0,1.0,0.0,7.0
150,26,30.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,39.625,36.5,42.25,0.0,1.0,0.0,7.0
151,27,30.0,1.0,1.0,28.0,0.0,3,1,0,0,0,0,0,39.125,36.0,41.75,0.0,1.0,0.0,7.0
152,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.6625,35.5,41.25,0.0,1.0,0.0,7.0
153,26,29.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,38.2,35.0,40.75,0.0,1.0,0.0,7.0
154,25,28.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,37.7375,34.5,40.25,0.0,1.0,0.0,7.0
155,26,30.0,2.0,0.0,30.0,0.0,4,0,0,0,0,0,0,37.275,34.0,39.75,0.0,1.0,0.0,7.0
156,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.8125,33.5,39.25,0.0,1.0,0.0,7.0
157,26,29.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,36.35,33.0,38.75,0.0,1.0,0.0,7.0
158,25,28.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,35.925,32.5,38.25,0.0,1.0,0.0,7.0
159,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.5375,32.0,37.9,0.0,1.0,0.0,7.0
160,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.15,31.5,37.55,0.0,1.0,0.0,7.0
161,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.7625,31.0,37.2,0.0,1.0,0.0,7.0
162,24,27.0,0.0,1.0,33.0,0.0,3,1,0,0,0,0,0,34.375,30.5,36.85,0.0,1.0,0.0,7.0
163,26,30.0,3.0,0.0,33.0,0.0,4,0,0,0,0,0,0,34.025,30.15,36.5,0.0,1.0,0.0,7.0
164,26,30.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,33.6375,29.8,36.15,0.0,1.0,0.0,7.0
165,27,31.0,1.0,0.0,33.0,0.0,4,0,0,0,0,0,0,33.25,29.45,35.8,0.0,1.0,0.0,7.0
166,27,31.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,32.8625,29.1,35.45,0.0,1.0,0.0,7.0
167,27,31.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,32.475,28.75,35.1,0.0,1.0,0.0,7.0
168,27,31.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,32.05,28.25,34.75,0.0,1.0,0.0,7.0
169,27,31.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,31.625,27.75,34.4,0.0,1.0,0.0,7.0
170,27,30.0,0.0,1.0,34.0,0.0,3,1,0,0,0,0,0,31.1625,27.25,33.9,0.0,1.0,0.0,7.0
