run_id,tick,event_type,robot_id,task_id,details
20260909_025406_618ea6,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-02
20260909_025406_618ea6,3,task_assigned,R1,G00001,
20260909_025406_618ea6,5,task_created,,G00002,type=PICK pickup=A-06 dropoff=PICK-3
20260909_025406_618ea6,5,task_assigned,R2,G00002,
20260909_025406_618ea6,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025406_618ea6,7,task_assigned,R4,G00003,
20260909_025406_618ea6,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025406_618ea6,9,task_assigned,R3,G00004,
20260909_025406_618ea6,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=C-01
20260909_025406_618ea6,15,task_created,,G00006,type=PICK pickup=G-01 dropoff=PICK-3
20260909_025406_618ea6,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=G-03
20260909_025406_618ea6,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025406_618ea6,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025406_618ea6,25,task_completed,R3,G00004,
20260909_025406_618ea6,25,task_created,,G00010,type=PICK pickup=A-02 dropoff=PICK-1
20260909_025406_618ea6,26,task_assigned,R3,G00009,
20260909_025406_618ea6,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025406_618ea6,29,task_completed,R1,G00001,
20260909_025406_618ea6,30,task_assigned,R1,G00008,
20260909_025406_618ea6,31,task_completed,R3,G00009,
20260909_025406_618ea6,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025406_618ea6,32,task_assigned,R3,G00012,
20260909_025406_618ea6,35,task_completed,R4,G00003,
20260909_025406_618ea6,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-01
20260909_025406_618ea6,35,task_created,,G00014,type=PICK pickup=D-07 dropoff=PICK-3
20260909_025406_618ea6,36,task_assigned,R4,G00006,
20260909_025406_618ea6,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025406_618ea6,38,task_completed,R2,G00002,
20260909_025406_618ea6,39,task_assigned,R2,G00015,
20260909_025406_618ea6,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260909_025406_618ea6,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025406_618ea6,45,task_created,,G00018,type=PICK pickup=H-07 dropoff=PICK-2
20260909_025406_618ea6,46,robot_blocked,R2,,"{""x"": 13, ""y"": 8}"
20260909_025406_618ea6,47,robot_blocked,R1,,"{""x"": 12, ""y"": 8}"
20260909_025406_618ea6,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025406_618ea6,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025406_618ea6,51,robot_blocked,R3,,"{""x"": 15, ""y"": 9}"
20260909_025406_618ea6,55,task_created,,G00021,type=PICK pickup=H-02 dropoff=PICK-3
20260909_025406_618ea6,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025406_618ea6,57,task_completed,R4,G00006,
20260909_025406_618ea6,57,task_completed,R1,G00008,
20260909_025406_618ea6,58,task_completed,R2,G00015,
20260909_025406_618ea6,58,task_assigned,R4,G00017,
20260909_025406_618ea6,58,task_assigned,R1,G00020,
20260909_025406_618ea6,59,task_assigned,R2,G00022,
20260909_025406_618ea6,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=E-08
20260909_025406_618ea6,60,task_completed,R3,G00012,
20260909_025406_618ea6,61,task_assigned,R3,G00010,
20260909_025406_618ea6,65,task_completed,R1,G00020,
20260909_025406_618ea6,65,task_created,,G00024,type=PICK pickup=G-06 dropoff=PICK-3
20260909_025406_618ea6,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025406_618ea6,66,task_assigned,R1,G00025,
