tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.85,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.15,95.1,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.8,94.75,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.4125,94.4,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.025,94.05,96.15,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.6,93.55,95.8,0.0,0.0,0.0,0.0
21,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.175,93.05,95.45,0.0,0.0,0.0,0.0
22,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.75,92.55,95.1,0.0,0.0,0.0,0.0
23,5,9.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.2875,92.05,94.6,0.0,0.0,0.0,0.0
24,5,9.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,92.825,91.55,94.1,0.0,0.0,0.0,0.0
25,6,9.0,1.0,1.0,1.0,0.0,3,1,0,0,0,0,0,92.3625,91.05,93.6,0.0,0.0,0.0,0.0
26,5,9.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.9,90.55,93.25,0.0,0.0,0.0,0.0
27,6,10.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.4375,90.05,92.9,0.0,0.0,0.0,0.0
28,6,10.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,90.975,89.55,92.55,0.0,0.0,0.0,0.0
29,6,9.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,90.475,89.05,92.05,0.0,0.0,0.0,0.0
30,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.0125,88.7,91.55,0.0,0.0,0.0,0.0
31,6,9.0,1.0,1.0,3.0,0.0,3,1,0,0,0,0,0,89.55,88.35,91.05,0.0,0.0,0.0,0.0
32,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.125,87.95,90.7,0.0,0.0,0.0,0.0
33,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.7,87.45,90.35,0.0,0.0,0.0,0.0
34,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.275,86.95,90.0,0.0,0.0,0.0,0.0
35,7,10.0,2.0,1.0,4.0,0.0,3,1,0,0,0,0,0,87.85,86.45,89.65,0.0,0.0,0.0,0.0
36,6,10.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.4625,85.95,89.3,0.0,0.0,0.0,0.0
37,7,11.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.075,85.45,88.95,0.0,0.0,0.0,0.0
38,7,10.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,86.6875,84.95,88.6,0.0,0.0,0.0,0.0
39,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.3,84.6,88.25,0.0,0.0,0.0,0.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.9125,84.25,87.9,0.0,0.0,0.0,0.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.525,83.9,87.55,0.0,0.0,0.0,0.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.1375,83.55,87.2,0.0,0.0,0.0,0.0
43,8,12.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.75,83.2,86.85,0.0,0.0,0.0,0.0
44,8,12.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.3625,82.85,86.5,0.0,0.0,0.0,0.0
45,9,13.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.9375,82.4,86.0,0.0,0.0,0.0,0.0
46,9,13.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,83.6,81.9,85.5,0.0,0.0,1.0,1.0
47,9,13.0,0.0,0.0,5.0,0.0,2,0,2,0,0,0,0,83.3875,81.9,85.0,0.0,0.0,2.0,3.0
48,9,13.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,83.1375,81.9,84.5,1.0,1.0,2.0,5.0
49,9,13.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,82.675,81.4,84.0,0.0,1.0,0.0,5.0
50,9,13.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,82.2125,80.9,83.5,0.0,1.0,0.0,5.0
51,11,15.0,2.0,0.0,5.0,0.0,3,0,1,0,0,0,0,81.875,80.4,83.5,0.0,1.0,1.0,6.0
52,11,15.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,81.6625,80.4,83.5,1.0,2.0,2.0,8.0
53,11,15.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,81.2,79.9,83.0,0.0,2.0,0.0,8.0
54,11,15.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,80.8625,79.9,82.5,0.0,2.0,1.0,9.0
55,13,17.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,80.4,79.4,82.0,0.0,2.0,0.0,9.0
56,13,17.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,79.9,78.9,81.5,0.0,2.0,0.0,9.0
57,13,15.0,0.0,2.0,7.0,0.0,2,2,0,0,0,0,0,79.4,78.4,81.0,0.0,2.0,0.0,9.0
58,11,14.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,78.9375,78.05,80.5,0.0,2.0,0.0,9.0
59,11,15.0,1.0,0.0,8.0,0.0,4,0,0,0,0,0,0,78.5125,77.7,80.0,0.0,2.0,0.0,9.0
60,11,14.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,78.0875,77.35,79.5,0.0,2.0,0.0,9.0
61,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.7,77.0,79.15,0.0,2.0,0.0,9.0
62,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.3125,76.65,78.8,0.0,2.0,0.0,9.0
63,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.8875,76.15,78.45,0.0,2.0,0.0,9.0
64,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.4625,75.65,78.1,0.0,2.0,0.0,9.0
65,12,15.0,2.0,1.0,10.0,0.0,3,1,0,0,0,0,0,76.0375,75.15,77.75,0.0,2.0,0.0,9.0
66,11,15.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.65,74.65,77.4,0.0,2.0,0.0,9.0
67,13,17.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.2625,74.15,77.05,0.0,2.0,0.0,9.0
68,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.875,73.65,76.7,0.0,2.0,0.0,9.0
69,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.45,73.15,76.35,0.0,2.0,0.0,9.0
70,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.025,72.65,76.0,0.0,2.0,0.0,9.0
71,13,15.0,0.0,2.0,12.0,0.0,2,2,0,0,0,0,0,73.6,72.15,75.65,0.0,2.0,0.0,9.0
72,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,73.2125,71.8,75.3,0.0,2.0,0.0,9.0
73,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.825,71.45,74.95,0.0,2.0,0.0,9.0
74,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.4375,71.1,74.6,0.0,2.0,0.0,9.0
75,13,17.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.05,70.75,74.25,0.0,2.0,0.0,9.0
76,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.625,70.4,73.75,0.0,2.0,0.0,9.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.2,70.05,73.25,0.0,2.0,0.0,9.0
78,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.775,69.7,72.75,0.0,2.0,0.0,9.0
79,15,19.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.35,69.35,72.25,0.0,2.0,0.0,9.0
80,15,19.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,69.925,69.0,71.75,0.0,2.0,0.0,9.0
81,15,18.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,69.5,68.65,71.25,0.0,2.0,0.0,9.0
82,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.075,68.15,70.75,0.0,2.0,0.0,9.0
83,15,19.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.65,67.65,70.25,0.0,2.0,0.0,9.0
84,15,18.0,0.0,1.0,14.0,0.0,3,1,0,0,0,0,0,68.225,67.15,69.75,0.0,2.0,0.0,9.0
85,15,19.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.8375,66.65,69.4,0.0,2.0,0.0,9.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.4125,66.15,69.05,0.0,2.0,0.0,9.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.9875,65.65,68.7,0.0,2.0,0.0,9.0
88,15,18.0,0.0,1.0,15.0,0.0,3,1,0,0,0,0,0,66.5625,65.15,68.35,0.0,2.0,0.0,9.0
89,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.175,64.65,68.0,0.0,2.0,0.0,9.0
90,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.7875,64.15,67.65,0.0,2.0,0.0,9.0
91,16,20.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.3625,63.65,67.3,0.0,2.0,0.0,9.0
92,16,20.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.9375,63.15,66.95,0.0,2.0,0.0,9.0
93,17,21.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.5125,62.65,66.6,0.0,2.0,0.0,9.0
94,17,21.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.0875,62.15,66.25,0.0,2.0,0.0,9.0
95,18,22.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,63.625,61.65,65.75,0.0,2.0,0.0,9.0
96,18,21.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,63.1625,61.15,65.25,0.0,2.0,0.0,9.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.7375,60.8,64.75,0.0,2.0,0.0,9.0
98,17,20.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,62.3125,60.45,64.25,0.0,2.0,0.0,9.0
99,17,21.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,61.925,60.1,63.75,0.0,2.0,0.0,9.0
100,17,20.0,0.0,1.0,18.0,0.0,3,1,0,0,0,0,0,61.5375,59.75,63.25,0.0,2.0,0.0,9.0
101,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.1875,59.4,62.9,0.0,2.0,0.0,9.0
102,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,60.8,58.9,62.55,0.0,2.0,0.0,9.0
103,17,21.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,60.4125,58.4,62.2,0.0,2.0,0.0,9.0
104,17,20.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,60.025,57.9,61.85,0.0,2.0,0.0,9.0
105,17,21.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.675,57.55,61.5,0.0,2.0,0.0,9.0
106,17,21.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.325,57.2,61.15,0.0,2.0,0.0,9.0
107,19,23.0,2.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.9375,56.85,60.8,0.0,2.0,0.0,9.0
108,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.55,56.5,60.45,0.0,2.0,0.0,9.0
109,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.1625,56.15,60.1,0.0,2.0,0.0,9.0
110,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.775,55.8,59.75,0.0,2.0,0.0,9.0
111,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.3875,55.45,59.4,0.0,2.0,0.0,9.0
112,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.9625,55.1,59.05,0.0,2.0,0.0,9.0
113,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,56.5375,54.75,58.7,0.0,2.0,0.0,9.0
114,18,22.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,56.15,54.4,58.35,0.0,2.0,0.0,9.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.7625,54.05,58.0,0.0,2.0,0.0,9.0
116,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.375,53.7,57.65,0.0,2.0,0.0,9.0
117,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.9875,53.35,57.3,0.0,2.0,0.0,9.0
118,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.6,53.0,56.95,0.0,2.0,0.0,9.0
119,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.175,52.65,56.6,0.0,2.0,0.0,9.0
120,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,53.7125,52.3,56.1,0.0,2.0,0.0,9.0
121,22,25.0,1.0,1.0,21.0,0.0,3,1,0,0,0,0,0,53.25,51.95,55.6,0.0,2.0,0.0,9.0
122,21,25.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.7875,51.45,55.1,0.0,2.0,0.0,9.0
123,22,26.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.325,50.95,54.6,0.0,2.0,0.0,9.0
124,22,26.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,51.8625,50.45,54.1,0.0,2.0,0.0,9.0
125,23,26.0,1.0,1.0,22.0,0.0,3,1,0,0,0,0,0,51.3625,49.95,53.6,0.0,2.0,0.0,9.0
126,22,25.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,50.8625,49.45,53.1,0.0,2.0,0.0,9.0
127,22,25.0,1.0,1.0,24.0,0.0,3,1,0,0,0,0,0,50.4,48.95,52.75,0.0,2.0,0.0,9.0
128,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.975,48.45,52.4,0.0,2.0,0.0,9.0
129,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.55,47.95,52.05,0.0,2.0,0.0,9.0
130,21,24.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,49.125,47.45,51.7,0.0,2.0,0.0,9.0
131,21,25.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,48.7375,47.1,51.35,0.0,2.0,0.0,9.0
132,21,24.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,48.35,46.75,51.0,0.0,2.0,0.0,9.0
133,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,48.0,46.4,50.65,0.0,2.0,0.0,9.0
134,20,24.0,0.0,0.0,26.0,0.0,3,0,1,0,0,0,0,47.7375,46.05,50.65,0.0,2.0,1.0,10.0
135,22,26.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.3875,45.7,50.3,0.0,2.0,0.0,10.0
136,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.0375,45.35,49.95,0.0,2.0,0.0,10.0
137,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.6875,45.0,49.6,0.0,2.0,0.0,10.0
138,22,26.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,46.3,44.65,49.1,0.0,2.0,0.0,10.0
139,24,28.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.9125,44.3,48.6,0.0,2.0,0.0,10.0
140,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.525,43.95,48.1,0.0,2.0,0.0,10.0
141,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.1375,43.6,47.6,0.0,2.0,0.0,10.0
142,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.7125,43.25,47.1,0.0,2.0,0.0,10.0
143,24,27.0,0.0,1.0,27.0,0.0,1,1,2,0,0,0,0,44.5,43.25,46.6,0.0,2.0,2.0,12.0
144,23,27.0,0.0,0.0,27.0,0.0,3,0,1,0,0,0,0,44.325,43.25,46.25,1.0,3.0,2.0,14.0
145,24,28.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,43.9375,42.9,45.9,0.0,3.0,0.0,14.0
146,24,28.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,43.5125,42.4,45.55,0.0,3.0,0.0,14.0
147,25,29.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,43.0875,41.9,45.2,0.0,3.0,0.0,14.0
148,25,29.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.625,41.4,44.7,0.0,3.0,0.0,14.0
149,26,30.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.1625,40.9,44.2,0.0,3.0,0.0,14.0
150,26,29.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,41.7,40.4,43.7,0.0,3.0,0.0,14.0
151,26,30.0,1.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.2375,39.9,43.35,0.0,3.0,0.0,14.0
152,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.775,39.4,43.0,0.0,3.0,0.0,14.0
153,26,30.0,0.0,0.0,28.0,0.0,2,0,2,0,0,0,0,40.5625,39.4,42.65,0.0,3.0,2.0,16.0
154,26,30.0,0.0,0.0,28.0,0.0,3,0,1,0,0,0,0,40.3125,39.25,42.15,1.0,4.0,2.0,18.0
155,28,32.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.8125,38.75,41.65,0.0,4.0,0.0,18.0
156,28,31.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,39.3125,38.25,41.15,0.0,4.0,0.0,18.0
157,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,38.85,37.75,40.8,0.0,4.0,0.0,18.0
158,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,38.3875,37.25,40.45,0.0,4.0,0.0,18.0
159,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,37.925,36.75,40.1,0.0,4.0,0.0,18.0
160,27,30.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,37.4625,36.25,39.75,0.0,4.0,0.0,18.0
161,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,37.0,35.75,39.4,0.0,4.0,0.0,18.0
162,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.5375,35.25,39.05,0.0,4.0,0.0,18.0
163,29,33.0,3.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.075,34.75,38.7,0.0,4.0,0.0,18.0
164,29,33.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.6125,34.25,38.35,0.0,4.0,0.0,18.0
165,30,34.0,1.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.15,33.75,38.0,0.0,4.0,0.0,18.0
166,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.6875,33.25,37.65,0.0,4.0,0.0,18.0
167,30,33.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,34.225,32.75,37.3,0.0,4.0,0.0,18.0
168,29,33.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,33.8,32.25,36.95,0.0,4.0,0.0,18.0
169,29,31.0,0.0,2.0,33.0,0.0,1,2,1,0,0,0,0,33.4625,31.75,36.95,0.0,4.0,1.0,19.0
170,27,31.0,0.0,0.0,33.0,0.0,4,0,0,0,0,0,0,33.075,31.25,36.6,0.0,4.0,0.0,19.0
