tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.2125,97.05,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.825,96.55,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.4375,96.05,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.05,95.55,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.6625,95.05,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.275,94.55,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.85,94.05,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.3875,93.55,96.7,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.925,93.05,96.2,0.0,0.0,0.0,0.0
19,4,7.0,2.0,1.0,1.0,0.0,3,1,0,0,0,0,0,94.4625,92.55,95.7,0.0,0.0,0.0,0.0
20,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,94.0,92.05,95.35,0.0,0.0,0.0,0.0
21,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.5375,91.55,95.0,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.075,91.05,94.65,0.0,0.0,0.0,0.0
23,4,7.0,1.0,1.0,2.0,0.0,3,1,0,0,0,0,0,92.6125,90.55,94.3,0.0,0.0,0.0,0.0
24,3,7.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,92.1875,90.2,93.95,0.0,0.0,0.0,0.0
25,4,8.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.7625,89.85,93.6,0.0,0.0,0.0,0.0
26,4,8.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.3375,89.5,93.25,0.0,0.0,0.0,0.0
27,5,9.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.9125,89.15,92.9,0.0,0.0,0.0,0.0
28,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.4875,88.8,92.55,0.0,0.0,0.0,0.0
29,5,8.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,90.0625,88.45,92.2,0.0,0.0,0.0,0.0
30,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.675,88.1,91.85,0.0,0.0,0.0,0.0
31,5,9.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.2875,87.75,91.5,0.0,0.0,0.0,0.0
32,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.9,87.4,91.15,0.0,0.0,0.0,0.0
33,5,8.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,88.475,87.05,90.65,0.0,0.0,0.0,0.0
34,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.05,86.7,90.15,0.0,0.0,0.0,0.0
35,6,10.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.625,86.35,89.65,0.0,0.0,0.0,0.0
36,6,10.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.2,86.0,89.15,0.0,0.0,0.0,0.0
37,7,11.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.775,85.65,88.65,0.0,0.0,0.0,0.0
38,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.35,85.25,88.15,0.0,0.0,0.0,0.0
39,7,10.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,85.925,84.75,87.65,0.0,0.0,0.0,0.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.5375,84.4,87.15,0.0,0.0,0.0,0.0
41,6,10.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,85.2375,84.25,86.65,0.0,0.0,1.0,1.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.8125,83.9,86.15,0.0,0.0,0.0,1.0
43,8,12.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.3875,83.55,85.65,0.0,0.0,0.0,1.0
44,8,12.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.925,83.05,85.15,0.0,0.0,0.0,1.0
45,9,13.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.425,82.55,84.65,0.0,0.0,0.0,1.0
46,9,12.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,82.925,82.05,84.15,0.0,0.0,0.0,1.0
47,8,10.0,0.0,2.0,8.0,0.0,2,2,0,0,0,0,0,82.4625,81.7,83.65,0.0,0.0,0.0,1.0
48,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,82.075,81.35,83.3,0.0,0.0,0.0,1.0
49,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.6875,81.0,82.95,0.0,0.0,0.0,1.0
50,6,10.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.3,80.65,82.6,0.0,0.0,0.0,1.0
51,8,12.0,2.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.9125,80.3,82.25,0.0,0.0,0.0,1.0
52,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.525,79.95,81.9,0.0,0.0,0.0,1.0
53,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.1375,79.6,81.55,0.0,0.0,0.0,1.0
54,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,79.75,79.15,81.2,0.0,0.0,0.0,1.0
55,10,14.0,2.0,0.0,8.0,0.0,4,0,0,0,0,0,0,79.3625,78.65,80.85,0.0,0.0,0.0,1.0
56,10,14.0,0.0,0.0,8.0,0.0,3,0,1,0,0,0,0,79.0625,78.15,80.85,0.0,0.0,1.0,2.0
57,10,13.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,78.675,77.65,80.5,0.0,0.0,0.0,2.0
58,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.325,77.3,80.15,0.0,0.0,0.0,2.0
59,10,14.0,1.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.975,76.95,79.8,0.0,0.0,0.0,2.0
60,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.5875,76.6,79.45,0.0,0.0,0.0,2.0
61,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.2,76.25,79.1,0.0,0.0,0.0,2.0
62,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.8125,75.9,78.75,0.0,0.0,0.0,2.0
63,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.425,75.5,78.4,0.0,0.0,0.0,2.0
64,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.0375,75.0,78.05,0.0,0.0,0.0,2.0
65,12,16.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,75.6125,74.5,77.55,0.0,0.0,0.0,2.0
66,12,16.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,75.1875,74.0,77.05,0.0,0.0,0.0,2.0
67,14,18.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,74.725,73.5,76.55,0.0,0.0,0.0,2.0
68,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,74.2625,73.0,76.05,0.0,0.0,0.0,2.0
69,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,73.8,72.5,75.55,0.0,0.0,0.0,2.0
70,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,73.3375,72.0,75.05,0.0,0.0,0.0,2.0
71,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,72.875,71.5,74.55,0.0,0.0,0.0,2.0
72,14,18.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,72.375,71.0,74.05,0.0,0.0,0.0,2.0
73,14,17.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,71.875,70.5,73.55,0.0,0.0,0.0,2.0
74,13,15.0,0.0,2.0,12.0,0.0,2,2,0,0,0,0,0,71.4125,70.15,73.05,0.0,0.0,0.0,2.0
75,13,17.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.9875,69.8,72.55,0.0,0.0,0.0,2.0
76,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.5625,69.45,72.05,0.0,0.0,0.0,2.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.1375,69.1,71.55,0.0,0.0,0.0,2.0
78,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,69.675,68.6,71.05,0.0,0.0,0.0,2.0
79,15,18.0,2.0,1.0,13.0,0.0,3,1,0,0,0,0,0,69.2125,68.1,70.55,0.0,0.0,0.0,2.0
80,14,17.0,0.0,1.0,14.0,0.0,3,1,0,0,0,0,0,68.7875,67.6,70.2,0.0,0.0,0.0,2.0
81,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.4,67.25,69.85,0.0,0.0,0.0,2.0
82,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.0125,66.9,69.5,0.0,0.0,0.0,2.0
83,14,18.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.625,66.55,69.15,0.0,0.0,0.0,2.0
84,14,18.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.2375,66.2,68.8,0.0,0.0,0.0,2.0
85,15,19.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.85,65.7,68.45,0.0,0.0,0.0,2.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.425,65.2,67.95,0.0,0.0,0.0,2.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.0,64.7,67.45,0.0,0.0,0.0,2.0
88,15,18.0,0.0,1.0,15.0,0.0,3,1,0,0,0,0,0,65.5375,64.2,66.95,0.0,0.0,0.0,2.0
89,14,17.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,65.1125,63.7,66.6,0.0,0.0,0.0,2.0
90,13,17.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.725,63.35,66.25,0.0,0.0,0.0,2.0
91,15,19.0,2.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.3375,63.0,65.9,0.0,0.0,0.0,2.0
92,15,19.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.95,62.65,65.55,0.0,0.0,0.0,2.0
93,16,20.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.5625,62.3,65.2,0.0,0.0,0.0,2.0
94,16,20.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.175,61.95,64.85,0.0,0.0,0.0,2.0
95,17,21.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.7875,61.6,64.5,0.0,0.0,0.0,2.0
96,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.4,61.25,64.15,0.0,0.0,0.0,2.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.0125,60.9,63.8,0.0,0.0,0.0,2.0
98,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.5875,60.55,63.45,0.0,0.0,0.0,2.0
99,18,22.0,1.0,0.0,16.0,0.0,3,0,1,0,0,0,0,61.2875,60.2,63.1,0.0,0.0,1.0,3.0
100,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,60.8625,59.85,62.75,0.0,0.0,0.0,3.0
101,18,21.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,60.4375,59.5,62.4,0.0,0.0,0.0,3.0
102,17,21.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,60.05,59.15,62.05,0.0,0.0,0.0,3.0
103,18,22.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,59.6625,58.8,61.7,0.0,0.0,0.0,3.0
104,18,22.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,59.275,58.45,61.35,0.0,0.0,0.0,3.0
105,19,23.0,1.0,0.0,17.0,0.0,4,0,0,0,0,0,0,58.8875,58.1,61.0,0.0,0.0,0.0,3.0
106,19,23.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,58.4625,57.65,60.65,0.0,0.0,0.0,3.0
107,21,25.0,2.0,0.0,17.0,0.0,4,0,0,0,0,0,0,58.0375,57.15,60.3,0.0,0.0,0.0,3.0
108,21,24.0,0.0,1.0,18.0,0.0,3,1,0,0,0,0,0,57.6125,56.65,59.95,0.0,0.0,0.0,3.0
109,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.1875,56.15,59.45,0.0,0.0,0.0,3.0
110,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.725,55.65,58.95,0.0,0.0,0.0,3.0
111,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.2625,55.15,58.45,0.0,0.0,0.0,3.0
112,20,23.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,55.7625,54.65,57.95,0.0,0.0,0.0,3.0
113,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,55.3,54.3,57.45,0.0,0.0,0.0,3.0
114,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,54.8375,53.95,56.95,0.0,0.0,0.0,3.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.4125,53.6,56.45,0.0,0.0,0.0,3.0
116,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,53.9875,53.2,55.95,0.0,0.0,0.0,3.0
117,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,53.5625,52.7,55.45,0.0,0.0,0.0,3.0
118,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.175,52.2,55.1,0.0,0.0,0.0,3.0
119,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.7875,51.7,54.75,0.0,0.0,0.0,3.0
120,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.4,51.2,54.4,0.0,0.0,0.0,3.0
121,21,25.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.0125,50.7,54.05,0.0,0.0,0.0,3.0
122,21,25.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,51.625,50.2,53.7,0.0,0.0,0.0,3.0
123,22,26.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,51.2,49.7,53.35,0.0,0.0,0.0,3.0
124,22,26.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,50.7375,49.2,53.0,0.0,0.0,0.0,3.0
125,23,27.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,50.275,48.7,52.65,0.0,0.0,0.0,3.0
126,23,27.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,49.8125,48.2,52.3,0.0,0.0,0.0,3.0
127,24,28.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,49.35,47.7,51.95,0.0,0.0,0.0,3.0
128,24,28.0,0.0,0.0,21.0,0.0,2,0,2,0,0,0,0,49.1,47.2,51.95,0.0,0.0,2.0,5.0
129,24,27.0,0.0,1.0,22.0,0.0,2,1,1,0,0,0,0,48.85,46.7,51.95,1.0,1.0,2.0,7.0
130,23,26.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,48.425,46.2,51.6,0.0,1.0,0.0,7.0
131,23,27.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,48.0375,45.85,51.25,0.0,1.0,0.0,7.0
132,23,27.0,0.0,0.0,23.0,0.0,3,0,1,0,0,0,0,47.7375,45.5,51.25,0.0,1.0,1.0,8.0
133,23,27.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,47.35,45.15,50.9,0.0,1.0,0.0,8.0
134,23,26.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,46.925,44.8,50.55,0.0,1.0,0.0,8.0
135,24,28.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.5375,44.45,50.2,0.0,1.0,0.0,8.0
136,24,27.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,46.15,44.1,49.85,0.0,1.0,0.0,8.0
137,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.8,43.75,49.5,0.0,1.0,0.0,8.0
138,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.45,43.4,49.15,0.0,1.0,0.0,8.0
139,25,29.0,2.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.0625,43.05,48.8,0.0,1.0,0.0,8.0
140,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,44.675,42.7,48.45,0.0,1.0,0.0,8.0
141,25,28.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,44.25,42.35,47.95,0.0,1.0,0.0,8.0
142,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.8625,42.0,47.45,0.0,1.0,0.0,8.0
143,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.475,41.65,46.95,0.0,1.0,0.0,8.0
144,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.0875,41.3,46.45,0.0,1.0,0.0,8.0
145,25,29.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.7,40.95,45.95,0.0,1.0,0.0,8.0
146,25,29.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.3125,40.6,45.45,0.0,1.0,0.0,8.0
147,26,30.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,41.925,40.25,44.95,0.0,1.0,0.0,8.0
148,26,30.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,41.5375,39.9,44.45,0.0,1.0,0.0,8.0
149,27,31.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,41.1125,39.4,43.95,0.0,1.0,0.0,8.0
150,27,31.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,40.6875,38.9,43.45,0.0,1.0,0.0,8.0
151,28,32.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,40.1875,38.4,42.95,0.0,1.0,0.0,8.0
152,28,32.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,39.6875,37.9,42.45,0.0,1.0,0.0,8.0
153,28,32.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,39.1875,37.4,41.95,0.0,1.0,0.0,8.0
154,28,32.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,38.6875,36.9,41.45,0.0,1.0,0.0,8.0
155,30,33.0,2.0,1.0,27.0,0.0,3,1,0,0,0,0,0,38.1875,36.4,40.95,0.0,1.0,0.0,8.0
156,29,32.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,37.725,35.9,40.6,0.0,1.0,0.0,8.0
157,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,37.3,35.4,40.25,0.0,1.0,0.0,8.0
158,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,36.875,34.9,39.9,0.0,1.0,0.0,8.0
159,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,36.45,34.4,39.55,0.0,1.0,0.0,8.0
160,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,36.025,33.9,39.2,0.0,1.0,0.0,8.0
161,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,35.5625,33.4,38.7,0.0,1.0,0.0,8.0
162,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,35.1,32.9,38.2,0.0,1.0,0.0,8.0
163,31,33.0,3.0,2.0,30.0,0.0,2,2,0,0,0,0,0,34.6375,32.4,37.7,0.0,1.0,0.0,8.0
164,29,33.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.25,32.05,37.35,0.0,1.0,0.0,8.0
165,30,33.0,1.0,1.0,31.0,0.0,3,1,0,0,0,0,0,33.8625,31.7,37.0,0.0,1.0,0.0,8.0
166,29,33.0,0.0,0.0,31.0,0.0,3,0,1,0,0,0,0,33.6,31.35,36.65,0.0,1.0,1.0,9.0
167,29,33.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,33.2125,31.0,36.15,0.0,1.0,0.0,9.0
168,29,33.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,32.7875,30.65,35.65,0.0,1.0,0.0,9.0
169,29,32.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,32.3625,30.3,35.15,0.0,1.0,0.0,9.0
170,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,31.975,29.95,34.8,0.0,1.0,0.0,9.0
