run_id,tick,event_type,robot_id,task_id,details
20260909_025409_7b0bad,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=C-08
20260909_025409_7b0bad,3,task_assigned,R1,G00001,
20260909_025409_7b0bad,5,task_created,,G00002,type=PICK pickup=H-05 dropoff=PICK-2
20260909_025409_7b0bad,5,task_assigned,R2,G00002,
20260909_025409_7b0bad,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025409_7b0bad,7,task_assigned,R3,G00003,
20260909_025409_7b0bad,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025409_7b0bad,9,task_assigned,R4,G00004,
20260909_025409_7b0bad,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260909_025409_7b0bad,15,task_created,,G00006,type=PICK pickup=H-02 dropoff=PICK-3
20260909_025409_7b0bad,17,robot_blocked,R2,,"{""x"": 17, ""y"": 4}"
20260909_025409_7b0bad,18,robot_blocked,R1,,"{""x"": 16, ""y"": 4}"
20260909_025409_7b0bad,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025409_7b0bad,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025409_7b0bad,22,task_completed,R3,G00003,
20260909_025409_7b0bad,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025409_7b0bad,23,task_assigned,R3,G00009,
20260909_025409_7b0bad,25,task_completed,R4,G00004,
20260909_025409_7b0bad,25,task_created,,G00010,type=PICK pickup=E-08 dropoff=PICK-3
20260909_025409_7b0bad,26,task_assigned,R4,G00008,
20260909_025409_7b0bad,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-08
20260909_025409_7b0bad,28,task_completed,R2,G00002,
20260909_025409_7b0bad,29,task_assigned,R2,G00006,
20260909_025409_7b0bad,29,task_completed,R3,G00009,
20260909_025409_7b0bad,30,task_assigned,R3,G00010,
20260909_025409_7b0bad,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025409_7b0bad,34,task_completed,R1,G00001,
20260909_025409_7b0bad,35,task_assigned,R1,G00012,
20260909_025409_7b0bad,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-03
20260909_025409_7b0bad,35,task_created,,G00014,type=PICK pickup=D-06 dropoff=PICK-1
20260909_025409_7b0bad,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025409_7b0bad,40,task_completed,R4,G00008,
20260909_025409_7b0bad,41,task_assigned,R4,G00015,
20260909_025409_7b0bad,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025409_7b0bad,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025409_7b0bad,45,task_created,,G00018,type=PICK pickup=H-07 dropoff=PICK-2
20260909_025409_7b0bad,47,task_completed,R4,G00015,
20260909_025409_7b0bad,48,task_assigned,R4,G00017,
20260909_025409_7b0bad,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260909_025409_7b0bad,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025409_7b0bad,52,task_completed,R2,G00006,
20260909_025409_7b0bad,53,task_assigned,R2,G00020,
20260909_025409_7b0bad,55,task_created,,G00021,type=PICK pickup=G-06 dropoff=PICK-2
20260909_025409_7b0bad,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025409_7b0bad,57,task_completed,R1,G00012,
20260909_025409_7b0bad,58,task_assigned,R1,G00022,
20260909_025409_7b0bad,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025409_7b0bad,62,task_completed,R4,G00017,
20260909_025409_7b0bad,63,task_assigned,R4,G00014,
20260909_025409_7b0bad,65,task_created,,G00024,type=PICK pickup=C-03 dropoff=PICK-2
20260909_025409_7b0bad,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
