tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.2125,97.05,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.825,96.55,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.4375,96.05,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.05,95.55,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.625,95.05,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.2,94.55,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.775,94.05,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,95.4375,93.55,96.85,0.0,0.0,1.0,1.0
18,2,6.0,0.0,0.0,0.0,0.0,2,0,2,0,0,0,0,95.225,93.55,96.5,0.0,0.0,2.0,3.0
19,4,8.0,2.0,0.0,0.0,0.0,3,0,1,0,0,0,0,95.0125,93.55,96.15,1.0,1.0,2.0,5.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.55,93.05,95.8,0.0,1.0,0.0,5.0
21,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.0875,92.55,95.45,0.0,1.0,0.0,5.0
22,4,7.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,93.625,92.05,95.1,0.0,1.0,0.0,5.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.1625,91.55,94.6,0.0,1.0,0.0,5.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.7,91.05,94.1,0.0,1.0,0.0,5.0
25,5,8.0,1.0,1.0,2.0,0.0,3,1,0,0,0,0,0,92.2375,90.55,93.6,0.0,1.0,0.0,5.0
26,4,8.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.8125,90.05,93.25,0.0,1.0,0.0,5.0
27,5,9.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.35,89.55,92.9,0.0,1.0,0.0,5.0
28,5,8.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,90.8875,89.05,92.55,0.0,1.0,0.0,5.0
29,4,7.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,90.4625,88.55,92.2,0.0,1.0,0.0,5.0
30,3,7.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,90.075,88.05,91.85,0.0,1.0,0.0,5.0
31,4,8.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,89.6875,87.55,91.5,0.0,1.0,0.0,5.0
32,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,89.3,87.05,91.15,0.0,1.0,0.0,5.0
33,4,8.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,88.9125,86.55,90.8,0.0,1.0,0.0,5.0
34,4,7.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,88.525,86.05,90.45,0.0,1.0,0.0,5.0
35,5,9.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.1375,85.7,89.95,0.0,1.0,0.0,5.0
36,5,9.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.75,85.35,89.45,0.0,1.0,0.0,5.0
37,6,10.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.3625,85.0,88.95,0.0,1.0,0.0,5.0
38,6,10.0,0.0,0.0,5.0,0.0,2,0,2,0,0,0,0,87.15,85.0,88.45,0.0,1.0,2.0,7.0
39,6,10.0,0.0,0.0,5.0,0.0,3,0,1,0,0,0,0,86.9375,85.0,87.95,1.0,2.0,2.0,9.0
40,6,9.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,86.55,84.65,87.45,0.0,2.0,0.0,9.0
41,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,86.2,84.3,87.1,0.0,2.0,0.0,9.0
42,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,85.85,83.95,86.75,0.0,2.0,0.0,9.0
43,7,11.0,2.0,0.0,6.0,0.0,4,0,0,0,0,0,0,85.5,83.6,86.4,0.0,2.0,0.0,9.0
44,7,11.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,85.1125,83.1,86.05,0.0,2.0,0.0,9.0
45,8,12.0,1.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.6875,82.6,85.6,0.0,2.0,0.0,9.0
46,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.225,82.1,85.1,0.0,2.0,0.0,9.0
47,8,11.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,83.7625,81.6,84.6,0.0,2.0,0.0,9.0
48,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,83.3375,81.1,84.2,0.0,2.0,0.0,9.0
49,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.9125,80.6,83.85,0.0,2.0,0.0,9.0
50,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.45,80.1,83.5,0.0,2.0,0.0,9.0
51,9,13.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.9875,79.6,83.15,0.0,2.0,0.0,9.0
52,9,12.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,81.525,79.1,82.8,0.0,2.0,0.0,9.0
53,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,81.1,78.6,82.45,0.0,2.0,0.0,9.0
54,8,12.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.675,78.1,82.1,0.0,2.0,0.0,9.0
55,10,14.0,2.0,0.0,8.0,0.0,4,0,0,0,0,0,0,80.25,77.6,81.75,0.0,2.0,0.0,9.0
56,10,14.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,79.825,77.1,81.4,0.0,2.0,0.0,9.0
57,10,13.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,79.3625,76.6,80.9,0.0,2.0,0.0,9.0
58,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.9375,76.25,80.4,0.0,2.0,0.0,9.0
59,10,14.0,1.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.5125,75.9,79.9,0.0,2.0,0.0,9.0
60,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.0875,75.55,79.4,0.0,2.0,0.0,9.0
61,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.6625,75.2,78.95,0.0,2.0,0.0,9.0
62,10,13.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,77.2375,74.85,78.6,0.0,2.0,0.0,9.0
63,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.85,74.5,78.25,0.0,2.0,0.0,9.0
64,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.425,74.0,77.9,0.0,2.0,0.0,9.0
65,11,15.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.0,73.5,77.55,0.0,2.0,0.0,9.0
66,11,15.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.575,73.0,77.2,0.0,2.0,0.0,9.0
67,13,17.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,75.1125,72.5,76.7,0.0,2.0,0.0,9.0
68,13,16.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,74.65,72.0,76.3,0.0,2.0,0.0,9.0
69,12,14.0,0.0,2.0,13.0,0.0,2,2,0,0,0,0,0,74.225,71.5,75.95,0.0,2.0,0.0,9.0
70,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,73.875,71.15,75.6,0.0,2.0,0.0,9.0
71,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,73.525,70.8,75.25,0.0,2.0,0.0,9.0
72,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,73.175,70.45,74.9,0.0,2.0,0.0,9.0
73,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.825,70.1,74.55,0.0,2.0,0.0,9.0
74,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.475,69.75,74.2,0.0,2.0,0.0,9.0
75,12,16.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.125,69.4,73.85,0.0,2.0,0.0,9.0
76,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.775,69.05,73.5,0.0,2.0,0.0,9.0
77,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.425,68.7,73.15,0.0,2.0,0.0,9.0
78,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.075,68.35,72.8,0.0,2.0,0.0,9.0
79,14,18.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.725,68.0,72.45,0.0,2.0,0.0,9.0
80,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.3375,67.5,72.1,0.0,2.0,0.0,9.0
81,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.95,67.0,71.75,0.0,2.0,0.0,9.0
82,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.525,66.5,71.25,0.0,2.0,0.0,9.0
83,15,19.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.0625,66.0,70.8,0.0,2.0,0.0,9.0
84,15,19.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.6,65.5,70.45,0.0,2.0,0.0,9.0
85,16,19.0,1.0,1.0,14.0,0.0,3,1,0,0,0,0,0,68.1375,65.0,70.1,0.0,2.0,0.0,9.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.7125,64.5,69.75,0.0,2.0,0.0,9.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.2875,64.0,69.4,0.0,2.0,0.0,9.0
88,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.8625,63.5,69.05,0.0,2.0,0.0,9.0
89,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.3625,63.0,68.55,0.0,2.0,0.0,9.0
90,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,65.8625,62.5,68.05,0.0,2.0,0.0,9.0
91,17,20.0,2.0,1.0,15.0,0.0,3,1,0,0,0,0,0,65.3625,62.0,67.55,0.0,2.0,0.0,9.0
92,16,20.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.9,61.5,67.05,0.0,2.0,0.0,9.0
93,17,21.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.4375,61.0,66.55,0.0,2.0,0.0,9.0
94,17,20.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,63.975,60.5,66.05,0.0,2.0,0.0,9.0
95,17,21.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.55,60.15,65.55,0.0,2.0,0.0,9.0
96,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.125,59.8,65.05,0.0,2.0,0.0,9.0
97,17,21.0,0.0,0.0,16.0,0.0,3,0,1,0,0,0,0,62.7875,59.8,64.55,0.0,2.0,1.0,10.0
98,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.3625,59.45,64.05,0.0,2.0,0.0,10.0
99,18,22.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.9375,59.1,63.55,0.0,2.0,0.0,10.0
100,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.5125,58.75,63.05,0.0,2.0,0.0,10.0
101,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.0125,58.25,62.55,0.0,2.0,0.0,10.0
102,18,20.0,0.0,2.0,18.0,0.0,2,2,0,0,0,0,0,60.5125,57.75,62.05,0.0,2.0,0.0,10.0
103,17,20.0,1.0,1.0,19.0,0.0,3,1,0,0,0,0,0,60.05,57.25,61.55,0.0,2.0,0.0,10.0
104,16,20.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.625,56.9,61.05,0.0,2.0,0.0,10.0
105,17,21.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.2,56.55,60.55,0.0,2.0,0.0,10.0
106,17,20.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,58.775,56.2,60.05,0.0,2.0,0.0,10.0
107,18,22.0,2.0,0.0,20.0,0.0,4,0,0,0,0,0,0,58.3875,55.85,59.55,0.0,2.0,0.0,10.0
108,18,21.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,58.0,55.5,59.15,0.0,2.0,0.0,10.0
109,17,21.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,57.65,55.15,58.8,0.0,2.0,0.0,10.0
110,17,21.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,57.3,54.8,58.45,0.0,2.0,0.0,10.0
111,17,21.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,56.9125,54.45,58.1,0.0,2.0,0.0,10.0
112,17,21.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,56.525,54.1,57.75,0.0,2.0,0.0,10.0
113,17,20.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,56.1,53.75,57.3,0.0,2.0,0.0,10.0
114,16,20.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.7125,53.4,56.95,0.0,2.0,0.0,10.0
115,19,23.0,3.0,0.0,22.0,0.0,4,0,0,0,0,0,0,55.325,53.05,56.6,0.0,2.0,0.0,10.0
116,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.9375,52.7,56.25,0.0,2.0,0.0,10.0
117,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.55,52.35,55.9,0.0,2.0,0.0,10.0
118,19,23.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,54.125,51.85,55.55,0.0,2.0,0.0,10.0
119,19,22.0,0.0,1.0,23.0,0.0,2,1,1,0,0,0,0,53.7875,51.35,55.55,0.0,2.0,1.0,11.0
120,18,22.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,53.4,50.85,55.2,0.0,2.0,0.0,11.0
121,19,23.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,53.0125,50.35,54.85,0.0,2.0,0.0,11.0
122,19,23.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,52.625,49.85,54.5,0.0,2.0,0.0,11.0
123,20,24.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,52.2375,49.35,54.15,0.0,2.0,0.0,11.0
124,20,23.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,51.8125,48.85,53.65,0.0,2.0,0.0,11.0
125,20,24.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,51.425,48.5,53.15,0.0,2.0,0.0,11.0
126,20,24.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,51.0375,48.15,52.65,0.0,2.0,0.0,11.0
127,21,25.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,50.65,47.8,52.15,0.0,2.0,0.0,11.0
128,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,50.2625,47.45,51.65,0.0,2.0,0.0,11.0
129,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.875,47.1,51.15,0.0,2.0,0.0,11.0
130,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.45,46.75,50.65,0.0,2.0,0.0,11.0
131,22,25.0,1.0,1.0,25.0,0.0,3,1,0,0,0,0,0,48.9875,46.25,50.15,0.0,2.0,0.0,11.0
132,21,25.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,48.5625,45.75,49.8,0.0,2.0,0.0,11.0
133,21,24.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,48.1375,45.25,49.45,0.0,2.0,0.0,11.0
134,20,24.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.75,44.9,49.1,0.0,2.0,0.0,11.0
135,22,26.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,47.325,44.55,48.75,0.0,2.0,0.0,11.0
136,22,25.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,46.9,44.2,48.4,0.0,2.0,0.0,11.0
137,21,25.0,0.0,0.0,27.0,0.0,2,0,2,0,0,0,0,46.725,43.85,48.4,0.0,2.0,2.0,13.0
138,21,25.0,0.0,0.0,27.0,0.0,3,0,1,0,0,0,0,46.55,43.5,48.4,1.0,3.0,2.0,15.0
139,23,27.0,2.0,0.0,27.0,0.0,4,0,0,0,0,0,0,46.1625,43.15,48.05,0.0,3.0,0.0,15.0
140,23,27.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,45.775,42.8,47.7,0.0,3.0,0.0,15.0
141,23,27.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,45.3875,42.45,47.35,0.0,3.0,0.0,15.0
142,23,27.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,45.0,42.1,47.0,0.0,3.0,0.0,15.0
143,23,27.0,0.0,0.0,27.0,0.0,3,0,1,0,0,0,0,44.7,41.75,46.65,0.0,3.0,1.0,16.0
144,23,27.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,44.3125,41.4,46.3,0.0,3.0,0.0,16.0
145,24,28.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,43.925,41.05,45.95,0.0,3.0,0.0,16.0
146,24,28.0,0.0,0.0,27.0,0.0,3,0,1,0,0,0,0,43.5875,40.7,45.45,0.0,3.0,1.0,17.0
147,25,29.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,43.1625,40.35,44.95,0.0,3.0,0.0,17.0
148,25,29.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.7375,40.0,44.45,0.0,3.0,0.0,17.0
149,26,30.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.3125,39.65,43.95,0.0,3.0,0.0,17.0
150,26,30.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.8875,39.3,43.45,0.0,3.0,0.0,17.0
151,27,30.0,1.0,1.0,28.0,0.0,3,1,0,0,0,0,0,41.425,38.8,42.95,0.0,3.0,0.0,17.0
152,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,41.0,38.3,42.45,0.0,3.0,0.0,17.0
153,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.5375,37.8,41.95,0.0,3.0,0.0,17.0
154,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,40.075,37.3,41.45,0.0,3.0,0.0,17.0
155,28,30.0,2.0,2.0,30.0,0.0,2,2,0,0,0,0,0,39.6125,36.8,40.95,0.0,3.0,0.0,17.0
156,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,39.225,36.3,40.6,0.0,3.0,0.0,17.0
157,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,38.8,35.8,40.25,0.0,3.0,0.0,17.0
158,26,29.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,38.375,35.3,39.9,0.0,3.0,0.0,17.0
159,25,28.0,0.0,1.0,32.0,0.0,3,1,0,0,0,0,0,37.9875,34.95,39.55,0.0,3.0,0.0,17.0
160,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,37.6375,34.6,39.2,0.0,3.0,0.0,17.0
161,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,37.2875,34.25,38.85,0.0,3.0,0.0,17.0
162,24,28.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,36.9375,33.9,38.5,0.0,3.0,0.0,17.0
163,27,31.0,3.0,0.0,32.0,0.0,4,0,0,0,0,0,0,36.5875,33.55,38.15,0.0,3.0,0.0,17.0
164,27,31.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,36.2375,33.2,37.8,0.0,3.0,0.0,17.0
165,28,32.0,1.0,0.0,32.0,0.0,3,0,1,0,0,0,0,35.975,32.85,37.8,0.0,3.0,1.0,18.0
166,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.625,32.5,37.45,0.0,3.0,0.0,18.0
167,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,35.275,32.15,37.1,0.0,3.0,0.0,18.0
168,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.8875,31.65,36.75,0.0,3.0,0.0,18.0
169,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.4625,31.15,36.4,0.0,3.0,0.0,18.0
170,28,32.0,0.0,0.0,32.0,0.0,4,0,0,0,0,0,0,34.0375,30.65,36.05,0.0,3.0,0.0,18.0
