tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.85,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.4625,95.3,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.075,94.8,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.6875,94.3,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.3,93.8,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.9125,93.3,96.15,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.4875,92.8,95.8,0.0,0.0,0.0,0.0
21,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.0625,92.3,95.45,0.0,0.0,0.0,0.0
22,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.6,91.8,94.95,0.0,0.0,0.0,0.0
23,5,9.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.1375,91.3,94.45,0.0,0.0,0.0,0.0
24,5,8.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,92.675,90.8,93.95,0.0,0.0,0.0,0.0
25,5,9.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.25,90.3,93.6,0.0,0.0,0.0,0.0
26,5,8.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,91.825,89.8,93.25,0.0,0.0,0.0,0.0
27,5,9.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.4375,89.3,92.9,0.0,0.0,0.0,0.0
28,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.0125,88.8,92.4,0.0,0.0,0.0,0.0
29,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.5875,88.3,91.95,0.0,0.0,0.0,0.0
30,5,8.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,90.125,87.8,91.45,0.0,0.0,0.0,0.0
31,5,9.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.7,87.3,91.05,0.0,0.0,0.0,0.0
32,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.275,86.8,90.7,0.0,0.0,0.0,0.0
33,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.85,86.3,90.35,0.0,0.0,0.0,0.0
34,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.425,85.8,90.0,0.0,0.0,0.0,0.0
35,7,11.0,2.0,0.0,3.0,0.0,4,0,0,0,0,0,0,87.9625,85.3,89.65,0.0,0.0,0.0,0.0
36,7,11.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,87.5,84.8,89.3,0.0,0.0,0.0,0.0
37,8,11.0,1.0,1.0,4.0,0.0,3,1,0,0,0,0,0,87.0375,84.3,88.95,0.0,0.0,0.0,0.0
38,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.6125,83.95,88.6,0.0,0.0,0.0,0.0
39,7,10.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,86.1875,83.6,88.25,0.0,0.0,0.0,0.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.8,83.25,87.9,0.0,0.0,0.0,0.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.4125,82.9,87.55,0.0,0.0,0.0,0.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.025,82.55,87.2,0.0,0.0,0.0,0.0
43,8,12.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.6375,82.2,86.85,0.0,0.0,0.0,0.0
44,8,12.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.2125,81.85,86.35,0.0,0.0,0.0,0.0
45,9,13.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.7875,81.5,85.85,0.0,0.0,0.0,0.0
46,9,13.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.3625,81.15,85.35,0.0,0.0,0.0,0.0
47,9,13.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,82.9375,80.8,84.85,0.0,0.0,0.0,0.0
48,9,12.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,82.5125,80.45,84.35,0.0,0.0,0.0,0.0
49,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.125,80.1,83.85,0.0,0.0,0.0,0.0
50,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,81.7375,79.75,83.35,0.0,0.0,0.0,0.0
51,10,14.0,2.0,0.0,6.0,0.0,4,0,0,0,0,0,0,81.35,79.4,82.85,0.0,0.0,0.0,0.0
52,10,13.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,80.9625,79.05,82.4,0.0,0.0,0.0,0.0
53,9,13.0,0.0,0.0,7.0,0.0,2,0,2,0,0,0,0,80.75,79.05,82.0,0.0,0.0,2.0,2.0
54,9,13.0,0.0,0.0,7.0,0.0,3,0,1,0,0,0,0,80.5375,79.05,81.65,1.0,1.0,2.0,4.0
55,11,15.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.15,78.7,81.3,0.0,1.0,0.0,4.0
56,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.7625,78.35,80.95,0.0,1.0,0.0,4.0
57,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.375,78.0,80.6,0.0,1.0,0.0,4.0
58,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,78.95,77.65,80.1,0.0,1.0,0.0,4.0
59,12,16.0,1.0,0.0,7.0,0.0,4,0,0,0,0,0,0,78.4875,77.3,79.6,0.0,1.0,0.0,4.0
60,12,15.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,77.9875,76.8,79.1,0.0,1.0,0.0,4.0
61,11,14.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,77.525,76.3,78.75,0.0,1.0,0.0,4.0
62,10,13.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,77.1,75.8,78.4,0.0,1.0,0.0,4.0
63,9,13.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,76.7125,75.45,78.05,0.0,1.0,0.0,4.0
64,9,12.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,76.325,75.1,77.7,0.0,1.0,0.0,4.0
65,10,14.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.975,74.75,77.35,0.0,1.0,0.0,4.0
66,10,14.0,0.0,0.0,11.0,0.0,3,0,1,0,0,0,0,75.7125,74.4,77.0,0.0,1.0,1.0,5.0
67,12,16.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.3625,74.05,76.65,0.0,1.0,0.0,5.0
68,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,75.0125,73.7,76.3,0.0,1.0,0.0,5.0
69,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.6625,73.35,75.95,0.0,1.0,0.0,5.0
70,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.275,73.0,75.45,0.0,1.0,0.0,5.0
71,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.85,72.65,74.95,0.0,1.0,0.0,5.0
72,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.3875,72.3,74.45,0.0,1.0,0.0,5.0
73,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.925,71.95,73.95,0.0,1.0,0.0,5.0
74,12,15.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,72.4625,71.6,73.45,0.0,1.0,0.0,5.0
75,13,16.0,2.0,1.0,13.0,0.0,3,1,0,0,0,0,0,72.0375,71.25,72.95,0.0,1.0,0.0,5.0
76,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.65,70.9,72.6,0.0,1.0,0.0,5.0
77,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.2625,70.55,72.25,0.0,1.0,0.0,5.0
78,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.875,70.2,71.9,0.0,1.0,0.0,5.0
79,14,17.0,2.0,1.0,14.0,0.0,3,1,0,0,0,0,0,70.4875,69.85,71.55,0.0,1.0,0.0,5.0
80,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,70.1375,69.5,71.2,0.0,1.0,0.0,5.0
81,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,69.7875,69.15,70.85,0.0,1.0,0.0,5.0
82,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,69.4375,68.8,70.5,0.0,1.0,0.0,5.0
83,14,18.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,69.0875,68.45,70.15,0.0,1.0,0.0,5.0
84,14,18.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.7375,68.1,69.8,0.0,1.0,0.0,5.0
85,15,19.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.35,67.6,69.45,0.0,1.0,0.0,5.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.9625,67.1,69.1,0.0,1.0,0.0,5.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.575,66.6,68.75,0.0,1.0,0.0,5.0
88,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.1125,66.1,68.25,0.0,1.0,0.0,5.0
89,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.65,65.6,67.75,0.0,1.0,0.0,5.0
90,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.1875,65.1,67.25,0.0,1.0,0.0,5.0
91,17,21.0,2.0,0.0,14.0,0.0,4,0,0,0,0,0,0,65.725,64.6,66.75,0.0,1.0,0.0,5.0
92,17,21.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,65.2625,64.1,66.25,0.0,1.0,0.0,5.0
93,18,22.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,64.8,63.6,65.75,0.0,1.0,0.0,5.0
94,18,22.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,64.3,63.1,65.25,0.0,1.0,0.0,5.0
95,19,23.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,63.8,62.6,64.75,0.0,1.0,0.0,5.0
96,19,21.0,0.0,2.0,16.0,0.0,2,2,0,0,0,0,0,63.3,62.1,64.25,0.0,1.0,0.0,5.0
97,17,20.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,62.875,61.6,63.75,0.0,1.0,0.0,5.0
98,16,20.0,0.0,0.0,17.0,0.0,4,0,0,0,0,0,0,62.4875,61.25,63.25,0.0,1.0,0.0,5.0
99,17,20.0,1.0,1.0,18.0,0.0,3,1,0,0,0,0,0,62.1,60.9,62.8,0.0,1.0,0.0,5.0
100,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.7125,60.55,62.4,0.0,1.0,0.0,5.0
101,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.325,60.2,62.05,0.0,1.0,0.0,5.0
102,16,19.0,0.0,1.0,19.0,0.0,2,1,1,0,0,0,0,61.025,59.85,62.05,0.0,1.0,1.0,6.0
103,16,20.0,1.0,0.0,19.0,0.0,3,0,1,0,0,0,0,60.85,59.85,62.05,1.0,2.0,2.0,8.0
104,16,20.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,60.5,59.5,61.7,0.0,2.0,0.0,8.0
105,17,21.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,60.15,59.15,61.35,0.0,2.0,0.0,8.0
106,17,21.0,0.0,0.0,19.0,0.0,2,0,2,0,0,0,0,59.975,59.15,61.0,0.0,2.0,2.0,10.0
107,19,23.0,2.0,0.0,19.0,0.0,3,0,1,0,0,0,0,59.8,59.15,60.65,1.0,3.0,2.0,12.0
108,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,59.4125,58.8,60.3,0.0,3.0,0.0,12.0
109,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.9875,58.3,59.95,0.0,3.0,0.0,12.0
110,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.5625,57.8,59.6,0.0,3.0,0.0,12.0
111,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.1375,57.3,59.25,0.0,3.0,0.0,12.0
112,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.7125,56.8,58.9,0.0,3.0,0.0,12.0
113,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.2875,56.3,58.55,0.0,3.0,0.0,12.0
114,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.8625,55.8,58.2,0.0,3.0,0.0,12.0
115,22,26.0,3.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.4375,55.3,57.85,0.0,3.0,0.0,12.0
116,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,55.975,54.8,57.35,0.0,3.0,0.0,12.0
117,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,55.5125,54.3,56.85,0.0,3.0,0.0,12.0
118,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,55.05,53.8,56.35,0.0,3.0,0.0,12.0
119,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,54.5875,53.3,55.85,0.0,3.0,0.0,12.0
120,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,54.0875,52.8,55.35,0.0,3.0,0.0,12.0
121,23,25.0,1.0,2.0,21.0,0.0,2,2,0,0,0,0,0,53.5875,52.3,54.85,0.0,3.0,0.0,12.0
122,21,24.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,53.1625,51.8,54.5,0.0,3.0,0.0,12.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.775,51.45,54.15,0.0,3.0,0.0,12.0
124,21,25.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.3875,51.1,53.8,0.0,3.0,0.0,12.0
125,22,26.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.0,50.75,53.45,0.0,3.0,0.0,12.0
126,22,26.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.575,50.4,53.1,0.0,3.0,0.0,12.0
127,23,27.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.15,50.05,52.75,0.0,3.0,0.0,12.0
128,23,26.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,50.6875,49.7,52.25,0.0,3.0,0.0,12.0
129,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.2625,49.35,51.75,0.0,3.0,0.0,12.0
130,22,25.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,49.8375,49.0,51.25,0.0,3.0,0.0,12.0
131,22,26.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.45,48.65,50.9,0.0,3.0,0.0,12.0
132,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.0625,48.3,50.55,0.0,3.0,0.0,12.0
133,22,25.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,48.6375,47.8,50.2,0.0,3.0,0.0,12.0
134,21,25.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,48.25,47.3,49.85,0.0,3.0,0.0,12.0
135,23,27.0,2.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.8625,46.8,49.5,0.0,3.0,0.0,12.0
136,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.475,46.3,49.15,0.0,3.0,0.0,12.0
137,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.0875,45.8,48.8,0.0,3.0,0.0,12.0
138,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,46.7,45.3,48.45,0.0,3.0,0.0,12.0
139,25,29.0,2.0,0.0,25.0,0.0,4,0,0,0,0,0,0,46.3125,44.8,48.1,0.0,3.0,0.0,12.0
140,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.925,44.3,47.75,0.0,3.0,0.0,12.0
141,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.5375,43.8,47.4,0.0,3.0,0.0,12.0
142,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,45.1125,43.3,47.05,0.0,3.0,0.0,12.0
143,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,44.6875,42.8,46.7,0.0,3.0,0.0,12.0
144,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,44.2625,42.3,46.35,0.0,3.0,0.0,12.0
145,26,30.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,43.8375,41.8,46.0,0.0,3.0,0.0,12.0
146,26,30.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,43.4125,41.3,45.65,0.0,3.0,0.0,12.0
147,27,30.0,1.0,1.0,26.0,0.0,3,1,0,0,0,0,0,42.9875,40.8,45.3,0.0,3.0,0.0,12.0
148,26,30.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.5625,40.45,44.8,0.0,3.0,0.0,12.0
149,27,31.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.1375,40.1,44.3,0.0,3.0,0.0,12.0
150,27,31.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,41.7125,39.75,43.8,0.0,3.0,0.0,12.0
151,28,32.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,41.2875,39.4,43.3,0.0,3.0,0.0,12.0
152,28,32.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,40.8625,39.05,42.8,0.0,3.0,0.0,12.0
153,28,32.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,40.4,38.55,42.3,0.0,3.0,0.0,12.0
154,28,32.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,39.9375,38.05,41.8,0.0,3.0,0.0,12.0
155,30,32.0,2.0,2.0,28.0,0.0,2,2,0,0,0,0,0,39.4375,37.55,41.3,0.0,3.0,0.0,12.0
156,28,31.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,39.0125,37.2,40.95,0.0,3.0,0.0,12.0
157,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,38.625,36.85,40.6,0.0,3.0,0.0,12.0
158,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,38.2375,36.5,40.25,0.0,3.0,0.0,12.0
159,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,37.8125,36.0,39.9,0.0,3.0,0.0,12.0
160,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,37.3875,35.5,39.55,0.0,3.0,0.0,12.0
161,27,30.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,36.9625,35.0,39.2,0.0,3.0,0.0,12.0
162,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.575,34.65,38.85,0.0,3.0,0.0,12.0
163,29,33.0,3.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.1875,34.3,38.5,0.0,3.0,0.0,12.0
164,29,33.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.8,33.95,38.15,0.0,3.0,0.0,12.0
165,30,34.0,1.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.4125,33.6,37.8,0.0,3.0,0.0,12.0
166,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.9875,33.25,37.45,0.0,3.0,0.0,12.0
167,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.5625,32.9,37.1,0.0,3.0,0.0,12.0
168,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.1375,32.55,36.75,0.0,3.0,0.0,12.0
169,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,33.7125,32.2,36.4,0.0,3.0,0.0,12.0
