run_id,tick,event_type,robot_id,task_id,details
20260909_025411_fbd7cd,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=B-03
20260909_025411_fbd7cd,3,task_assigned,R4,G00001,
20260909_025411_fbd7cd,5,task_created,,G00002,type=PICK pickup=D-01 dropoff=PICK-2
20260909_025411_fbd7cd,5,task_assigned,R2,G00002,
20260909_025411_fbd7cd,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025411_fbd7cd,7,task_assigned,R3,G00003,
20260909_025411_fbd7cd,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025411_fbd7cd,9,task_assigned,R1,G00004,
20260909_025411_fbd7cd,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-08
20260909_025411_fbd7cd,15,task_created,,G00006,type=PICK pickup=F-07 dropoff=PICK-3
20260909_025411_fbd7cd,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=G-04
20260909_025411_fbd7cd,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025411_fbd7cd,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025411_fbd7cd,25,task_completed,R4,G00001,
20260909_025411_fbd7cd,25,task_completed,R3,G00003,
20260909_025411_fbd7cd,25,task_completed,R1,G00004,
20260909_025411_fbd7cd,25,task_created,,G00010,type=PICK pickup=D-07 dropoff=PICK-3
20260909_025411_fbd7cd,26,task_assigned,R4,G00006,
20260909_025411_fbd7cd,26,task_assigned,R3,G00008,
20260909_025411_fbd7cd,26,task_assigned,R1,G00009,
20260909_025411_fbd7cd,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_025411_fbd7cd,28,task_completed,R2,G00002,
20260909_025411_fbd7cd,29,task_assigned,R2,G00010,
20260909_025411_fbd7cd,31,task_completed,R1,G00009,
20260909_025411_fbd7cd,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025411_fbd7cd,32,task_assigned,R1,G00012,
20260909_025411_fbd7cd,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=F-01
20260909_025411_fbd7cd,35,task_created,,G00014,type=PICK pickup=D-06 dropoff=PICK-3
20260909_025411_fbd7cd,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025411_fbd7cd,37,robot_blocked,R2,,"{""x"": 19, ""y"": 7}"
20260909_025411_fbd7cd,37,robot_blocked,R4,,"{""x"": 19, ""y"": 6}"
20260909_025411_fbd7cd,38,task_completed,R3,G00008,
20260909_025411_fbd7cd,39,task_assigned,R3,G00015,
20260909_025411_fbd7cd,41,task_completed,R4,G00006,
20260909_025411_fbd7cd,42,task_assigned,R4,G00014,
20260909_025411_fbd7cd,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=B-07
20260909_025411_fbd7cd,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025411_fbd7cd,45,task_completed,R3,G00015,
20260909_025411_fbd7cd,45,task_created,,G00018,type=PICK pickup=A-02 dropoff=PICK-1
20260909_025411_fbd7cd,46,task_assigned,R3,G00017,
20260909_025411_fbd7cd,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=A-08
20260909_025411_fbd7cd,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025411_fbd7cd,55,task_completed,R4,G00014,
20260909_025411_fbd7cd,55,task_created,,G00021,type=PICK pickup=C-08 dropoff=PICK-2
20260909_025411_fbd7cd,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025411_fbd7cd,56,task_assigned,R4,G00020,
20260909_025411_fbd7cd,57,task_completed,R1,G00012,
20260909_025411_fbd7cd,58,task_completed,R2,G00010,
20260909_025411_fbd7cd,58,task_assigned,R1,G00022,
20260909_025411_fbd7cd,59,task_assigned,R2,G00018,
20260909_025411_fbd7cd,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=C-03
20260909_025411_fbd7cd,61,task_completed,R3,G00017,
20260909_025411_fbd7cd,62,task_assigned,R3,G00021,
20260909_025411_fbd7cd,65,task_created,,G00024,type=PICK pickup=C-06 dropoff=PICK-3
20260909_025411_fbd7cd,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
