run_id,tick,event_type,robot_id,task_id,details
20260909_025412_30cb4d,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025412_30cb4d,3,task_assigned,R4,G00001,
20260909_025412_30cb4d,5,task_created,,G00002,type=PICK pickup=A-04 dropoff=PICK-3
20260909_025412_30cb4d,5,task_assigned,R2,G00002,
20260909_025412_30cb4d,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025412_30cb4d,7,task_assigned,R1,G00003,
20260909_025412_30cb4d,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025412_30cb4d,9,task_assigned,R3,G00004,
20260909_025412_30cb4d,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260909_025412_30cb4d,15,task_created,,G00006,type=PICK pickup=B-05 dropoff=PICK-1
20260909_025412_30cb4d,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260909_025412_30cb4d,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025412_30cb4d,21,task_completed,R1,G00003,
20260909_025412_30cb4d,22,task_assigned,R1,G00008,
20260909_025412_30cb4d,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025412_30cb4d,25,task_created,,G00010,type=PICK pickup=G-03 dropoff=PICK-1
20260909_025412_30cb4d,26,task_completed,R3,G00004,
20260909_025412_30cb4d,27,task_assigned,R3,G00009,
20260909_025412_30cb4d,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=C-01
20260909_025412_30cb4d,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025412_30cb4d,32,task_completed,R3,G00009,
20260909_025412_30cb4d,33,task_assigned,R3,G00012,
20260909_025412_30cb4d,35,task_completed,R1,G00008,
20260909_025412_30cb4d,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025412_30cb4d,35,task_created,,G00014,type=PICK pickup=D-02 dropoff=PICK-1
20260909_025412_30cb4d,36,task_assigned,R1,G00006,
20260909_025412_30cb4d,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025412_30cb4d,38,task_completed,R4,G00001,
20260909_025412_30cb4d,39,task_assigned,R4,G00015,
20260909_025412_30cb4d,41,task_completed,R2,G00002,
20260909_025412_30cb4d,42,task_assigned,R2,G00010,
20260909_025412_30cb4d,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260909_025412_30cb4d,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025412_30cb4d,45,task_created,,G00018,type=PICK pickup=C-06 dropoff=PICK-1
20260909_025412_30cb4d,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=F-07
20260909_025412_30cb4d,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
