tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.85,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.4625,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.075,95.1,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.6875,94.75,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.3,94.4,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.9125,94.05,96.15,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.525,93.7,95.8,0.0,0.0,0.0,0.0
21,4,7.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,94.1,93.2,95.45,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.7125,92.7,95.1,0.0,0.0,0.0,0.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.2875,92.2,94.75,0.0,0.0,0.0,0.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.825,91.7,94.25,0.0,0.0,0.0,0.0
25,5,9.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.3625,91.2,93.75,0.0,0.0,0.0,0.0
26,5,8.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,91.9,90.7,93.25,0.0,0.0,0.0,0.0
27,5,9.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.475,90.2,92.9,0.0,0.0,0.0,0.0
28,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,91.05,89.7,92.55,0.0,0.0,0.0,0.0
29,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.5875,89.2,92.2,0.0,0.0,0.0,0.0
30,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,90.0875,88.7,91.7,0.0,0.0,0.0,0.0
31,6,10.0,1.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.5875,88.2,91.2,0.0,0.0,0.0,0.0
32,6,9.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,89.0875,87.7,90.7,0.0,0.0,0.0,0.0
33,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.625,87.2,90.35,0.0,0.0,0.0,0.0
34,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.1625,86.7,90.0,0.0,0.0,0.0,0.0
35,7,10.0,2.0,1.0,4.0,0.0,3,1,0,0,0,0,0,87.7,86.2,89.65,0.0,0.0,0.0,0.0
36,6,10.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.275,85.7,89.3,0.0,0.0,0.0,0.0
37,7,11.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.85,85.2,88.95,0.0,0.0,0.0,0.0
38,7,10.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,86.425,84.7,88.6,0.0,0.0,0.0,0.0
39,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.0375,84.35,88.25,0.0,0.0,0.0,0.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.65,84.0,87.9,0.0,0.0,0.0,0.0
41,6,9.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,85.2625,83.65,87.55,0.0,0.0,0.0,0.0
42,5,9.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.9125,83.3,87.2,0.0,0.0,0.0,0.0
43,7,11.0,2.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.5625,82.95,86.85,0.0,0.0,0.0,0.0
44,7,11.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,84.2125,82.6,86.5,0.0,0.0,0.0,0.0
45,8,12.0,1.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.8625,82.25,86.15,0.0,0.0,0.0,0.0
46,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.5125,81.9,85.8,0.0,0.0,0.0,0.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.1625,81.55,85.45,0.0,0.0,0.0,0.0
48,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.8125,81.2,85.1,0.0,0.0,0.0,0.0
49,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.4625,80.85,84.75,0.0,0.0,0.0,0.0
50,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.0375,80.5,84.25,0.0,0.0,0.0,0.0
51,10,14.0,2.0,0.0,6.0,0.0,4,0,0,0,0,0,0,81.575,80.15,83.75,0.0,0.0,0.0,0.0
52,10,14.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,81.1125,79.8,83.25,0.0,0.0,0.0,0.0
53,10,14.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,80.65,79.4,82.75,0.0,0.0,0.0,0.0
54,10,14.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,80.15,78.9,82.25,0.0,0.0,0.0,0.0
55,12,16.0,2.0,0.0,6.0,0.0,4,0,0,0,0,0,0,79.65,78.4,81.75,0.0,0.0,0.0,0.0
56,12,15.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,79.15,77.9,81.25,0.0,0.0,0.0,0.0
57,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,78.6875,77.4,80.75,0.0,0.0,0.0,0.0
58,11,14.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,78.225,76.9,80.25,0.0,0.0,0.0,0.0
59,11,15.0,1.0,0.0,8.0,0.0,4,0,0,0,0,0,0,77.8,76.4,79.75,0.0,0.0,0.0,0.0
60,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,77.3375,75.9,79.25,0.0,0.0,0.0,0.0
61,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,76.875,75.4,78.75,0.0,0.0,0.0,0.0
62,11,14.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,76.4125,74.9,78.25,0.0,0.0,0.0,0.0
63,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,75.9875,74.4,77.75,0.0,0.0,0.0,0.0
64,10,13.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,75.5625,73.9,77.25,0.0,0.0,0.0,0.0
65,11,14.0,2.0,1.0,11.0,0.0,3,1,0,0,0,0,0,75.175,73.4,76.9,0.0,0.0,0.0,0.0
66,10,14.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.825,73.05,76.55,0.0,0.0,0.0,0.0
67,12,16.0,2.0,0.0,11.0,0.0,3,0,1,0,0,0,0,74.5625,72.7,76.2,0.0,0.0,1.0,1.0
68,12,16.0,0.0,0.0,11.0,0.0,3,0,1,0,0,0,0,74.3875,72.35,76.2,1.0,1.0,2.0,3.0
69,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.0375,72.0,75.85,0.0,1.0,0.0,3.0
70,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.6875,71.65,75.5,0.0,1.0,0.0,3.0
71,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.3,71.3,75.0,0.0,1.0,0.0,3.0
72,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.9125,70.95,74.5,0.0,1.0,0.0,3.0
73,12,15.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,72.525,70.6,74.0,0.0,1.0,0.0,3.0
74,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.175,70.25,73.65,0.0,1.0,0.0,3.0
75,13,17.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.825,69.9,73.3,0.0,1.0,0.0,3.0
76,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.4375,69.55,72.95,0.0,1.0,0.0,3.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.0125,69.2,72.6,0.0,1.0,0.0,3.0
78,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.5875,68.85,72.25,0.0,1.0,0.0,3.0
79,15,19.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.1625,68.5,71.9,0.0,1.0,0.0,3.0
80,15,19.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,69.7375,68.15,71.55,0.0,1.0,0.0,3.0
81,15,19.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,69.3125,67.8,71.2,0.0,1.0,0.0,3.0
82,15,18.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,68.8875,67.45,70.85,0.0,1.0,0.0,3.0
83,15,19.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.5,67.1,70.5,0.0,1.0,0.0,3.0
84,15,19.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.1125,66.75,70.15,0.0,1.0,0.0,3.0
85,16,20.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,67.725,66.4,69.8,0.0,1.0,0.0,3.0
86,16,20.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,67.3375,66.05,69.45,0.0,1.0,0.0,3.0
87,16,20.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,66.9125,65.55,69.1,0.0,1.0,0.0,3.0
88,16,20.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,66.45,65.05,68.75,0.0,1.0,0.0,3.0
89,16,20.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,65.9875,64.55,68.4,0.0,1.0,0.0,3.0
90,16,18.0,0.0,2.0,15.0,0.0,2,2,0,0,0,0,0,65.525,64.05,68.05,0.0,1.0,0.0,3.0
91,16,20.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.1,63.55,67.55,0.0,1.0,0.0,3.0
92,16,20.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.675,63.05,67.05,0.0,1.0,0.0,3.0
93,17,21.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.25,62.55,66.55,0.0,1.0,0.0,3.0
94,17,21.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,63.825,62.05,66.05,0.0,1.0,0.0,3.0
95,18,22.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,63.4,61.55,65.55,0.0,1.0,0.0,3.0
96,18,22.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,62.975,61.05,65.05,0.0,1.0,0.0,3.0
97,18,22.0,0.0,0.0,15.0,0.0,3,0,1,0,0,0,0,62.6375,60.55,65.05,0.0,1.0,1.0,4.0
98,18,22.0,0.0,0.0,15.0,0.0,3,0,1,0,0,0,0,62.425,60.05,65.05,1.0,2.0,2.0,6.0
99,19,23.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,61.9625,59.55,64.55,0.0,2.0,0.0,6.0
100,19,23.0,0.0,0.0,15.0,0.0,3,0,1,0,0,0,0,61.625,59.05,64.05,0.0,2.0,1.0,7.0
101,19,23.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,61.1625,58.55,63.55,0.0,2.0,0.0,7.0
102,19,23.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,60.7,58.05,63.05,0.0,2.0,0.0,7.0
103,20,24.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,60.2375,57.55,62.55,0.0,2.0,0.0,7.0
104,20,24.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,59.7375,57.05,62.05,0.0,2.0,0.0,7.0
105,21,24.0,1.0,1.0,16.0,0.0,3,1,0,0,0,0,0,59.2375,56.55,61.55,0.0,2.0,0.0,7.0
106,20,23.0,0.0,1.0,17.0,0.0,3,1,0,0,0,0,0,58.775,56.05,61.05,0.0,2.0,0.0,7.0
107,21,24.0,2.0,1.0,18.0,0.0,3,1,0,0,0,0,0,58.35,55.55,60.7,0.0,2.0,0.0,7.0
108,20,24.0,0.0,0.0,18.0,0.0,3,0,1,0,0,0,0,58.05,55.2,60.7,0.0,2.0,1.0,8.0
109,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.6625,54.85,60.35,0.0,2.0,0.0,8.0
110,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.275,54.5,60.0,0.0,2.0,0.0,8.0
111,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.85,54.15,59.65,0.0,2.0,0.0,8.0
112,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.3875,53.8,59.15,0.0,2.0,0.0,8.0
113,20,23.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,55.925,53.45,58.65,0.0,2.0,0.0,8.0
114,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,55.5,53.1,58.15,0.0,2.0,0.0,8.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.1125,52.75,57.8,0.0,2.0,0.0,8.0
116,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.6875,52.25,57.45,0.0,2.0,0.0,8.0
117,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,54.2625,51.75,57.1,0.0,2.0,0.0,8.0
118,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.875,51.25,56.75,0.0,2.0,0.0,8.0
119,20,24.0,0.0,0.0,21.0,0.0,3,0,1,0,0,0,0,53.575,50.75,56.4,0.0,2.0,1.0,9.0
120,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.1875,50.25,56.05,0.0,2.0,0.0,9.0
121,21,24.0,1.0,1.0,22.0,0.0,3,1,0,0,0,0,0,52.8,49.75,55.7,0.0,2.0,0.0,9.0
122,20,24.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.45,49.4,55.35,0.0,2.0,0.0,9.0
123,21,25.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,52.1,49.05,55.0,0.0,2.0,0.0,9.0
124,21,25.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.7125,48.7,54.5,0.0,2.0,0.0,9.0
125,22,26.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.325,48.35,54.0,0.0,2.0,0.0,9.0
126,22,26.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,50.9,47.85,53.5,0.0,2.0,0.0,9.0
127,23,27.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,50.475,47.35,53.0,0.0,2.0,0.0,9.0
128,23,26.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,50.05,46.85,52.5,0.0,2.0,0.0,9.0
129,22,25.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,49.6625,46.5,52.0,0.0,2.0,0.0,9.0
130,21,25.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,49.275,46.15,51.65,0.0,2.0,0.0,9.0
131,22,26.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.8875,45.8,51.3,0.0,2.0,0.0,9.0
132,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.5,45.45,50.95,0.0,2.0,0.0,9.0
133,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.1125,45.1,50.6,0.0,2.0,0.0,9.0
134,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.725,44.75,50.25,0.0,2.0,0.0,9.0
135,24,28.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.3375,44.4,49.9,0.0,2.0,0.0,9.0
136,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.95,44.05,49.55,0.0,2.0,0.0,9.0
137,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.525,43.7,49.2,0.0,2.0,0.0,9.0
138,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.0625,43.2,48.85,0.0,2.0,0.0,9.0
139,26,30.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.6,42.7,48.5,0.0,2.0,0.0,9.0
140,26,30.0,0.0,0.0,24.0,0.0,2,0,2,0,0,0,0,45.35,42.2,48.5,0.0,2.0,2.0,11.0
141,26,30.0,0.0,0.0,24.0,0.0,3,0,1,0,0,0,0,45.1,41.7,48.5,1.0,3.0,2.0,13.0
142,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,44.6375,41.2,48.15,0.0,3.0,0.0,13.0
143,26,29.0,0.0,1.0,25.0,0.0,3,1,0,0,0,0,0,44.175,40.7,47.8,0.0,3.0,0.0,13.0
144,25,29.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,43.75,40.35,47.45,0.0,3.0,0.0,13.0
145,26,30.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,43.325,40.0,47.1,0.0,3.0,0.0,13.0
146,26,30.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,42.8625,39.65,46.6,0.0,3.0,0.0,13.0
147,27,31.0,1.0,0.0,25.0,0.0,4,0,0,0,0,0,0,42.4,39.3,46.1,0.0,3.0,0.0,13.0
148,27,30.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,41.9,38.8,45.6,0.0,3.0,0.0,13.0
149,27,31.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,41.4375,38.3,45.1,0.0,3.0,0.0,13.0
150,27,30.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,40.975,37.8,44.6,0.0,3.0,0.0,13.0
151,27,31.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.55,37.45,44.1,0.0,3.0,0.0,13.0
152,27,31.0,0.0,0.0,27.0,0.0,2,0,2,0,0,0,0,40.375,37.1,44.1,0.0,3.0,2.0,15.0
153,27,31.0,0.0,0.0,27.0,0.0,3,0,1,0,0,0,0,40.2,36.75,44.1,1.0,4.0,2.0,17.0
154,27,31.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,39.775,36.4,43.6,0.0,4.0,0.0,17.0
155,29,33.0,2.0,0.0,27.0,0.0,4,0,0,0,0,0,0,39.35,36.05,43.1,0.0,4.0,0.0,17.0
156,29,33.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,38.925,35.7,42.6,0.0,4.0,0.0,17.0
157,29,33.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,38.5,35.35,42.1,0.0,4.0,0.0,17.0
158,29,32.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,38.075,35.0,41.6,0.0,4.0,0.0,17.0
159,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,37.6875,34.65,41.1,0.0,4.0,0.0,17.0
160,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,37.3,34.3,40.6,0.0,4.0,0.0,17.0
161,28,31.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,36.9125,33.95,40.1,0.0,4.0,0.0,17.0
162,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.5625,33.6,39.75,0.0,4.0,0.0,17.0
163,30,34.0,3.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.175,33.25,39.4,0.0,4.0,0.0,17.0
164,30,34.0,0.0,0.0,29.0,0.0,2,0,2,0,0,0,0,35.925,32.75,39.4,0.0,4.0,2.0,19.0
165,31,34.0,1.0,1.0,30.0,0.0,2,1,1,0,0,0,0,35.675,32.25,39.4,1.0,5.0,2.0,21.0
166,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.2875,31.75,39.05,0.0,5.0,0.0,21.0
167,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.9,31.25,38.7,0.0,5.0,0.0,21.0
168,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.5125,30.75,38.35,0.0,5.0,0.0,21.0
169,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.05,30.25,38.0,0.0,5.0,0.0,21.0
170,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,33.5875,29.75,37.65,0.0,5.0,0.0,21.0
