run_id,tick,event_type,robot_id,task_id,details
20260909_025414_96fe09,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025414_96fe09,3,task_assigned,R3,G00001,
20260909_025414_96fe09,5,task_created,,G00002,type=PICK pickup=B-02 dropoff=PICK-1
20260909_025414_96fe09,5,task_assigned,R1,G00002,
20260909_025414_96fe09,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025414_96fe09,7,task_assigned,R2,G00003,
20260909_025414_96fe09,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025414_96fe09,9,task_assigned,R4,G00004,
20260909_025414_96fe09,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=G-08
20260909_025414_96fe09,15,task_created,,G00006,type=PICK pickup=D-07 dropoff=PICK-1
20260909_025414_96fe09,18,task_completed,R3,G00001,
20260909_025414_96fe09,19,task_completed,R1,G00002,
20260909_025414_96fe09,19,task_completed,R4,G00004,
20260909_025414_96fe09,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=D-08
20260909_025414_96fe09,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025414_96fe09,19,task_assigned,R3,G00008,
20260909_025414_96fe09,20,task_assigned,R4,G00005,
20260909_025414_96fe09,20,task_assigned,R1,G00006,
20260909_025414_96fe09,23,task_completed,R2,G00003,
20260909_025414_96fe09,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025414_96fe09,24,task_assigned,R2,G00009,
20260909_025414_96fe09,25,task_created,,G00010,type=PICK pickup=E-08 dropoff=PICK-2
20260909_025414_96fe09,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=H-06
20260909_025414_96fe09,30,task_completed,R2,G00009,
20260909_025414_96fe09,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025414_96fe09,31,task_assigned,R2,G00012,
20260909_025414_96fe09,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260909_025414_96fe09,35,task_created,,G00014,type=PICK pickup=B-07 dropoff=PICK-3
20260909_025414_96fe09,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025414_96fe09,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025414_96fe09,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025414_96fe09,45,task_completed,R4,G00005,
20260909_025414_96fe09,45,task_created,,G00018,type=PICK pickup=G-07 dropoff=PICK-1
20260909_025414_96fe09,46,task_assigned,R4,G00015,
20260909_025414_96fe09,46,robot_blocked,R1,,"{""x"": 18, ""y"": 4}"
20260909_025414_96fe09,48,task_completed,R3,G00008,
20260909_025414_96fe09,49,task_assigned,R3,G00017,
20260909_025414_96fe09,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=C-04
20260909_025414_96fe09,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025414_96fe09,55,task_created,,G00021,type=PICK pickup=D-01 dropoff=PICK-3
20260909_025414_96fe09,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025414_96fe09,57,task_completed,R2,G00012,
20260909_025414_96fe09,58,task_assigned,R2,G00020,
20260909_025414_96fe09,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=D-08
20260909_025414_96fe09,59,robot_blocked,R2,,"{""x"": 11, ""y"": 12}"
20260909_025414_96fe09,63,task_completed,R4,G00015,
20260909_025414_96fe09,64,task_assigned,R4,G00022,
20260909_025414_96fe09,65,task_completed,R1,G00006,
20260909_025414_96fe09,65,task_completed,R2,G00020,
20260909_025414_96fe09,65,task_created,,G00024,type=PICK pickup=H-06 dropoff=PICK-2
20260909_025414_96fe09,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025414_96fe09,66,task_assigned,R1,G00010,
20260909_025414_96fe09,66,task_assigned,R2,G00025,
20260909_025414_96fe09,66,robot_blocked,R4,,"{""x"": 12, ""y"": 15}"
20260909_025414_96fe09,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=E-02
20260909_025414_96fe09,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025414_96fe09,71,task_completed,R2,G00025,
20260909_025414_96fe09,72,task_assigned,R2,G00027,
20260909_025414_96fe09,73,task_completed,R3,G00017,
20260909_025414_96fe09,74,task_assigned,R3,G00014,
20260909_025414_96fe09,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=D-06
20260909_025414_96fe09,75,task_created,,G00029,type=PICK pickup=B-07 dropoff=PICK-3
20260909_025414_96fe09,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025414_96fe09,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025414_96fe09,81,robot_blocked,R3,,"{""x"": 12, ""y"": 7}"
20260909_025414_96fe09,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=E-07
20260909_025414_96fe09,84,task_completed,R1,G00010,
20260909_025414_96fe09,85,task_assigned,R1,G00031,
20260909_025414_96fe09,85,task_created,,G00033,type=PICK pickup=G-02 dropoff=PICK-1
20260909_025414_96fe09,91,task_completed,R4,G00022,
20260909_025414_96fe09,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260909_025414_96fe09,91,task_created,,G00035,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025414_96fe09,92,task_assigned,R4,G00030,
20260909_025414_96fe09,93,task_completed,R1,G00031,
20260909_025414_96fe09,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025414_96fe09,94,task_assigned,R1,G00036,
20260909_025414_96fe09,95,task_created,,G00037,type=PICK pickup=B-04 dropoff=PICK-1
