tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.8625,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.4375,96.35,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.0125,95.85,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.5875,95.35,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.1625,94.85,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.7375,94.35,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.275,93.85,96.7,0.0,0.0,0.0,0.0
18,2,5.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,94.775,93.35,96.2,0.0,0.0,0.0,0.0
19,3,5.0,2.0,2.0,3.0,0.0,2,2,0,0,0,0,0,94.3125,93.0,95.7,0.0,0.0,0.0,0.0
20,1,5.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,93.925,92.65,95.35,0.0,0.0,0.0,0.0
21,1,5.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,93.5375,92.3,95.0,0.0,0.0,0.0,0.0
22,1,5.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,93.15,91.95,94.65,0.0,0.0,0.0,0.0
23,2,5.0,1.0,1.0,4.0,0.0,3,1,0,0,0,0,0,92.7625,91.6,94.3,0.0,0.0,0.0,0.0
24,1,5.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,92.4125,91.25,93.95,0.0,0.0,0.0,0.0
25,2,6.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,92.0625,90.9,93.6,0.0,0.0,0.0,0.0
26,2,6.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,91.7125,90.55,93.25,0.0,0.0,0.0,0.0
27,3,7.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,91.3625,90.2,92.9,0.0,0.0,0.0,0.0
28,3,7.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,90.975,89.85,92.55,0.0,0.0,0.0,0.0
29,3,7.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,90.5875,89.5,92.2,0.0,0.0,0.0,0.0
30,3,6.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,90.2,89.15,91.85,0.0,0.0,0.0,0.0
31,3,7.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.85,88.8,91.5,0.0,0.0,0.0,0.0
32,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.5,88.45,91.15,0.0,0.0,0.0,0.0
33,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,89.15,88.1,90.8,0.0,0.0,0.0,0.0
34,3,7.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.7625,87.6,90.45,0.0,0.0,0.0,0.0
35,5,9.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,88.375,87.1,90.1,0.0,0.0,0.0,0.0
36,5,9.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.9875,86.6,89.75,0.0,0.0,0.0,0.0
37,6,10.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.5625,86.1,89.25,0.0,0.0,0.0,0.0
38,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,87.1375,85.6,88.75,0.0,0.0,0.0,0.0
39,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.7125,85.1,88.25,0.0,0.0,0.0,0.0
40,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,86.2875,84.6,87.75,0.0,0.0,0.0,0.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.8625,84.1,87.25,0.0,0.0,0.0,0.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.4,83.6,86.75,0.0,0.0,0.0,0.0
43,8,12.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.9375,83.1,86.25,0.0,0.0,0.0,0.0
44,8,12.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.4375,82.6,85.75,0.0,0.0,0.0,0.0
45,9,12.0,1.0,1.0,6.0,0.0,3,1,0,0,0,0,0,83.9375,82.1,85.25,0.0,0.0,0.0,0.0
46,8,12.0,0.0,0.0,6.0,0.0,3,0,1,0,0,0,0,83.6,81.6,84.9,0.0,0.0,1.0,1.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.1375,81.1,84.55,0.0,0.0,0.0,1.0
48,8,11.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,82.675,80.6,84.2,0.0,0.0,0.0,1.0
49,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,82.25,80.25,83.85,0.0,0.0,0.0,1.0
50,7,11.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.825,79.9,83.5,0.0,0.0,0.0,1.0
51,9,13.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.4,79.55,83.15,0.0,0.0,0.0,1.0
52,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.975,79.2,82.8,0.0,0.0,0.0,1.0
53,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.55,78.85,82.45,0.0,0.0,0.0,1.0
54,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.125,78.5,82.1,0.0,0.0,0.0,1.0
55,11,15.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.7,78.15,81.75,0.0,0.0,0.0,1.0
56,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.275,77.8,81.4,0.0,0.0,0.0,1.0
57,11,14.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,78.85,77.45,81.05,0.0,0.0,0.0,1.0
58,10,14.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,78.4625,77.1,80.7,0.0,0.0,0.0,1.0
59,11,15.0,1.0,0.0,8.0,0.0,3,0,1,0,0,0,0,78.1625,76.75,80.35,0.0,0.0,1.0,2.0
60,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,77.775,76.4,80.0,0.0,0.0,0.0,2.0
61,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,77.35,76.05,79.5,0.0,0.0,0.0,2.0
62,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,76.925,75.7,79.0,0.0,0.0,0.0,2.0
63,11,14.0,0.0,1.0,9.0,0.0,3,1,0,0,0,0,0,76.4625,75.2,78.5,0.0,0.0,0.0,2.0
64,10,14.0,0.0,0.0,9.0,0.0,3,0,1,0,0,0,0,76.125,74.85,78.15,0.0,0.0,1.0,3.0
65,12,14.0,2.0,2.0,11.0,0.0,2,2,0,0,0,0,0,75.6625,74.35,77.8,0.0,0.0,0.0,3.0
66,10,14.0,0.0,0.0,11.0,0.0,3,0,1,0,0,0,0,75.3625,73.85,77.8,0.0,0.0,1.0,4.0
67,12,16.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.975,73.35,77.45,0.0,0.0,0.0,4.0
68,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.5875,72.85,77.1,0.0,0.0,0.0,4.0
69,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,74.1625,72.35,76.75,0.0,0.0,0.0,4.0
70,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,73.7375,71.85,76.4,0.0,0.0,0.0,4.0
71,12,15.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,73.3125,71.35,76.05,0.0,0.0,0.0,4.0
72,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.925,70.85,75.7,0.0,0.0,0.0,4.0
73,11,14.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,72.5,70.35,75.35,0.0,0.0,0.0,4.0
74,10,14.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,72.1125,70.0,75.0,0.0,0.0,0.0,4.0
75,12,16.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.725,69.65,74.65,0.0,0.0,0.0,4.0
76,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,71.3375,69.3,74.3,0.0,0.0,0.0,4.0
77,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.95,68.95,73.95,0.0,0.0,0.0,4.0
78,12,16.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.5625,68.6,73.6,0.0,0.0,0.0,4.0
79,14,18.0,2.0,0.0,13.0,0.0,4,0,0,0,0,0,0,70.175,68.25,73.25,0.0,0.0,0.0,4.0
80,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.7875,67.9,72.9,0.0,0.0,0.0,4.0
81,14,18.0,0.0,0.0,13.0,0.0,3,0,1,0,0,0,0,69.4875,67.75,72.55,0.0,0.0,1.0,5.0
82,14,18.0,0.0,0.0,13.0,0.0,3,0,1,0,0,0,0,69.275,67.75,72.05,1.0,1.0,2.0,7.0
83,15,19.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.85,67.25,71.55,0.0,1.0,0.0,7.0
84,15,18.0,0.0,1.0,14.0,0.0,3,1,0,0,0,0,0,68.425,66.75,71.05,0.0,1.0,0.0,7.0
85,15,19.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.0,66.4,70.55,0.0,1.0,0.0,7.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.575,66.05,70.05,0.0,1.0,0.0,7.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.15,65.7,69.55,0.0,1.0,0.0,7.0
88,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.725,65.35,69.05,0.0,1.0,0.0,7.0
89,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.3,65.0,68.55,0.0,1.0,0.0,7.0
90,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,65.875,64.65,68.05,0.0,1.0,0.0,7.0
91,17,20.0,2.0,1.0,15.0,0.0,3,1,0,0,0,0,0,65.4125,64.15,67.55,0.0,1.0,0.0,7.0
92,16,20.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.9875,63.65,67.2,0.0,1.0,0.0,7.0
93,17,20.0,1.0,1.0,16.0,0.0,3,1,0,0,0,0,0,64.5625,63.15,66.85,0.0,1.0,0.0,7.0
94,16,20.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,64.1375,62.8,66.5,0.0,1.0,0.0,7.0
95,17,21.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.7125,62.45,66.15,0.0,1.0,0.0,7.0
96,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.2875,62.1,65.8,0.0,1.0,0.0,7.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.825,61.6,65.45,0.0,1.0,0.0,7.0
98,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.3625,61.1,65.1,0.0,1.0,0.0,7.0
99,18,20.0,1.0,2.0,18.0,0.0,2,2,0,0,0,0,0,61.9,60.6,64.75,0.0,1.0,0.0,7.0
100,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.5125,60.25,64.4,0.0,1.0,0.0,7.0
101,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,61.125,59.9,64.05,0.0,1.0,0.0,7.0
102,16,20.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,60.7375,59.55,63.7,0.0,1.0,0.0,7.0
103,17,21.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,60.35,59.05,63.35,0.0,1.0,0.0,7.0
104,17,21.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.9625,58.55,63.0,0.0,1.0,0.0,7.0
105,18,22.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.575,58.05,62.65,0.0,1.0,0.0,7.0
106,18,22.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.15,57.55,62.15,0.0,1.0,0.0,7.0
107,20,23.0,2.0,1.0,19.0,0.0,3,1,0,0,0,0,0,58.725,57.05,61.65,0.0,1.0,0.0,7.0
108,19,23.0,0.0,0.0,19.0,0.0,3,0,1,0,0,0,0,58.425,56.7,61.15,0.0,1.0,1.0,8.0
109,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,58.0375,56.35,60.65,0.0,1.0,0.0,8.0
110,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.6125,56.0,60.15,0.0,1.0,0.0,8.0
111,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,57.1875,55.65,59.65,0.0,1.0,0.0,8.0
112,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.7625,55.3,59.15,0.0,1.0,0.0,8.0
113,19,23.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,56.3375,54.95,58.65,0.0,1.0,0.0,8.0
114,19,22.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,55.9125,54.6,58.15,0.0,1.0,0.0,8.0
115,21,25.0,3.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.525,54.25,57.8,0.0,1.0,0.0,8.0
116,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,55.1375,53.9,57.45,0.0,1.0,0.0,8.0
117,21,25.0,0.0,0.0,20.0,0.0,4,0,0,0,0,0,0,54.7125,53.55,57.1,0.0,1.0,0.0,8.0
118,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,54.2875,53.2,56.75,0.0,1.0,0.0,8.0
119,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.9,52.85,56.4,0.0,1.0,0.0,8.0
120,20,24.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.5125,52.5,56.05,0.0,1.0,0.0,8.0
121,21,25.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,53.125,52.15,55.7,0.0,1.0,0.0,8.0
122,21,25.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.7,51.65,55.35,0.0,1.0,0.0,8.0
123,22,26.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.275,51.15,55.0,0.0,1.0,0.0,8.0
124,22,25.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,51.8125,50.65,54.5,0.0,1.0,0.0,8.0
125,22,26.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,51.3875,50.15,54.0,0.0,1.0,0.0,8.0
126,22,26.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,50.925,49.65,53.5,0.0,1.0,0.0,8.0
127,23,27.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,50.4625,49.15,53.0,0.0,1.0,0.0,8.0
128,23,27.0,0.0,0.0,22.0,0.0,3,0,1,0,0,0,0,50.0875,48.65,53.0,0.0,1.0,1.0,9.0
129,23,27.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,49.5875,48.15,52.5,0.0,1.0,0.0,9.0
130,23,26.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,49.0875,47.65,52.0,0.0,1.0,0.0,9.0
131,23,27.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,48.625,47.15,51.5,0.0,1.0,0.0,9.0
132,23,25.0,0.0,2.0,25.0,0.0,2,2,0,0,0,0,0,48.1625,46.65,51.0,0.0,1.0,0.0,9.0
133,21,25.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.775,46.3,50.5,0.0,1.0,0.0,9.0
134,21,25.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.3875,45.95,50.0,0.0,1.0,0.0,9.0
135,23,27.0,2.0,0.0,25.0,0.0,4,0,0,0,0,0,0,47.0,45.6,49.5,0.0,1.0,0.0,9.0
136,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,46.6125,45.25,49.0,0.0,1.0,0.0,9.0
137,23,27.0,0.0,0.0,25.0,0.0,4,0,0,0,0,0,0,46.225,44.9,48.5,0.0,1.0,0.0,9.0
138,23,26.0,0.0,1.0,26.0,0.0,3,1,0,0,0,0,0,45.8375,44.55,48.0,0.0,1.0,0.0,9.0
139,24,28.0,2.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.4875,44.2,47.65,0.0,1.0,0.0,9.0
140,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,45.1375,43.85,47.3,0.0,1.0,0.0,9.0
141,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.7875,43.5,46.95,0.0,1.0,0.0,9.0
142,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.4375,43.15,46.6,0.0,1.0,0.0,9.0
143,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,44.05,42.8,46.1,0.0,1.0,0.0,9.0
144,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.625,42.45,45.6,0.0,1.0,0.0,9.0
145,25,28.0,1.0,1.0,27.0,0.0,3,1,0,0,0,0,0,43.2,42.1,45.1,0.0,1.0,0.0,9.0
146,24,28.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.775,41.75,44.75,0.0,1.0,0.0,9.0
147,25,29.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,42.35,41.4,44.4,0.0,1.0,0.0,9.0
148,25,29.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.925,41.05,44.05,0.0,1.0,0.0,9.0
149,26,30.0,1.0,0.0,27.0,0.0,2,0,2,0,0,0,0,41.7125,40.55,43.7,0.0,1.0,2.0,11.0
150,26,30.0,0.0,0.0,27.0,0.0,3,0,1,0,0,0,0,41.5,40.05,43.35,1.0,2.0,2.0,13.0
151,27,31.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.075,39.55,43.0,0.0,2.0,0.0,13.0
152,27,31.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.65,39.05,42.65,0.0,2.0,0.0,13.0
153,27,30.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,40.225,38.55,42.3,0.0,2.0,0.0,13.0
154,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.8375,38.05,41.95,0.0,2.0,0.0,13.0
155,28,32.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.4125,37.55,41.45,0.0,2.0,0.0,13.0
156,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.9875,37.05,40.95,0.0,2.0,0.0,13.0
157,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.5625,36.55,40.45,0.0,2.0,0.0,13.0
158,28,31.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,38.1375,36.05,39.95,0.0,2.0,0.0,13.0
159,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,37.75,35.7,39.45,0.0,2.0,0.0,13.0
160,27,30.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,37.3625,35.35,38.95,0.0,2.0,0.0,13.0
161,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,37.0125,35.0,38.6,0.0,2.0,0.0,13.0
162,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.625,34.65,38.25,0.0,2.0,0.0,13.0
163,29,33.0,3.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.2375,34.3,37.9,0.0,2.0,0.0,13.0
164,29,33.0,0.0,0.0,30.0,0.0,2,0,2,0,0,0,0,36.025,33.95,37.9,0.0,2.0,2.0,15.0
165,30,34.0,1.0,0.0,30.0,0.0,3,0,1,0,0,0,0,35.8125,33.6,37.9,1.0,3.0,2.0,17.0
166,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.425,33.25,37.55,0.0,3.0,0.0,17.0
167,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.0375,32.9,37.2,0.0,3.0,0.0,17.0
168,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.6125,32.4,36.85,0.0,3.0,0.0,17.0
169,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.1875,31.9,36.5,0.0,3.0,0.0,17.0
170,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,33.725,31.4,36.15,0.0,3.0,0.0,17.0
