tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.5125,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.125,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.7375,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.3125,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.8875,95.05,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.425,94.55,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.9625,94.05,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.5,93.55,96.15,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.0375,93.05,95.8,0.0,0.0,0.0,0.0
21,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.575,92.55,95.45,0.0,0.0,0.0,0.0
22,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,93.1125,92.05,95.1,0.0,0.0,0.0,0.0
23,5,8.0,1.0,1.0,1.0,0.0,3,1,0,0,0,0,0,92.65,91.55,94.75,0.0,0.0,0.0,0.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.225,91.05,94.4,0.0,0.0,0.0,0.0
25,5,9.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.8,90.55,94.05,0.0,0.0,0.0,0.0
26,5,9.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,91.3375,90.05,93.55,0.0,0.0,0.0,0.0
27,6,10.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,90.875,89.55,93.05,0.0,0.0,0.0,0.0
28,6,9.0,0.0,1.0,2.0,0.0,3,1,0,0,0,0,0,90.4125,89.05,92.55,0.0,0.0,0.0,0.0
29,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.95,88.55,92.2,0.0,0.0,0.0,0.0
30,5,9.0,0.0,0.0,2.0,0.0,4,0,0,0,0,0,0,89.4875,88.05,91.85,0.0,0.0,0.0,0.0
31,6,9.0,1.0,1.0,3.0,0.0,3,1,0,0,0,0,0,89.025,87.55,91.5,0.0,0.0,0.0,0.0
32,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.6,87.05,91.15,0.0,0.0,0.0,0.0
33,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.175,86.55,90.8,0.0,0.0,0.0,0.0
34,5,8.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,87.75,86.05,90.45,0.0,0.0,0.0,0.0
35,6,10.0,2.0,0.0,4.0,0.0,4,0,0,0,0,0,0,87.3625,85.6,90.1,0.0,0.0,0.0,0.0
36,6,10.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.975,85.1,89.75,0.0,0.0,0.0,0.0
37,7,11.0,1.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.5875,84.6,89.4,0.0,0.0,0.0,0.0
38,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,86.2,84.1,89.05,0.0,0.0,0.0,0.0
39,7,11.0,0.0,0.0,4.0,0.0,4,0,0,0,0,0,0,85.8125,83.6,88.7,0.0,0.0,0.0,0.0
40,7,10.0,0.0,1.0,5.0,0.0,3,1,0,0,0,0,0,85.425,83.1,88.35,0.0,0.0,0.0,0.0
41,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,85.0375,82.75,88.0,0.0,0.0,0.0,0.0
42,6,10.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.65,82.4,87.65,0.0,0.0,0.0,0.0
43,8,12.0,2.0,0.0,5.0,0.0,4,0,0,0,0,0,0,84.2625,82.05,87.3,0.0,0.0,0.0,0.0
44,8,12.0,0.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.8375,81.7,86.95,0.0,0.0,0.0,0.0
45,9,13.0,1.0,0.0,5.0,0.0,4,0,0,0,0,0,0,83.4125,81.35,86.6,0.0,0.0,0.0,0.0
46,9,12.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,82.95,81.0,86.1,0.0,0.0,0.0,0.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.525,80.65,85.6,0.0,0.0,0.0,0.0
48,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.1,80.3,85.1,0.0,0.0,0.0,0.0
49,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,81.675,79.9,84.6,0.0,0.0,0.0,0.0
50,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,81.25,79.4,84.1,0.0,0.0,0.0,0.0
51,10,14.0,2.0,0.0,6.0,0.0,4,0,0,0,0,0,0,80.825,78.9,83.6,0.0,0.0,0.0,0.0
52,10,13.0,0.0,1.0,7.0,0.0,3,1,0,0,0,0,0,80.4,78.4,83.1,0.0,0.0,0.0,0.0
53,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.0125,78.05,82.6,0.0,0.0,0.0,0.0
54,9,13.0,0.0,0.0,7.0,0.0,3,0,1,0,0,0,0,79.7125,77.7,82.1,0.0,0.0,1.0,1.0
55,11,15.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.325,77.35,81.6,0.0,0.0,0.0,1.0
56,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,78.9375,77.0,81.1,0.0,0.0,0.0,1.0
57,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,78.5125,76.65,80.6,0.0,0.0,0.0,1.0
58,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,78.0875,76.3,80.1,0.0,0.0,0.0,1.0
59,12,16.0,1.0,0.0,7.0,0.0,4,0,0,0,0,0,0,77.6625,75.95,79.6,0.0,0.0,0.0,1.0
60,12,15.0,0.0,1.0,8.0,0.0,3,1,0,0,0,0,0,77.2375,75.6,79.1,0.0,0.0,0.0,1.0
61,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,76.85,75.25,78.75,0.0,0.0,0.0,1.0
62,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,76.4625,74.9,78.4,0.0,0.0,0.0,1.0
63,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,76.0375,74.55,78.05,0.0,0.0,0.0,1.0
64,11,15.0,0.0,0.0,8.0,0.0,4,0,0,0,0,0,0,75.6125,74.2,77.7,0.0,0.0,0.0,1.0
65,13,16.0,2.0,1.0,9.0,0.0,3,1,0,0,0,0,0,75.1875,73.85,77.35,0.0,0.0,0.0,1.0
66,12,15.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,74.8,73.5,77.0,0.0,0.0,0.0,1.0
67,13,17.0,2.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.4125,73.0,76.65,0.0,0.0,0.0,1.0
68,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,74.025,72.5,76.3,0.0,0.0,0.0,1.0
69,13,16.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,73.6,72.0,75.95,0.0,0.0,0.0,1.0
70,12,16.0,0.0,0.0,11.0,0.0,3,0,1,0,0,0,0,73.3,71.65,75.45,0.0,0.0,1.0,2.0
71,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.875,71.3,74.95,0.0,0.0,0.0,2.0
72,12,15.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,72.45,70.95,74.45,0.0,0.0,0.0,2.0
73,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,72.025,70.6,73.95,0.0,0.0,0.0,2.0
74,11,15.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.6,70.25,73.45,0.0,0.0,0.0,2.0
75,13,17.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,71.175,69.9,72.95,0.0,0.0,0.0,2.0
76,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.75,69.55,72.45,0.0,0.0,0.0,2.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.325,69.2,71.95,0.0,0.0,0.0,2.0
78,13,15.0,0.0,2.0,14.0,0.0,2,2,0,0,0,0,0,69.9,68.85,71.45,0.0,0.0,0.0,2.0
79,13,17.0,2.0,0.0,14.0,0.0,4,0,0,0,0,0,0,69.55,68.5,71.1,0.0,0.0,0.0,2.0
80,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,69.2,68.15,70.75,0.0,0.0,0.0,2.0
81,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.85,67.8,70.4,0.0,0.0,0.0,2.0
82,13,17.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.5,67.45,70.05,0.0,0.0,0.0,2.0
83,14,18.0,1.0,0.0,14.0,0.0,4,0,0,0,0,0,0,68.1125,67.1,69.7,0.0,0.0,0.0,2.0
84,14,18.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.725,66.75,69.35,0.0,0.0,0.0,2.0
85,15,18.0,1.0,1.0,15.0,0.0,3,1,0,0,0,0,0,67.3375,66.4,69.0,0.0,0.0,0.0,2.0
86,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.95,65.9,68.65,0.0,0.0,0.0,2.0
87,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.5625,65.4,68.3,0.0,0.0,0.0,2.0
88,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.1375,64.9,67.95,0.0,0.0,0.0,2.0
89,14,18.0,0.0,0.0,15.0,0.0,2,0,2,0,0,0,0,65.9625,64.9,67.6,0.0,0.0,2.0,4.0
90,14,18.0,0.0,0.0,15.0,0.0,3,0,1,0,0,0,0,65.7875,64.9,67.25,1.0,1.0,2.0,6.0
91,16,20.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.3625,64.4,66.9,0.0,1.0,0.0,6.0
92,16,20.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.9375,63.9,66.55,0.0,1.0,0.0,6.0
93,17,21.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.5125,63.4,66.2,0.0,1.0,0.0,6.0
94,17,21.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.05,62.9,65.7,0.0,1.0,0.0,6.0
95,18,22.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,63.5875,62.4,65.2,0.0,1.0,0.0,6.0
96,18,22.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,63.125,61.9,64.7,0.0,1.0,0.0,6.0
97,18,22.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,62.6625,61.4,64.2,0.0,1.0,0.0,6.0
98,18,22.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,62.2,60.9,63.7,0.0,1.0,0.0,6.0
99,19,23.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,61.7375,60.4,63.2,0.0,1.0,0.0,6.0
100,19,23.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,61.275,59.9,62.7,0.0,1.0,0.0,6.0
101,19,23.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,60.8125,59.4,62.2,0.0,1.0,0.0,6.0
102,19,22.0,0.0,1.0,16.0,0.0,3,1,0,0,0,0,0,60.35,58.9,61.7,0.0,1.0,0.0,6.0
103,19,21.0,1.0,2.0,18.0,0.0,2,2,0,0,0,0,0,59.925,58.55,61.2,0.0,1.0,0.0,6.0
104,17,21.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.5375,58.2,60.85,0.0,1.0,0.0,6.0
105,18,22.0,1.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.15,57.85,60.5,0.0,1.0,0.0,6.0
106,18,22.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.725,57.5,60.15,0.0,1.0,0.0,6.0
107,20,24.0,2.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.3,57.15,59.8,0.0,1.0,0.0,6.0
108,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.875,56.8,59.45,0.0,1.0,0.0,6.0
109,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.45,56.45,59.1,0.0,1.0,0.0,6.0
110,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.025,55.95,58.75,0.0,1.0,0.0,6.0
111,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.6,55.45,58.4,0.0,1.0,0.0,6.0
112,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.175,54.95,58.05,0.0,1.0,0.0,6.0
113,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,55.75,54.45,57.7,0.0,1.0,0.0,6.0
114,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,55.2875,53.95,57.2,0.0,1.0,0.0,6.0
115,23,27.0,3.0,0.0,18.0,0.0,4,0,0,0,0,0,0,54.825,53.45,56.7,0.0,1.0,0.0,6.0
116,23,27.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,54.3625,52.95,56.2,0.0,1.0,0.0,6.0
117,23,26.0,0.0,1.0,19.0,0.0,3,1,0,0,0,0,0,53.8625,52.45,55.7,0.0,1.0,0.0,6.0
118,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,53.4,52.1,55.2,0.0,1.0,0.0,6.0
119,22,25.0,0.0,1.0,20.0,0.0,3,1,0,0,0,0,0,52.9375,51.75,54.7,0.0,1.0,0.0,6.0
120,21,24.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,52.5125,51.4,54.2,0.0,1.0,0.0,6.0
121,21,25.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,52.125,51.05,53.7,0.0,1.0,0.0,6.0
122,21,25.0,0.0,0.0,21.0,0.0,4,0,0,0,0,0,0,51.7,50.55,53.2,0.0,1.0,0.0,6.0
123,22,25.0,1.0,1.0,22.0,0.0,3,1,0,0,0,0,0,51.275,50.05,52.7,0.0,1.0,0.0,6.0
124,21,24.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,50.8875,49.55,52.35,0.0,1.0,0.0,6.0
125,21,25.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.5375,49.2,52.0,0.0,1.0,0.0,6.0
126,21,25.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,50.1875,48.85,51.65,0.0,1.0,0.0,6.0
127,22,26.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,49.8375,48.5,51.3,0.0,1.0,0.0,6.0
128,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,49.4875,48.15,50.95,0.0,1.0,0.0,6.0
129,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,49.1375,47.8,50.6,0.0,1.0,0.0,6.0
130,22,26.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,48.7875,47.45,50.25,0.0,1.0,0.0,6.0
131,23,27.0,1.0,0.0,23.0,0.0,4,0,0,0,0,0,0,48.4375,47.1,49.9,0.0,1.0,0.0,6.0
132,23,27.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,48.0875,46.75,49.55,0.0,1.0,0.0,6.0
133,23,27.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,47.7375,46.4,49.2,0.0,1.0,0.0,6.0
134,23,27.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,47.3875,46.05,48.85,0.0,1.0,0.0,6.0
135,25,29.0,2.0,0.0,23.0,0.0,4,0,0,0,0,0,0,47.0,45.7,48.5,0.0,1.0,0.0,6.0
136,25,29.0,0.0,0.0,23.0,0.0,4,0,0,0,0,0,0,46.6125,45.35,48.15,0.0,1.0,0.0,6.0
137,25,28.0,0.0,1.0,24.0,0.0,3,1,0,0,0,0,0,46.15,45.0,47.65,0.0,1.0,0.0,6.0
138,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.725,44.65,47.15,0.0,1.0,0.0,6.0
139,26,30.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.3,44.3,46.65,0.0,1.0,0.0,6.0
140,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,44.875,43.95,46.15,0.0,1.0,0.0,6.0
141,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,44.4125,43.6,45.65,0.0,1.0,0.0,6.0
142,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,43.95,43.25,45.15,0.0,1.0,0.0,6.0
143,26,28.0,0.0,2.0,26.0,0.0,2,2,0,0,0,0,0,43.4875,42.9,44.65,0.0,1.0,0.0,6.0
144,24,28.0,0.0,0.0,26.0,0.0,4,0,0,0,0,0,0,43.1,42.55,44.3,0.0,1.0,0.0,6.0
145,25,29.0,1.0,0.0,26.0,0.0,4,0,0,0,0,0,0,42.675,42.05,43.95,0.0,1.0,0.0,6.0
146,25,28.0,0.0,1.0,27.0,0.0,3,1,0,0,0,0,0,42.25,41.55,43.6,0.0,1.0,0.0,6.0
147,25,29.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.8625,41.05,43.25,0.0,1.0,0.0,6.0
148,25,29.0,0.0,0.0,27.0,0.0,3,0,1,0,0,0,0,41.5625,40.55,42.9,0.0,1.0,1.0,7.0
149,26,30.0,1.0,0.0,27.0,0.0,4,0,0,0,0,0,0,41.175,40.05,42.55,0.0,1.0,0.0,7.0
150,26,30.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,40.7875,39.55,42.2,0.0,1.0,0.0,7.0
151,27,31.0,1.0,0.0,27.0,0.0,3,0,1,0,0,0,0,40.525,39.55,41.85,0.0,1.0,1.0,8.0
152,27,30.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,40.1,39.05,41.35,0.0,1.0,0.0,8.0
153,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.675,38.7,40.85,0.0,1.0,0.0,8.0
154,26,30.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,39.25,38.35,40.35,0.0,1.0,0.0,8.0
155,28,32.0,2.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.825,38.0,39.85,0.0,1.0,0.0,8.0
156,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,38.4,37.65,39.35,0.0,1.0,0.0,8.0
157,28,32.0,0.0,0.0,28.0,0.0,4,0,0,0,0,0,0,37.975,37.3,38.85,0.0,1.0,0.0,8.0
158,28,31.0,0.0,1.0,29.0,0.0,3,1,0,0,0,0,0,37.55,36.95,38.35,0.0,1.0,0.0,8.0
159,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,37.1625,36.6,37.85,0.0,1.0,0.0,8.0
160,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.775,36.25,37.35,0.0,1.0,0.0,8.0
161,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.3875,35.9,36.85,0.0,1.0,0.0,8.0
162,27,31.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,36.0,35.55,36.35,0.0,1.0,0.0,8.0
163,30,34.0,3.0,0.0,29.0,0.0,4,0,0,0,0,0,0,35.6125,35.2,35.95,0.0,1.0,0.0,8.0
164,30,34.0,0.0,0.0,29.0,0.0,4,0,0,0,0,0,0,35.225,34.85,35.6,0.0,1.0,0.0,8.0
165,31,35.0,1.0,0.0,29.0,0.0,4,0,0,0,0,0,0,34.8375,34.5,35.25,0.0,1.0,0.0,8.0
166,31,34.0,0.0,1.0,30.0,0.0,3,1,0,0,0,0,0,34.45,34.15,34.9,0.0,1.0,0.0,8.0
167,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.0625,33.65,34.55,0.0,1.0,0.0,8.0
168,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,33.675,33.15,34.2,0.0,1.0,0.0,8.0
169,30,33.0,0.0,1.0,31.0,0.0,3,1,0,0,0,0,0,33.2125,32.65,33.7,0.0,1.0,0.0,8.0
170,29,33.0,0.0,0.0,31.0,0.0,4,0,0,0,0,0,0,32.7875,32.3,33.2,0.0,1.0,0.0,8.0
