tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.9125,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,3,0,0,0,0,0,99.825,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.65,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,2,0,0,0,0,0,99.475,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,1,0,0,0,0,0,99.2125,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,1,0,0,0,0,0,98.95,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.6,97.55,99.65,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,98.25,97.2,99.3,0.0,0.0,0.0,0.0
11,1,5.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.9,96.85,98.95,0.0,0.0,0.0,0.0
12,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.55,96.5,98.6,0.0,0.0,0.0,0.0
13,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,97.2,96.15,98.25,0.0,0.0,0.0,0.0
14,1,5.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.8125,95.8,97.9,0.0,0.0,0.0,0.0
15,2,6.0,1.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.425,95.45,97.55,0.0,0.0,0.0,0.0
16,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,96.0375,95.1,97.2,0.0,0.0,0.0,0.0
17,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.65,94.75,96.85,0.0,0.0,0.0,0.0
18,2,6.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,95.225,94.25,96.5,0.0,0.0,0.0,0.0
19,4,8.0,2.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.8,93.75,96.15,0.0,0.0,0.0,0.0
20,4,8.0,0.0,0.0,0.0,0.0,4,0,0,0,0,0,0,94.375,93.25,95.8,0.0,0.0,0.0,0.0
21,4,7.0,0.0,1.0,1.0,0.0,3,1,0,0,0,0,0,93.95,92.75,95.45,0.0,0.0,0.0,0.0
22,3,7.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.5625,92.25,95.1,0.0,0.0,0.0,0.0
23,4,8.0,1.0,0.0,1.0,0.0,4,0,0,0,0,0,0,93.175,91.75,94.75,0.0,0.0,0.0,0.0
24,4,8.0,0.0,0.0,1.0,0.0,4,0,0,0,0,0,0,92.75,91.25,94.25,0.0,0.0,0.0,0.0
25,5,8.0,1.0,1.0,2.0,0.0,3,1,0,0,0,0,0,92.325,90.75,93.75,0.0,0.0,0.0,0.0
26,4,7.0,0.0,1.0,3.0,0.0,3,1,0,0,0,0,0,91.9375,90.4,93.25,0.0,0.0,0.0,0.0
27,4,8.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.5875,90.05,92.9,0.0,0.0,0.0,0.0
28,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,91.2375,89.7,92.55,0.0,0.0,0.0,0.0
29,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,90.8875,89.35,92.2,0.0,0.0,0.0,0.0
30,4,8.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,90.4625,89.0,91.85,0.0,0.0,0.0,0.0
31,5,9.0,1.0,0.0,3.0,0.0,4,0,0,0,0,0,0,90.0375,88.65,91.5,0.0,0.0,0.0,0.0
32,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.6125,88.3,91.15,0.0,0.0,0.0,0.0
33,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,89.1875,87.95,90.8,0.0,0.0,0.0,0.0
34,5,9.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.7625,87.55,90.45,0.0,0.0,0.0,0.0
35,7,11.0,2.0,0.0,3.0,0.0,4,0,0,0,0,0,0,88.3375,87.05,90.1,0.0,0.0,0.0,0.0
36,7,11.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,87.9125,86.55,89.75,0.0,0.0,0.0,0.0
37,8,12.0,1.0,0.0,3.0,0.0,2,0,2,0,0,0,0,87.7375,86.55,89.4,0.0,0.0,2.0,2.0
38,8,12.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,87.4375,86.2,89.05,1.0,1.0,1.0,3.0
39,8,12.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,87.0125,85.85,88.7,0.0,1.0,0.0,3.0
40,8,12.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,86.5875,85.5,88.35,0.0,1.0,0.0,3.0
41,8,12.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,86.1625,85.05,88.0,0.0,1.0,0.0,3.0
42,8,12.0,0.0,0.0,3.0,0.0,4,0,0,0,0,0,0,85.7375,84.55,87.65,0.0,1.0,0.0,3.0
43,10,14.0,2.0,0.0,3.0,0.0,4,0,0,0,0,0,0,85.275,84.05,87.3,0.0,1.0,0.0,3.0
44,10,13.0,0.0,1.0,4.0,0.0,3,1,0,0,0,0,0,84.8125,83.55,86.95,0.0,1.0,0.0,3.0
45,10,13.0,1.0,1.0,5.0,0.0,3,1,0,0,0,0,0,84.35,83.05,86.45,0.0,1.0,0.0,3.0
46,9,12.0,0.0,1.0,6.0,0.0,3,1,0,0,0,0,0,83.925,82.55,85.95,0.0,1.0,0.0,3.0
47,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.5375,82.2,85.45,0.0,1.0,0.0,3.0
48,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,83.15,81.85,84.95,0.0,1.0,0.0,3.0
49,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.725,81.5,84.45,0.0,1.0,0.0,3.0
50,8,12.0,0.0,0.0,6.0,0.0,4,0,0,0,0,0,0,82.3,81.15,83.95,0.0,1.0,0.0,3.0
51,10,13.0,2.0,1.0,7.0,0.0,3,1,0,0,0,0,0,81.875,80.8,83.45,0.0,1.0,0.0,3.0
52,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.4875,80.45,82.95,0.0,1.0,0.0,3.0
53,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,81.1,80.1,82.45,0.0,1.0,0.0,3.0
54,9,13.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.7125,79.75,81.95,0.0,1.0,0.0,3.0
55,11,15.0,2.0,0.0,7.0,0.0,4,0,0,0,0,0,0,80.2875,79.4,81.45,0.0,1.0,0.0,3.0
56,11,15.0,0.0,0.0,7.0,0.0,4,0,0,0,0,0,0,79.825,78.9,80.95,0.0,1.0,0.0,3.0
57,11,13.0,0.0,2.0,9.0,0.0,2,2,0,0,0,0,0,79.3625,78.4,80.45,0.0,1.0,0.0,3.0
58,9,13.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.975,77.9,80.1,0.0,1.0,0.0,3.0
59,10,14.0,1.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.55,77.4,79.75,0.0,1.0,0.0,3.0
60,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,78.125,76.9,79.4,0.0,1.0,0.0,3.0
61,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.7,76.4,79.05,0.0,1.0,0.0,3.0
62,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,77.275,75.9,78.7,0.0,1.0,0.0,3.0
63,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.85,75.4,78.35,0.0,1.0,0.0,3.0
64,10,14.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.425,74.9,78.0,0.0,1.0,0.0,3.0
65,12,16.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,76.0,74.4,77.65,0.0,1.0,0.0,3.0
66,12,16.0,0.0,0.0,9.0,0.0,4,0,0,0,0,0,0,75.5375,73.9,77.15,0.0,1.0,0.0,3.0
67,14,18.0,2.0,0.0,9.0,0.0,4,0,0,0,0,0,0,75.075,73.4,76.65,0.0,1.0,0.0,3.0
68,14,18.0,0.0,0.0,9.0,0.0,3,0,1,0,0,0,0,74.7,72.9,76.15,0.0,1.0,1.0,4.0
69,14,17.0,0.0,1.0,10.0,0.0,3,1,0,0,0,0,0,74.2375,72.4,75.65,0.0,1.0,0.0,4.0
70,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,73.8125,72.05,75.3,0.0,1.0,0.0,4.0
71,13,17.0,0.0,0.0,10.0,0.0,4,0,0,0,0,0,0,73.3875,71.7,74.95,0.0,1.0,0.0,4.0
72,13,16.0,0.0,1.0,11.0,0.0,3,1,0,0,0,0,0,72.9625,71.35,74.6,0.0,1.0,0.0,4.0
73,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.575,71.0,74.25,0.0,1.0,0.0,4.0
74,12,16.0,0.0,0.0,11.0,0.0,4,0,0,0,0,0,0,72.15,70.5,73.9,0.0,1.0,0.0,4.0
75,14,18.0,2.0,0.0,11.0,0.0,4,0,0,0,0,0,0,71.6875,70.0,73.4,0.0,1.0,0.0,4.0
76,14,17.0,0.0,1.0,12.0,0.0,3,1,0,0,0,0,0,71.225,69.5,72.9,0.0,1.0,0.0,4.0
77,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.8,69.15,72.4,0.0,1.0,0.0,4.0
78,13,17.0,0.0,0.0,12.0,0.0,4,0,0,0,0,0,0,70.375,68.8,71.9,0.0,1.0,0.0,4.0
79,15,19.0,2.0,0.0,12.0,0.0,4,0,0,0,0,0,0,69.95,68.45,71.4,0.0,1.0,0.0,4.0
80,15,18.0,0.0,1.0,13.0,0.0,3,1,0,0,0,0,0,69.525,68.1,70.9,0.0,1.0,0.0,4.0
81,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,69.1375,67.75,70.4,0.0,1.0,0.0,4.0
82,14,18.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.75,67.4,69.9,0.0,1.0,0.0,4.0
83,15,19.0,1.0,0.0,13.0,0.0,4,0,0,0,0,0,0,68.3625,67.05,69.4,0.0,1.0,0.0,4.0
84,15,19.0,0.0,0.0,13.0,0.0,4,0,0,0,0,0,0,67.975,66.7,68.9,0.0,1.0,0.0,4.0
85,16,19.0,1.0,1.0,14.0,0.0,3,1,0,0,0,0,0,67.5875,66.35,68.4,0.0,1.0,0.0,4.0
86,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,67.2,66.0,68.05,0.0,1.0,0.0,4.0
87,15,19.0,0.0,0.0,14.0,0.0,4,0,0,0,0,0,0,66.775,65.65,67.7,0.0,1.0,0.0,4.0
88,15,18.0,0.0,1.0,15.0,0.0,2,1,1,0,0,0,0,66.4375,65.65,67.35,0.0,1.0,1.0,5.0
89,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,66.05,65.3,67.0,0.0,1.0,0.0,5.0
90,14,18.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.6625,64.85,66.65,0.0,1.0,0.0,5.0
91,16,20.0,2.0,0.0,15.0,0.0,4,0,0,0,0,0,0,65.275,64.35,66.3,0.0,1.0,0.0,5.0
92,16,20.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.8875,63.85,65.95,0.0,1.0,0.0,5.0
93,17,21.0,1.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.5,63.35,65.6,0.0,1.0,0.0,5.0
94,17,21.0,0.0,0.0,15.0,0.0,4,0,0,0,0,0,0,64.075,62.85,65.1,0.0,1.0,0.0,5.0
95,18,21.0,1.0,1.0,16.0,0.0,3,1,0,0,0,0,0,63.65,62.35,64.6,0.0,1.0,0.0,5.0
96,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,63.2625,62.0,64.1,0.0,1.0,0.0,5.0
97,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.875,61.65,63.75,0.0,1.0,0.0,5.0
98,17,21.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.45,61.3,63.4,0.0,1.0,0.0,5.0
99,18,22.0,1.0,0.0,16.0,0.0,4,0,0,0,0,0,0,62.025,60.95,63.05,0.0,1.0,0.0,5.0
100,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.6,60.6,62.7,0.0,1.0,0.0,5.0
101,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,61.1375,60.1,62.35,0.0,1.0,0.0,5.0
102,18,22.0,0.0,0.0,16.0,0.0,4,0,0,0,0,0,0,60.675,59.6,62.0,0.0,1.0,0.0,5.0
103,19,21.0,1.0,2.0,18.0,0.0,2,2,0,0,0,0,0,60.2125,59.1,61.65,0.0,1.0,0.0,5.0
104,17,21.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.825,58.75,61.3,0.0,1.0,0.0,5.0
105,18,22.0,1.0,0.0,18.0,0.0,2,0,2,0,0,0,0,59.65,58.4,61.3,0.0,1.0,2.0,7.0
106,18,22.0,0.0,0.0,18.0,0.0,3,0,1,0,0,0,0,59.475,58.05,61.3,1.0,2.0,2.0,9.0
107,20,24.0,2.0,0.0,18.0,0.0,4,0,0,0,0,0,0,59.0875,57.7,60.95,0.0,2.0,0.0,9.0
108,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.6625,57.35,60.45,0.0,2.0,0.0,9.0
109,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,58.2375,57.0,59.95,0.0,2.0,0.0,9.0
110,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.8125,56.65,59.45,0.0,2.0,0.0,9.0
111,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,57.3875,56.3,58.95,0.0,2.0,0.0,9.0
112,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.9625,55.95,58.45,0.0,2.0,0.0,9.0
113,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.5375,55.5,57.95,0.0,2.0,0.0,9.0
114,20,24.0,0.0,0.0,18.0,0.0,4,0,0,0,0,0,0,56.075,55.0,57.45,0.0,2.0,0.0,9.0
115,23,26.0,3.0,1.0,19.0,0.0,3,1,0,0,0,0,0,55.6125,54.5,56.95,0.0,2.0,0.0,9.0
116,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,55.1875,54.0,56.6,0.0,2.0,0.0,9.0
117,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,54.725,53.5,56.25,0.0,2.0,0.0,9.0
118,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,54.2625,53.0,55.9,0.0,2.0,0.0,9.0
119,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,53.8,52.5,55.55,0.0,2.0,0.0,9.0
120,22,26.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,53.3375,52.0,55.2,0.0,2.0,0.0,9.0
121,23,27.0,1.0,0.0,19.0,0.0,4,0,0,0,0,0,0,52.875,51.5,54.85,0.0,2.0,0.0,9.0
122,23,27.0,0.0,0.0,19.0,0.0,4,0,0,0,0,0,0,52.375,51.0,54.35,0.0,2.0,0.0,9.0
123,24,27.0,1.0,1.0,20.0,0.0,3,1,0,0,0,0,0,51.875,50.5,53.85,0.0,2.0,0.0,9.0
124,23,26.0,0.0,1.0,21.0,0.0,3,1,0,0,0,0,0,51.4125,50.0,53.35,0.0,2.0,0.0,9.0
125,23,27.0,1.0,0.0,21.0,0.0,4,0,0,0,0,0,0,50.9875,49.5,53.0,0.0,2.0,0.0,9.0
126,23,26.0,0.0,1.0,22.0,0.0,3,1,0,0,0,0,0,50.5625,49.0,52.65,0.0,2.0,0.0,9.0
127,23,27.0,1.0,0.0,22.0,0.0,4,0,0,0,0,0,0,50.175,48.65,52.3,0.0,2.0,0.0,9.0
128,23,27.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,49.75,48.3,51.95,0.0,2.0,0.0,9.0
129,23,27.0,0.0,0.0,22.0,0.0,4,0,0,0,0,0,0,49.325,47.95,51.6,0.0,2.0,0.0,9.0
130,23,26.0,0.0,1.0,23.0,0.0,3,1,0,0,0,0,0,48.9,47.55,51.25,0.0,2.0,0.0,9.0
131,23,26.0,1.0,1.0,24.0,0.0,3,1,0,0,0,0,0,48.5125,47.05,50.9,0.0,2.0,0.0,9.0
132,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,48.1625,46.7,50.55,0.0,2.0,0.0,9.0
133,22,26.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.8125,46.35,50.2,0.0,2.0,0.0,9.0
134,22,26.0,0.0,0.0,24.0,0.0,3,0,1,0,0,0,0,47.55,46.0,49.85,0.0,2.0,1.0,10.0
135,24,28.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,47.2,45.65,49.5,0.0,2.0,0.0,10.0
136,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.85,45.3,49.15,0.0,2.0,0.0,10.0
137,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.5,44.95,48.8,0.0,2.0,0.0,10.0
138,24,28.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,46.1125,44.6,48.3,0.0,2.0,0.0,10.0
139,26,30.0,2.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.725,44.25,47.8,0.0,2.0,0.0,10.0
140,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,45.3375,43.9,47.3,0.0,2.0,0.0,10.0
141,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,44.95,43.55,46.8,0.0,2.0,0.0,10.0
142,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,44.5625,43.2,46.3,0.0,2.0,0.0,10.0
143,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,44.1,42.7,45.8,0.0,2.0,0.0,10.0
144,26,30.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,43.6375,42.2,45.3,0.0,2.0,0.0,10.0
145,27,31.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,43.175,41.7,44.8,0.0,2.0,0.0,10.0
146,27,31.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,42.675,41.2,44.3,0.0,2.0,0.0,10.0
147,28,32.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,42.175,40.7,43.8,0.0,2.0,0.0,10.0
148,28,32.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,41.675,40.2,43.3,0.0,2.0,0.0,10.0
149,29,33.0,1.0,0.0,24.0,0.0,4,0,0,0,0,0,0,41.175,39.7,42.8,0.0,2.0,0.0,10.0
150,29,33.0,0.0,0.0,24.0,0.0,4,0,0,0,0,0,0,40.675,39.2,42.3,0.0,2.0,0.0,10.0
151,30,33.0,1.0,1.0,25.0,0.0,3,1,0,0,0,0,0,40.175,38.7,41.8,0.0,2.0,0.0,10.0
152,29,31.0,0.0,2.0,27.0,0.0,2,2,0,0,0,0,0,39.7125,38.2,41.3,0.0,2.0,0.0,10.0
153,27,31.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,39.325,37.85,40.95,0.0,2.0,0.0,10.0
154,27,31.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,38.9375,37.5,40.6,0.0,2.0,0.0,10.0
155,29,33.0,2.0,0.0,27.0,0.0,4,0,0,0,0,0,0,38.55,37.15,40.25,0.0,2.0,0.0,10.0
156,29,33.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,38.1625,36.8,39.9,0.0,2.0,0.0,10.0
157,29,33.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,37.7375,36.45,39.55,0.0,2.0,0.0,10.0
158,29,33.0,0.0,0.0,27.0,0.0,4,0,0,0,0,0,0,37.275,36.1,39.05,0.0,2.0,0.0,10.0
159,29,32.0,0.0,1.0,28.0,0.0,3,1,0,0,0,0,0,36.8125,35.65,38.55,0.0,2.0,0.0,10.0
160,28,30.0,0.0,2.0,30.0,0.0,2,2,0,0,0,0,0,36.3875,35.3,38.05,0.0,2.0,0.0,10.0
161,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,36.0375,34.95,37.7,0.0,2.0,0.0,10.0
162,26,30.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.6875,34.6,37.35,0.0,2.0,0.0,10.0
163,29,33.0,3.0,0.0,30.0,0.0,4,0,0,0,0,0,0,35.3375,34.25,37.0,0.0,2.0,0.0,10.0
164,29,33.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.9875,33.9,36.65,0.0,2.0,0.0,10.0
165,30,34.0,1.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.6375,33.55,36.3,0.0,2.0,0.0,10.0
166,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,34.2875,33.2,35.95,0.0,2.0,0.0,10.0
167,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,33.9375,32.85,35.6,0.0,2.0,0.0,10.0
168,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,33.55,32.5,35.25,0.0,2.0,0.0,10.0
169,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,33.0875,32.0,34.9,0.0,2.0,0.0,10.0
170,30,34.0,0.0,0.0,30.0,0.0,4,0,0,0,0,0,0,32.625,31.5,34.55,0.0,2.0,0.0,10.0
