run_id,tick,event_type,robot_id,task_id,details
20260909_025418_43a1fd,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025418_43a1fd,3,task_assigned,R3,G00001,
20260909_025418_43a1fd,5,task_created,,G00002,type=PICK pickup=F-08 dropoff=PICK-2
20260909_025418_43a1fd,5,task_assigned,R2,G00002,
20260909_025418_43a1fd,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025418_43a1fd,7,task_assigned,R1,G00003,
20260909_025418_43a1fd,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025418_43a1fd,9,task_assigned,R7,G00004,
20260909_025418_43a1fd,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025418_43a1fd,11,task_assigned,R6,G00005,
20260909_025418_43a1fd,15,task_created,,G00006,type=PICK pickup=D-08 dropoff=PICK-3
20260909_025418_43a1fd,15,task_assigned,R4,G00006,
20260909_025418_43a1fd,16,task_completed,R2,G00002,
20260909_025418_43a1fd,17,robot_blocked,R1,,"{""x"": 13, ""y"": 8}"
20260909_025418_43a1fd,18,task_completed,R7,G00004,
20260909_025418_43a1fd,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025418_43a1fd,19,task_assigned,R7,G00007,
20260909_025418_43a1fd,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025418_43a1fd,19,task_assigned,R2,G00008,
20260909_025418_43a1fd,21,robot_blocked,R6,,"{""x"": 11, ""y"": 1}"
20260909_025418_43a1fd,22,robot_blocked,R3,,"{""x"": 10, ""y"": 1}"
20260909_025418_43a1fd,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025418_43a1fd,23,task_assigned,R5,G00009,
20260909_025418_43a1fd,25,task_completed,R1,G00003,
20260909_025418_43a1fd,25,task_created,,G00010,type=PICK pickup=A-06 dropoff=PICK-3
20260909_025418_43a1fd,26,task_assigned,R1,G00010,
20260909_025418_43a1fd,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025418_43a1fd,29,task_completed,R4,G00006,
20260909_025418_43a1fd,30,task_assigned,R4,G00011,
20260909_025418_43a1fd,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025418_43a1fd,33,task_completed,R3,G00001,
20260909_025418_43a1fd,34,task_assigned,R3,G00012,
20260909_025418_43a1fd,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=D-03
20260909_025418_43a1fd,35,task_created,,G00014,type=PICK pickup=C-08 dropoff=PICK-3
20260909_025418_43a1fd,35,robot_blocked,R4,,"{""x"": 15, ""y"": 8}"
20260909_025418_43a1fd,36,task_completed,R5,G00009,
20260909_025418_43a1fd,36,robot_blocked,R2,,"{""x"": 14, ""y"": 8}"
20260909_025418_43a1fd,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025418_43a1fd,37,task_assigned,R5,G00015,
20260909_025418_43a1fd,41,task_completed,R7,G00007,
20260909_025418_43a1fd,41,task_completed,R2,G00008,
20260909_025418_43a1fd,42,task_assigned,R2,G00013,
20260909_025418_43a1fd,42,task_assigned,R7,G00014,
20260909_025418_43a1fd,42,task_completed,R5,G00015,
20260909_025418_43a1fd,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=A-03
20260909_025418_43a1fd,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025418_43a1fd,43,task_assigned,R5,G00017,
20260909_025418_43a1fd,44,task_completed,R6,G00005,
20260909_025418_43a1fd,45,task_created,,G00018,type=PICK pickup=H-04 dropoff=PICK-3
20260909_025418_43a1fd,45,task_assigned,R6,G00018,
20260909_025418_43a1fd,49,task_completed,R3,G00012,
20260909_025418_43a1fd,50,task_assigned,R3,G00016,
20260909_025418_43a1fd,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=C-04
20260909_025418_43a1fd,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025418_43a1fd,55,task_completed,R7,G00014,
20260909_025418_43a1fd,55,task_created,,G00021,type=PICK pickup=E-04 dropoff=PICK-1
20260909_025418_43a1fd,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025418_43a1fd,56,task_assigned,R7,G00020,
20260909_025418_43a1fd,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=H-02
20260909_025418_43a1fd,59,robot_blocked,R7,,"{""x"": 17, ""y"": 8}"
20260909_025418_43a1fd,65,task_created,,G00024,type=PICK pickup=F-03 dropoff=PICK-1
20260909_025418_43a1fd,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025418_43a1fd,66,robot_blocked,R5,,"{""x"": 15, ""y"": 9}"
20260909_025418_43a1fd,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260909_025418_43a1fd,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025418_43a1fd,69,task_completed,R1,G00010,
20260909_025418_43a1fd,70,task_assigned,R1,G00025,
20260909_025418_43a1fd,74,task_completed,R5,G00017,
20260909_025418_43a1fd,74,task_completed,R6,G00018,
20260909_025418_43a1fd,75,task_completed,R7,G00020,
20260909_025418_43a1fd,75,task_assigned,R5,G00022,
20260909_025418_43a1fd,75,task_assigned,R6,G00027,
20260909_025418_43a1fd,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025418_43a1fd,75,task_created,,G00029,type=PICK pickup=G-05 dropoff=PICK-3
20260909_025418_43a1fd,76,task_completed,R3,G00016,
20260909_025418_43a1fd,76,task_assigned,R7,G00021,
20260909_025418_43a1fd,77,task_assigned,R3,G00024,
20260909_025418_43a1fd,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025418_43a1fd,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025418_43a1fd,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=G-05
20260909_025418_43a1fd,84,task_completed,R4,G00011,
20260909_025418_43a1fd,85,task_assigned,R4,G00031,
20260909_025418_43a1fd,85,task_created,,G00033,type=PICK pickup=G-04 dropoff=PICK-3
20260909_025418_43a1fd,86,task_completed,R1,G00025,
20260909_025418_43a1fd,87,task_completed,R5,G00022,
20260909_025418_43a1fd,87,task_assigned,R1,G00030,
20260909_025418_43a1fd,88,task_assigned,R5,G00029,
20260909_025418_43a1fd,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025418_43a1fd,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025418_43a1fd,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025418_43a1fd,95,task_created,,G00037,type=PICK pickup=D-01 dropoff=PICK-2
20260909_025418_43a1fd,97,task_completed,R3,G00024,
20260909_025418_43a1fd,98,task_assigned,R3,G00036,
20260909_025418_43a1fd,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=D-05
20260909_025418_43a1fd,100,task_completed,R7,G00021,
20260909_025418_43a1fd,101,task_assigned,R7,G00035,
20260909_025418_43a1fd,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025418_43a1fd,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-1
20260909_025418_43a1fd,107,task_completed,R6,G00027,
20260909_025418_43a1fd,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260909_025418_43a1fd,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025418_43a1fd,108,task_completed,R4,G00031,
20260909_025418_43a1fd,108,task_assigned,R6,G00042,
20260909_025418_43a1fd,109,task_assigned,R4,G00039,
20260909_025418_43a1fd,110,task_completed,R2,G00013,
20260909_025418_43a1fd,111,task_assigned,R2,G00033,
20260909_025418_43a1fd,114,task_completed,R1,G00030,
20260909_025418_43a1fd,114,task_completed,R3,G00036,
20260909_025418_43a1fd,115,task_completed,R7,G00035,
20260909_025418_43a1fd,115,task_assigned,R3,G00037,
20260909_025418_43a1fd,115,task_completed,R6,G00042,
20260909_025418_43a1fd,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025418_43a1fd,115,task_created,,G00044,type=PICK pickup=H-01 dropoff=PICK-3
20260909_025418_43a1fd,115,task_created,,G00045,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025418_43a1fd,115,task_assigned,R1,G00045,
20260909_025418_43a1fd,116,task_assigned,R7,G00040,
20260909_025418_43a1fd,116,task_assigned,R6,G00044,
20260909_025418_43a1fd,120,task_completed,R5,G00029,
20260909_025418_43a1fd,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025418_43a1fd,121,task_assigned,R5,G00046,
20260909_025418_43a1fd,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=D-06
20260909_025418_43a1fd,124,task_completed,R2,G00033,
20260909_025418_43a1fd,125,task_created,,G00048,type=PICK pickup=E-02 dropoff=PICK-3
20260909_025418_43a1fd,125,task_assigned,R2,G00048,
20260909_025418_43a1fd,127,task_created,,G00049,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025418_43a1fd,131,task_created,,G00050,type=PUTAWAY pickup=RECV dropoff=E-07
20260909_025418_43a1fd,135,task_created,,G00051,type=PICK pickup=A-08 dropoff=PICK-1
20260909_025418_43a1fd,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025418_43a1fd,137,task_completed,R1,G00045,
20260909_025418_43a1fd,137,task_completed,R5,G00046,
20260909_025418_43a1fd,138,task_completed,R6,G00044,
20260909_025418_43a1fd,138,task_assigned,R1,G00049,
20260909_025418_43a1fd,138,task_assigned,R5,G00052,
20260909_025418_43a1fd,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=G-07
20260909_025418_43a1fd,139,task_created,,G00054,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025418_43a1fd,139,task_assigned,R6,G00054,
20260909_025418_43a1fd,140,task_completed,R4,G00039,
20260909_025418_43a1fd,141,task_assigned,R4,G00051,
20260909_025418_43a1fd,143,task_completed,R5,G00052,
20260909_025418_43a1fd,144,task_assigned,R5,G00019,
20260909_025418_43a1fd,145,task_created,,G00055,type=PICK pickup=B-07 dropoff=PICK-3
20260909_025418_43a1fd,147,task_completed,R6,G00054,
20260909_025418_43a1fd,147,task_created,,G00056,type=PUTAWAY pickup=RECV dropoff=E-05
20260909_025418_43a1fd,148,task_completed,R7,G00040,
20260909_025418_43a1fd,148,task_assigned,R6,G00055,
20260909_025418_43a1fd,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025418_43a1fd,149,task_assigned,R7,G00057,
20260909_025418_43a1fd,151,task_completed,R3,G00037,
20260909_025418_43a1fd,151,task_created,,G00058,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025418_43a1fd,152,task_assigned,R3,G00058,
20260909_025418_43a1fd,155,task_created,,G00059,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260909_025418_43a1fd,155,task_created,,G00060,type=PICK pickup=B-06 dropoff=PICK-1
20260909_025418_43a1fd,162,task_completed,R1,G00049,
20260909_025418_43a1fd,163,task_created,,G00061,type=PUTAWAY pickup=BUFFER dropoff=H-03
20260909_025418_43a1fd,163,task_created,,G00062,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025418_43a1fd,163,task_created,,G00063,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025418_43a1fd,163,task_assigned,R1,G00063,
20260909_025418_43a1fd,165,task_completed,R4,G00051,
20260909_025418_43a1fd,165,task_completed,R7,G00057,
20260909_025418_43a1fd,165,task_created,,G00064,type=PICK pickup=A-01 dropoff=PICK-1
20260909_025418_43a1fd,166,task_assigned,R7,G00060,
20260909_025418_43a1fd,166,task_assigned,R4,G00062,
20260909_025418_43a1fd,167,task_completed,R2,G00048,
20260909_025418_43a1fd,168,task_completed,R3,G00058,
20260909_025418_43a1fd,168,task_assigned,R2,G00064,
20260909_025418_43a1fd,169,task_assigned,R3,G00023,
20260909_025418_43a1fd,171,task_completed,R1,G00063,
20260909_025418_43a1fd,171,task_created,,G00065,type=PUTAWAY pickup=RECV dropoff=F-01
20260909_025418_43a1fd,172,task_assigned,R1,G00026,
20260909_025418_43a1fd,175,task_created,,G00066,type=PICK pickup=G-08 dropoff=PICK-1
20260909_025418_43a1fd,175,task_created,,G00067,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025418_43a1fd,177,task_created,,G00068,type=SHIP pickup=STAGING dropoff=DOCK-1
