tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.9786,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.7071,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.4143,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.1214,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.8071,95.65,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.4429,95.15,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,97.0571,94.65,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,4,2,1,0,0,0,0,96.8143,94.15,100.0,0.0,0.0,1.0,1.0
18,0,4.0,0.0,1.0,2.0,0.0,3,3,1,0,0,0,0,96.5214,93.65,100.0,1.0,1.0,1.0,2.0
19,0,6.0,2.0,0.0,2.0,0.0,6,1,0,0,0,0,0,96.1786,93.15,100.0,0.0,1.0,0.0,2.0
20,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.8357,92.65,100.0,0.0,1.0,0.0,2.0
21,0,6.0,0.0,0.0,2.0,0.0,5,1,1,0,0,0,0,95.5214,92.15,100.0,0.0,1.0,1.0,3.0
22,0,6.0,0.0,0.0,2.0,0.0,5,1,1,0,0,0,0,95.2786,92.15,100.0,1.0,2.0,2.0,5.0
23,0,7.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.8643,91.65,99.65,0.0,2.0,0.0,5.0
24,0,7.0,0.0,0.0,2.0,0.0,6,0,1,0,0,0,0,94.5214,91.65,99.3,0.0,2.0,1.0,6.0
25,1,7.0,1.0,1.0,3.0,0.0,6,1,0,0,0,0,0,94.1071,91.15,98.95,0.0,2.0,0.0,6.0
26,0,7.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.6929,90.65,98.6,0.0,2.0,0.0,6.0
27,1,8.0,1.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.2786,90.15,98.25,0.0,2.0,0.0,6.0
28,1,8.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,92.8643,89.65,97.9,0.0,2.0,0.0,6.0
