tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.1786,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.9571,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.6857,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.3929,96.35,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.1,95.85,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.8071,95.35,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.4643,94.85,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,97.1214,94.35,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,1.0,2.0,0.0,4,3,0,0,0,0,0,96.8286,93.85,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,3,0,0,0,0,0,96.5857,93.85,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,1,0,0,0,0,0,96.2429,93.5,100.0,0.0,0.0,0.0,0.0
20,0,5.0,0.0,1.0,3.0,0.0,5,2,0,0,0,0,0,95.9,93.15,100.0,0.0,0.0,0.0,0.0
21,0,5.0,0.0,0.0,3.0,0.0,5,2,0,0,0,0,0,95.6286,92.8,100.0,0.0,0.0,0.0,0.0
22,0,5.0,0.0,0.0,3.0,0.0,5,2,0,0,0,0,0,95.3571,92.45,100.0,0.0,0.0,0.0,0.0
23,0,5.0,1.0,1.0,4.0,0.0,5,2,0,0,0,0,0,95.0357,92.1,100.0,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,2,0,0,0,0,0,94.7857,91.75,100.0,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,6,1,0,0,0,0,0,94.4643,91.25,99.65,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,5,1,1,0,0,0,0,94.1929,90.75,99.3,0.0,0.0,1.0,1.0
27,0,7.0,1.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.8,90.25,98.95,0.0,0.0,0.0,1.0
28,0,7.0,0.0,0.0,4.0,0.0,6,0,1,0,0,0,0,93.4571,89.75,98.6,0.0,0.0,1.0,2.0
