run_id,tick,event_type,robot_id,task_id,details
20260909_025422_413f14,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=G-02
20260909_025422_413f14,3,task_assigned,R5,G00001,
20260909_025422_413f14,5,task_created,,G00002,type=PICK pickup=F-01 dropoff=PICK-2
20260909_025422_413f14,5,task_assigned,R2,G00002,
20260909_025422_413f14,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025422_413f14,7,task_assigned,R1,G00003,
20260909_025422_413f14,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025422_413f14,9,task_assigned,R3,G00004,
20260909_025422_413f14,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=H-04
20260909_025422_413f14,11,task_assigned,R6,G00005,
20260909_025422_413f14,15,task_created,,G00006,type=PICK pickup=E-04 dropoff=PICK-2
20260909_025422_413f14,15,task_assigned,R4,G00006,
20260909_025422_413f14,17,task_completed,R3,G00004,
20260909_025422_413f14,19,task_completed,R5,G00001,
20260909_025422_413f14,19,task_completed,R2,G00002,
20260909_025422_413f14,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025422_413f14,19,task_assigned,R3,G00007,
20260909_025422_413f14,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025422_413f14,19,task_assigned,R7,G00008,
20260909_025422_413f14,21,task_completed,R1,G00003,
20260909_025422_413f14,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025422_413f14,23,task_assigned,R1,G00009,
20260909_025422_413f14,24,robot_blocked,R3,,"{""x"": 13, ""y"": 13}"
20260909_025422_413f14,25,task_created,,G00010,type=PICK pickup=C-08 dropoff=PICK-1
20260909_025422_413f14,25,task_assigned,R5,G00010,
20260909_025422_413f14,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=H-01
20260909_025422_413f14,27,task_assigned,R2,G00011,
20260909_025422_413f14,30,task_completed,R1,G00009,
20260909_025422_413f14,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025422_413f14,31,task_assigned,R1,G00012,
20260909_025422_413f14,32,robot_blocked,R5,,"{""x"": 12, ""y"": 4}"
20260909_025422_413f14,33,robot_blocked,R4,,"{""x"": 11, ""y"": 4}"
20260909_025422_413f14,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=A-08
20260909_025422_413f14,35,task_created,,G00014,type=PICK pickup=C-03 dropoff=PICK-3
20260909_025422_413f14,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025422_413f14,40,task_completed,R7,G00008,
20260909_025422_413f14,41,task_assigned,R7,G00015,
20260909_025422_413f14,43,task_completed,R6,G00005,
20260909_025422_413f14,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=F-08
20260909_025422_413f14,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025422_413f14,44,task_completed,R3,G00007,
20260909_025422_413f14,44,task_assigned,R6,G00017,
20260909_025422_413f14,45,task_assigned,R3,G00014,
20260909_025422_413f14,45,task_created,,G00018,type=PICK pickup=D-03 dropoff=PICK-3
20260909_025422_413f14,46,task_completed,R2,G00011,
20260909_025422_413f14,46,robot_blocked,R6,,"{""x"": 21, ""y"": 4}"
20260909_025422_413f14,47,task_completed,R7,G00015,
20260909_025422_413f14,47,task_assigned,R2,G00018,
20260909_025422_413f14,48,task_assigned,R7,G00013,
20260909_025422_413f14,48,robot_blocked,R1,,"{""x"": 8, ""y"": 8}"
20260909_025422_413f14,49,task_completed,R4,G00006,
20260909_025422_413f14,50,task_assigned,R4,G00016,
