tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.9786,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.7071,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.4357,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.1214,96.0,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.8071,95.5,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.4214,95.0,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.0357,94.5,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,96.65,94.0,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.3357,93.5,100.0,0.0,0.0,0.0,0.0
19,0,5.0,2.0,2.0,3.0,0.0,5,2,0,0,0,0,0,95.9214,93.0,99.65,0.0,0.0,0.0,0.0
20,0,5.0,0.0,0.0,3.0,0.0,5,2,0,0,0,0,0,95.65,93.0,99.3,0.0,0.0,0.0,0.0
21,0,4.0,0.0,1.0,4.0,0.0,4,3,0,0,0,0,0,95.3786,93.0,98.95,0.0,0.0,0.0,0.0
22,0,4.0,0.0,0.0,4.0,0.0,4,3,0,0,0,0,0,95.1786,93.0,98.6,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,2,0,0,0,0,0,94.9286,93.0,98.25,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,4,2,1,0,0,0,0,94.7286,92.7,97.9,0.0,0.0,1.0,1.0
25,0,6.0,1.0,0.0,4.0,0.0,6,1,0,0,0,0,0,94.4286,92.35,97.55,0.0,0.0,0.0,1.0
26,0,6.0,0.0,0.0,4.0,0.0,6,1,0,0,0,0,0,94.1286,92.0,97.2,0.0,0.0,0.0,1.0
27,0,7.0,1.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.7143,91.65,96.7,0.0,0.0,0.0,1.0
28,0,7.0,0.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.2786,91.15,96.2,0.0,0.0,0.0,1.0
