run_id,tick,event_type,robot_id,task_id,details
20260909_025425_73fa07,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-04
20260909_025425_73fa07,3,task_assigned,R1,G00001,
20260909_025425_73fa07,5,task_created,,G00002,type=PICK pickup=D-03 dropoff=PICK-3
20260909_025425_73fa07,5,task_assigned,R7,G00002,
20260909_025425_73fa07,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025425_73fa07,7,task_assigned,R2,G00003,
20260909_025425_73fa07,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025425_73fa07,9,task_assigned,R3,G00004,
20260909_025425_73fa07,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260909_025425_73fa07,11,task_assigned,R6,G00005,
20260909_025425_73fa07,15,task_created,,G00006,type=PICK pickup=H-04 dropoff=PICK-3
20260909_025425_73fa07,15,task_assigned,R4,G00006,
20260909_025425_73fa07,17,task_completed,R2,G00003,
20260909_025425_73fa07,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=B-06
20260909_025425_73fa07,19,task_assigned,R5,G00007,
20260909_025425_73fa07,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025425_73fa07,19,task_assigned,R2,G00008,
20260909_025425_73fa07,20,robot_blocked,R1,,"{""x"": 8, ""y"": 4}"
20260909_025425_73fa07,20,robot_blocked,R6,,"{""x"": 9, ""y"": 4}"
20260909_025425_73fa07,22,task_completed,R3,G00004,
20260909_025425_73fa07,22,task_completed,R6,G00005,
20260909_025425_73fa07,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025425_73fa07,23,task_assigned,R3,G00009,
20260909_025425_73fa07,24,task_completed,R7,G00002,
20260909_025425_73fa07,25,task_created,,G00010,type=PICK pickup=D-08 dropoff=PICK-2
20260909_025425_73fa07,25,task_assigned,R7,G00010,
20260909_025425_73fa07,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025425_73fa07,27,task_assigned,R6,G00011,
20260909_025425_73fa07,28,task_completed,R3,G00009,
20260909_025425_73fa07,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025425_73fa07,31,task_assigned,R3,G00012,
20260909_025425_73fa07,31,robot_blocked,R7,,"{""x"": 24, ""y"": 6}"
20260909_025425_73fa07,32,robot_blocked,R4,,"{""x"": 24, ""y"": 5}"
20260909_025425_73fa07,34,task_completed,R1,G00001,
20260909_025425_73fa07,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=G-01
20260909_025425_73fa07,35,task_created,,G00014,type=PICK pickup=E-02 dropoff=PICK-1
20260909_025425_73fa07,35,task_assigned,R1,G00014,
20260909_025425_73fa07,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025425_73fa07,37,robot_blocked,R5,,"{""x"": 7, ""y"": 4}"
20260909_025425_73fa07,39,task_completed,R4,G00006,
20260909_025425_73fa07,40,task_assigned,R4,G00015,
20260909_025425_73fa07,41,task_completed,R6,G00011,
20260909_025425_73fa07,42,task_assigned,R6,G00013,
