tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.7071,96.7,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.3929,96.2,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.0786,95.7,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.7643,95.2,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.4,94.7,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.0357,94.2,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,96.65,93.7,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.3357,93.2,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.9214,92.7,99.65,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,5,0,2,0,0,0,0,95.6286,92.7,99.3,0.0,0.0,2.0,2.0
21,0,7.0,0.0,0.0,1.0,0.0,6,0,1,0,0,0,0,95.3357,92.7,98.95,1.0,1.0,2.0,4.0
22,0,5.0,0.0,2.0,3.0,0.0,5,2,0,0,0,0,0,94.9,92.2,98.6,0.0,1.0,0.0,4.0
23,0,6.0,1.0,0.0,3.0,0.0,6,1,0,0,0,0,0,94.5571,91.7,98.25,0.0,1.0,0.0,4.0
24,0,5.0,0.0,1.0,4.0,0.0,5,2,0,0,0,0,0,94.2143,91.2,97.9,0.0,1.0,0.0,4.0
25,0,6.0,1.0,0.0,4.0,0.0,6,1,0,0,0,0,0,93.8929,90.7,97.55,0.0,1.0,0.0,4.0
26,0,6.0,0.0,0.0,4.0,0.0,6,1,0,0,0,0,0,93.55,90.2,97.2,0.0,1.0,0.0,4.0
27,0,7.0,1.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.1571,89.7,96.85,0.0,1.0,0.0,4.0
28,0,6.0,0.0,1.0,5.0,0.0,6,1,0,0,0,0,0,92.7643,89.2,96.5,0.0,1.0,0.0,4.0
