tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.75,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.5,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.25,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.9786,95.8,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.6357,95.45,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.2714,95.1,100.0,0.0,0.0,0.0,0.0
17,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,96.9071,94.75,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,96.5214,94.25,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,1.0,2.0,0.0,6,1,0,0,0,0,0,96.1071,93.75,99.65,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.7643,93.25,99.3,0.0,0.0,0.0,0.0
21,0,5.0,0.0,1.0,3.0,0.0,5,2,0,0,0,0,0,95.4214,92.75,98.95,0.0,0.0,0.0,0.0
22,0,4.0,0.0,1.0,4.0,0.0,4,3,0,0,0,0,0,95.15,92.25,98.6,0.0,0.0,0.0,0.0
23,0,5.0,1.0,0.0,4.0,0.0,5,2,0,0,0,0,0,94.9,92.25,98.25,0.0,0.0,0.0,0.0
24,0,5.0,0.0,0.0,4.0,0.0,5,2,0,0,0,0,0,94.65,92.25,97.9,0.0,0.0,0.0,0.0
25,0,6.0,1.0,0.0,4.0,0.0,5,1,1,0,0,0,0,94.3786,91.75,97.55,0.0,0.0,1.0,1.0
26,0,6.0,0.0,0.0,4.0,0.0,6,1,0,0,0,0,0,94.0571,91.25,97.2,0.0,0.0,0.0,1.0
27,0,7.0,1.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.6643,90.75,96.85,0.0,0.0,0.0,1.0
28,0,7.0,0.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.2714,90.25,96.5,0.0,0.0,0.0,1.0
