run_id,tick,event_type,robot_id,task_id,details
20260909_025428_fae5fe,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260909_025428_fae5fe,3,task_assigned,R6,G00001,
20260909_025428_fae5fe,5,task_created,,G00002,type=PICK pickup=H-03 dropoff=PICK-3
20260909_025428_fae5fe,5,task_assigned,R7,G00002,
20260909_025428_fae5fe,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025428_fae5fe,7,task_assigned,R5,G00003,
20260909_025428_fae5fe,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,9,task_assigned,R4,G00004,
20260909_025428_fae5fe,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_025428_fae5fe,11,task_assigned,R1,G00005,
20260909_025428_fae5fe,15,task_created,,G00006,type=PICK pickup=C-05 dropoff=PICK-2
20260909_025428_fae5fe,15,task_assigned,R3,G00006,
20260909_025428_fae5fe,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=D-01
20260909_025428_fae5fe,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025428_fae5fe,19,task_assigned,R2,G00008,
20260909_025428_fae5fe,21,task_completed,R4,G00004,
20260909_025428_fae5fe,22,task_assigned,R4,G00007,
20260909_025428_fae5fe,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,25,task_completed,R7,G00002,
20260909_025428_fae5fe,25,task_created,,G00010,type=PICK pickup=H-02 dropoff=PICK-1
20260909_025428_fae5fe,26,task_assigned,R7,G00009,
20260909_025428_fae5fe,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260909_025428_fae5fe,28,task_completed,R6,G00001,
20260909_025428_fae5fe,28,task_completed,R5,G00003,
20260909_025428_fae5fe,29,task_completed,R1,G00005,
20260909_025428_fae5fe,29,task_assigned,R5,G00010,
20260909_025428_fae5fe,29,task_assigned,R6,G00011,
20260909_025428_fae5fe,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025428_fae5fe,31,task_assigned,R1,G00012,
20260909_025428_fae5fe,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=E-01
20260909_025428_fae5fe,35,task_created,,G00014,type=PICK pickup=A-03 dropoff=PICK-2
20260909_025428_fae5fe,35,robot_blocked,R7,,"{""x"": 12, ""y"": 9}"
20260909_025428_fae5fe,36,robot_blocked,R2,,"{""x"": 12, ""y"": 10}"
20260909_025428_fae5fe,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025428_fae5fe,39,task_completed,R3,G00006,
20260909_025428_fae5fe,40,task_assigned,R3,G00015,
20260909_025428_fae5fe,43,task_completed,R1,G00012,
20260909_025428_fae5fe,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=H-08
20260909_025428_fae5fe,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025428_fae5fe,44,task_assigned,R1,G00017,
20260909_025428_fae5fe,44,robot_blocked,R3,,"{""x"": 11, ""y"": 11}"
20260909_025428_fae5fe,45,task_completed,R7,G00009,
20260909_025428_fae5fe,45,task_created,,G00018,type=PICK pickup=A-07 dropoff=PICK-2
20260909_025428_fae5fe,46,task_assigned,R7,G00014,
20260909_025428_fae5fe,49,task_completed,R2,G00008,
20260909_025428_fae5fe,49,task_completed,R6,G00011,
20260909_025428_fae5fe,50,task_assigned,R2,G00013,
20260909_025428_fae5fe,50,task_assigned,R6,G00018,
20260909_025428_fae5fe,51,task_completed,R3,G00015,
20260909_025428_fae5fe,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025428_fae5fe,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,52,task_assigned,R3,G00020,
20260909_025428_fae5fe,53,robot_blocked,R1,,"{""x"": 11, ""y"": 10}"
20260909_025428_fae5fe,55,task_created,,G00021,type=PICK pickup=D-03 dropoff=PICK-3
20260909_025428_fae5fe,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025428_fae5fe,56,task_completed,R1,G00017,
20260909_025428_fae5fe,57,task_completed,R3,G00020,
20260909_025428_fae5fe,57,task_assigned,R1,G00022,
20260909_025428_fae5fe,58,task_assigned,R3,G00021,
20260909_025428_fae5fe,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=F-05
20260909_025428_fae5fe,59,robot_blocked,R5,,"{""x"": 12, ""y"": 6}"
20260909_025428_fae5fe,65,task_created,,G00024,type=PICK pickup=G-05 dropoff=PICK-3
20260909_025428_fae5fe,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,66,task_completed,R6,G00018,
20260909_025428_fae5fe,67,task_assigned,R6,G00025,
20260909_025428_fae5fe,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025428_fae5fe,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025428_fae5fe,70,task_completed,R4,G00007,
20260909_025428_fae5fe,70,task_completed,R5,G00010,
20260909_025428_fae5fe,71,task_assigned,R4,G00024,
20260909_025428_fae5fe,71,task_assigned,R5,G00027,
20260909_025428_fae5fe,75,task_completed,R6,G00025,
20260909_025428_fae5fe,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=G-04
20260909_025428_fae5fe,75,task_created,,G00029,type=PICK pickup=E-05 dropoff=PICK-3
20260909_025428_fae5fe,76,task_completed,R1,G00022,
20260909_025428_fae5fe,76,task_assigned,R6,G00029,
20260909_025428_fae5fe,77,task_assigned,R1,G00016,
20260909_025428_fae5fe,79,task_completed,R7,G00014,
20260909_025428_fae5fe,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025428_fae5fe,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,80,task_completed,R5,G00027,
20260909_025428_fae5fe,80,task_assigned,R7,G00031,
20260909_025428_fae5fe,81,task_assigned,R5,G00030,
20260909_025428_fae5fe,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025428_fae5fe,84,task_completed,R2,G00013,
20260909_025428_fae5fe,84,task_completed,R3,G00021,
20260909_025428_fae5fe,85,task_assigned,R3,G00019,
20260909_025428_fae5fe,85,task_created,,G00033,type=PICK pickup=B-01 dropoff=PICK-2
20260909_025428_fae5fe,85,task_assigned,R2,G00033,
20260909_025428_fae5fe,86,task_completed,R4,G00024,
20260909_025428_fae5fe,87,task_assigned,R4,G00023,
20260909_025428_fae5fe,88,task_completed,R7,G00031,
20260909_025428_fae5fe,89,task_assigned,R7,G00026,
20260909_025428_fae5fe,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=A-04
20260909_025428_fae5fe,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025428_fae5fe,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,95,task_created,,G00037,type=PICK pickup=G-07 dropoff=PICK-2
20260909_025428_fae5fe,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025428_fae5fe,102,task_completed,R2,G00033,
20260909_025428_fae5fe,103,task_completed,R5,G00030,
20260909_025428_fae5fe,103,task_assigned,R2,G00036,
20260909_025428_fae5fe,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025428_fae5fe,104,task_assigned,R5,G00035,
20260909_025428_fae5fe,105,task_created,,G00040,type=PICK pickup=F-03 dropoff=PICK-1
20260909_025428_fae5fe,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025428_fae5fe,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025428_fae5fe,111,task_completed,R2,G00036,
20260909_025428_fae5fe,112,task_assigned,R2,G00042,
20260909_025428_fae5fe,114,task_completed,R3,G00019,
20260909_025428_fae5fe,115,task_assigned,R3,G00039,
20260909_025428_fae5fe,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260909_025428_fae5fe,115,task_created,,G00044,type=PICK pickup=G-07 dropoff=PICK-2
20260909_025428_fae5fe,115,task_created,,G00045,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025428_fae5fe,115,robot_blocked,R6,,"{""x"": 18, ""y"": 4}"
20260909_025428_fae5fe,117,task_completed,R2,G00042,
20260909_025428_fae5fe,118,task_assigned,R2,G00045,
20260909_025428_fae5fe,119,task_completed,R1,G00016,
20260909_025428_fae5fe,120,task_completed,R4,G00023,
20260909_025428_fae5fe,120,task_assigned,R1,G00037,
20260909_025428_fae5fe,121,task_completed,R6,G00029,
20260909_025428_fae5fe,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025428_fae5fe,121,task_assigned,R4,G00046,
20260909_025428_fae5fe,122,task_assigned,R6,G00040,
20260909_025428_fae5fe,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=H-07
20260909_025428_fae5fe,125,task_created,,G00048,type=PICK pickup=C-04 dropoff=PICK-3
20260909_025428_fae5fe,127,task_completed,R7,G00026,
20260909_025428_fae5fe,127,task_created,,G00049,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025428_fae5fe,128,task_assigned,R7,G00049,
20260909_025428_fae5fe,128,robot_blocked,R4,,"{""x"": 12, ""y"": 7}"
20260909_025428_fae5fe,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260909_025428_fae5fe,135,task_completed,R5,G00035,
20260909_025428_fae5fe,135,task_created,,G00051,type=PICK pickup=F-07 dropoff=PICK-3
20260909_025428_fae5fe,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,136,task_assigned,R5,G00052,
20260909_025428_fae5fe,138,task_completed,R4,G00046,
20260909_025428_fae5fe,139,task_created,,G00053,type=PUTAWAY pickup=RECV dropoff=B-07
20260909_025428_fae5fe,139,task_created,,G00054,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025428_fae5fe,139,task_assigned,R4,G00054,
20260909_025428_fae5fe,142,task_completed,R1,G00037,
20260909_025428_fae5fe,142,task_completed,R3,G00039,
20260909_025428_fae5fe,143,task_assigned,R3,G00044,
20260909_025428_fae5fe,143,task_assigned,R1,G00048,
20260909_025428_fae5fe,143,task_completed,R5,G00052,
20260909_025428_fae5fe,144,task_assigned,R5,G00051,
20260909_025428_fae5fe,145,task_created,,G00055,type=PICK pickup=A-05 dropoff=PICK-2
20260909_025428_fae5fe,147,task_completed,R6,G00040,
20260909_025428_fae5fe,147,task_created,,G00056,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260909_025428_fae5fe,148,task_completed,R2,G00045,
20260909_025428_fae5fe,148,task_assigned,R6,G00055,
20260909_025428_fae5fe,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025428_fae5fe,149,task_assigned,R2,G00057,
20260909_025428_fae5fe,151,task_created,,G00058,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025428_fae5fe,155,task_completed,R7,G00049,
20260909_025428_fae5fe,155,task_completed,R2,G00057,
20260909_025428_fae5fe,155,task_created,,G00059,type=PUTAWAY pickup=RECV dropoff=H-01
20260909_025428_fae5fe,155,task_created,,G00060,type=PICK pickup=C-06 dropoff=PICK-3
20260909_025428_fae5fe,156,task_assigned,R2,G00058,
20260909_025428_fae5fe,156,task_assigned,R7,G00060,
20260909_025428_fae5fe,158,task_completed,R1,G00048,
20260909_025428_fae5fe,159,task_assigned,R1,G00028,
20260909_025428_fae5fe,163,task_created,,G00061,type=PUTAWAY pickup=RECV dropoff=E-04
20260909_025428_fae5fe,163,task_created,,G00062,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025428_fae5fe,163,task_created,,G00063,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025428_fae5fe,164,task_completed,R4,G00054,
20260909_025428_fae5fe,165,task_completed,R3,G00044,
20260909_025428_fae5fe,165,task_assigned,R4,G00063,
20260909_025428_fae5fe,165,task_created,,G00064,type=PICK pickup=G-03 dropoff=PICK-3
20260909_025428_fae5fe,166,task_assigned,R3,G00062,
20260909_025428_fae5fe,170,task_completed,R6,G00055,
20260909_025428_fae5fe,170,task_completed,R2,G00058,
20260909_025428_fae5fe,171,task_assigned,R6,G00032,
20260909_025428_fae5fe,171,task_assigned,R2,G00064,
20260909_025428_fae5fe,171,task_created,,G00065,type=PUTAWAY pickup=RECV dropoff=A-03
20260909_025428_fae5fe,172,task_completed,R3,G00062,
20260909_025428_fae5fe,172,task_completed,R4,G00063,
20260909_025428_fae5fe,173,task_assigned,R3,G00034,
20260909_025428_fae5fe,173,task_assigned,R4,G00038,
20260909_025428_fae5fe,175,task_created,,G00066,type=PICK pickup=C-06 dropoff=PICK-1
20260909_025428_fae5fe,175,task_created,,G00067,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025428_fae5fe,177,task_created,,G00068,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025428_fae5fe,179,task_completed,R7,G00060,
20260909_025428_fae5fe,179,task_created,,G00069,type=PUTAWAY pickup=BUFFER dropoff=E-06
