run_id,tick,event_type,robot_id,task_id,details
20260909_025429_f225a0,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-01
20260909_025429_f225a0,3,task_assigned,R5,G00001,
20260909_025429_f225a0,5,task_created,,G00002,type=PICK pickup=E-08 dropoff=PICK-3
20260909_025429_f225a0,5,task_assigned,R2,G00002,
20260909_025429_f225a0,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025429_f225a0,7,task_assigned,R6,G00003,
20260909_025429_f225a0,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025429_f225a0,9,task_assigned,R4,G00004,
20260909_025429_f225a0,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=G-08
20260909_025429_f225a0,11,task_assigned,R1,G00005,
20260909_025429_f225a0,12,task_completed,R5,G00001,
20260909_025429_f225a0,15,task_created,,G00006,type=PICK pickup=C-01 dropoff=PICK-3
20260909_025429_f225a0,15,task_assigned,R3,G00006,
20260909_025429_f225a0,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=F-06
20260909_025429_f225a0,19,task_assigned,R7,G00007,
20260909_025429_f225a0,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025429_f225a0,19,task_assigned,R5,G00008,
20260909_025429_f225a0,20,task_completed,R4,G00004,
20260909_025429_f225a0,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025429_f225a0,23,task_assigned,R4,G00009,
20260909_025429_f225a0,25,task_created,,G00010,type=PICK pickup=A-07 dropoff=PICK-3
20260909_025429_f225a0,26,task_completed,R6,G00003,
20260909_025429_f225a0,27,task_assigned,R6,G00010,
20260909_025429_f225a0,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-03
20260909_025429_f225a0,28,task_completed,R4,G00009,
20260909_025429_f225a0,28,robot_blocked,R3,,"{""x"": 18, ""y"": 8}"
20260909_025429_f225a0,29,task_assigned,R4,G00011,
20260909_025429_f225a0,31,task_completed,R2,G00002,
20260909_025429_f225a0,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025429_f225a0,32,task_assigned,R2,G00012,
20260909_025429_f225a0,34,robot_blocked,R6,,"{""x"": 8, ""y"": 12}"
20260909_025429_f225a0,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=E-04
20260909_025429_f225a0,35,task_created,,G00014,type=PICK pickup=C-01 dropoff=PICK-3
20260909_025429_f225a0,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025429_f225a0,41,task_completed,R1,G00005,
20260909_025429_f225a0,42,task_assigned,R1,G00015,
20260909_025429_f225a0,43,task_completed,R5,G00008,
20260909_025429_f225a0,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260909_025429_f225a0,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025429_f225a0,44,task_assigned,R5,G00017,
20260909_025429_f225a0,45,task_created,,G00018,type=PICK pickup=F-05 dropoff=PICK-2
20260909_025429_f225a0,46,task_completed,R3,G00006,
20260909_025429_f225a0,47,task_assigned,R3,G00014,
