tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7786,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.6571,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4857,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.3143,97.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0929,96.8,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.8714,96.3,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.6,95.8,100.0,0.0,0.0,0.0,0.0
12,0,4.0,0.0,1.0,1.0,0.0,4,3,0,0,0,0,0,98.3286,95.3,100.0,0.0,0.0,0.0,0.0
13,0,4.0,0.0,0.0,1.0,0.0,4,3,0,0,0,0,0,98.1071,95.3,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,0.0,1.0,0.0,4,3,0,0,0,0,0,97.8857,95.3,100.0,0.0,0.0,0.0,0.0
15,0,5.0,1.0,0.0,1.0,0.0,5,2,0,0,0,0,0,97.6143,95.3,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,97.3429,95.2,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,97.0714,94.7,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.7786,94.2,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,0,0,0,0,0,0,96.3857,93.7,99.65,0.0,0.0,0.0,0.0
20,0,6.0,0.0,1.0,2.0,0.0,6,1,0,0,0,0,0,95.9714,93.2,99.3,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.6286,92.7,98.95,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.2857,92.2,98.6,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.8929,91.7,98.25,0.0,0.0,0.0,0.0
24,0,7.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.5,91.2,97.9,0.0,0.0,0.0,0.0
25,1,8.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.1071,90.7,97.55,0.0,0.0,0.0,0.0
26,1,7.0,0.0,1.0,3.0,0.0,6,1,0,0,0,0,0,93.6929,90.2,97.2,0.0,0.0,0.0,0.0
27,1,8.0,1.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.3,89.7,96.85,0.0,0.0,0.0,0.0
28,1,7.0,0.0,1.0,4.0,0.0,5,1,1,0,0,0,0,92.9571,89.2,96.5,0.0,0.0,1.0,1.0
