run_id,tick,event_type,robot_id,task_id,details
20260909_025431_2de3b1,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025431_2de3b1,3,task_assigned,R7,G00001,
20260909_025431_2de3b1,5,task_created,,G00002,type=PICK pickup=A-08 dropoff=PICK-3
20260909_025431_2de3b1,5,task_assigned,R2,G00002,
20260909_025431_2de3b1,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025431_2de3b1,7,task_assigned,R3,G00003,
20260909_025431_2de3b1,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025431_2de3b1,9,task_assigned,R5,G00004,
20260909_025431_2de3b1,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=F-04
20260909_025431_2de3b1,11,task_assigned,R1,G00005,
20260909_025431_2de3b1,15,task_created,,G00006,type=PICK pickup=B-08 dropoff=PICK-2
20260909_025431_2de3b1,15,task_assigned,R4,G00006,
20260909_025431_2de3b1,19,task_completed,R5,G00004,
20260909_025431_2de3b1,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=H-02
20260909_025431_2de3b1,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025431_2de3b1,19,task_assigned,R6,G00008,
20260909_025431_2de3b1,20,task_assigned,R5,G00007,
20260909_025431_2de3b1,22,task_completed,R7,G00001,
20260909_025431_2de3b1,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025431_2de3b1,23,task_assigned,R7,G00009,
20260909_025431_2de3b1,25,task_created,,G00010,type=PICK pickup=F-07 dropoff=PICK-2
20260909_025431_2de3b1,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260909_025431_2de3b1,29,task_completed,R3,G00003,
20260909_025431_2de3b1,30,task_assigned,R3,G00010,
20260909_025431_2de3b1,30,robot_blocked,R1,,"{""x"": 7, ""y"": 3}"
20260909_025431_2de3b1,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025431_2de3b1,33,task_completed,R2,G00002,
20260909_025431_2de3b1,34,task_assigned,R2,G00012,
20260909_025431_2de3b1,34,robot_blocked,R7,,"{""x"": 12, ""y"": 8}"
20260909_025431_2de3b1,35,task_completed,R1,G00005,
20260909_025431_2de3b1,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=A-02
20260909_025431_2de3b1,35,task_created,,G00014,type=PICK pickup=F-03 dropoff=PICK-2
20260909_025431_2de3b1,35,robot_blocked,R3,,"{""x"": 12, ""y"": 9}"
20260909_025431_2de3b1,36,task_assigned,R1,G00014,
20260909_025431_2de3b1,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025431_2de3b1,40,task_completed,R4,G00006,
20260909_025431_2de3b1,40,robot_blocked,R2,,"{""x"": 14, ""y"": 8}"
20260909_025431_2de3b1,41,task_assigned,R4,G00015,
20260909_025431_2de3b1,41,robot_blocked,R4,,"{""x"": 12, ""y"": 8}"
20260909_025431_2de3b1,43,task_completed,R6,G00008,
20260909_025431_2de3b1,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025431_2de3b1,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025431_2de3b1,44,task_assigned,R6,G00017,
20260909_025431_2de3b1,45,task_completed,R7,G00009,
20260909_025431_2de3b1,45,task_created,,G00018,type=PICK pickup=C-08 dropoff=PICK-1
20260909_025431_2de3b1,46,task_completed,R1,G00014,
20260909_025431_2de3b1,46,task_assigned,R7,G00018,
20260909_025431_2de3b1,47,task_assigned,R1,G00011,
20260909_025431_2de3b1,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260909_025431_2de3b1,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025431_2de3b1,55,task_completed,R4,G00015,
20260909_025431_2de3b1,55,task_created,,G00021,type=PICK pickup=D-01 dropoff=PICK-1
20260909_025431_2de3b1,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025431_2de3b1,56,task_completed,R2,G00012,
20260909_025431_2de3b1,56,task_assigned,R4,G00020,
20260909_025431_2de3b1,57,task_completed,R3,G00010,
20260909_025431_2de3b1,57,task_assigned,R2,G00022,
20260909_025431_2de3b1,58,task_assigned,R3,G00021,
20260909_025431_2de3b1,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=D-01
20260909_025431_2de3b1,61,task_completed,R4,G00020,
20260909_025431_2de3b1,62,task_assigned,R4,G00013,
20260909_025431_2de3b1,63,task_completed,R5,G00007,
20260909_025431_2de3b1,63,task_completed,R6,G00017,
20260909_025431_2de3b1,64,task_assigned,R6,G00016,
20260909_025431_2de3b1,64,task_assigned,R5,G00019,
20260909_025431_2de3b1,65,task_completed,R1,G00011,
20260909_025431_2de3b1,65,task_created,,G00024,type=PICK pickup=D-01 dropoff=PICK-1
20260909_025431_2de3b1,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025431_2de3b1,66,task_assigned,R1,G00025,
20260909_025431_2de3b1,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=H-05
20260909_025431_2de3b1,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025431_2de3b1,70,task_completed,R2,G00022,
20260909_025431_2de3b1,71,task_assigned,R2,G00027,
20260909_025431_2de3b1,73,robot_blocked,R6,,"{""x"": 12, ""y"": 5}"
20260909_025431_2de3b1,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=H-03
20260909_025431_2de3b1,75,task_created,,G00029,type=PICK pickup=A-03 dropoff=PICK-3
20260909_025431_2de3b1,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025431_2de3b1,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025431_2de3b1,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260909_025431_2de3b1,84,task_completed,R2,G00027,
20260909_025431_2de3b1,85,task_assigned,R2,G00031,
20260909_025431_2de3b1,85,task_created,,G00033,type=PICK pickup=C-01 dropoff=PICK-1
20260909_025431_2de3b1,86,task_completed,R7,G00018,
20260909_025431_2de3b1,87,task_assigned,R7,G00030,
20260909_025431_2de3b1,89,task_completed,R5,G00019,
20260909_025431_2de3b1,89,task_completed,R3,G00021,
20260909_025431_2de3b1,89,task_completed,R1,G00025,
20260909_025431_2de3b1,90,task_assigned,R1,G00024,
20260909_025431_2de3b1,90,task_assigned,R5,G00029,
20260909_025431_2de3b1,90,task_assigned,R3,G00033,
20260909_025431_2de3b1,91,task_completed,R4,G00013,
20260909_025431_2de3b1,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-03
20260909_025431_2de3b1,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025431_2de3b1,92,task_completed,R2,G00031,
20260909_025431_2de3b1,92,task_assigned,R4,G00035,
20260909_025431_2de3b1,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025431_2de3b1,93,task_assigned,R2,G00036,
20260909_025431_2de3b1,95,task_created,,G00037,type=PICK pickup=A-06 dropoff=PICK-2
20260909_025431_2de3b1,98,task_completed,R2,G00036,
20260909_025431_2de3b1,99,task_assigned,R2,G00037,
20260909_025431_2de3b1,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=H-06
20260909_025431_2de3b1,99,robot_blocked,R5,,"{""x"": 12, ""y"": 4}"
20260909_025431_2de3b1,101,task_completed,R6,G00016,
20260909_025431_2de3b1,102,task_assigned,R6,G00023,
20260909_025431_2de3b1,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025431_2de3b1,105,task_created,,G00040,type=PICK pickup=F-08 dropoff=PICK-3
20260909_025431_2de3b1,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=D-03
20260909_025431_2de3b1,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025431_2de3b1,110,task_completed,R4,G00035,
20260909_025431_2de3b1,111,task_completed,R7,G00030,
20260909_025431_2de3b1,111,task_assigned,R4,G00042,
20260909_025431_2de3b1,112,task_assigned,R7,G00039,
20260909_025431_2de3b1,115,task_completed,R5,G00029,
20260909_025431_2de3b1,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260909_025431_2de3b1,115,task_created,,G00044,type=PICK pickup=D-07 dropoff=PICK-1
20260909_025431_2de3b1,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025431_2de3b1,116,task_assigned,R5,G00045,
20260909_025431_2de3b1,117,task_completed,R4,G00042,
20260909_025431_2de3b1,118,task_assigned,R4,G00040,
20260909_025431_2de3b1,121,task_completed,R3,G00033,
20260909_025431_2de3b1,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025431_2de3b1,122,task_assigned,R3,G00046,
20260909_025431_2de3b1,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=A-03
20260909_025431_2de3b1,125,task_created,,G00048,type=PICK pickup=H-02 dropoff=PICK-1
20260909_025431_2de3b1,127,task_created,,G00049,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025431_2de3b1,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260909_025431_2de3b1,132,task_completed,R1,G00024,
20260909_025431_2de3b1,133,task_assigned,R1,G00049,
20260909_025431_2de3b1,135,task_completed,R2,G00037,
20260909_025431_2de3b1,135,task_created,,G00051,type=PICK pickup=A-04 dropoff=PICK-3
20260909_025431_2de3b1,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025431_2de3b1,136,task_assigned,R2,G00052,
20260909_025431_2de3b1,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=A-04
20260909_025431_2de3b1,139,task_created,,G00054,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025431_2de3b1,140,task_completed,R3,G00046,
20260909_025431_2de3b1,141,task_assigned,R3,G00054,
20260909_025431_2de3b1,143,task_completed,R6,G00023,
20260909_025431_2de3b1,143,task_completed,R7,G00039,
20260909_025431_2de3b1,144,task_completed,R4,G00040,
20260909_025431_2de3b1,144,task_assigned,R6,G00044,
20260909_025431_2de3b1,144,task_assigned,R7,G00048,
20260909_025431_2de3b1,144,task_completed,R2,G00052,
20260909_025431_2de3b1,145,task_assigned,R4,G00051,
20260909_025431_2de3b1,145,task_created,,G00055,type=PICK pickup=C-02 dropoff=PICK-3
20260909_025431_2de3b1,145,task_assigned,R2,G00055,
20260909_025431_2de3b1,147,task_completed,R1,G00049,
20260909_025431_2de3b1,147,task_created,,G00056,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_025431_2de3b1,148,task_assigned,R1,G00026,
