tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7786,98.8,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.6571,98.3,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4857,97.8,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.3143,97.3,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0929,96.8,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.8714,96.3,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.6,95.8,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.3286,95.3,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.0571,94.8,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.7857,94.3,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.4429,93.8,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.0786,93.3,100.0,0.0,0.0,0.0,0.0
17,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,96.6929,92.8,100.0,0.0,0.0,0.0,0.0
18,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,96.3071,92.3,100.0,0.0,0.0,0.0,0.0
19,1,7.0,2.0,1.0,1.0,0.0,6,1,0,0,0,0,0,95.8714,91.8,99.65,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.4571,91.3,99.3,0.0,0.0,0.0,0.0
21,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.0429,90.8,98.95,0.0,0.0,0.0,0.0
22,0,6.0,0.0,1.0,2.0,0.0,6,1,0,0,0,0,0,94.6286,90.3,98.6,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.2143,89.95,98.25,0.0,0.0,0.0,0.0
24,0,7.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,93.8,89.6,97.9,0.0,0.0,0.0,0.0
25,1,8.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,93.3857,89.25,97.55,0.0,0.0,0.0,0.0
26,1,8.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,92.9714,88.9,97.2,0.0,0.0,0.0,0.0
27,2,9.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,92.5571,88.55,96.85,0.0,0.0,0.0,0.0
28,2,9.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,92.1429,88.2,96.5,0.0,0.0,0.0,0.0
