run_id,tick,event_type,robot_id,task_id,details
20260909_025433_72ae1c,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-02
20260909_025433_72ae1c,3,task_assigned,R1,G00001,
20260909_025433_72ae1c,5,task_created,,G00002,type=PICK pickup=A-06 dropoff=PICK-3
20260909_025433_72ae1c,5,task_assigned,R2,G00002,
20260909_025433_72ae1c,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025433_72ae1c,7,task_assigned,R5,G00003,
20260909_025433_72ae1c,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025433_72ae1c,9,task_assigned,R4,G00004,
20260909_025433_72ae1c,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=C-01
20260909_025433_72ae1c,11,task_assigned,R6,G00005,
20260909_025433_72ae1c,15,task_created,,G00006,type=PICK pickup=G-01 dropoff=PICK-3
20260909_025433_72ae1c,15,task_assigned,R3,G00006,
20260909_025433_72ae1c,16,task_completed,R4,G00004,
20260909_025433_72ae1c,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=G-03
20260909_025433_72ae1c,19,task_assigned,R7,G00007,
20260909_025433_72ae1c,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025433_72ae1c,19,task_assigned,R4,G00008,
20260909_025433_72ae1c,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025433_72ae1c,25,task_created,,G00010,type=PICK pickup=A-02 dropoff=PICK-1
20260909_025433_72ae1c,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025433_72ae1c,28,task_completed,R5,G00003,
20260909_025433_72ae1c,29,task_completed,R1,G00001,
20260909_025433_72ae1c,29,task_assigned,R5,G00009,
20260909_025433_72ae1c,30,task_assigned,R1,G00010,
20260909_025433_72ae1c,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025433_72ae1c,32,robot_blocked,R3,,"{""x"": 18, ""y"": 5}"
20260909_025433_72ae1c,35,task_completed,R5,G00009,
20260909_025433_72ae1c,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-01
20260909_025433_72ae1c,35,task_created,,G00014,type=PICK pickup=D-07 dropoff=PICK-3
20260909_025433_72ae1c,36,task_assigned,R5,G00012,
20260909_025433_72ae1c,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
