tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.9571,97.05,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.6429,96.55,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.3286,96.05,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.0143,95.55,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.6786,95.05,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.2929,94.55,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,96.9071,94.05,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.5929,93.55,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.2786,93.05,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.8643,92.55,99.65,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.45,92.05,99.3,0.0,0.0,0.0,0.0
21,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.0357,91.55,98.95,0.0,0.0,0.0,0.0
22,0,7.0,0.0,0.0,1.0,0.0,6,0,1,0,0,0,0,94.6714,91.05,98.95,0.0,0.0,1.0,1.0
23,1,7.0,1.0,1.0,2.0,0.0,5,1,1,0,0,0,0,94.3786,91.05,98.95,1.0,1.0,2.0,3.0
24,0,5.0,0.0,2.0,4.0,0.0,5,2,0,0,0,0,0,93.9857,90.55,98.6,0.0,1.0,0.0,3.0
25,0,6.0,1.0,0.0,4.0,0.0,6,1,0,0,0,0,0,93.6857,90.55,98.25,0.0,1.0,0.0,3.0
26,0,6.0,0.0,0.0,4.0,0.0,6,1,0,0,0,0,0,93.3857,90.2,97.9,0.0,1.0,0.0,3.0
27,0,7.0,1.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.0357,89.85,97.55,0.0,1.0,0.0,3.0
28,0,7.0,0.0,0.0,4.0,0.0,7,0,0,0,0,0,0,92.6643,89.5,97.2,0.0,1.0,0.0,3.0
