run_id,tick,event_type,robot_id,task_id,details
20260909_025441_27adbc,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=B-03
20260909_025441_27adbc,3,task_assigned,R4,G00001,
20260909_025441_27adbc,5,task_created,,G00002,type=PICK pickup=D-01 dropoff=PICK-2
20260909_025441_27adbc,5,task_assigned,R5,G00002,
20260909_025441_27adbc,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025441_27adbc,7,task_assigned,R2,G00003,
20260909_025441_27adbc,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025441_27adbc,9,task_assigned,R7,G00004,
20260909_025441_27adbc,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-08
20260909_025441_27adbc,11,task_assigned,R6,G00005,
20260909_025441_27adbc,15,task_completed,R2,G00003,
20260909_025441_27adbc,15,task_completed,R7,G00004,
20260909_025441_27adbc,15,task_created,,G00006,type=PICK pickup=F-07 dropoff=PICK-3
20260909_025441_27adbc,15,task_assigned,R3,G00006,
20260909_025441_27adbc,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=G-04
20260909_025441_27adbc,19,task_assigned,R7,G00007,
20260909_025441_27adbc,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025441_27adbc,19,task_assigned,R2,G00008,
20260909_025441_27adbc,22,task_completed,R5,G00002,
20260909_025441_27adbc,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025441_27adbc,23,task_assigned,R1,G00009,
20260909_025441_27adbc,25,task_completed,R4,G00001,
20260909_025441_27adbc,25,task_created,,G00010,type=PICK pickup=D-07 dropoff=PICK-3
20260909_025441_27adbc,25,task_assigned,R5,G00010,
20260909_025441_27adbc,25,robot_blocked,R2,,"{""x"": 12, ""y"": 9}"
20260909_025441_27adbc,25,robot_blocked,R3,,"{""x"": 12, ""y"": 10}"
20260909_025441_27adbc,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_025441_27adbc,27,task_assigned,R4,G00011,
20260909_025441_27adbc,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025441_27adbc,32,task_completed,R2,G00008,
20260909_025441_27adbc,33,task_assigned,R2,G00012,
20260909_025441_27adbc,33,robot_blocked,R4,,"{""x"": 6, ""y"": 2}"
20260909_025441_27adbc,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=F-01
20260909_025441_27adbc,35,task_created,,G00014,type=PICK pickup=D-06 dropoff=PICK-3
20260909_025441_27adbc,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025441_27adbc,39,task_completed,R1,G00009,
20260909_025441_27adbc,40,task_assigned,R1,G00015,
20260909_025441_27adbc,42,task_completed,R6,G00005,
20260909_025441_27adbc,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=B-07
20260909_025441_27adbc,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025441_27adbc,43,task_assigned,R6,G00017,
20260909_025441_27adbc,45,task_completed,R1,G00015,
20260909_025441_27adbc,45,task_created,,G00018,type=PICK pickup=A-02 dropoff=PICK-1
20260909_025441_27adbc,46,task_completed,R7,G00007,
20260909_025441_27adbc,46,task_assigned,R1,G00014,
20260909_025441_27adbc,46,robot_blocked,R5,,"{""x"": 20, ""y"": 7}"
20260909_025441_27adbc,47,task_assigned,R7,G00018,
20260909_025441_27adbc,48,task_completed,R4,G00011,
20260909_025441_27adbc,49,task_assigned,R4,G00013,
20260909_025441_27adbc,50,task_completed,R5,G00010,
20260909_025441_27adbc,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=A-08
20260909_025441_27adbc,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025441_27adbc,51,task_assigned,R5,G00020,
20260909_025441_27adbc,51,robot_blocked,R7,,"{""x"": 13, ""y"": 4}"
20260909_025441_27adbc,54,task_completed,R6,G00017,
20260909_025441_27adbc,55,task_completed,R3,G00006,
20260909_025441_27adbc,55,task_created,,G00021,type=PICK pickup=C-08 dropoff=PICK-2
20260909_025441_27adbc,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025441_27adbc,55,task_assigned,R6,G00022,
20260909_025441_27adbc,56,task_assigned,R3,G00021,
20260909_025441_27adbc,57,robot_blocked,R1,,"{""x"": 19, ""y"": 9}"
20260909_025441_27adbc,59,task_completed,R2,G00012,
20260909_025441_27adbc,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=C-03
20260909_025441_27adbc,60,task_assigned,R2,G00016,
20260909_025441_27adbc,65,task_completed,R4,G00013,
20260909_025441_27adbc,65,task_created,,G00024,type=PICK pickup=C-06 dropoff=PICK-3
20260909_025441_27adbc,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025441_27adbc,66,task_assigned,R4,G00025,
20260909_025441_27adbc,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260909_025441_27adbc,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025441_27adbc,68,task_completed,R5,G00020,
20260909_025441_27adbc,69,task_assigned,R5,G00027,
20260909_025441_27adbc,71,task_completed,R1,G00014,
20260909_025441_27adbc,71,task_completed,R3,G00021,
20260909_025441_27adbc,72,task_assigned,R3,G00019,
20260909_025441_27adbc,72,task_assigned,R1,G00024,
20260909_025441_27adbc,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=D-01
20260909_025441_27adbc,75,task_created,,G00029,type=PICK pickup=B-07 dropoff=PICK-2
20260909_025441_27adbc,76,task_completed,R7,G00018,
20260909_025441_27adbc,77,task_assigned,R7,G00029,
20260909_025441_27adbc,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025441_27adbc,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025441_27adbc,82,task_completed,R4,G00025,
20260909_025441_27adbc,83,task_assigned,R4,G00031,
20260909_025441_27adbc,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=H-06
20260909_025441_27adbc,84,task_completed,R6,G00022,
20260909_025441_27adbc,85,task_assigned,R6,G00030,
20260909_025441_27adbc,85,task_created,,G00033,type=PICK pickup=D-05 dropoff=PICK-2
20260909_025441_27adbc,88,task_completed,R4,G00031,
20260909_025441_27adbc,89,task_completed,R1,G00024,
20260909_025441_27adbc,89,task_assigned,R4,G00033,
20260909_025441_27adbc,90,task_assigned,R1,G00023,
20260909_025441_27adbc,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-02
20260909_025441_27adbc,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025441_27adbc,92,task_completed,R3,G00019,
20260909_025441_27adbc,92,task_completed,R7,G00029,
20260909_025441_27adbc,93,task_assigned,R3,G00035,
20260909_025441_27adbc,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
