tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.1786,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.9571,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.6643,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.3714,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.0571,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.7429,95.8,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,2.0,2.0,0.0,4,3,0,0,0,0,0,97.3571,95.3,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,3,0,0,0,0,0,97.1143,94.8,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,3,0,0,0,0,0,96.8714,94.3,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,3,0,0,0,0,0,96.6286,93.8,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,1,0,0,0,0,0,96.2857,93.3,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.9429,92.8,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.6,92.3,100.0,0.0,0.0,0.0,0.0
22,0,5.0,0.0,1.0,3.0,0.0,5,2,0,0,0,0,0,95.2571,91.8,100.0,0.0,0.0,0.0,0.0
23,0,6.0,1.0,0.0,3.0,0.0,6,1,0,0,0,0,0,94.9357,91.3,99.65,0.0,0.0,0.0,0.0
24,0,6.0,0.0,0.0,3.0,0.0,6,1,0,0,0,0,0,94.6143,90.8,99.3,0.0,0.0,0.0,0.0
25,0,6.0,1.0,1.0,4.0,0.0,4,1,2,0,0,0,0,94.3429,90.3,98.95,0.0,0.0,2.0,2.0
26,0,6.0,0.0,0.0,4.0,0.0,6,1,0,0,0,0,0,94.0429,90.3,98.6,0.0,0.0,0.0,2.0
27,0,7.0,1.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.6714,89.95,98.25,0.0,0.0,0.0,2.0
28,0,7.0,0.0,0.0,4.0,0.0,7,0,0,0,0,0,0,93.3,89.6,97.9,0.0,0.0,0.0,2.0
