run_id,tick,event_type,robot_id,task_id,details
20260909_025444_e055da,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=B-07
20260909_025444_e055da,3,task_assigned,R4,G00001,
20260909_025444_e055da,5,task_created,,G00002,type=PICK pickup=B-03 dropoff=PICK-2
20260909_025444_e055da,5,task_assigned,R7,G00002,
20260909_025444_e055da,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025444_e055da,7,task_assigned,R2,G00003,
20260909_025444_e055da,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025444_e055da,9,task_assigned,R6,G00004,
20260909_025444_e055da,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=E-08
20260909_025444_e055da,11,task_assigned,R3,G00005,
20260909_025444_e055da,15,task_completed,R6,G00004,
20260909_025444_e055da,15,task_created,,G00006,type=PICK pickup=H-02 dropoff=PICK-2
20260909_025444_e055da,15,task_assigned,R5,G00006,
20260909_025444_e055da,18,robot_blocked,R2,,"{""x"": 13, ""y"": 8}"
20260909_025444_e055da,19,task_completed,R4,G00001,
20260909_025444_e055da,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025444_e055da,19,task_assigned,R1,G00007,
20260909_025444_e055da,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025444_e055da,19,task_assigned,R6,G00008,
20260909_025444_e055da,19,robot_blocked,R3,,"{""x"": 12, ""y"": 7}"
20260909_025444_e055da,19,robot_blocked,R7,,"{""x"": 12, ""y"": 6}"
20260909_025444_e055da,22,task_completed,R7,G00002,
20260909_025444_e055da,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025444_e055da,23,task_assigned,R7,G00009,
20260909_025444_e055da,25,task_completed,R2,G00003,
20260909_025444_e055da,25,task_created,,G00010,type=PICK pickup=B-06 dropoff=PICK-3
20260909_025444_e055da,25,task_assigned,R4,G00010,
20260909_025444_e055da,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-06
20260909_025444_e055da,27,task_assigned,R2,G00011,
20260909_025444_e055da,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025444_e055da,33,task_completed,R6,G00008,
