run_id,tick,event_type,robot_id,task_id,details
20260909_025446_7bb048,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=H-01
20260909_025446_7bb048,3,task_assigned,R6,G00001,
20260909_025446_7bb048,5,task_created,,G00002,type=PICK pickup=D-06 dropoff=PICK-1
20260909_025446_7bb048,5,task_assigned,R1,G00002,
20260909_025446_7bb048,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025446_7bb048,7,task_assigned,R7,G00003,
20260909_025446_7bb048,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025446_7bb048,9,task_assigned,R5,G00004,
20260909_025446_7bb048,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=H-05
20260909_025446_7bb048,11,task_assigned,R2,G00005,
20260909_025446_7bb048,14,task_completed,R6,G00001,
20260909_025446_7bb048,15,task_completed,R5,G00004,
20260909_025446_7bb048,15,task_created,,G00006,type=PICK pickup=C-05 dropoff=PICK-2
20260909_025446_7bb048,15,task_assigned,R6,G00006,
20260909_025446_7bb048,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260909_025446_7bb048,19,task_assigned,R4,G00007,
20260909_025446_7bb048,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025446_7bb048,19,task_assigned,R5,G00008,
20260909_025446_7bb048,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025446_7bb048,23,task_assigned,R3,G00009,
20260909_025446_7bb048,24,task_completed,R7,G00003,
20260909_025446_7bb048,24,robot_blocked,R2,,"{""x"": 11, ""y"": 11}"
20260909_025446_7bb048,25,task_created,,G00010,type=PICK pickup=H-07 dropoff=PICK-3
20260909_025446_7bb048,25,task_assigned,R7,G00010,
20260909_025446_7bb048,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=B-01
20260909_025446_7bb048,29,task_completed,R1,G00002,
20260909_025446_7bb048,30,task_assigned,R1,G00011,
20260909_025446_7bb048,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025446_7bb048,34,task_completed,R6,G00006,
20260909_025446_7bb048,35,task_assigned,R6,G00012,
20260909_025446_7bb048,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=H-01
20260909_025446_7bb048,35,task_created,,G00014,type=PICK pickup=G-06 dropoff=PICK-3
20260909_025446_7bb048,36,robot_blocked,R1,,"{""x"": 10, ""y"": 8}"
20260909_025446_7bb048,36,robot_blocked,R6,,"{""x"": 11, ""y"": 8}"
20260909_025446_7bb048,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025446_7bb048,42,task_completed,R3,G00009,
20260909_025446_7bb048,43,task_assigned,R3,G00015,
20260909_025446_7bb048,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-07
20260909_025446_7bb048,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025446_7bb048,45,task_created,,G00018,type=PICK pickup=H-03 dropoff=PICK-3
20260909_025446_7bb048,46,task_completed,R5,G00008,
20260909_025446_7bb048,47,task_assigned,R5,G00017,
