tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9286,99.5,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.8571,99.0,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7357,98.5,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.6143,98.0,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4429,97.5,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.2714,97.0,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0286,96.5,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.7857,96.0,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.4714,95.5,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.1571,95.0,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.8214,94.5,100.0,0.0,0.0,0.0,0.0
14,0,4.0,0.0,1.0,1.0,0.0,4,3,0,0,0,0,0,97.4857,94.0,100.0,0.0,0.0,0.0,0.0
15,0,4.0,1.0,1.0,2.0,0.0,4,3,0,0,0,0,0,97.1714,93.65,100.0,0.0,0.0,0.0,0.0
16,0,4.0,0.0,0.0,2.0,0.0,4,3,0,0,0,0,0,96.9286,93.3,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,0.0,2.0,0.0,4,3,0,0,0,0,0,96.6857,92.95,100.0,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,3,0,0,0,0,0,96.4429,92.6,100.0,0.0,0.0,0.0,0.0
19,0,6.0,2.0,0.0,2.0,0.0,6,1,0,0,0,0,0,96.1,92.25,100.0,0.0,0.0,0.0,0.0
20,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.7571,91.9,100.0,0.0,0.0,0.0,0.0
21,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.4143,91.55,100.0,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,95.0714,91.2,100.0,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.6786,90.85,99.65,0.0,0.0,0.0,0.0
24,0,6.0,0.0,1.0,3.0,0.0,5,1,1,0,0,0,0,94.3357,90.5,99.3,0.0,0.0,1.0,1.0
25,0,7.0,1.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.9643,90.1,98.95,0.0,0.0,0.0,1.0
26,0,7.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.5929,89.6,98.6,0.0,0.0,0.0,1.0
27,1,8.0,1.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.2214,89.1,98.25,0.0,0.0,0.0,1.0
28,1,8.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,92.85,88.6,97.9,0.0,0.0,0.0,1.0
