run_id,tick,event_type,robot_id,task_id,details
20260909_025448_fb151e,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025448_fb151e,3,task_assigned,R3,G00001,
20260909_025448_fb151e,5,task_created,,G00002,type=PICK pickup=B-02 dropoff=PICK-1
20260909_025448_fb151e,5,task_assigned,R1,G00002,
20260909_025448_fb151e,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025448_fb151e,7,task_assigned,R5,G00003,
20260909_025448_fb151e,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025448_fb151e,9,task_assigned,R2,G00004,
20260909_025448_fb151e,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=G-08
20260909_025448_fb151e,11,task_assigned,R6,G00005,
20260909_025448_fb151e,15,task_created,,G00006,type=PICK pickup=D-07 dropoff=PICK-1
20260909_025448_fb151e,15,task_assigned,R7,G00006,
20260909_025448_fb151e,16,task_completed,R2,G00004,
20260909_025448_fb151e,17,task_completed,R5,G00003,
20260909_025448_fb151e,17,robot_blocked,R3,,"{""x"": 13, ""y"": 4}"
20260909_025448_fb151e,17,robot_blocked,R6,,"{""x"": 14, ""y"": 4}"
20260909_025448_fb151e,19,task_completed,R1,G00002,
20260909_025448_fb151e,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=D-08
20260909_025448_fb151e,19,task_assigned,R5,G00007,
20260909_025448_fb151e,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025448_fb151e,19,task_assigned,R4,G00008,
20260909_025448_fb151e,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025448_fb151e,23,task_assigned,R2,G00009,
20260909_025448_fb151e,25,task_created,,G00010,type=PICK pickup=E-08 dropoff=PICK-2
20260909_025448_fb151e,25,task_assigned,R1,G00010,
20260909_025448_fb151e,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=H-06
20260909_025448_fb151e,27,robot_blocked,R7,,"{""x"": 18, ""y"": 7}"
20260909_025448_fb151e,28,task_completed,R2,G00009,
20260909_025448_fb151e,29,task_assigned,R2,G00011,
20260909_025448_fb151e,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025448_fb151e,33,task_completed,R6,G00005,
20260909_025448_fb151e,34,task_assigned,R6,G00012,
20260909_025448_fb151e,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260909_025448_fb151e,35,task_created,,G00014,type=PICK pickup=B-07 dropoff=PICK-3
20260909_025448_fb151e,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025448_fb151e,42,task_completed,R3,G00001,
20260909_025448_fb151e,42,task_completed,R1,G00010,
20260909_025448_fb151e,43,task_assigned,R1,G00015,
20260909_025448_fb151e,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025448_fb151e,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025448_fb151e,43,task_assigned,R3,G00017,
20260909_025448_fb151e,44,task_completed,R7,G00006,
20260909_025448_fb151e,45,task_assigned,R7,G00014,
20260909_025448_fb151e,45,task_created,,G00018,type=PICK pickup=G-07 dropoff=PICK-1
20260909_025448_fb151e,47,task_completed,R5,G00007,
20260909_025448_fb151e,47,task_completed,R4,G00008,
20260909_025448_fb151e,48,task_assigned,R4,G00013,
20260909_025448_fb151e,48,task_assigned,R5,G00018,
20260909_025448_fb151e,51,task_completed,R1,G00015,
20260909_025448_fb151e,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=C-04
20260909_025448_fb151e,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025448_fb151e,52,task_assigned,R1,G00020,
20260909_025448_fb151e,54,task_completed,R6,G00012,
20260909_025448_fb151e,55,task_created,,G00021,type=PICK pickup=D-01 dropoff=PICK-3
20260909_025448_fb151e,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025448_fb151e,55,task_assigned,R6,G00022,
20260909_025448_fb151e,57,task_completed,R1,G00020,
20260909_025448_fb151e,58,task_assigned,R1,G00021,
20260909_025448_fb151e,58,robot_blocked,R4,,"{""x"": 12, ""y"": 5}"
20260909_025448_fb151e,58,robot_blocked,R5,,"{""x"": 13, ""y"": 4}"
20260909_025448_fb151e,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=D-08
20260909_025448_fb151e,65,task_created,,G00024,type=PICK pickup=H-06 dropoff=PICK-2
20260909_025448_fb151e,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025448_fb151e,67,task_completed,R3,G00017,
20260909_025448_fb151e,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=E-02
20260909_025448_fb151e,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025448_fb151e,68,task_assigned,R3,G00025,
20260909_025448_fb151e,70,task_completed,R4,G00013,
20260909_025448_fb151e,71,task_assigned,R4,G00027,
20260909_025448_fb151e,73,task_completed,R5,G00018,
20260909_025448_fb151e,74,task_completed,R6,G00022,
20260909_025448_fb151e,74,task_assigned,R5,G00024,
20260909_025448_fb151e,74,task_completed,R3,G00025,
20260909_025448_fb151e,75,task_assigned,R3,G00016,
20260909_025448_fb151e,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=D-06
20260909_025448_fb151e,75,task_created,,G00029,type=PICK pickup=B-07 dropoff=PICK-3
20260909_025448_fb151e,75,task_assigned,R6,G00029,
20260909_025448_fb151e,76,task_completed,R2,G00011,
20260909_025448_fb151e,77,task_assigned,R2,G00019,
20260909_025448_fb151e,78,robot_blocked,R1,,"{""x"": 19, ""y"": 4}"
20260909_025448_fb151e,78,robot_blocked,R2,,"{""x"": 20, ""y"": 4}"
