tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.7286,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.4143,96.35,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.1,95.85,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.7643,95.35,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.3786,94.85,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,96.9929,94.35,100.0,0.0,0.0,0.0,0.0
17,0,4.0,0.0,1.0,2.0,0.0,2,3,2,0,0,0,0,96.8,94.35,100.0,0.0,0.0,2.0,2.0
18,0,4.0,0.0,0.0,2.0,0.0,3,3,1,0,0,0,0,96.6786,93.9,100.0,1.0,1.0,2.0,4.0
19,0,5.0,2.0,1.0,3.0,0.0,5,2,0,0,0,0,0,96.3357,93.4,99.65,0.0,1.0,0.0,4.0
20,0,5.0,0.0,0.0,3.0,0.0,5,2,0,0,0,0,0,96.0429,93.35,99.3,0.0,1.0,0.0,4.0
21,0,5.0,0.0,0.0,3.0,0.0,5,2,0,0,0,0,0,95.75,92.85,98.95,0.0,1.0,0.0,4.0
22,0,5.0,0.0,0.0,3.0,0.0,5,2,0,0,0,0,0,95.4571,92.35,98.6,0.0,1.0,0.0,4.0
23,0,6.0,1.0,0.0,3.0,0.0,6,1,0,0,0,0,0,95.1143,91.85,98.25,0.0,1.0,0.0,4.0
24,0,6.0,0.0,0.0,3.0,0.0,6,1,0,0,0,0,0,94.7714,91.35,97.9,0.0,1.0,0.0,4.0
25,0,7.0,1.0,0.0,3.0,0.0,7,0,0,0,0,0,0,94.3571,90.85,97.55,0.0,1.0,0.0,4.0
26,0,7.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,93.9214,90.35,97.2,0.0,1.0,0.0,4.0
27,1,8.0,1.0,0.0,3.0,0.0,6,0,1,0,0,0,0,93.5571,89.85,96.85,0.0,1.0,1.0,5.0
28,1,7.0,0.0,1.0,4.0,0.0,4,1,2,0,0,0,0,93.2643,89.85,96.5,0.0,1.0,2.0,7.0
