run_id,tick,event_type,robot_id,task_id,details
20260909_025450_74ffa0,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=D-04
20260909_025450_74ffa0,3,task_assigned,R7,G00001,
20260909_025450_74ffa0,5,task_created,,G00002,type=PICK pickup=D-08 dropoff=PICK-1
20260909_025450_74ffa0,5,task_assigned,R3,G00002,
20260909_025450_74ffa0,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025450_74ffa0,7,task_assigned,R6,G00003,
20260909_025450_74ffa0,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025450_74ffa0,9,task_assigned,R1,G00004,
20260909_025450_74ffa0,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260909_025450_74ffa0,11,task_assigned,R4,G00005,
20260909_025450_74ffa0,15,task_created,,G00006,type=PICK pickup=F-06 dropoff=PICK-1
20260909_025450_74ffa0,15,task_assigned,R5,G00006,
20260909_025450_74ffa0,17,task_completed,R1,G00004,
20260909_025450_74ffa0,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260909_025450_74ffa0,19,task_assigned,R2,G00007,
20260909_025450_74ffa0,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025450_74ffa0,19,task_assigned,R1,G00008,
20260909_025450_74ffa0,22,task_completed,R6,G00003,
20260909_025450_74ffa0,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025450_74ffa0,23,task_assigned,R6,G00009,
20260909_025450_74ffa0,25,task_created,,G00010,type=PICK pickup=G-02 dropoff=PICK-1
20260909_025450_74ffa0,27,task_completed,R7,G00001,
20260909_025450_74ffa0,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=H-02
20260909_025450_74ffa0,28,task_assigned,R7,G00010,
20260909_025450_74ffa0,30,task_completed,R6,G00009,
20260909_025450_74ffa0,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025450_74ffa0,31,task_assigned,R6,G00012,
20260909_025450_74ffa0,33,task_completed,R4,G00005,
20260909_025450_74ffa0,34,task_completed,R3,G00002,
20260909_025450_74ffa0,34,task_assigned,R4,G00011,
20260909_025450_74ffa0,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025450_74ffa0,35,task_created,,G00014,type=PICK pickup=F-07 dropoff=PICK-3
20260909_025450_74ffa0,35,task_assigned,R3,G00014,
20260909_025450_74ffa0,35,robot_blocked,R1,,"{""x"": 4, ""y"": 9}"
20260909_025450_74ffa0,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025450_74ffa0,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=A-02
20260909_025450_74ffa0,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025450_74ffa0,45,task_completed,R6,G00012,
20260909_025450_74ffa0,45,task_created,,G00018,type=PICK pickup=B-06 dropoff=PICK-3
20260909_025450_74ffa0,45,robot_blocked,R2,,"{""x"": 12, ""y"": 5}"
20260909_025450_74ffa0,45,robot_blocked,R5,,"{""x"": 12, ""y"": 4}"
20260909_025450_74ffa0,46,task_assigned,R6,G00015,
20260909_025450_74ffa0,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=B-04
20260909_025450_74ffa0,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025450_74ffa0,52,task_completed,R1,G00008,
20260909_025450_74ffa0,52,task_completed,R7,G00010,
20260909_025450_74ffa0,52,task_completed,R4,G00011,
20260909_025450_74ffa0,52,task_completed,R6,G00015,
20260909_025450_74ffa0,53,task_assigned,R6,G00013,
20260909_025450_74ffa0,53,task_assigned,R7,G00017,
20260909_025450_74ffa0,53,task_assigned,R4,G00018,
20260909_025450_74ffa0,53,task_assigned,R1,G00020,
20260909_025450_74ffa0,53,robot_blocked,R3,,"{""x"": 9, ""y"": 7}"
20260909_025450_74ffa0,55,task_created,,G00021,type=PICK pickup=B-02 dropoff=PICK-2
20260909_025450_74ffa0,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025450_74ffa0,57,robot_blocked,R7,,"{""x"": 8, ""y"": 8}"
20260909_025450_74ffa0,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=E-05
20260909_025450_74ffa0,60,task_completed,R1,G00020,
20260909_025450_74ffa0,61,task_assigned,R1,G00022,
20260909_025450_74ffa0,62,robot_blocked,R6,,"{""x"": 6, ""y"": 10}"
20260909_025450_74ffa0,64,task_completed,R7,G00017,
20260909_025450_74ffa0,65,task_completed,R5,G00006,
20260909_025450_74ffa0,65,task_created,,G00024,type=PICK pickup=A-08 dropoff=PICK-1
20260909_025450_74ffa0,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025450_74ffa0,65,task_assigned,R7,G00025,
20260909_025450_74ffa0,66,task_completed,R3,G00014,
20260909_025450_74ffa0,66,task_assigned,R5,G00021,
20260909_025450_74ffa0,67,task_completed,R2,G00007,
20260909_025450_74ffa0,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260909_025450_74ffa0,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025450_74ffa0,67,task_assigned,R3,G00027,
20260909_025450_74ffa0,68,task_assigned,R2,G00024,
20260909_025450_74ffa0,71,task_completed,R7,G00025,
20260909_025450_74ffa0,72,task_assigned,R7,G00016,
20260909_025450_74ffa0,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=C-04
20260909_025450_74ffa0,75,task_created,,G00029,type=PICK pickup=D-08 dropoff=PICK-1
20260909_025450_74ffa0,77,task_completed,R2,G00024,
20260909_025450_74ffa0,78,task_assigned,R2,G00029,
20260909_025450_74ffa0,78,robot_blocked,R4,,"{""x"": 18, ""y"": 8}"
20260909_025450_74ffa0,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025450_74ffa0,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025450_74ffa0,80,task_completed,R3,G00027,
20260909_025450_74ffa0,81,task_completed,R5,G00021,
20260909_025450_74ffa0,81,task_assigned,R3,G00031,
20260909_025450_74ffa0,82,task_assigned,R5,G00030,
20260909_025450_74ffa0,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025450_74ffa0,84,task_completed,R6,G00013,
20260909_025450_74ffa0,85,task_completed,R4,G00018,
20260909_025450_74ffa0,85,task_created,,G00033,type=PICK pickup=E-08 dropoff=PICK-3
20260909_025450_74ffa0,85,task_assigned,R6,G00033,
20260909_025450_74ffa0,86,task_assigned,R4,G00019,
20260909_025450_74ffa0,87,task_completed,R3,G00031,
20260909_025450_74ffa0,88,task_completed,R1,G00022,
20260909_025450_74ffa0,88,task_assigned,R3,G00023,
20260909_025450_74ffa0,89,task_assigned,R1,G00026,
20260909_025450_74ffa0,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-06
20260909_025450_74ffa0,91,task_created,,G00035,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025450_74ffa0,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025450_74ffa0,95,task_created,,G00037,type=PICK pickup=B-02 dropoff=PICK-3
20260909_025450_74ffa0,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=G-05
20260909_025450_74ffa0,101,task_completed,R7,G00016,
20260909_025450_74ffa0,102,task_assigned,R7,G00036,
20260909_025450_74ffa0,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025450_74ffa0,104,task_completed,R5,G00030,
20260909_025450_74ffa0,105,task_assigned,R5,G00035,
20260909_025450_74ffa0,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-2
20260909_025450_74ffa0,106,task_completed,R6,G00033,
20260909_025450_74ffa0,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=H-05
20260909_025450_74ffa0,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025450_74ffa0,107,task_assigned,R6,G00042,
20260909_025450_74ffa0,109,task_completed,R1,G00026,
20260909_025450_74ffa0,110,task_assigned,R1,G00039,
20260909_025450_74ffa0,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=G-04
20260909_025450_74ffa0,115,task_created,,G00044,type=PICK pickup=B-05 dropoff=PICK-1
20260909_025450_74ffa0,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025450_74ffa0,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025450_74ffa0,123,task_completed,R6,G00042,
20260909_025450_74ffa0,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=E-01
20260909_025450_74ffa0,124,task_completed,R7,G00036,
20260909_025450_74ffa0,124,task_assigned,R6,G00046,
20260909_025450_74ffa0,125,task_assigned,R7,G00045,
20260909_025450_74ffa0,125,task_created,,G00048,type=PICK pickup=F-07 dropoff=PICK-1
20260909_025450_74ffa0,126,task_completed,R3,G00023,
20260909_025450_74ffa0,127,task_completed,R2,G00029,
20260909_025450_74ffa0,127,task_created,,G00049,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025450_74ffa0,127,task_assigned,R3,G00049,
20260909_025450_74ffa0,128,task_completed,R4,G00019,
20260909_025450_74ffa0,128,task_assigned,R2,G00037,
20260909_025450_74ffa0,129,task_assigned,R4,G00040,
20260909_025450_74ffa0,129,task_completed,R6,G00046,
20260909_025450_74ffa0,130,task_assigned,R6,G00044,
20260909_025450_74ffa0,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=G-08
20260909_025450_74ffa0,132,task_completed,R5,G00035,
20260909_025450_74ffa0,133,task_assigned,R5,G00048,
20260909_025450_74ffa0,134,task_completed,R1,G00039,
20260909_025450_74ffa0,135,task_created,,G00051,type=PICK pickup=F-05 dropoff=PICK-2
20260909_025450_74ffa0,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025450_74ffa0,135,task_assigned,R1,G00052,
20260909_025450_74ffa0,139,task_created,,G00053,type=PUTAWAY pickup=BUFFER dropoff=C-01
20260909_025450_74ffa0,139,task_created,,G00054,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025450_74ffa0,141,task_completed,R1,G00052,
20260909_025450_74ffa0,142,task_assigned,R1,G00054,
20260909_025450_74ffa0,145,task_created,,G00055,type=PICK pickup=C-05 dropoff=PICK-2
20260909_025450_74ffa0,147,task_created,,G00056,type=PUTAWAY pickup=BUFFER dropoff=A-02
