tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.8786,99.15,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7571,98.65,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.6357,98.15,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4643,97.65,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.2929,97.15,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0714,96.65,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,98.85,96.15,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.5786,95.65,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.2857,95.15,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.9929,94.65,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.6786,94.15,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.2929,93.65,100.0,0.0,0.0,0.0,0.0
16,0,6.0,0.0,0.0,0.0,0.0,6,1,0,0,0,0,0,96.9071,93.15,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,96.5214,92.65,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.2071,92.15,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.7929,91.65,99.65,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.3786,91.15,99.3,0.0,0.0,0.0,0.0
21,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,94.9643,90.65,98.95,0.0,0.0,0.0,0.0
22,0,6.0,0.0,1.0,2.0,0.0,6,1,0,0,0,0,0,94.55,90.15,98.6,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.1571,89.65,98.25,0.0,0.0,0.0,0.0
24,0,7.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,93.7643,89.15,97.9,0.0,0.0,0.0,0.0
25,1,8.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,93.3714,88.65,97.55,0.0,0.0,0.0,0.0
26,1,8.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,92.9786,88.15,97.2,0.0,0.0,0.0,0.0
27,2,8.0,1.0,1.0,3.0,0.0,6,1,0,0,0,0,0,92.5857,87.65,96.85,0.0,0.0,0.0,0.0
28,1,8.0,0.0,0.0,3.0,0.0,7,0,0,0,0,0,0,92.1714,87.3,96.5,0.0,0.0,0.0,0.0
