tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.95,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,6,0,0,0,0,0,99.9,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.8,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,5,0,0,0,0,0,99.7,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.55,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,4,0,0,0,0,0,99.4,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.2,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,3,0,0,0,0,0,99.0,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.75,96.85,100.0,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.4786,96.5,100.0,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,98.2071,96.15,100.0,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,2,0,0,0,0,0,97.8929,95.8,100.0,0.0,0.0,0.0,0.0
15,0,6.0,1.0,0.0,0.0,0.0,6,1,0,0,0,0,0,97.5286,95.45,100.0,0.0,0.0,0.0,0.0
16,0,5.0,0.0,1.0,1.0,0.0,5,2,0,0,0,0,0,97.1643,95.1,100.0,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.8714,94.75,100.0,0.0,0.0,0.0,0.0
18,0,5.0,0.0,0.0,1.0,0.0,5,2,0,0,0,0,0,96.5571,94.25,100.0,0.0,0.0,0.0,0.0
19,0,7.0,2.0,0.0,1.0,0.0,7,0,0,0,0,0,0,96.1429,93.75,99.65,0.0,0.0,0.0,0.0
20,0,7.0,0.0,0.0,1.0,0.0,7,0,0,0,0,0,0,95.7286,93.25,99.3,0.0,0.0,0.0,0.0
21,0,6.0,0.0,1.0,2.0,0.0,6,1,0,0,0,0,0,95.3143,92.75,98.95,0.0,0.0,0.0,0.0
22,0,6.0,0.0,0.0,2.0,0.0,6,1,0,0,0,0,0,94.9714,92.25,98.6,0.0,0.0,0.0,0.0
23,0,7.0,1.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.5571,91.75,98.25,0.0,0.0,0.0,0.0
24,0,7.0,0.0,0.0,2.0,0.0,7,0,0,0,0,0,0,94.1429,91.25,97.9,0.0,0.0,0.0,0.0
25,1,6.0,1.0,2.0,4.0,0.0,5,2,0,0,0,0,0,93.7286,90.75,97.55,0.0,0.0,0.0,0.0
26,0,6.0,0.0,0.0,4.0,0.0,6,1,0,0,0,0,0,93.3857,90.25,97.2,0.0,0.0,0.0,0.0
27,0,6.0,1.0,1.0,5.0,0.0,6,1,0,0,0,0,0,92.9929,89.75,96.85,0.0,0.0,0.0,0.0
28,0,6.0,0.0,0.0,5.0,0.0,6,1,0,0,0,0,0,92.6714,89.25,96.5,0.0,0.0,0.0,0.0
