run_id,tick,event_type,robot_id,task_id,details
20260909_025453_0e11a8,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025453_0e11a8,3,task_assigned,R3,G00001,
20260909_025453_0e11a8,5,task_created,,G00002,type=PICK pickup=F-08 dropoff=PICK-2
20260909_025453_0e11a8,5,task_assigned,R2,G00002,
20260909_025453_0e11a8,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025453_0e11a8,7,task_assigned,R1,G00003,
20260909_025453_0e11a8,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025453_0e11a8,9,task_assigned,R5,G00004,
20260909_025453_0e11a8,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025453_0e11a8,11,task_assigned,R4,G00005,
20260909_025453_0e11a8,15,task_created,,G00006,type=PICK pickup=D-08 dropoff=PICK-3
20260909_025453_0e11a8,16,task_completed,R2,G00002,
20260909_025453_0e11a8,17,task_assigned,R2,G00006,
20260909_025453_0e11a8,17,robot_blocked,R1,,"{""x"": 13, ""y"": 8}"
20260909_025453_0e11a8,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025453_0e11a8,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025453_0e11a8,22,task_completed,R5,G00004,
20260909_025453_0e11a8,22,robot_blocked,R3,,"{""x"": 10, ""y"": 1}"
20260909_025453_0e11a8,22,robot_blocked,R4,,"{""x"": 11, ""y"": 1}"
20260909_025453_0e11a8,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025453_0e11a8,23,task_assigned,R5,G00009,
20260909_025453_0e11a8,24,task_completed,R1,G00003,
20260909_025453_0e11a8,25,task_assigned,R1,G00008,
20260909_025453_0e11a8,25,task_created,,G00010,type=PICK pickup=A-06 dropoff=PICK-3
20260909_025453_0e11a8,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025453_0e11a8,28,task_completed,R5,G00009,
20260909_025453_0e11a8,29,task_assigned,R5,G00010,
20260909_025453_0e11a8,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025453_0e11a8,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=D-03
20260909_025453_0e11a8,35,task_created,,G00014,type=PICK pickup=C-08 dropoff=PICK-3
20260909_025453_0e11a8,37,task_completed,R3,G00001,
20260909_025453_0e11a8,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025453_0e11a8,38,task_assigned,R3,G00015,
20260909_025453_0e11a8,40,task_completed,R2,G00006,
20260909_025453_0e11a8,41,task_assigned,R2,G00012,
20260909_025453_0e11a8,43,task_completed,R4,G00005,
20260909_025453_0e11a8,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=A-03
20260909_025453_0e11a8,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025453_0e11a8,44,task_assigned,R4,G00017,
20260909_025453_0e11a8,45,task_created,,G00018,type=PICK pickup=H-04 dropoff=PICK-3
20260909_025453_0e11a8,45,robot_blocked,R2,,"{""x"": 16, ""y"": 8}"
20260909_025453_0e11a8,49,task_completed,R1,G00008,
20260909_025453_0e11a8,50,task_assigned,R1,G00014,
20260909_025453_0e11a8,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=C-04
20260909_025453_0e11a8,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025453_0e11a8,55,task_completed,R3,G00015,
20260909_025453_0e11a8,55,task_created,,G00021,type=PICK pickup=E-04 dropoff=PICK-1
20260909_025453_0e11a8,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025453_0e11a8,56,task_completed,R2,G00012,
20260909_025453_0e11a8,56,task_assigned,R3,G00020,
20260909_025453_0e11a8,57,task_assigned,R2,G00022,
20260909_025453_0e11a8,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=H-02
20260909_025453_0e11a8,61,task_completed,R3,G00020,
20260909_025453_0e11a8,62,task_assigned,R3,G00018,
20260909_025453_0e11a8,65,task_created,,G00024,type=PICK pickup=F-03 dropoff=PICK-1
