tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.93,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.86,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.72,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.58,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.37,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.16,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.88,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.57,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,98.19,96.85,99.65,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.78,96.5,99.3,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.37,96.15,98.95,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.93,95.65,98.6,0.0,0.0,0.0,0.0
15,1,6.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.49,95.15,98.25,0.0,0.0,0.0,0.0
16,1,5.0,0.0,1.0,1.0,0.0,4,1,0,0,0,0,0,96.05,94.65,97.9,0.0,0.0,0.0,0.0
17,0,5.0,0.0,0.0,1.0,0.0,4,0,1,0,0,0,0,95.74,94.15,97.55,0.0,0.0,1.0,1.0
18,0,5.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,95.33,93.65,97.2,0.0,0.0,0.0,1.0
19,2,7.0,2.0,0.0,1.0,0.0,5,0,0,0,0,0,0,94.92,93.15,96.85,0.0,0.0,0.0,1.0
20,2,7.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,94.48,92.65,96.5,0.0,0.0,0.0,1.0
21,2,7.0,0.0,0.0,1.0,0.0,5,0,0,0,0,0,0,94.04,92.15,96.15,0.0,0.0,0.0,1.0
22,2,6.0,0.0,1.0,2.0,0.0,2,1,2,0,0,0,0,93.77,92.15,96.15,0.0,0.0,2.0,3.0
23,2,7.0,1.0,0.0,2.0,0.0,4,0,1,0,0,0,0,93.53,92.15,96.15,1.0,1.0,2.0,5.0
24,2,6.0,0.0,1.0,3.0,0.0,4,1,0,0,0,0,0,93.12,91.65,95.8,0.0,1.0,0.0,5.0
25,2,7.0,1.0,0.0,3.0,0.0,5,0,0,0,0,0,0,92.74,91.15,95.45,0.0,1.0,0.0,5.0
26,2,7.0,0.0,0.0,3.0,0.0,5,0,0,0,0,0,0,92.33,90.65,95.1,0.0,1.0,0.0,5.0
27,3,8.0,1.0,0.0,3.0,0.0,5,0,0,0,0,0,0,91.92,90.15,94.75,0.0,1.0,0.0,5.0
