run_id,tick,event_type,robot_id,task_id,details
20260909_025454_2a933f,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260909_025454_2a933f,3,task_assigned,R1,G00001,
20260909_025454_2a933f,5,task_created,,G00002,type=PICK pickup=D-07 dropoff=PICK-3
20260909_025454_2a933f,5,task_assigned,R3,G00002,
20260909_025454_2a933f,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025454_2a933f,7,task_assigned,R5,G00003,
20260909_025454_2a933f,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,9,task_assigned,R2,G00004,
20260909_025454_2a933f,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025454_2a933f,11,task_assigned,R4,G00005,
20260909_025454_2a933f,15,task_created,,G00006,type=PICK pickup=F-07 dropoff=PICK-3
20260909_025454_2a933f,16,task_completed,R3,G00002,
20260909_025454_2a933f,17,task_completed,R1,G00001,
20260909_025454_2a933f,17,task_assigned,R3,G00006,
20260909_025454_2a933f,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-06
20260909_025454_2a933f,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025454_2a933f,19,task_assigned,R1,G00008,
20260909_025454_2a933f,21,task_completed,R2,G00004,
20260909_025454_2a933f,21,robot_blocked,R3,,"{""x"": 16, ""y"": 8}"
20260909_025454_2a933f,22,task_assigned,R2,G00007,
20260909_025454_2a933f,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,24,task_completed,R5,G00003,
20260909_025454_2a933f,25,task_assigned,R5,G00009,
20260909_025454_2a933f,25,task_created,,G00010,type=PICK pickup=D-03 dropoff=PICK-2
20260909_025454_2a933f,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=D-08
20260909_025454_2a933f,30,task_completed,R1,G00008,
20260909_025454_2a933f,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025454_2a933f,31,task_assigned,R1,G00012,
20260909_025454_2a933f,32,task_completed,R5,G00009,
20260909_025454_2a933f,33,task_assigned,R5,G00010,
20260909_025454_2a933f,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=E-07
20260909_025454_2a933f,35,task_created,,G00014,type=PICK pickup=C-05 dropoff=PICK-3
20260909_025454_2a933f,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025454_2a933f,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025454_2a933f,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025454_2a933f,45,task_created,,G00018,type=PICK pickup=B-01 dropoff=PICK-2
20260909_025454_2a933f,45,robot_blocked,R1,,"{""x"": 20, ""y"": 8}"
20260909_025454_2a933f,47,robot_blocked,R5,,"{""x"": 19, ""y"": 6}"
20260909_025454_2a933f,49,task_completed,R2,G00007,
20260909_025454_2a933f,50,task_assigned,R2,G00015,
20260909_025454_2a933f,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025454_2a933f,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025454_2a933f,52,task_completed,R3,G00006,
20260909_025454_2a933f,53,task_assigned,R3,G00020,
20260909_025454_2a933f,55,task_created,,G00021,type=PICK pickup=A-05 dropoff=PICK-1
20260909_025454_2a933f,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025454_2a933f,59,task_completed,R1,G00012,
20260909_025454_2a933f,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=H-04
20260909_025454_2a933f,60,task_assigned,R1,G00017,
20260909_025454_2a933f,62,robot_blocked,R4,,"{""x"": 14, ""y"": 4}"
20260909_025454_2a933f,65,task_completed,R2,G00015,
20260909_025454_2a933f,65,task_created,,G00024,type=PICK pickup=G-07 dropoff=PICK-1
20260909_025454_2a933f,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,66,task_assigned,R2,G00025,
20260909_025454_2a933f,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=D-06
20260909_025454_2a933f,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025454_2a933f,69,task_completed,R3,G00020,
20260909_025454_2a933f,70,task_completed,R5,G00010,
20260909_025454_2a933f,70,task_assigned,R3,G00022,
20260909_025454_2a933f,71,task_completed,R2,G00025,
20260909_025454_2a933f,71,task_assigned,R5,G00027,
20260909_025454_2a933f,72,task_assigned,R2,G00014,
20260909_025454_2a933f,72,robot_blocked,R2,,"{""x"": 14, ""y"": 15}"
20260909_025454_2a933f,73,task_completed,R1,G00017,
20260909_025454_2a933f,74,task_assigned,R1,G00018,
20260909_025454_2a933f,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=A-01
20260909_025454_2a933f,75,task_created,,G00029,type=PICK pickup=D-01 dropoff=PICK-2
20260909_025454_2a933f,76,task_completed,R5,G00027,
20260909_025454_2a933f,77,task_completed,R4,G00005,
20260909_025454_2a933f,77,task_assigned,R5,G00021,
20260909_025454_2a933f,78,task_assigned,R4,G00024,
20260909_025454_2a933f,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025454_2a933f,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=H-08
20260909_025454_2a933f,85,task_created,,G00033,type=PICK pickup=D-03 dropoff=PICK-1
20260909_025454_2a933f,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=E-03
20260909_025454_2a933f,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025454_2a933f,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,95,task_created,,G00037,type=PICK pickup=A-08 dropoff=PICK-1
20260909_025454_2a933f,96,task_completed,R2,G00014,
20260909_025454_2a933f,97,task_completed,R1,G00018,
20260909_025454_2a933f,97,task_assigned,R2,G00031,
20260909_025454_2a933f,98,task_assigned,R1,G00036,
20260909_025454_2a933f,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=G-08
20260909_025454_2a933f,101,task_completed,R3,G00022,
20260909_025454_2a933f,101,task_completed,R4,G00024,
20260909_025454_2a933f,102,task_assigned,R3,G00030,
20260909_025454_2a933f,102,task_assigned,R4,G00035,
20260909_025454_2a933f,103,task_created,,G00039,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025454_2a933f,104,task_completed,R5,G00021,
20260909_025454_2a933f,105,task_assigned,R5,G00039,
20260909_025454_2a933f,105,task_created,,G00040,type=PICK pickup=D-03 dropoff=PICK-3
20260909_025454_2a933f,106,task_completed,R1,G00036,
20260909_025454_2a933f,107,task_created,,G00041,type=PUTAWAY pickup=BUFFER dropoff=D-05
20260909_025454_2a933f,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,107,task_assigned,R1,G00042,
20260909_025454_2a933f,112,task_completed,R1,G00042,
20260909_025454_2a933f,113,task_assigned,R1,G00029,
20260909_025454_2a933f,115,task_completed,R2,G00031,
20260909_025454_2a933f,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=G-02
20260909_025454_2a933f,115,task_created,,G00044,type=PICK pickup=E-02 dropoff=PICK-3
20260909_025454_2a933f,115,task_created,,G00045,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025454_2a933f,116,task_completed,R4,G00035,
20260909_025454_2a933f,116,task_assigned,R2,G00045,
20260909_025454_2a933f,117,task_assigned,R4,G00033,
20260909_025454_2a933f,120,task_completed,R3,G00030,
20260909_025454_2a933f,121,task_completed,R5,G00039,
20260909_025454_2a933f,121,task_created,,G00046,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025454_2a933f,121,task_assigned,R3,G00046,
20260909_025454_2a933f,122,task_assigned,R5,G00037,
20260909_025454_2a933f,123,task_created,,G00047,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025454_2a933f,125,task_created,,G00048,type=PICK pickup=G-08 dropoff=PICK-1
20260909_025454_2a933f,127,task_created,,G00049,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025454_2a933f,128,task_completed,R3,G00046,
20260909_025454_2a933f,129,task_assigned,R3,G00049,
20260909_025454_2a933f,131,task_created,,G00050,type=PUTAWAY pickup=BUFFER dropoff=B-02
20260909_025454_2a933f,135,task_created,,G00051,type=PICK pickup=C-08 dropoff=PICK-3
20260909_025454_2a933f,135,task_created,,G00052,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,139,task_created,,G00053,type=PUTAWAY pickup=RECV dropoff=C-03
20260909_025454_2a933f,139,task_created,,G00054,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025454_2a933f,142,task_completed,R2,G00045,
20260909_025454_2a933f,143,task_assigned,R2,G00052,
20260909_025454_2a933f,145,task_created,,G00055,type=PICK pickup=D-07 dropoff=PICK-2
20260909_025454_2a933f,147,task_completed,R5,G00037,
20260909_025454_2a933f,147,task_created,,G00056,type=PUTAWAY pickup=BUFFER dropoff=C-03
20260909_025454_2a933f,148,task_assigned,R5,G00054,
20260909_025454_2a933f,149,task_completed,R2,G00052,
20260909_025454_2a933f,149,task_created,,G00057,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,150,task_assigned,R2,G00057,
20260909_025454_2a933f,151,task_completed,R1,G00029,
20260909_025454_2a933f,151,task_created,,G00058,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025454_2a933f,152,task_assigned,R1,G00058,
20260909_025454_2a933f,154,task_completed,R3,G00049,
20260909_025454_2a933f,155,task_assigned,R3,G00040,
20260909_025454_2a933f,155,task_completed,R2,G00057,
20260909_025454_2a933f,155,task_created,,G00059,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025454_2a933f,155,task_created,,G00060,type=PICK pickup=G-07 dropoff=PICK-1
20260909_025454_2a933f,156,task_completed,R4,G00033,
20260909_025454_2a933f,156,task_assigned,R2,G00044,
20260909_025454_2a933f,157,task_assigned,R4,G00048,
20260909_025454_2a933f,157,task_completed,R5,G00054,
20260909_025454_2a933f,158,task_assigned,R5,G00051,
20260909_025454_2a933f,163,task_created,,G00061,type=PUTAWAY pickup=RECV dropoff=H-06
20260909_025454_2a933f,163,task_created,,G00062,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025454_2a933f,163,task_created,,G00063,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025454_2a933f,165,task_created,,G00064,type=PICK pickup=B-03 dropoff=PICK-2
20260909_025454_2a933f,171,task_created,,G00065,type=PUTAWAY pickup=BUFFER dropoff=C-04
20260909_025454_2a933f,175,task_completed,R1,G00058,
20260909_025454_2a933f,175,task_created,,G00066,type=PICK pickup=F-01 dropoff=PICK-1
20260909_025454_2a933f,175,task_created,,G00067,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025454_2a933f,176,task_assigned,R1,G00063,
20260909_025454_2a933f,177,task_completed,R3,G00040,
20260909_025454_2a933f,177,task_created,,G00068,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025454_2a933f,178,task_assigned,R3,G00068,
20260909_025454_2a933f,179,task_completed,R5,G00051,
20260909_025454_2a933f,179,task_created,,G00069,type=PUTAWAY pickup=RECV dropoff=E-01
20260909_025454_2a933f,180,task_assigned,R5,G00062,
20260909_025454_2a933f,182,task_completed,R1,G00063,
20260909_025454_2a933f,183,task_assigned,R1,G00067,
20260909_025454_2a933f,185,task_created,,G00070,type=PICK pickup=F-06 dropoff=PICK-2
20260909_025454_2a933f,187,task_created,,G00071,type=PUTAWAY pickup=BUFFER dropoff=D-04
