tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.93,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.86,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.72,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.58,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.37,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.16,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.85,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.54,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,98.16,96.85,99.65,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.75,96.35,99.3,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.34,95.85,98.95,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.93,95.35,98.6,0.0,0.0,0.0,0.0
15,1,6.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.52,94.85,98.25,0.0,0.0,0.0,0.0
16,1,5.0,0.0,1.0,1.0,0.0,4,1,0,0,0,0,0,96.11,94.35,97.9,0.0,0.0,0.0,0.0
17,0,4.0,0.0,1.0,2.0,0.0,4,1,0,0,0,0,0,95.73,93.85,97.55,0.0,0.0,0.0,0.0
18,0,4.0,0.0,0.0,2.0,0.0,4,1,0,0,0,0,0,95.42,93.85,97.2,0.0,0.0,0.0,0.0
19,1,6.0,2.0,0.0,2.0,0.0,5,0,0,0,0,0,0,95.01,93.5,96.85,0.0,0.0,0.0,0.0
20,1,6.0,0.0,0.0,2.0,0.0,5,0,0,0,0,0,0,94.6,93.15,96.5,0.0,0.0,0.0,0.0
21,1,5.0,0.0,1.0,3.0,0.0,3,1,1,0,0,0,0,94.26,92.8,96.15,0.0,0.0,1.0,1.0
22,0,5.0,0.0,0.0,3.0,0.0,5,0,0,0,0,0,0,93.88,92.45,95.8,0.0,0.0,0.0,1.0
23,1,6.0,1.0,0.0,3.0,0.0,5,0,0,0,0,0,0,93.5,92.1,95.45,0.0,0.0,0.0,1.0
24,1,5.0,0.0,1.0,4.0,0.0,4,1,0,0,0,0,0,93.12,91.75,95.1,0.0,0.0,0.0,1.0
25,1,6.0,1.0,0.0,4.0,0.0,5,0,0,0,0,0,0,92.74,91.25,94.75,0.0,0.0,0.0,1.0
26,1,6.0,0.0,0.0,4.0,0.0,5,0,0,0,0,0,0,92.36,90.75,94.4,0.0,0.0,0.0,1.0
27,2,7.0,1.0,0.0,4.0,0.0,5,0,0,0,0,0,0,91.98,90.25,94.05,0.0,0.0,0.0,1.0
