tick,tasks_pending,tasks_outstanding,tasks_created_this_tick,tasks_completed_this_tick,tasks_completed_total,tasks_failed_total,robots_active,robots_idle,robots_blocked,robots_charging,robots_to_charger,robots_waiting_for_charger,robots_failed,average_battery,min_battery,max_battery,replans_this_tick,replans_total,blocked_ticks_this_tick,blocked_ticks_total
1,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
2,0,0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,100.0,100.0,100.0,0.0,0.0,0.0,0.0
3,0,1.0,1.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.93,99.65,100.0,0.0,0.0,0.0,0.0
4,0,1.0,0.0,0.0,0.0,0.0,1,4,0,0,0,0,0,99.86,99.3,100.0,0.0,0.0,0.0,0.0
5,0,2.0,1.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.72,98.95,100.0,0.0,0.0,0.0,0.0
6,0,2.0,0.0,0.0,0.0,0.0,2,3,0,0,0,0,0,99.58,98.6,100.0,0.0,0.0,0.0,0.0
7,0,3.0,1.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.37,98.25,100.0,0.0,0.0,0.0,0.0
8,0,3.0,0.0,0.0,0.0,0.0,3,2,0,0,0,0,0,99.16,97.9,100.0,0.0,0.0,0.0,0.0
9,0,4.0,1.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.88,97.55,100.0,0.0,0.0,0.0,0.0
10,0,4.0,0.0,0.0,0.0,0.0,4,1,0,0,0,0,0,98.6,97.2,100.0,0.0,0.0,0.0,0.0
11,0,5.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,98.25,96.85,99.65,0.0,0.0,0.0,0.0
12,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.9,96.5,99.3,0.0,0.0,0.0,0.0
13,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.55,96.15,98.95,0.0,0.0,0.0,0.0
14,0,5.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,97.2,95.8,98.6,0.0,0.0,0.0,0.0
15,1,6.0,1.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.82,95.45,98.25,0.0,0.0,0.0,0.0
16,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.44,95.1,97.9,0.0,0.0,0.0,0.0
17,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,96.06,94.75,97.55,0.0,0.0,0.0,0.0
18,1,6.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,95.68,94.4,97.2,0.0,0.0,0.0,0.0
19,3,8.0,2.0,0.0,0.0,0.0,5,0,0,0,0,0,0,95.27,94.0,96.85,0.0,0.0,0.0,0.0
20,3,8.0,0.0,0.0,0.0,0.0,5,0,0,0,0,0,0,94.83,93.5,96.5,0.0,0.0,0.0,0.0
21,3,6.0,0.0,2.0,2.0,0.0,3,2,0,0,0,0,0,94.39,93.0,96.15,0.0,0.0,0.0,0.0
22,1,6.0,0.0,0.0,2.0,0.0,5,0,0,0,0,0,0,94.01,92.65,95.8,0.0,0.0,0.0,0.0
23,2,7.0,1.0,0.0,2.0,0.0,5,0,0,0,0,0,0,93.63,92.3,95.45,0.0,0.0,0.0,0.0
24,2,7.0,0.0,0.0,2.0,0.0,5,0,0,0,0,0,0,93.25,91.95,95.1,0.0,0.0,0.0,0.0
25,3,7.0,1.0,1.0,3.0,0.0,4,1,0,0,0,0,0,92.87,91.6,94.75,0.0,0.0,0.0,0.0
26,2,7.0,0.0,0.0,3.0,0.0,5,0,0,0,0,0,0,92.52,91.25,94.4,0.0,0.0,0.0,0.0
27,3,8.0,1.0,0.0,3.0,0.0,5,0,0,0,0,0,0,92.14,90.9,94.05,0.0,0.0,0.0,0.0
