run_id,tick,event_type,robot_id,task_id,details
20260909_025503_8d3efb,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260909_025503_8d3efb,3,task_assigned,R5,G00001,
20260909_025503_8d3efb,5,task_created,,G00002,type=PICK pickup=H-03 dropoff=PICK-3
20260909_025503_8d3efb,5,task_assigned,R3,G00002,
20260909_025503_8d3efb,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025503_8d3efb,7,task_assigned,R2,G00003,
20260909_025503_8d3efb,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025503_8d3efb,9,task_assigned,R4,G00004,
20260909_025503_8d3efb,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=B-02
20260909_025503_8d3efb,11,task_assigned,R1,G00005,
20260909_025503_8d3efb,15,task_created,,G00006,type=PICK pickup=C-05 dropoff=PICK-2
20260909_025503_8d3efb,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=D-01
20260909_025503_8d3efb,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025503_8d3efb,21,task_completed,R4,G00004,
20260909_025503_8d3efb,22,task_assigned,R4,G00008,
20260909_025503_8d3efb,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025503_8d3efb,23,robot_blocked,R1,,"{""x"": 5, ""y"": 1}"
20260909_025503_8d3efb,25,task_created,,G00010,type=PICK pickup=H-02 dropoff=PICK-1
20260909_025503_8d3efb,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260909_025503_8d3efb,29,task_completed,R3,G00002,
20260909_025503_8d3efb,30,task_completed,R5,G00001,
20260909_025503_8d3efb,30,task_assigned,R3,G00009,
20260909_025503_8d3efb,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025503_8d3efb,31,task_assigned,R5,G00012,
20260909_025503_8d3efb,33,task_completed,R2,G00003,
20260909_025503_8d3efb,33,task_completed,R1,G00005,
20260909_025503_8d3efb,34,task_assigned,R1,G00006,
20260909_025503_8d3efb,34,task_assigned,R2,G00010,
20260909_025503_8d3efb,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=E-01
20260909_025503_8d3efb,35,task_created,,G00014,type=PICK pickup=A-03 dropoff=PICK-2
20260909_025503_8d3efb,36,task_completed,R4,G00008,
20260909_025503_8d3efb,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025503_8d3efb,37,task_assigned,R4,G00015,
20260909_025503_8d3efb,40,robot_blocked,R5,,"{""x"": 11, ""y"": 4}"
20260909_025503_8d3efb,43,task_completed,R4,G00015,
20260909_025503_8d3efb,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=H-08
20260909_025503_8d3efb,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025503_8d3efb,44,task_completed,R1,G00006,
20260909_025503_8d3efb,44,task_assigned,R4,G00017,
20260909_025503_8d3efb,45,task_assigned,R1,G00014,
20260909_025503_8d3efb,45,task_created,,G00018,type=PICK pickup=A-07 dropoff=PICK-2
20260909_025503_8d3efb,46,task_completed,R3,G00009,
20260909_025503_8d3efb,47,task_assigned,R3,G00018,
20260909_025503_8d3efb,51,task_completed,R5,G00012,
20260909_025503_8d3efb,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025503_8d3efb,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025503_8d3efb,52,task_assigned,R5,G00020,
20260909_025503_8d3efb,55,task_created,,G00021,type=PICK pickup=D-03 dropoff=PICK-3
20260909_025503_8d3efb,55,task_created,,G00022,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025503_8d3efb,58,task_completed,R4,G00017,
20260909_025503_8d3efb,58,task_completed,R5,G00020,
20260909_025503_8d3efb,59,task_assigned,R5,G00021,
20260909_025503_8d3efb,59,task_assigned,R4,G00022,
20260909_025503_8d3efb,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=F-05
20260909_025503_8d3efb,63,robot_blocked,R2,,"{""x"": 11, ""y"": 4}"
20260909_025503_8d3efb,65,task_created,,G00024,type=PICK pickup=G-05 dropoff=PICK-3
20260909_025503_8d3efb,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025503_8d3efb,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025503_8d3efb,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025503_8d3efb,75,task_completed,R2,G00010,
20260909_025503_8d3efb,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=G-04
20260909_025503_8d3efb,75,task_created,,G00029,type=PICK pickup=E-05 dropoff=PICK-3
20260909_025503_8d3efb,76,task_completed,R1,G00014,
20260909_025503_8d3efb,76,task_assigned,R2,G00025,
20260909_025503_8d3efb,77,task_assigned,R1,G00027,
20260909_025503_8d3efb,78,task_completed,R4,G00022,
20260909_025503_8d3efb,79,task_completed,R3,G00018,
20260909_025503_8d3efb,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025503_8d3efb,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025503_8d3efb,79,task_assigned,R4,G00031,
20260909_025503_8d3efb,80,task_assigned,R3,G00030,
20260909_025503_8d3efb,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025503_8d3efb,85,task_completed,R5,G00021,
20260909_025503_8d3efb,85,task_completed,R4,G00031,
20260909_025503_8d3efb,85,task_created,,G00033,type=PICK pickup=B-01 dropoff=PICK-2
20260909_025503_8d3efb,86,task_assigned,R5,G00024,
20260909_025503_8d3efb,86,task_assigned,R4,G00029,
20260909_025503_8d3efb,87,robot_blocked,R3,,"{""x"": 19, ""y"": 8}"
20260909_025503_8d3efb,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=A-04
20260909_025503_8d3efb,91,task_created,,G00035,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025503_8d3efb,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025503_8d3efb,94,task_completed,R2,G00025,
20260909_025503_8d3efb,95,task_assigned,R2,G00036,
20260909_025503_8d3efb,95,task_created,,G00037,type=PICK pickup=G-07 dropoff=PICK-2
20260909_025503_8d3efb,97,task_completed,R3,G00030,
20260909_025503_8d3efb,98,task_assigned,R3,G00035,
20260909_025503_8d3efb,99,task_created,,G00038,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025503_8d3efb,100,task_completed,R1,G00027,
20260909_025503_8d3efb,100,task_completed,R2,G00036,
20260909_025503_8d3efb,101,task_assigned,R1,G00033,
20260909_025503_8d3efb,101,task_assigned,R2,G00037,
20260909_025503_8d3efb,103,task_created,,G00039,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025503_8d3efb,105,task_created,,G00040,type=PICK pickup=F-03 dropoff=PICK-1
20260909_025503_8d3efb,107,task_completed,R5,G00024,
20260909_025503_8d3efb,107,task_created,,G00041,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025503_8d3efb,107,task_created,,G00042,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025503_8d3efb,108,task_assigned,R5,G00042,
20260909_025503_8d3efb,115,task_created,,G00043,type=PUTAWAY pickup=BUFFER dropoff=A-02
20260909_025503_8d3efb,115,task_created,,G00044,type=PICK pickup=G-07 dropoff=PICK-2
