run_id,tick,event_type,robot_id,task_id,details
20260909_025509_c08e4b,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=F-02
20260909_025509_c08e4b,3,task_assigned,R1,G00001,
20260909_025509_c08e4b,5,task_created,,G00002,type=PICK pickup=A-06 dropoff=PICK-3
20260909_025509_c08e4b,5,task_assigned,R2,G00002,
20260909_025509_c08e4b,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025509_c08e4b,7,task_assigned,R5,G00003,
20260909_025509_c08e4b,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025509_c08e4b,9,task_assigned,R4,G00004,
20260909_025509_c08e4b,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=C-01
20260909_025509_c08e4b,11,task_assigned,R3,G00005,
20260909_025509_c08e4b,15,task_created,,G00006,type=PICK pickup=G-01 dropoff=PICK-3
20260909_025509_c08e4b,16,task_completed,R4,G00004,
20260909_025509_c08e4b,17,task_assigned,R4,G00006,
20260909_025509_c08e4b,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=G-03
20260909_025509_c08e4b,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025509_c08e4b,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025509_c08e4b,25,task_created,,G00010,type=PICK pickup=A-02 dropoff=PICK-1
20260909_025509_c08e4b,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=B-05
20260909_025509_c08e4b,28,task_completed,R5,G00003,
20260909_025509_c08e4b,29,task_completed,R1,G00001,
20260909_025509_c08e4b,29,task_assigned,R5,G00009,
20260909_025509_c08e4b,30,task_assigned,R1,G00008,
20260909_025509_c08e4b,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025509_c08e4b,35,task_completed,R5,G00009,
20260909_025509_c08e4b,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-01
20260909_025509_c08e4b,35,task_created,,G00014,type=PICK pickup=D-07 dropoff=PICK-3
20260909_025509_c08e4b,36,task_assigned,R5,G00012,
20260909_025509_c08e4b,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025509_c08e4b,38,task_completed,R2,G00002,
20260909_025509_c08e4b,39,task_assigned,R2,G00015,
20260909_025509_c08e4b,41,task_completed,R4,G00006,
20260909_025509_c08e4b,42,task_assigned,R4,G00010,
20260909_025509_c08e4b,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=E-04
20260909_025509_c08e4b,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025509_c08e4b,45,task_created,,G00018,type=PICK pickup=H-07 dropoff=PICK-2
20260909_025509_c08e4b,46,robot_blocked,R2,,"{""x"": 13, ""y"": 8}"
20260909_025509_c08e4b,47,robot_blocked,R1,,"{""x"": 12, ""y"": 8}"
20260909_025509_c08e4b,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=C-07
20260909_025509_c08e4b,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025509_c08e4b,55,task_completed,R1,G00008,
20260909_025509_c08e4b,55,task_created,,G00021,type=PICK pickup=H-02 dropoff=PICK-3
