run_id,tick,event_type,robot_id,task_id,details
20260909_025511_e623f6,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=D-07
20260909_025511_e623f6,3,task_assigned,R2,G00001,
20260909_025511_e623f6,5,task_created,,G00002,type=PICK pickup=A-01 dropoff=PICK-2
20260909_025511_e623f6,5,task_assigned,R4,G00002,
20260909_025511_e623f6,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025511_e623f6,7,task_assigned,R3,G00003,
20260909_025511_e623f6,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025511_e623f6,9,task_assigned,R1,G00004,
20260909_025511_e623f6,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=E-07
20260909_025511_e623f6,11,task_assigned,R5,G00005,
20260909_025511_e623f6,15,task_created,,G00006,type=PICK pickup=B-05 dropoff=PICK-3
20260909_025511_e623f6,19,task_completed,R1,G00004,
20260909_025511_e623f6,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=A-01
20260909_025511_e623f6,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025511_e623f6,20,task_assigned,R1,G00008,
20260909_025511_e623f6,23,task_completed,R2,G00001,
20260909_025511_e623f6,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025511_e623f6,24,task_assigned,R2,G00009,
20260909_025511_e623f6,25,task_created,,G00010,type=PICK pickup=A-01 dropoff=PICK-1
20260909_025511_e623f6,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-03
20260909_025511_e623f6,29,task_completed,R3,G00003,
20260909_025511_e623f6,30,task_assigned,R3,G00006,
20260909_025511_e623f6,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025511_e623f6,33,task_completed,R4,G00002,
20260909_025511_e623f6,34,task_assigned,R4,G00012,
20260909_025511_e623f6,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=A-05
20260909_025511_e623f6,35,task_created,,G00014,type=PICK pickup=H-08 dropoff=PICK-2
