run_id,tick,event_type,robot_id,task_id,details
20260909_025513_1a07af,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=C-08
20260909_025513_1a07af,3,task_assigned,R1,G00001,
20260909_025513_1a07af,5,task_created,,G00002,type=PICK pickup=H-05 dropoff=PICK-2
20260909_025513_1a07af,5,task_assigned,R2,G00002,
20260909_025513_1a07af,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025513_1a07af,7,task_assigned,R3,G00003,
20260909_025513_1a07af,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025513_1a07af,9,task_assigned,R4,G00004,
20260909_025513_1a07af,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=A-07
20260909_025513_1a07af,11,task_assigned,R5,G00005,
20260909_025513_1a07af,15,task_created,,G00006,type=PICK pickup=H-02 dropoff=PICK-3
20260909_025513_1a07af,17,robot_blocked,R1,,"{""x"": 15, ""y"": 4}"
20260909_025513_1a07af,18,robot_blocked,R2,,"{""x"": 16, ""y"": 4}"
20260909_025513_1a07af,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=B-03
20260909_025513_1a07af,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025513_1a07af,22,task_completed,R3,G00003,
20260909_025513_1a07af,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025513_1a07af,23,task_assigned,R3,G00009,
20260909_025513_1a07af,25,task_completed,R4,G00004,
20260909_025513_1a07af,25,task_created,,G00010,type=PICK pickup=E-08 dropoff=PICK-3
20260909_025513_1a07af,26,task_completed,R2,G00002,
20260909_025513_1a07af,26,task_assigned,R4,G00008,
20260909_025513_1a07af,27,task_assigned,R2,G00006,
20260909_025513_1a07af,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-08
20260909_025513_1a07af,29,task_completed,R3,G00009,
20260909_025513_1a07af,30,task_assigned,R3,G00010,
20260909_025513_1a07af,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025513_1a07af,32,task_completed,R1,G00001,
20260909_025513_1a07af,33,task_assigned,R1,G00012,
20260909_025513_1a07af,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-03
20260909_025513_1a07af,35,task_created,,G00014,type=PICK pickup=D-06 dropoff=PICK-1
20260909_025513_1a07af,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025513_1a07af,40,task_completed,R4,G00008,
20260909_025513_1a07af,41,task_assigned,R4,G00015,
20260909_025513_1a07af,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025513_1a07af,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025513_1a07af,45,task_created,,G00018,type=PICK pickup=H-07 dropoff=PICK-2
20260909_025513_1a07af,47,task_completed,R4,G00015,
20260909_025513_1a07af,48,task_assigned,R4,G00017,
20260909_025513_1a07af,50,task_completed,R2,G00006,
20260909_025513_1a07af,50,robot_blocked,R5,,"{""x"": 6, ""y"": 3}"
20260909_025513_1a07af,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260909_025513_1a07af,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025513_1a07af,51,task_assigned,R2,G00020,
20260909_025513_1a07af,53,task_completed,R5,G00005,
20260909_025513_1a07af,54,task_assigned,R5,G00014,
20260909_025513_1a07af,55,task_completed,R1,G00012,
20260909_025513_1a07af,55,task_created,,G00021,type=PICK pickup=G-06 dropoff=PICK-2
20260909_025513_1a07af,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025513_1a07af,56,task_assigned,R1,G00022,
20260909_025513_1a07af,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025513_1a07af,62,task_completed,R4,G00017,
20260909_025513_1a07af,63,task_assigned,R4,G00018,
20260909_025513_1a07af,65,task_created,,G00024,type=PICK pickup=C-03 dropoff=PICK-2
20260909_025513_1a07af,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025513_1a07af,67,task_completed,R2,G00020,
20260909_025513_1a07af,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=A-03
20260909_025513_1a07af,67,task_created,,G00027,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025513_1a07af,68,task_completed,R3,G00010,
20260909_025513_1a07af,68,task_completed,R1,G00022,
20260909_025513_1a07af,68,task_assigned,R2,G00025,
20260909_025513_1a07af,69,task_assigned,R3,G00021,
20260909_025513_1a07af,69,task_assigned,R1,G00027,
20260909_025513_1a07af,71,robot_blocked,R3,,"{""x"": 18, ""y"": 8}"
20260909_025513_1a07af,73,task_completed,R2,G00025,
20260909_025513_1a07af,74,task_assigned,R2,G00024,
20260909_025513_1a07af,75,task_created,,G00028,type=PUTAWAY pickup=RECV dropoff=C-02
20260909_025513_1a07af,75,task_created,,G00029,type=PICK pickup=G-04 dropoff=PICK-3
20260909_025513_1a07af,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025513_1a07af,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025513_1a07af,79,robot_blocked,R4,,"{""x"": 19, ""y"": 5}"
20260909_025513_1a07af,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=H-08
20260909_025513_1a07af,85,task_completed,R3,G00021,
20260909_025513_1a07af,85,task_created,,G00033,type=PICK pickup=G-07 dropoff=PICK-3
20260909_025513_1a07af,86,task_assigned,R3,G00031,
20260909_025513_1a07af,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=B-08
20260909_025513_1a07af,91,task_created,,G00035,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025513_1a07af,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025513_1a07af,94,task_completed,R1,G00027,
20260909_025513_1a07af,94,task_completed,R3,G00031,
20260909_025513_1a07af,95,task_assigned,R1,G00030,
20260909_025513_1a07af,95,task_assigned,R3,G00036,
20260909_025513_1a07af,95,task_created,,G00037,type=PICK pickup=C-06 dropoff=PICK-2
20260909_025513_1a07af,96,task_completed,R2,G00024,
20260909_025513_1a07af,97,task_completed,R5,G00014,
20260909_025513_1a07af,97,task_completed,R4,G00018,
20260909_025513_1a07af,97,task_assigned,R2,G00035,
20260909_025513_1a07af,98,task_assigned,R4,G00029,
20260909_025513_1a07af,98,task_assigned,R5,G00033,
