run_id,tick,event_type,robot_id,task_id,details
20260909_025514_418b9c,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=D-07
20260909_025514_418b9c,3,task_assigned,R3,G00001,
20260909_025514_418b9c,5,task_created,,G00002,type=PICK pickup=C-06 dropoff=PICK-2
20260909_025514_418b9c,5,task_assigned,R5,G00002,
20260909_025514_418b9c,7,task_created,,G00003,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025514_418b9c,7,task_assigned,R1,G00003,
20260909_025514_418b9c,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025514_418b9c,9,task_assigned,R4,G00004,
20260909_025514_418b9c,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260909_025514_418b9c,11,task_assigned,R2,G00005,
20260909_025514_418b9c,15,task_created,,G00006,type=PICK pickup=C-06 dropoff=PICK-3
20260909_025514_418b9c,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-03
20260909_025514_418b9c,19,task_created,,G00008,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025514_418b9c,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025514_418b9c,24,task_completed,R4,G00004,
20260909_025514_418b9c,25,task_completed,R5,G00002,
20260909_025514_418b9c,25,task_assigned,R4,G00009,
20260909_025514_418b9c,25,task_created,,G00010,type=PICK pickup=G-02 dropoff=PICK-3
20260909_025514_418b9c,25,robot_blocked,R2,,"{""x"": 12, ""y"": 9}"
20260909_025514_418b9c,26,task_assigned,R5,G00008,
20260909_025514_418b9c,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=F-08
20260909_025514_418b9c,30,task_completed,R4,G00009,
20260909_025514_418b9c,31,task_created,,G00012,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025514_418b9c,31,task_assigned,R4,G00012,
20260909_025514_418b9c,32,task_completed,R1,G00003,
20260909_025514_418b9c,33,task_assigned,R1,G00006,
20260909_025514_418b9c,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=C-06
20260909_025514_418b9c,35,task_created,,G00014,type=PICK pickup=D-02 dropoff=PICK-2
20260909_025514_418b9c,37,task_completed,R3,G00001,
20260909_025514_418b9c,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025514_418b9c,38,task_assigned,R3,G00015,
20260909_025514_418b9c,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=A-03
20260909_025514_418b9c,43,task_created,,G00017,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025514_418b9c,45,task_created,,G00018,type=PICK pickup=G-05 dropoff=PICK-3
20260909_025514_418b9c,45,robot_blocked,R1,,"{""x"": 14, ""y"": 4}"
20260909_025514_418b9c,45,robot_blocked,R3,,"{""x"": 15, ""y"": 4}"
20260909_025514_418b9c,47,task_completed,R5,G00008,
20260909_025514_418b9c,48,task_assigned,R5,G00017,
20260909_025514_418b9c,50,task_completed,R2,G00005,
20260909_025514_418b9c,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=A-08
20260909_025514_418b9c,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025514_418b9c,51,task_assigned,R2,G00020,
20260909_025514_418b9c,52,task_completed,R4,G00012,
20260909_025514_418b9c,53,task_assigned,R4,G00010,
20260909_025514_418b9c,55,task_created,,G00021,type=PICK pickup=F-07 dropoff=PICK-2
20260909_025514_418b9c,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025514_418b9c,59,task_completed,R5,G00017,
20260909_025514_418b9c,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=C-07
20260909_025514_418b9c,60,task_assigned,R5,G00022,
20260909_025514_418b9c,65,task_created,,G00024,type=PICK pickup=D-05 dropoff=PICK-3
20260909_025514_418b9c,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025514_418b9c,66,task_completed,R3,G00015,
20260909_025514_418b9c,67,task_assigned,R3,G00025,
20260909_025514_418b9c,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-06
20260909_025514_418b9c,67,task_created,,G00027,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025514_418b9c,71,task_completed,R5,G00022,
20260909_025514_418b9c,72,task_completed,R3,G00025,
20260909_025514_418b9c,72,task_assigned,R5,G00027,
20260909_025514_418b9c,73,task_completed,R4,G00010,
20260909_025514_418b9c,73,task_assigned,R3,G00014,
20260909_025514_418b9c,74,task_assigned,R4,G00018,
20260909_025514_418b9c,74,task_completed,R2,G00020,
20260909_025514_418b9c,75,task_assigned,R2,G00021,
20260909_025514_418b9c,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=B-05
20260909_025514_418b9c,75,task_created,,G00029,type=PICK pickup=H-08 dropoff=PICK-1
20260909_025514_418b9c,79,task_created,,G00030,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025514_418b9c,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025514_418b9c,81,task_completed,R1,G00006,
20260909_025514_418b9c,82,task_assigned,R1,G00031,
20260909_025514_418b9c,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260909_025514_418b9c,85,task_created,,G00033,type=PICK pickup=D-04 dropoff=PICK-1
20260909_025514_418b9c,91,task_created,,G00034,type=PUTAWAY pickup=BUFFER dropoff=D-06
20260909_025514_418b9c,91,task_created,,G00035,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025514_418b9c,92,robot_blocked,R4,,"{""x"": 19, ""y"": 7}"
20260909_025514_418b9c,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025514_418b9c,94,task_completed,R4,G00018,
20260909_025514_418b9c,94,task_completed,R5,G00027,
20260909_025514_418b9c,95,task_completed,R2,G00021,
20260909_025514_418b9c,95,task_assigned,R4,G00030,
20260909_025514_418b9c,95,task_assigned,R5,G00036,
