run_id,tick,event_type,robot_id,task_id,details
20260909_025518_aadacb,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=G-04
20260909_025518_aadacb,3,task_assigned,R5,G00001,
20260909_025518_aadacb,5,task_created,,G00002,type=PICK pickup=A-04 dropoff=PICK-3
20260909_025518_aadacb,5,task_assigned,R2,G00002,
20260909_025518_aadacb,7,task_created,,G00003,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025518_aadacb,7,task_assigned,R1,G00003,
20260909_025518_aadacb,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025518_aadacb,9,task_assigned,R3,G00004,
20260909_025518_aadacb,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260909_025518_aadacb,11,task_assigned,R4,G00005,
20260909_025518_aadacb,15,task_created,,G00006,type=PICK pickup=B-05 dropoff=PICK-1
20260909_025518_aadacb,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260909_025518_aadacb,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025518_aadacb,21,task_completed,R1,G00003,
20260909_025518_aadacb,22,task_assigned,R1,G00008,
20260909_025518_aadacb,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025518_aadacb,25,task_created,,G00010,type=PICK pickup=G-03 dropoff=PICK-1
20260909_025518_aadacb,26,task_completed,R3,G00004,
20260909_025518_aadacb,27,task_assigned,R3,G00009,
20260909_025518_aadacb,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=C-01
20260909_025518_aadacb,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025518_aadacb,32,task_completed,R3,G00009,
20260909_025518_aadacb,33,task_assigned,R3,G00012,
20260909_025518_aadacb,35,task_completed,R1,G00008,
20260909_025518_aadacb,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=D-02
20260909_025518_aadacb,35,task_created,,G00014,type=PICK pickup=D-02 dropoff=PICK-1
20260909_025518_aadacb,36,task_completed,R5,G00001,
20260909_025518_aadacb,36,task_assigned,R1,G00006,
20260909_025518_aadacb,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025518_aadacb,37,task_assigned,R5,G00015,
20260909_025518_aadacb,41,task_completed,R2,G00002,
20260909_025518_aadacb,42,task_assigned,R2,G00010,
20260909_025518_aadacb,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=F-04
20260909_025518_aadacb,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025518_aadacb,45,task_created,,G00018,type=PICK pickup=C-06 dropoff=PICK-1
20260909_025518_aadacb,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=F-07
20260909_025518_aadacb,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025518_aadacb,52,task_completed,R4,G00005,
20260909_025518_aadacb,53,task_assigned,R4,G00020,
20260909_025518_aadacb,54,task_completed,R5,G00015,
20260909_025518_aadacb,55,task_assigned,R5,G00017,
20260909_025518_aadacb,55,task_created,,G00021,type=PICK pickup=D-05 dropoff=PICK-1
20260909_025518_aadacb,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025518_aadacb,59,task_created,,G00023,type=PUTAWAY pickup=BUFFER dropoff=F-06
20260909_025518_aadacb,60,task_completed,R1,G00006,
20260909_025518_aadacb,61,task_assigned,R1,G00022,
20260909_025518_aadacb,64,task_completed,R3,G00012,
20260909_025518_aadacb,65,task_completed,R2,G00010,
20260909_025518_aadacb,65,task_created,,G00024,type=PICK pickup=E-07 dropoff=PICK-2
20260909_025518_aadacb,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025518_aadacb,65,task_assigned,R3,G00025,
20260909_025518_aadacb,66,task_assigned,R2,G00014,
20260909_025518_aadacb,67,task_created,,G00026,type=PUTAWAY pickup=RECV dropoff=B-08
20260909_025518_aadacb,67,task_created,,G00027,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025518_aadacb,72,task_completed,R3,G00025,
20260909_025518_aadacb,73,task_assigned,R3,G00027,
20260909_025518_aadacb,74,task_completed,R4,G00020,
20260909_025518_aadacb,75,task_assigned,R4,G00018,
20260909_025518_aadacb,75,task_completed,R1,G00022,
20260909_025518_aadacb,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=H-07
20260909_025518_aadacb,75,task_created,,G00029,type=PICK pickup=E-04 dropoff=PICK-1
20260909_025518_aadacb,76,task_assigned,R1,G00021,
20260909_025518_aadacb,79,task_created,,G00030,type=PACK pickup=PICK-2 dropoff=PACK-2
20260909_025518_aadacb,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025518_aadacb,81,task_completed,R5,G00017,
20260909_025518_aadacb,82,task_assigned,R5,G00031,
20260909_025518_aadacb,83,task_created,,G00032,type=PUTAWAY pickup=RECV dropoff=H-03
