run_id,tick,event_type,robot_id,task_id,details
20260909_025520_4aae03,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=B-07
20260909_025520_4aae03,3,task_assigned,R4,G00001,
20260909_025520_4aae03,5,task_created,,G00002,type=PICK pickup=B-03 dropoff=PICK-2
20260909_025520_4aae03,5,task_assigned,R3,G00002,
20260909_025520_4aae03,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025520_4aae03,7,task_assigned,R2,G00003,
20260909_025520_4aae03,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025520_4aae03,9,task_assigned,R1,G00004,
20260909_025520_4aae03,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=E-08
20260909_025520_4aae03,11,task_assigned,R5,G00005,
20260909_025520_4aae03,15,task_created,,G00006,type=PICK pickup=H-02 dropoff=PICK-2
20260909_025520_4aae03,17,task_completed,R1,G00004,
20260909_025520_4aae03,18,task_assigned,R1,G00006,
20260909_025520_4aae03,19,task_completed,R4,G00001,
20260909_025520_4aae03,19,task_created,,G00007,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025520_4aae03,19,task_created,,G00008,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025520_4aae03,20,task_assigned,R4,G00008,
20260909_025520_4aae03,23,task_completed,R3,G00002,
20260909_025520_4aae03,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025520_4aae03,24,task_completed,R2,G00003,
20260909_025520_4aae03,24,task_assigned,R3,G00009,
20260909_025520_4aae03,25,task_created,,G00010,type=PICK pickup=B-06 dropoff=PICK-3
20260909_025520_4aae03,25,task_assigned,R2,G00010,
20260909_025520_4aae03,27,task_created,,G00011,type=PUTAWAY pickup=RECV dropoff=E-06
20260909_025520_4aae03,30,robot_blocked,R2,,"{""x"": 11, ""y"": 8}"
20260909_025520_4aae03,30,robot_blocked,R5,,"{""x"": 12, ""y"": 8}"
20260909_025520_4aae03,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025520_4aae03,31,robot_blocked,R4,,"{""x"": 12, ""y"": 7}"
20260909_025520_4aae03,32,task_completed,R3,G00009,
20260909_025520_4aae03,33,task_assigned,R3,G00012,
20260909_025520_4aae03,35,task_created,,G00013,type=PUTAWAY pickup=BUFFER dropoff=E-02
20260909_025520_4aae03,35,task_created,,G00014,type=PICK pickup=D-08 dropoff=PICK-2
20260909_025520_4aae03,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025520_4aae03,38,task_completed,R4,G00008,
20260909_025520_4aae03,39,task_assigned,R4,G00015,
20260909_025520_4aae03,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-07
20260909_025520_4aae03,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025520_4aae03,45,task_completed,R4,G00015,
20260909_025520_4aae03,45,task_created,,G00018,type=PICK pickup=H-05 dropoff=PICK-3
20260909_025520_4aae03,46,task_assigned,R4,G00017,
20260909_025520_4aae03,47,task_completed,R3,G00012,
20260909_025520_4aae03,48,task_completed,R1,G00006,
20260909_025520_4aae03,48,task_assigned,R3,G00014,
20260909_025520_4aae03,49,task_assigned,R1,G00018,
20260909_025520_4aae03,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=H-05
20260909_025520_4aae03,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025520_4aae03,52,task_completed,R5,G00005,
20260909_025520_4aae03,53,task_assigned,R5,G00020,
20260909_025520_4aae03,55,task_created,,G00021,type=PICK pickup=C-02 dropoff=PICK-2
20260909_025520_4aae03,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025520_4aae03,56,robot_blocked,R1,,"{""x"": 19, ""y"": 8}"
20260909_025520_4aae03,59,task_completed,R2,G00010,
20260909_025520_4aae03,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=B-03
