run_id,tick,event_type,robot_id,task_id,details
20260909_025522_05d4de,3,task_created,,G00001,type=PUTAWAY pickup=BUFFER dropoff=H-01
20260909_025522_05d4de,3,task_assigned,R5,G00001,
20260909_025522_05d4de,5,task_created,,G00002,type=PICK pickup=D-06 dropoff=PICK-1
20260909_025522_05d4de,5,task_assigned,R1,G00002,
20260909_025522_05d4de,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025522_05d4de,7,task_assigned,R2,G00003,
20260909_025522_05d4de,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025522_05d4de,9,task_assigned,R4,G00004,
20260909_025522_05d4de,11,task_created,,G00005,type=PUTAWAY pickup=RECV dropoff=H-05
20260909_025522_05d4de,11,task_assigned,R3,G00005,
20260909_025522_05d4de,15,task_created,,G00006,type=PICK pickup=C-05 dropoff=PICK-2
20260909_025522_05d4de,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=F-05
20260909_025522_05d4de,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025522_05d4de,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025522_05d4de,24,task_completed,R4,G00004,
20260909_025522_05d4de,25,task_assigned,R4,G00009,
20260909_025522_05d4de,25,task_created,,G00010,type=PICK pickup=H-07 dropoff=PICK-3
20260909_025522_05d4de,27,task_completed,R2,G00003,
20260909_025522_05d4de,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=B-01
20260909_025522_05d4de,28,task_completed,R5,G00001,
20260909_025522_05d4de,28,task_assigned,R2,G00008,
20260909_025522_05d4de,29,task_completed,R1,G00002,
20260909_025522_05d4de,29,task_assigned,R5,G00006,
20260909_025522_05d4de,30,task_completed,R4,G00009,
20260909_025522_05d4de,30,task_assigned,R1,G00010,
20260909_025522_05d4de,31,task_created,,G00012,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025522_05d4de,31,task_assigned,R4,G00012,
20260909_025522_05d4de,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=H-01
20260909_025522_05d4de,35,task_created,,G00014,type=PICK pickup=G-06 dropoff=PICK-3
20260909_025522_05d4de,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025522_05d4de,39,robot_blocked,R3,,"{""x"": 6, ""y"": 9}"
20260909_025522_05d4de,40,task_completed,R5,G00006,
20260909_025522_05d4de,41,task_assigned,R5,G00015,
20260909_025522_05d4de,43,task_created,,G00016,type=PUTAWAY pickup=BUFFER dropoff=G-07
20260909_025522_05d4de,43,task_created,,G00017,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025522_05d4de,45,task_created,,G00018,type=PICK pickup=H-03 dropoff=PICK-3
20260909_025522_05d4de,49,task_completed,R5,G00015,
20260909_025522_05d4de,50,task_assigned,R5,G00017,
20260909_025522_05d4de,51,task_created,,G00019,type=PUTAWAY pickup=BUFFER dropoff=A-08
20260909_025522_05d4de,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025522_05d4de,52,task_completed,R2,G00008,
20260909_025522_05d4de,53,task_assigned,R2,G00020,
20260909_025522_05d4de,55,task_created,,G00021,type=PICK pickup=B-03 dropoff=PICK-2
20260909_025522_05d4de,55,task_created,,G00022,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025522_05d4de,58,task_completed,R4,G00012,
20260909_025522_05d4de,59,task_assigned,R4,G00022,
20260909_025522_05d4de,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=C-01
20260909_025522_05d4de,60,task_completed,R2,G00020,
20260909_025522_05d4de,61,task_assigned,R2,G00014,
