run_id,tick,event_type,robot_id,task_id,details
20260909_025525_bc5e9f,3,task_created,,G00001,type=PUTAWAY pickup=RECV dropoff=D-04
20260909_025525_bc5e9f,3,task_assigned,R4,G00001,
20260909_025525_bc5e9f,5,task_created,,G00002,type=PICK pickup=D-08 dropoff=PICK-1
20260909_025525_bc5e9f,5,task_assigned,R3,G00002,
20260909_025525_bc5e9f,7,task_created,,G00003,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025525_bc5e9f,7,task_assigned,R1,G00003,
20260909_025525_bc5e9f,9,task_created,,G00004,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025525_bc5e9f,9,task_assigned,R5,G00004,
20260909_025525_bc5e9f,11,task_created,,G00005,type=PUTAWAY pickup=BUFFER dropoff=F-07
20260909_025525_bc5e9f,11,task_assigned,R2,G00005,
20260909_025525_bc5e9f,15,task_created,,G00006,type=PICK pickup=F-06 dropoff=PICK-1
20260909_025525_bc5e9f,19,task_created,,G00007,type=PUTAWAY pickup=BUFFER dropoff=E-05
20260909_025525_bc5e9f,19,task_created,,G00008,type=PACK pickup=PICK-1 dropoff=PACK-2
20260909_025525_bc5e9f,23,task_completed,R1,G00003,
20260909_025525_bc5e9f,23,task_created,,G00009,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025525_bc5e9f,24,task_assigned,R1,G00009,
20260909_025525_bc5e9f,25,task_completed,R5,G00004,
20260909_025525_bc5e9f,25,task_created,,G00010,type=PICK pickup=G-02 dropoff=PICK-1
20260909_025525_bc5e9f,26,task_assigned,R5,G00008,
20260909_025525_bc5e9f,27,task_created,,G00011,type=PUTAWAY pickup=BUFFER dropoff=H-02
20260909_025525_bc5e9f,28,robot_blocked,R1,,"{""x"": 12, ""y"": 13}"
20260909_025525_bc5e9f,28,robot_blocked,R2,,"{""x"": 12, ""y"": 14}"
20260909_025525_bc5e9f,31,task_created,,G00012,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025525_bc5e9f,33,task_completed,R1,G00009,
20260909_025525_bc5e9f,34,task_completed,R3,G00002,
20260909_025525_bc5e9f,34,task_assigned,R1,G00012,
20260909_025525_bc5e9f,35,task_assigned,R3,G00006,
20260909_025525_bc5e9f,35,task_created,,G00013,type=PUTAWAY pickup=RECV dropoff=B-01
20260909_025525_bc5e9f,35,task_created,,G00014,type=PICK pickup=F-07 dropoff=PICK-3
20260909_025525_bc5e9f,37,task_created,,G00015,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025525_bc5e9f,40,task_completed,R4,G00001,
20260909_025525_bc5e9f,41,task_assigned,R4,G00015,
20260909_025525_bc5e9f,43,task_created,,G00016,type=PUTAWAY pickup=RECV dropoff=A-02
20260909_025525_bc5e9f,43,task_created,,G00017,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025525_bc5e9f,45,task_created,,G00018,type=PICK pickup=B-06 dropoff=PICK-3
20260909_025525_bc5e9f,48,task_completed,R1,G00012,
20260909_025525_bc5e9f,49,task_assigned,R1,G00017,
20260909_025525_bc5e9f,51,task_completed,R2,G00005,
20260909_025525_bc5e9f,51,task_created,,G00019,type=PUTAWAY pickup=RECV dropoff=B-04
20260909_025525_bc5e9f,51,task_created,,G00020,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025525_bc5e9f,52,task_completed,R3,G00006,
20260909_025525_bc5e9f,52,task_assigned,R2,G00020,
20260909_025525_bc5e9f,53,task_assigned,R3,G00010,
20260909_025525_bc5e9f,55,task_created,,G00021,type=PICK pickup=B-02 dropoff=PICK-2
20260909_025525_bc5e9f,55,task_created,,G00022,type=PACK pickup=PICK-3 dropoff=PACK-2
20260909_025525_bc5e9f,57,task_completed,R5,G00008,
20260909_025525_bc5e9f,58,task_assigned,R5,G00022,
20260909_025525_bc5e9f,59,task_created,,G00023,type=PUTAWAY pickup=RECV dropoff=E-05
20260909_025525_bc5e9f,64,task_completed,R4,G00015,
20260909_025525_bc5e9f,65,task_created,,G00024,type=PICK pickup=A-08 dropoff=PICK-1
20260909_025525_bc5e9f,65,task_created,,G00025,type=SHIP pickup=STAGING dropoff=DOCK-1
20260909_025525_bc5e9f,65,task_assigned,R4,G00025,
20260909_025525_bc5e9f,67,task_created,,G00026,type=PUTAWAY pickup=BUFFER dropoff=C-05
20260909_025525_bc5e9f,67,task_created,,G00027,type=PACK pickup=PICK-2 dropoff=PACK-1
20260909_025525_bc5e9f,68,task_completed,R1,G00017,
20260909_025525_bc5e9f,68,task_completed,R2,G00020,
20260909_025525_bc5e9f,69,task_assigned,R2,G00014,
20260909_025525_bc5e9f,69,task_assigned,R1,G00027,
20260909_025525_bc5e9f,70,robot_blocked,R4,,"{""x"": 11, ""y"": 15}"
20260909_025525_bc5e9f,71,task_completed,R4,G00025,
20260909_025525_bc5e9f,72,task_assigned,R4,G00018,
20260909_025525_bc5e9f,75,task_completed,R5,G00022,
20260909_025525_bc5e9f,75,task_created,,G00028,type=PUTAWAY pickup=BUFFER dropoff=C-04
20260909_025525_bc5e9f,75,task_created,,G00029,type=PICK pickup=D-08 dropoff=PICK-1
20260909_025525_bc5e9f,76,task_assigned,R5,G00021,
20260909_025525_bc5e9f,79,task_created,,G00030,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025525_bc5e9f,79,task_created,,G00031,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025525_bc5e9f,80,task_completed,R1,G00027,
20260909_025525_bc5e9f,81,task_assigned,R1,G00031,
20260909_025525_bc5e9f,82,task_completed,R3,G00010,
20260909_025525_bc5e9f,83,task_assigned,R3,G00030,
20260909_025525_bc5e9f,83,task_created,,G00032,type=PUTAWAY pickup=BUFFER dropoff=G-06
20260909_025525_bc5e9f,85,task_created,,G00033,type=PICK pickup=E-08 dropoff=PICK-3
20260909_025525_bc5e9f,87,task_completed,R1,G00031,
20260909_025525_bc5e9f,88,task_assigned,R1,G00024,
20260909_025525_bc5e9f,88,robot_blocked,R5,,"{""x"": 11, ""y"": 4}"
20260909_025525_bc5e9f,91,task_created,,G00034,type=PUTAWAY pickup=RECV dropoff=G-06
20260909_025525_bc5e9f,91,task_created,,G00035,type=PACK pickup=PICK-3 dropoff=PACK-1
20260909_025525_bc5e9f,92,task_completed,R3,G00030,
20260909_025525_bc5e9f,93,task_created,,G00036,type=SHIP pickup=STAGING dropoff=DOCK-2
20260909_025525_bc5e9f,93,task_assigned,R3,G00036,
20260909_025525_bc5e9f,95,task_created,,G00037,type=PICK pickup=B-02 dropoff=PICK-3
20260909_025525_bc5e9f,99,task_completed,R5,G00021,
20260909_025525_bc5e9f,99,task_completed,R3,G00036,
20260909_025525_bc5e9f,99,task_created,,G00038,type=PUTAWAY pickup=BUFFER dropoff=G-05
20260909_025525_bc5e9f,100,task_assigned,R3,G00029,
20260909_025525_bc5e9f,100,task_assigned,R5,G00035,
20260909_025525_bc5e9f,103,task_created,,G00039,type=PACK pickup=PICK-1 dropoff=PACK-1
20260909_025525_bc5e9f,105,task_created,,G00040,type=PICK pickup=A-02 dropoff=PICK-2
20260909_025525_bc5e9f,106,task_completed,R4,G00018,
